u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
61333354,8044626019,0,43250216,North Corridor,pedestrian,,,False,False,12.263,,"LINESTRING (-71.0925402 42.3602647, -71.0924043 42.3603103)",,,permissive,,
61333354,9333001664,0,8616014,,pedestrian,,,False,False,41.792,,"LINESTRING (-71.0925402 42.3602647, -71.0926284 42.3604202, -71.0927356 42.3606117)",,,permissive,,
61333354,61333464,0,43250216,North Corridor,pedestrian,,,False,True,63.628,,"LINESTRING (-71.0925402 42.3602647, -71.0926211 42.3602375, -71.0932112 42.3600395, -71.0932453 42.3600281)",,,permissive,,
61333464,542892906,0,43250216,North Corridor,pedestrian,,,False,True,12.492,,"LINESTRING (-71.0932453 42.3600281, -71.0933837 42.3599816)",,,permissive,,
61333464,9333001658,0,8615988,,service,,,False,True,53.748999999999995,,"LINESTRING (-71.0932453 42.3600281, -71.0932655 42.36006, -71.0935226 42.3604659)",,,,,
61333464,61333354,0,43250216,North Corridor,pedestrian,,,False,False,63.628,,"LINESTRING (-71.0932453 42.3600281, -71.0932112 42.3600395, -71.0926211 42.3602375, -71.0925402 42.3602647)",,,permissive,,
267542180,61317286,0,28631895,Vassar Street,tertiary,,17.1,False,False,22.974,2,"LINESTRING (-71.0930107 42.3610639, -71.0927767 42.361177)",,,,,
267542180,61317287,0,28631895,Vassar Street,tertiary,,17.1,False,True,68.631,2,"LINESTRING (-71.0930107 42.3610639, -71.0937097 42.360726)",,,,,
267542180,11178027117,0,43359951,,service,,,True,False,5.385,,"LINESTRING (-71.0930107 42.3610639, -71.0929819 42.3610204)",,,permissive,,
269557844,9333001664,0,8616014,,pedestrian,,,False,True,5.058,,"LINESTRING (-71.0927605 42.3606533, -71.0927356 42.3606117)",,,permissive,,
269557844,545574528,0,43359950,,service,,,True,False,22.503999999999998,,"LINESTRING (-71.0927605 42.3606533, -71.0926359 42.3606912, -71.0925072 42.3607303)",,,permissive,,
269557844,9333001658,0,1011548268,,footway,,,False,True,70.684,,"LINESTRING (-71.0927605 42.3606533, -71.0928314 42.3606312, -71.0928553 42.3606675, -71.0928824 42.3606748, -71.0935226 42.3604659)",,,,,
313974302,3577823034,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,8.481,2,"LINESTRING (-71.0853101 42.3607963, -71.0852161 42.3608278)",,,,,
313974302,61322085,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,6.514,2,"LINESTRING (-71.0853101 42.3607963, -71.0853823 42.3607721)",,,,,
313974302,7625870400,0,28585443,Fowler Lane,service,,,False,False,6.903,2,"LINESTRING (-71.0853101 42.3607963, -71.0852791 42.3607386)",,driveway,,,
365389797,11014605514,0,1185795811,,footway,,,False,False,5.032,,"LINESTRING (-71.0925619 42.3612795, -71.0925295 42.3612411)",,,,,
365389797,621117489,0,28631895,Vassar Street,tertiary,,17.1,False,False,105.041,2,"LINESTRING (-71.0925619 42.3612795, -71.0921589 42.3614859, -71.092039 42.3615451, -71.0919502 42.3615856, -71.0915035 42.3618092)",,,,,
365389797,61317286,0,28631895,Vassar Street,tertiary,,17.1,False,True,21.019,2,"LINESTRING (-71.0925619 42.3612795, -71.0926291 42.3612442, -71.0927767 42.361177)",,,,,
365389797,7862116650,0,"[32500315, 1185795811]",,footway,,,False,True,8.358,,"LINESTRING (-71.0925619 42.3612795, -71.0925999 42.3613174, -71.0926205 42.3613409)",,,,,
365391365,7866981444,0,32500315,,footway,,,False,False,6.473,,"LINESTRING (-71.093427 42.3620144, -71.0933851 42.3619651)",,,,,
365770891,4013234601,0,"[32526481, 398575654]",,"['corridor', 'footway']",,,False,"[False, True]",23.277,,"LINESTRING (-71.0886277 42.3611466, -71.0886195 42.3610112, -71.0886202 42.3609374)",,,permissive,yes,
367777196,5674284656,0,"[43250281, 1011548274, 398551741]",,"['corridor', 'footway']",,,False,False,261.072,,"LINESTRING (-71.0919942 42.3612286, -71.0921425 42.3611785, -71.092237 42.3611284, -71.092335 42.3610974, -71.0925748 42.3610034, -71.0929419 42.3608865, -71.0929032 42.3608176, -71.0929285 42.3608079, -71.0935522 42.3606003, -71.093647 42.3605694, -71.093979 42.360409, -71.0939377 42.3603386, -71.0937003 42.3599513, -71.0936691 42.3599598, -71.0936588 42.3599446, -71.0936284 42.3598972)",,,permissive,yes,
367777196,4013000092,0,398551741,,corridor,,,False,True,48.745000000000005,,"LINESTRING (-71.0919942 42.3612286, -71.0918765 42.3612666, -71.0918256 42.3613685, -71.0915353 42.3614641)",,,permissive,,
367777196,9765409678,0,"[398557881, 1011548287]",,"['corridor', 'footway']",,,False,False,24.332,,"LINESTRING (-71.0919942 42.3612286, -71.0919361 42.3611404, -71.0917774 42.3611187, -71.0917754 42.3611187)",,,permissive,,
367777196,7896983869,0,"[398575655, 1189430215]",,"['corridor', 'footway']",,,False,False,26.331,,"LINESTRING (-71.0919942 42.3612286, -71.0919963 42.3612935, -71.0920154 42.3614648)",,,permissive,,
436587028,7885595504,0,434976073,,pedestrian,,,False,True,6.327,,"LINESTRING (-71.0883205 42.3611201, -71.088396 42.3611089)",,,permissive,,
436587028,61283361,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,False,148.33799999999997,2,"LINESTRING (-71.0883205 42.3611201, -71.0883303 42.361142, -71.0883391 42.3611637, -71.0883468 42.3611877, -71.0883515 42.3612152, -71.0883529 42.3612431, -71.0883515 42.3612677, -71.0883501 42.3612947, -71.088349 42.3613221, -71.0881927 42.3624196, -71.0881874 42.3624447)",,,,,
