element_type,osmid,geometry,source,building,name,nodes,name:en,name:ja,ref,amenity,atm,brand,brand:en,brand:wikidata,brand:wikipedia,operator,source:name,leisure,opening_hours,tourism,fast_food,internet_access,internet_access:fee,internet_access:ssid,takeaway,shop,ways,name:zh,type,name_1
way,140265574,"POLYGON ((118.8495739 32.0339744, 118.8495779 32.0340947, 118.8500903 32.0340947, 118.8500824 32.0339744, 118.8495739 32.0339744))",bing,apartments,,"[1536890733, 1536890740, 1536890742, 1536890735, 1536890733]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265575,"POLYGON ((118.8490379 32.0342551, 118.8490418 32.0343754, 118.8495542 32.0343754, 118.8495463 32.0342551, 118.8490379 32.0342551))",bing,apartments,,"[1536890743, 1536890754, 1536890756, 1536890745, 1536890743]",,,6,,,,,,,,,,,,,,,,,,,,,
way,140265576,"POLYGON ((118.8509554 32.0296646, 118.8518751 32.0296646, 118.851864 32.0298205, 118.8514314 32.0298213, 118.8509721 32.0298158, 118.8509554 32.0296646))",bing,yes,综合实验楼,"[1536890626, 1536890628, 1536890634, 1757205466, 1536890633, 1536890626]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265577,"POLYGON ((118.8490768 32.0351844, 118.8490779 32.0353013, 118.849671 32.0352973, 118.8496699 32.0351803, 118.8490768 32.0351844))",bing,apartments,,"[1536890821, 1536890831, 1536890833, 1536890824, 1536890821]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265578,"POLYGON ((118.8479434 32.0358709, 118.8479447 32.0359913, 118.8484552 32.0359874, 118.8484539 32.035867, 118.8479434 32.0358709))",bing,apartments,,"[1536890900, 1536890929, 1536890931, 1536890903, 1536890900]",,,,,,,,,,,,,,,,,,,,,,,,
way,154993545,"POLYGON ((118.8472379 32.0273861, 118.8472348 32.0274804, 118.8478832 32.0274961, 118.8478863 32.0274018, 118.8472379 32.0273861))",bing,yes,,"[1674420174, 1674420186, 1674420187, 1674420175, 1674420174]",,,,,,,,,,,,,,,,,,,,,,,,
way,154993547,"POLYGON ((118.8472405 32.0271168, 118.8472432 32.0272111, 118.8477803 32.027218, 118.8477884 32.0271237, 118.8472405 32.0271168))",bing,yes,,"[1674420160, 1674420168, 1674420169, 1674420164, 1674420160]",,,,,,,,,,,,,,,,,,,,,,,,
way,154993549,"POLYGON ((118.8463863 32.0271871, 118.846389 32.0272814, 118.8470482 32.0272883, 118.8470563 32.027194, 118.8463863 32.0271871))",bing,yes,,"[1674420156, 1674420165, 1674420166, 1674420158, 1674420156]",,,,,,,,,,,,,,,,,,,,,,,,
way,154993550,"POLYGON ((118.8463594 32.0274632, 118.8463621 32.0275575, 118.8470131 32.0275644, 118.8470213 32.0274701, 118.8463594 32.0274632))",bing,yes,,"[1674420171, 1674420177, 1674420179, 1674420172, 1674420171]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894738,"POLYGON ((118.8518243 32.0316769, 118.8517748 32.0317365, 118.8517614 32.0318029, 118.8517633 32.0318693, 118.851792 32.031939, 118.8518321 32.0319892, 118.8518741 32.032028, 118.8519314 32.0320556, 118.8519868 32.0320734, 118.8520652 32.0320831, 118.852132 32.0320799, 118.852197 32.0320604, 118.85226 32.0320216, 118.8523154 32.0319713, 118.8523498 32.0319082, 118.8524243 32.0319341, 118.852453 32.0318936, 118.8524549 32.0318434, 118.8524492 32.0315794, 118.8523422 32.031581, 118.8523384 32.0315308, 118.8522734 32.0315324, 118.8522715 32.0314741, 118.8522008 32.0314693, 118.8521301 32.0314433, 118.8519907 32.0314433, 118.8519181 32.0314676, 118.8517537 32.0314676, 118.8517557 32.0316588, 118.8518243 32.0316769))",bing,yes,学术交流中心,"[1710185684, 1710185686, 1710185688, 1710185698, 1710185703, 1710185706, 1710185708, 1710185713, 1710185717, 1710185723, 1710185725, 1710185719, 1710185707, 1710185705, 1710185700, 1710185704, 1710185701, 1710185696, 1710185681, 1710185680, 1710185679, 1710185678, 1710185677, 1710185676, 1710185661, 1710185660, 1710185663, 1710185662, 1710185682, 1710185684]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894740,"POLYGON ((118.8515734 32.0348852, 118.8515774 32.0350055, 118.852333 32.0349871, 118.8523251 32.0348668, 118.8515734 32.0348852))",bing,apartments,,"[1710185812, 1710185816, 1710185814, 1710185810, 1710185812]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894742,"POLYGON ((118.852561 32.0340549, 118.852565 32.0341752, 118.8531773 32.0341637, 118.8531694 32.0340434, 118.852561 32.0340549))",bing,apartments,,"[1710185743, 1710185759, 1710185756, 1710185745, 1710185743]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894744,"POLYGON ((118.8516032 32.0357028, 118.8516072 32.0358231, 118.8523627 32.0358048, 118.8523548 32.0356845, 118.8516032 32.0357028))",bing,apartments,,"[1710185845, 1710185861, 1710185857, 1710185844, 1710185845]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894746,"POLYGON ((118.8515586 32.0343045, 118.8515626 32.0344248, 118.8521749 32.0344134, 118.852167 32.0342931, 118.8515586 32.0343045))",bing,apartments,,"[1710185765, 1710185780, 1710185783, 1710185771, 1710185765]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894747,"POLYGON ((118.8515491 32.0345897, 118.8515531 32.03471, 118.8523087 32.0346917, 118.8523008 32.0345714, 118.8515491 32.0345897))",bing,apartments,,"[1710185794, 1710185805, 1710185803, 1710185791, 1710185794]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894748,"POLYGON ((118.8515923 32.0354165, 118.8515963 32.0355368, 118.8523519 32.0355185, 118.852344 32.0353982, 118.8515923 32.0354165))",bing,apartments,,"[1710185841, 1710185843, 1710185842, 1710185840, 1710185841]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894750,"POLYGON ((118.8515424 32.0340274, 118.8515464 32.0341477, 118.8521587 32.0341362, 118.8521508 32.0340159, 118.8515424 32.0340274))",bing,apartments,,"[1710185739, 1710185752, 1710185749, 1710185738, 1710185739]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894751,"POLYGON ((118.8515869 32.0351371, 118.8515909 32.0352574, 118.8523465 32.0352391, 118.8523386 32.0351188, 118.8515869 32.0351371))",bing,apartments,,"[1710185833, 1710185838, 1710185836, 1710185831, 1710185833]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894752,"POLYGON ((118.8525718 32.0343114, 118.8525758 32.0344317, 118.8531881 32.0344202, 118.8531802 32.0342999, 118.8525718 32.0343114))",bing,apartments,,"[1710185777, 1710185788, 1710185786, 1710185772, 1710185777]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894754,"POLYGON ((118.8525785 32.034592, 118.8525825 32.0347123, 118.8531949 32.0347008, 118.853187 32.0345805, 118.8525785 32.034592))",bing,apartments,,"[1710185802, 1710185807, 1710185804, 1710185801, 1710185802]",,,,,,,,,,,,,,,,,,,,,,,,
way,158894755,"POLYGON ((118.8532929 32.0322799, 118.853626 32.0322742, 118.8536208 32.0320554, 118.8532877 32.032061, 118.8532929 32.0322799))",bing,yes,紫鹿宾馆,"[1464752932, 1710185727, 1710185715, 1710185721, 1464752932]",Zilu Hotel,,,,,,,,,,,,,guest_house,,,,,,,,,,
