element_type,osmid,nodes,amenity,building,cuisine,name,geometry,name:en,leisure,int_name,building:levels,shop,ways,type
way,891002811,"[8281285338, 8281285279, 8281285832, 8281285379, 8281285338]",,residential,,,"POLYGON ((117.1587646 39.1067897, 117.1587644 39.1067466, 117.1588548 39.1067465, 117.1588549 39.1067896, 117.1587646 39.1067897))",,,,,,,
way,891002812,"[8281286045, 8281285591, 8281285749, 8281285296, 8281286045]",,residential,,,"POLYGON ((117.1590296 39.1065373, 117.1589834 39.1065372, 117.1589833 39.1065665, 117.1590296 39.1065665, 117.1590296 39.1065373))",,,,,,,
way,891002813,"[8281241297, 8281285652, 8281285198, 8281285140, 8281241297]",,residential,,,"POLYGON ((117.1575005 39.106181, 117.1574999 39.1062259, 117.1575448 39.1062263, 117.1575453 39.1061813, 117.1575005 39.106181))",,,,,,,
way,891002814,"[8281285666, 8281285213, 8281285766, 8281285708, 8281285666]",,residential,,,"POLYGON ((117.1577054 39.1059552, 117.1577053 39.1059959, 117.1577492 39.105996, 117.1577493 39.1059552, 117.1577054 39.1059552))",,,,,,,
way,891002816,"[8281285136, 8281285294, 8281285847, 8281285393, 8281285136]",,residential,,,"POLYGON ((117.1591164 39.1057214, 117.1590932 39.1057214, 117.1590934 39.1057464, 117.1591166 39.1057463, 117.1591164 39.1057214))",,,,,,,
way,891002817,"[8281285769, 8281285315, 8281285868, 8281285232, 8281285785, 8281285331, 8281285884, 8281286038, 8281285769]",,residential,,,"POLYGON ((117.1601278 39.1071999, 117.1601264 39.1069337, 117.1599806 39.1069341, 117.1599814 39.1070873, 117.1598827 39.1070876, 117.1595449 39.1070887, 117.1595456 39.1072019, 117.1598827 39.1072007, 117.1601278 39.1071999))",,,,,,,
way,891002818,"[8281285998, 8281285363, 8281285461, 8281286013, 8281285163, 8281285718, 8281285264, 8281285676, 8281285608, 8281285817, 8281285998]",,residential,,,"POLYGON ((117.1593738 39.10549, 117.1593738 39.1054841, 117.159371 39.1054842, 117.1593246 39.1054845, 117.1592261 39.1054852, 117.1592261 39.1054865, 117.1592262 39.10549, 117.159227 39.1055639, 117.1593063 39.1055633, 117.1593747 39.1055628, 117.1593738 39.10549))",,,,,,,
way,891002819,"[8281285933, 8281285752, 8281285381, 8281285910, 8281241257, 8281285933]",,residential,,,"POLYGON ((117.1598173 39.1061087, 117.1597208 39.1061093, 117.1597211 39.1061434, 117.159723 39.1063317, 117.1598195 39.1063311, 117.1598173 39.1061087))",,,,,,,
way,891002820,"[8281285501, 8281285659, 8281285205, 8281285759, 8281285501]",,residential,,,"POLYGON ((117.157538 39.1051942, 117.1575394 39.1052282, 117.1576139 39.1052264, 117.1576126 39.1051924, 117.157538 39.1051942))",,,,,,,
way,891002821,"[8281285377, 8281285930, 8281241277, 8281285631, 8281285177, 8281285732, 8281285675, 8281285221, 8281285774, 8281285377]",,residential,,,"POLYGON ((117.1590072 39.1057142, 117.1590087 39.1057142, 117.1590081 39.1055857, 117.1583291 39.1055879, 117.1583297 39.1057119, 117.1583334 39.1057119, 117.1583336 39.1057343, 117.1584124 39.105734, 117.1590073 39.1057321, 117.1590072 39.1057142))",,,,,,,
way,891002824,"[8281285734, 8281285248, 8281285801, 8281285347, 8281285734]",,residential,,,"POLYGON ((117.1579828 39.106776, 117.1579826 39.1067478, 117.1580674 39.1067477, 117.1580675 39.1067758, 117.1579828 39.106776))",,,,,,,
way,891002825,"[8281285431, 8281285983, 8281285927, 8281285472, 8281285431]",,residential,,,"POLYGON ((117.1577073 39.1065385, 117.1577069 39.1066464, 117.1583124 39.1066479, 117.1583128 39.1065399, 117.1577073 39.1065385))",,,,,,,
way,891002826,"[8281285142, 8281285697, 8281285853, 8281285399, 8281285142]",,residential,,,"POLYGON ((117.1584593 39.1058388, 117.1584236 39.1058392, 117.158424 39.105871, 117.1584597 39.1058706, 117.1584593 39.1058388))",,,,,,,
way,891002827,"[8281241253, 8281285608, 8281285154, 8281285676, 8281285222, 8281285775, 8281241253]",,residential,,,"POLYGON ((117.1593072 39.1056448, 117.1593063 39.1055633, 117.1592801 39.1055635, 117.159227 39.1055639, 117.1592279 39.1056384, 117.159228 39.1056454, 117.1593072 39.1056448))",,,,,,,
way,891002829,"[8281285531, 8281285691, 8281285237, 8281285790, 8281285336, 8281285857, 8281285403, 8281285531]",,residential,,,"POLYGON ((117.159704 39.1057927, 117.1597035 39.1057322, 117.1592825 39.1057343, 117.1592826 39.1057485, 117.1592487 39.1057486, 117.1592491 39.105795, 117.1592833 39.1057949, 117.159704 39.1057927))",,,,,,,
way,891002830,"[8281241270, 8281285230, 8281285783, 8281285329, 8281241270]",,residential,,,"POLYGON ((117.158991 39.105293, 117.1589569 39.1052931, 117.1589569 39.1053169, 117.158991 39.1053169, 117.158991 39.105293))",,,,,,,
way,891002831,"[8281286010, 8281285557, 8281241302, 8281285657, 8281285814, 8281285360, 8281285913, 8281285458, 8281285830, 8281286010]",,residential,,,"POLYGON ((117.1599833 39.1062426, 117.1599454 39.1062429, 117.1598827 39.1062433, 117.1598769 39.1062433, 117.1598774 39.1062827, 117.1598824 39.1062826, 117.159883 39.1063423, 117.1601215 39.1063407, 117.1601204 39.1062418, 117.1599833 39.1062426))",,,,,,,
