element_type,osmid,building,name,geometry,nodes,amenity,fast_food,tourism,ways,type,layer,office,addr:city,addr:province
way,457409427,university,马克思主义学院,"POLYGON ((117.1421764 34.2189526, 117.1422058 34.2189323, 117.1422509 34.2187044, 117.1414242 34.2192355, 117.1415452 34.2193642, 117.1416096 34.2193224, 117.1416643 34.2192861, 117.1420723 34.2190186, 117.1421764 34.2189526))","[4535621132, 4535621129, 2784769936, 4535621134, 4535621131, 4535621126, 4535621124, 4535621123, 4535621132]",,,,,,,,,
way,457409428,university,文法外文学院,"POLYGON ((117.1423887 34.2191814, 117.1422846 34.2192474, 117.141879 34.2195078, 117.1418242 34.2195441, 117.1416184 34.2196757, 117.1417531 34.2198192, 117.1426446 34.2192466, 117.1425099 34.2191032, 117.1423887 34.2191814))","[4535621121, 4535621122, 4535621125, 4535621128, 4535621127, 4535621133, 4535621135, 4535621130, 4535621121]",,,,,,,,,
way,927170642,apartments,研究生宿舍楼,"POLYGON ((117.133353 34.2098053, 117.1343524 34.2094036, 117.1339601 34.2087857, 117.1329771 34.209224, 117.133353 34.2098053))","[8602650544, 8602650545, 8602650546, 8602650547, 8602650544]",,,,,,,,,
way,927170643,school,力行楼,"POLYGON ((117.1352233 34.2100322, 117.1352467 34.209534, 117.1350365 34.2091671, 117.1347423 34.2092926, 117.1344248 34.2087306, 117.1355806 34.2082595, 117.1360569 34.2090473, 117.1358982 34.2091574, 117.1360359 34.2093814, 117.1362017 34.209364, 117.1361784 34.2096305, 117.1360196 34.2096479, 117.1359799 34.2097715, 117.1356903 34.2097908, 117.1356647 34.2100515, 117.1352233 34.2100322))","[8602650548, 8602650549, 8602650550, 8602650551, 8602650552, 8602650553, 8602650554, 8602650555, 8602650556, 8602650557, 8602650558, 8602650559, 8602650560, 8602650561, 8602650562, 8602650548]",,,,,,,,,
way,932901059,hospital,,"POLYGON ((117.1315766 34.2143274, 117.1315159 34.2142627, 117.1315777 34.214225, 117.1314995 34.2141333, 117.1314376 34.2141719, 117.1313734 34.2141024, 117.1317003 34.213892, 117.1318358 34.214031, 117.1320342 34.2140068, 117.1320436 34.2141468, 117.1317867 34.2141777, 117.1315766 34.2143274))","[8647689395, 8647689396, 8647689397, 8647689398, 8647689399, 8647689400, 8647689401, 8647689402, 8647689403, 8647689404, 8647689405, 8647689395]",,,,,,,,,
way,932901061,school,体育学院,"POLYGON ((117.1368577 34.2208806, 117.1363536 34.2203882, 117.1370244 34.219973, 117.137498 34.2204772, 117.1368577 34.2208806))","[8647689410, 8647689411, 8647689412, 8647689413, 8647689410]",,,,,,,,,
way,932901064,school,,"POLYGON ((117.1420141 34.2202739, 117.1419605 34.2200576, 117.1418357 34.2199501, 117.1419993 34.2198469, 117.1420771 34.2199512, 117.1425358 34.2196296, 117.1426404 34.2197405, 117.1421643 34.220031, 117.1421858 34.2201253, 117.1427986 34.2199612, 117.1429851 34.2200865, 117.1420141 34.2202739))","[8647719826, 8647719827, 8647719828, 8647719829, 8647719830, 8647719831, 8647719832, 8647719833, 8647719834, 8647719835, 8647719836, 8647719826]",,,,,,,,,
relation,6759027,apartments,竹三宿舍楼,"POLYGON ((117.1346349 34.2133722, 117.1346357 34.2128441, 117.1338752 34.2128433, 117.1338744 34.2133714, 117.1346349 34.2133722), (117.1339457 34.213217, 117.133946 34.2129891, 117.1345365 34.2129898, 117.1345361 34.2132176, 117.1339457 34.213217))","[[[2784813039, 2784813040, 2784813041, 2784813042, 2784813039], [4535620325, 4535620323, 4535620324, 2784777350, 4535620325]]]",,,,"[273646462, 457409346]",multipolygon,,,,
relation,6759028,apartments,竹四宿舍楼,"POLYGON ((117.1333749 34.2133835, 117.1333764 34.2128269, 117.1325919 34.2128254, 117.1325904 34.2133821, 117.1333749 34.2133835), (117.1327036 34.2132276, 117.1327042 34.2130024, 117.1332788 34.2130035, 117.1332782 34.2132287, 117.1327036 34.2132276))","[[[4535620328, 4535620326, 4535620327, 2784777807, 4535620328], [2784813469, 2784813471, 2784813474, 2784813475, 2784813469]]]",,,,"[457409347, 273646466]",multipolygon,,,,
relation,6759029,apartments,竹一宿舍楼,"POLYGON ((117.1346739 34.2141499, 117.1346778 34.2136324, 117.1338609 34.2136281, 117.133857 34.2141456, 117.1346739 34.2141499), (117.1339628 34.2139953, 117.1339645 34.2137678, 117.134567 34.2137709, 117.1345653 34.2139985, 117.1339628 34.2139953))","[[[2784811745, 2784811746, 2784811747, 2784811748, 2784811745], [4535620331, 4535620329, 4535620330, 2784777090, 4535620331]]]",,,,"[273646349, 457409348]",multipolygon,,,,
