u,v,key,osmid,highway,service,access,oneway,reversed,length,geometry,lanes,name,maxspeed,tunnel,bridge
244355188,244355187,0,22763171,service,,,True,False,21.741999999999997,"LINESTRING (-76.6201866 39.3322353, -76.6201879 39.3322913, -76.6201973 39.3323354, -76.6202161 39.3323805, -76.6202476 39.3324212)",,,,,
244355192,8325233515,0,455630112,footway,,,False,True,4.644,"LINESTRING (-76.6203415 39.3320408, -76.6203191 39.3320028)",,,,,
244355192,244355188,0,22763171,service,,,True,False,26.991,"LINESTRING (-76.6203415 39.3320408, -76.6202898 39.3320631, -76.6202489 39.3320916, -76.6202174 39.33213, -76.6201933 39.3321803, -76.6201866 39.3322353)",,,,,
244355204,4519934764,0,22763171,service,,,True,False,10.79,"LINESTRING (-76.6205118 39.3324907, -76.6205701 39.3324676, -76.6206157 39.3324375)",,,,,
244357722,244357723,0,455630112,footway,,,False,False,7.619,"LINESTRING (-76.6199997 39.3310767, -76.6200049 39.3311451)",,,,,
244357722,8303170136,0,455630112,footway,,,False,True,11.177,"LINESTRING (-76.6199997 39.3310767, -76.6199853 39.3309768)",,,,,
244357722,244453061,0,22770672,footway,,,False,True,29.866,"LINESTRING (-76.6199997 39.3310767, -76.6199002 39.331079, -76.6197919 39.331056, -76.6196688 39.3310124)",,,,,
244357723,4519935157,0,455610475,footway,,,False,False,13.561,"LINESTRING (-76.6200049 39.3311451, -76.6201624 39.3311395)",,,,,
244357723,4519817393,0,455630112,footway,,,False,False,2.495,"LINESTRING (-76.6200049 39.3311451, -76.6200066 39.3311675)",,,,,
244357723,244357722,0,455630112,footway,,,False,True,7.619,"LINESTRING (-76.6200049 39.3311451, -76.6199997 39.3310767)",,,,,
244453009,2044048491,0,455600030,footway,,,False,False,54.416,"LINESTRING (-76.6182661 39.3296476, -76.6184363 39.3297939, -76.6185577 39.3298885, -76.6186899 39.3300106)",,,,,
244453009,2044048415,0,"[22770662, 987164789, 987164790, 987164791, 987164792, 987164793, 987164794, 455600030, 962901823]","['steps', 'footway']",,,False,True,34.341,"LINESTRING (-76.6182661 39.3296476, -76.6182556 39.3296379, -76.6182287 39.3296121, -76.6182193 39.3296024, -76.6181951 39.329576, -76.6181876 39.3295664, -76.6181682 39.3295382, -76.6181434 39.3295021, -76.6180456 39.3294414, -76.6180066 39.3294191)",,,,,
244453009,4519817363,0,"[991772973, 991337887]",footway,,,False,True,40.01,"LINESTRING (-76.6182661 39.3296476, -76.6183077 39.3296585, -76.6183553 39.329671, -76.618421 39.3296839, -76.618478 39.3296912, -76.6185397 39.3296933, -76.6185987 39.3296912, -76.6186584 39.3296829, -76.6187201 39.3296699)",,,,,
244453016,4520038589,0,22975998,footway,,,False,True,19.236,"LINESTRING (-76.6189382 39.3306737, -76.6189487 39.3308465)",,,,,
244453016,4520038549,0,455600030,footway,,,False,True,18.734,"LINESTRING (-76.6189382 39.3306737, -76.6189281 39.3305054)",,,,,
244453016,9159493715,0,991347251,footway,,,False,False,6.166,"LINESTRING (-76.6189382 39.3306737, -76.6188666 39.3306765)",,,,,
244453016,244453017,0,22770663,footway,,,False,False,20.446,"LINESTRING (-76.6189382 39.3306737, -76.6189763 39.3306598, -76.6190181 39.3306386, -76.619075 39.3305975, -76.6191214 39.3305593)",,,,,
244453016,244453058,0,22770672,footway,,,False,False,19.697,"LINESTRING (-76.6189382 39.3306737, -76.6190076 39.3307068, -76.6190759 39.3307383, -76.6191325 39.3307674)",,,,,
244453017,244453018,0,22770663,footway,,,False,False,18.779,"LINESTRING (-76.6191214 39.3305593, -76.6192163 39.3304072)",,,,,
244453017,244453016,0,22770663,footway,,,False,True,20.446,"LINESTRING (-76.6191214 39.3305593, -76.619075 39.3305975, -76.6190181 39.3306386, -76.6189763 39.3306598, -76.6189382 39.3306737)",,,,,
