u,v,key,osmid,highway,access,oneway,reversed,length,name,geometry,bridge,tunnel,maxspeed,service,width
371156207,9740794048,0,105431232,service,permissive,False,False,63.32,,"LINESTRING (116.3243713 40.0034826, 116.3251138 40.0035106)",,,,,
371156207,9078358437,0,981469701,footway,,False,False,88.128,,"LINESTRING (116.3243713 40.0034826, 116.3244456 40.0036196, 116.3244093 40.0042632)",,,,,
371156304,2354503214,0,32954667,residential,permissive,False,False,48.294,,"LINESTRING (116.3162178 40.0097067, 116.3167467 40.0098633)",,,,,
371156304,9807086278,0,32954667,residential,permissive,False,True,148.72,,"LINESTRING (116.3162178 40.0097067, 116.314483 40.0095542)",,,,,
371156304,371156340,0,32954671,service,permissive,False,True,87.697,,"LINESTRING (116.3162178 40.0097067, 116.3162596 40.0093777, 116.316334 40.009081, 116.3163724 40.0089278)",,,,,
371156332,9076463204,0,981212922,service,,False,False,159.591,,"LINESTRING (116.3167014 40.0064027, 116.314831 40.0063171)",,,,,
371156332,371156376,0,1061664027,service,permissive,False,True,84.294,,"LINESTRING (116.3167014 40.0064027, 116.3172355 40.0064305, 116.3176896 40.0064188)",,,,,
371156340,371156332,0,1061664026,service,permissive,True,False,282.173,,"LINESTRING (116.3163724 40.0089278, 116.3167014 40.0064027)",,,,,
371156340,371156304,0,32954671,service,permissive,False,False,87.697,,"LINESTRING (116.3163724 40.0089278, 116.316334 40.009081, 116.3162596 40.0093777, 116.3162178 40.0097067)",,,,,
371156340,371156179,0,79793754,service,permissive,False,False,109.293,,"LINESTRING (116.3163724 40.0089278, 116.3169238 40.0090747, 116.3176217 40.0091103)",,,,,
371156376,2353988155,0,32954651,service,permissive,False,True,22.803,,"LINESTRING (116.3176896 40.0064188, 116.3177058 40.0062141)",,,,,
371156376,2356772003,0,84727247,service,permissive,True,False,104.642,,"LINESTRING (116.3176896 40.0064188, 116.3176667 40.0073597)",,,,,
371156376,945107456,0,32954685,service,permissive,False,False,121.479,,"LINESTRING (116.3176896 40.0064188, 116.3188488 40.0064718, 116.3190862 40.006562)",,,,,
371156376,371156332,0,1061664027,service,permissive,False,False,84.294,,"LINESTRING (116.3176896 40.0064188, 116.3172355 40.0064305, 116.3167014 40.0064027)",,,,,
371156382,943400118,0,80342127,service,permissive,False,False,46.435,,"LINESTRING (116.3212417 40.0065743, 116.3217863 40.0065938)",,,,,
371156382,976492093,0,743595613,unclassified,permissive,False,False,19.46,学堂路,"LINESTRING (116.3212417 40.0065743, 116.3212282 40.006749)",,,,,
371156382,10188912099,0,743595613,unclassified,permissive,False,True,38.29,学堂路,"LINESTRING (116.3212417 40.0065743, 116.3212621 40.006267, 116.3212648 40.0062304)",,,,,
371156463,371156930,0,83785675,service,permissive,False,False,82.585,,"LINESTRING (116.3178163 39.9970584, 116.3177845 39.9963161)",,,,,
371156463,380422646,0,83785675,service,permissive,False,True,53.769,,"LINESTRING (116.3178163 39.9970584, 116.3178368 39.9975417)",,,,,
371156463,2354372311,0,226669477,service,,False,False,67.303,,"LINESTRING (116.3178163 39.9970584, 116.3186032 39.9970041)",,,,,
371156465,2354395618,0,32954719,residential,permissive,False,True,83.325,,"LINESTRING (116.3181961 39.994425, 116.3191606 39.9945497)",,,,,
371156465,2354395904,0,83785675,service,permissive,False,True,159.234,,"LINESTRING (116.3181961 39.994425, 116.3178838 39.9958369)",,,,,
371156465,9751723250,0,226625491,service,,False,False,390.818,,"LINESTRING (116.3181961 39.994425, 116.3183159 39.9933529, 116.3151421 39.993166)",,,,,
371156465,371156466,0,"[1031396020, 1061382588, 1061382589]","['residential', 'service']",,False,True,180.378,,"LINESTRING (116.3181961 39.994425, 116.3177008 39.9943697, 116.3175102 39.9943575, 116.3168762 39.9943206, 116.3162041 39.9942806, 116.316089 39.9942717)",,,,,
371156466,2354058500,0,1062021907,unclassified,permissive,False,False,208.031,熙春路,"LINESTRING (116.316089 39.9942717, 116.315947 39.9961394)",,,,,
371156466,371156465,0,"[1061382588, 1031396020, 1061382589]","['residential', 'service']",,False,False,180.37800000000001,,"LINESTRING (116.316089 39.9942717, 116.3162041 39.9942806, 116.3168762 39.9943206, 116.3175102 39.9943575, 116.3177008 39.9943697, 116.3181961 39.994425)",,,,,
371156466,9505852965,0,1031396020,residential,,False,True,90.03399999999999,,"LINESTRING (116.316089 39.9942717, 116.3158948 39.9942599, 116.3150358 39.9942041)",,,,,
371156467,380418838,0,22799951,unclassified,permissive,False,False,251.102,清华路,"LINESTRING (116.3157305 39.9987335, 116.3127872 39.9986084)",,,,,
371156467,10702142580,0,33431801,unclassified,permissive,False,False,5.151,熙春路,"LINESTRING (116.3157305 39.9987335, 116.3157286 39.9987798)",,,,,
371156467,10702142589,0,33431801,unclassified,permissive,False,True,5.661,熙春路,"LINESTRING (116.3157305 39.9987335, 116.3157316 39.9986826)",,,,,
371156467,975579502,0,22799951,unclassified,permissive,False,True,234.50400000000002,清华路,"LINESTRING (116.3157305 39.9987335, 116.3159846 39.9987486, 116.316256 39.9987883, 116.3164578 39.9988433, 116.3166265 39.998901, 116.3167484 39.9989623, 116.3177242 39.9994668, 116.3179372 39.9995585, 116.3181807 39.9996178)",,,,,
371156930,2354395617,0,32954774,unclassified,permissive,False,False,83.549,,"LINESTRING (116.3177845 39.9963161, 116.3187478 39.9964574)",,,,,
371156930,2354058500,0,32954774,unclassified,permissive,False,True,157.756,,"LINESTRING (116.3177845 39.9963161, 116.315947 39.9961394)",,,,,
371156930,2354395904,0,83785675,service,permissive,False,False,53.952,,"LINESTRING (116.3177845 39.9963161, 116.3178838 39.9958369)",,,,,
371156930,371156463,0,83785675,service,permissive,False,True,82.585,,"LINESTRING (116.3177845 39.9963161, 116.3178163 39.9970584)",,,,,
