element_type,osmid,amenity,geometry,building,name,nodes,building:material,air_conditioning,website,fast_food,name_1,leisure,building:levels
way,378253759,,"POLYGON ((114.347843 30.607441, 114.3478591 30.6073487, 114.3482561 30.6073995, 114.34824 30.6074872, 114.347843 30.607441))",apartments,南18,"[3816574530, 3816574531, 3816574532, 3816574533, 3816574530]",,,,,,,
way,378253760,,"POLYGON ((114.3479074 30.6072148, 114.3479181 30.6071409, 114.3482775 30.6071779, 114.3482775 30.6072471, 114.3479074 30.6072148))",apartments,南19,"[3816574534, 3816574535, 3816574536, 3816574537, 3816574534]",,,,,,,
way,378253761,,"POLYGON ((114.34824 30.6069516, 114.3483258 30.6068731, 114.3487174 30.6071963, 114.3486262 30.6072656, 114.34824 30.6069516))",apartments,南20,"[3816574538, 3816574539, 3816574540, 3816574541, 3816574538]",,,,,,,
way,378253762,,"POLYGON ((114.3484707 30.6067485, 114.3485404 30.6066838, 114.3488944 30.6069516, 114.3488193 30.6070209, 114.3484707 30.6067485))",apartments,南21,"[3816574542, 3816574543, 3816574544, 3816574545, 3816574542]",,,,,,,
way,378253763,,"POLYGON ((114.3487711 30.6067023, 114.3487764 30.6066284, 114.3489749 30.6066469, 114.3489695 30.6067208, 114.3487711 30.6067023))",apartments,南22,"[3816574546, 3816574547, 3816574548, 3816574549, 3816574546]",,,,,,,
way,378253764,,"POLYGON ((114.3484233 30.6063796, 114.3484448 30.6062687, 114.3490349 30.6063426, 114.3490188 30.6064442, 114.3484233 30.6063796))",apartments,南24,"[3816574550, 3816574551, 3816574552, 3816574553, 3816574550]",,,,,,,
way,378253765,,"POLYGON ((114.3484816 30.6061279, 114.348507 30.6060297, 114.349109 30.6061021, 114.3490929 30.6062037, 114.3484816 30.6061279))",apartments,南26,"[3816574554, 3816574555, 3816574556, 3816574557, 3816574554]",,,,,,,
way,378253766,,"POLYGON ((114.3479128 30.6060421, 114.3479235 30.6059636, 114.3481649 30.605982, 114.3481595 30.6060652, 114.3479128 30.6060421))",apartments,南23,"[3816574558, 3816574559, 3816574560, 3816574561, 3816574558]",,,,,,,
way,378253767,,"POLYGON ((114.3484867 30.6058666, 114.3485028 30.6057604, 114.3487442 30.6057927, 114.3487281 30.6058897, 114.3484867 30.6058666))",apartments,南25,"[3816574562, 3816574563, 3816574564, 3816574565, 3816574562]",,,,,,,
way,378270407,,"POLYGON ((114.3495493 30.6076882, 114.3496016 30.6074435, 114.3496839 30.6074628, 114.349639 30.6076302, 114.3498785 30.607656, 114.3499234 30.6074886, 114.3500057 30.6075014, 114.3499458 30.6077461, 114.3495493 30.6076882))",university,,"[3816715769, 3816715770, 3816715771, 3816715772, 3816715773, 3816715774, 3816715775, 3816715776, 3816715769]",,,,,,,
way,378270408,,"POLYGON ((114.3497317 30.6067753, 114.3497467 30.606698, 114.3502106 30.6067495, 114.3501956 30.6068268, 114.3497317 30.6067753))",university,,"[3816715777, 3816715778, 3816715779, 3816715780, 3816715777]",,,,,,,
way,378270409,,"POLYGON ((114.3496816 30.6071091, 114.3497116 30.6069482, 114.3501231 30.6069868, 114.3500931 30.6071478, 114.3496816 30.6071091))",university,,"[3816715781, 3816715782, 3816715783, 3816715784, 3816715781]",,,,,,,
way,378301896,,"POLYGON ((114.3497005 30.6081689, 114.349739 30.6080034, 114.3506928 30.6081491, 114.3506467 30.6084073, 114.3505005 30.6083808, 114.3504467 30.6082815, 114.3497005 30.6081689))",yes,户外锻炼区域,"[3817010717, 3817010718, 3817010719, 3817010720, 3817010721, 3817010722, 3817010717]",,,,,,sports_centre,
way,1073158159,,"POLYGON ((114.35088 30.6115486, 114.3509225 30.6114152, 114.3506805 30.6113743, 114.3506977 30.6112988, 114.3505581 30.6112752, 114.350536 30.6113722, 114.3504941 30.6113759, 114.3504675 30.6114916, 114.3506018 30.6115144, 114.3505929 30.6115534, 114.3508682 30.6116003, 114.35088 30.6115486))",yes,西配楼,"[1708258790, 1708258826, 1708258804, 1708258794, 1708258833, 1708258842, 1708258839, 1708258854, 1708258795, 1708258792, 1708258835, 1708258790]",,,,,,,
way,1216414494,,"POLYGON ((114.3528437 30.6054509, 114.3530917 30.6051897, 114.3532412 30.6052984, 114.3530086 30.605561, 114.3529724 30.6055444, 114.3529439 30.6055663, 114.3528976 30.6055722, 114.3528622 30.605561, 114.3528422 30.6055238, 114.3528483 30.6054894, 114.3528668 30.6054695, 114.3528437 30.6054509))",yes,天象馆,"[11271110517, 11271110518, 11271110519, 11271110520, 11271110526, 11271110521, 11271110527, 11271110522, 11271110523, 11271110524, 11271110525, 11271110517]",cement_block,,,,,,4
