u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
1839505459,3816574575,0,158683121,service,False,True,57.232,交通一路,"LINESTRING (114.3509997 30.6083376, 114.3508915 30.6088438)",,,
1839505459,3904060947,0,387066472,service,False,False,88.588,,"LINESTRING (114.3509997 30.6083376, 114.3519098 30.6084831)",,,
1839508869,3904060949,0,158665763,service,False,True,119.172,,"LINESTRING (114.3534572 30.6098064, 114.3536822 30.6087523)",,,
1839508869,8995273495,0,387066473,service,False,False,52.923,,"LINESTRING (114.3534572 30.6098064, 114.3539972 30.609909)",,,
1839508869,1708312730,0,387066473,service,False,True,6.397,,"LINESTRING (114.3534572 30.6098064, 114.3533919 30.6097941)",,,
1839512761,1839513339,0,158668873,service,False,True,45.172,,"LINESTRING (114.3514249 30.6063937, 114.3509588 30.6063297)",,,
1839512761,1839516773,0,158683121,service,False,True,72.5,交通一路,"LINESTRING (114.3514249 30.6063937, 114.3512784 30.6070334)",,,
1839512761,8995283719,0,387066479,service,False,False,20.212,,"LINESTRING (114.3514249 30.6063937, 114.3514589 30.6062143)",,,
1839513338,1839516774,0,158668830,service,False,True,71.126,,"LINESTRING (114.3503921 30.6062466, 114.3502577 30.6068757)",,,
1839513338,1839513339,0,158668873,service,False,False,55.017,,"LINESTRING (114.3503921 30.6062466, 114.3509588 30.6063297)",,,
1839513338,1839513339,1,"[173122686, 158668830]",service,False,False,200.43,,"LINESTRING (114.3503921 30.6062466, 114.3505259 30.6056206, 114.3509106 30.6056652, 114.3511841 30.6058545, 114.3510268 30.6060161, 114.3509588 30.6063297)",,,
1839513338,3816715767,0,378253769,service,False,False,57.874,,"LINESTRING (114.3503921 30.6062466, 114.3497972 30.6061532)",,,
1839513339,1839512761,0,158668873,service,False,False,45.172,,"LINESTRING (114.3509588 30.6063297, 114.3514249 30.6063937)",,,
1839513339,1839513338,0,158668873,service,False,True,55.017,,"LINESTRING (114.3509588 30.6063297, 114.3503921 30.6062466)",,,
1839513339,1839513338,1,"[173122686, 158668830]",service,False,True,200.43,,"LINESTRING (114.3509588 30.6063297, 114.3510268 30.6060161, 114.3511841 30.6058545, 114.3509106 30.6056652, 114.3505259 30.6056206, 114.3503921 30.6062466)",,,
1839516773,1839512761,0,158683121,service,False,False,72.5,交通一路,"LINESTRING (114.3512784 30.6070334, 114.3514249 30.6063937)",,,
1839516773,11271110514,0,158683121,service,False,True,46.864,交通一路,"LINESTRING (114.3512784 30.6070334, 114.3511898 30.6074479)",,,
1839516773,3816574580,0,173120184,service,False,False,33.119,,"LINESTRING (114.3512784 30.6070334, 114.3509378 30.6069807)",,,
