element_type,osmid,nodes,building,geometry,name,building:levels,amenity,cuisine,fast_food,height,ways,type
way,277568898,"[2820704057, 2820704060, 2820704053, 2820704050, 2820704057]",yes,"POLYGON ((121.5210403 38.8842846, 121.5214923 38.8843432, 121.5215158 38.8842335, 121.5210638 38.8841749, 121.5210403 38.8842846))",,,,,,,,
way,277568930,"[2820704096, 2820704718, 2820704725, 2820704100, 2820704096]",yes,"POLYGON ((121.5178613 38.8847992, 121.5178092 38.8850621, 121.5181453 38.8851025, 121.5181975 38.8848396, 121.5178613 38.8847992))",,,,,,,,
way,277568971,"[2820704811, 2820704818, 2820704805, 2820703695, 2820704811]",yes,"POLYGON ((121.521289 38.8854184, 121.5217459 38.8854777, 121.52177 38.8853653, 121.5213131 38.885306, 121.521289 38.8854184))",,,,,,,,
way,277568993,"[2820704028, 2820704029, 2820704027, 2820704026, 2820704028]",yes,"POLYGON ((121.5291177 38.8837064, 121.5297599 38.8837064, 121.5297599 38.8833426, 121.5291177 38.8833426, 121.5291177 38.8837064))",,,,,,,,
way,277569025,"[2820704064, 2820704072, 2820704059, 2820704055, 2820704064]",yes,"POLYGON ((121.5216005 38.8843697, 121.5221736 38.884444, 121.5221963 38.8843377, 121.5216233 38.8842634, 121.5216005 38.8843697))",,,,,,,,
way,277569053,"[2820704052, 2820704068, 2820704073, 2820704056, 2820704052]",yes,"POLYGON ((121.5178504 38.8842312, 121.5178189 38.8844133, 121.5182042 38.8844537, 121.5182358 38.8842716, 121.5178504 38.8842312))",,0,,,,,,
way,277569101,"[2820704822, 2820704831, 2820704815, 2820704808, 2820704822]",yes,"POLYGON ((121.5219012 38.885512, 121.5223776 38.8855739, 121.522404 38.8854504, 121.5219276 38.8853885, 121.5219012 38.885512))",,,,,,,,
way,277569115,"[2820704835, 2820704842, 2820704826, 2820704819, 2820704835]",yes,"POLYGON ((121.5206659 38.8855929, 121.521137 38.885654, 121.5211605 38.885544, 121.5206894 38.8854828, 121.5206659 38.8855929))",,,,,,,,
way,277569177,"[2820704869, 2820704879, 2820704865, 2820704856, 2820704869]",yes,"POLYGON ((121.5225379 38.8858524, 121.5229922 38.8859114, 121.5230135 38.885812, 121.5225592 38.8857531, 121.5225379 38.8858524))",,,,,,,,
way,277569192,"[2820704093, 2820704098, 2820704091, 2820704089, 2820704093]",yes,"POLYGON ((121.5205566 38.8847802, 121.5210068 38.8848387, 121.5210294 38.8847334, 121.5205791 38.884675, 121.5205566 38.8847802))",,,,,,,,
way,277569208,"[2820704857, 2820704878, 2820704881, 2820704862, 2820704857]",yes,"POLYGON ((121.527415 38.885755, 121.5273994 38.885899, 121.5277875 38.8859246, 121.5278031 38.8857806, 121.527415 38.885755))",,,,,,,,
way,277569266,"[2820704087, 2820704090, 2820704083, 2820704080, 2820704087]",yes,"POLYGON ((121.5216033 38.8846271, 121.5222091 38.8847057, 121.5222319 38.8845994, 121.521626 38.8845208, 121.5216033 38.8846271))",,,,,,,,
way,277569281,"[2820704834, 2820704845, 2820704829, 2820704820, 2820704834]",yes,"POLYGON ((121.5224614 38.8855908, 121.5230974 38.8856733, 121.5231201 38.8855674, 121.5224841 38.8854849, 121.5224614 38.8855908))",,,,,,,,
way,277569285,"[2820703689, 2820703696, 2820703683, 2820703676, 2820703689]",yes,"POLYGON ((121.5219558 38.8852483, 121.522407 38.8853068, 121.5224286 38.8852057, 121.5219775 38.8851472, 121.5219558 38.8852483))",,,,,,,,
way,277569291,"[2820704710, 2820703685, 2820703688, 2820704713, 2820704710]",yes,"POLYGON ((121.518673 38.8849587, 121.5186339 38.8852116, 121.5190192 38.8852477, 121.5190584 38.8849949, 121.518673 38.8849587))",,,,,,,,
way,277569302,"[2820703690, 2820704723, 2820704720, 2820703687, 2820703690]",yes,"POLYGON ((121.5280108 38.8852487, 121.5280235 38.8850761, 121.5278387 38.8850679, 121.527826 38.8852405, 121.5280108 38.8852487))",,,,,,,,
way,277569358,"[2820704855, 2820704866, 2820704853, 2820704841, 2820704855]",yes,"POLYGON ((121.5218164 38.8857503, 121.5224529 38.8858329, 121.5224751 38.885729, 121.5218387 38.8856465, 121.5218164 38.8857503))",,,,,,,,
way,277569365,"[2820704715, 2820704719, 2820704712, 2820704705, 2820704715]",yes,"POLYGON ((121.520357 38.8850228, 121.520669 38.8850632, 121.5206905 38.8849632, 121.5203785 38.8849227, 121.520357 38.8850228))",,,,,,,,
way,277569369,"[2820704065, 2820704086, 2820704088, 2820704071, 2820704065]",yes,"POLYGON ((121.5187796 38.8843929, 121.518724 38.8846211, 121.519041 38.8846679, 121.5190966 38.8844397, 121.5187796 38.8843929))",,,,,,,,
way,277569417,"[2820704046, 2820704049, 2820704043, 2820704036, 2820704046]",yes,"POLYGON ((121.5216224 38.8841016, 121.5221449 38.8841694, 121.522169 38.8840569, 121.5216465 38.8839891, 121.5216224 38.8841016))",,,,,,,,
way,277569418,"[2820704081, 2820704084, 2820704075, 2820704069, 2820704081]",yes,"POLYGON ((121.5210813 38.8845505, 121.5215187 38.8846072, 121.5215431 38.884493, 121.5211057 38.8844363, 121.5210813 38.8845505))",,,,,,,,
way,277569430,"[2820704823, 2820704832, 2820704814, 2820704807, 2820704823]",yes,"POLYGON ((121.5200619 38.8855142, 121.5205445 38.8855768, 121.520573 38.885444, 121.5200903 38.8853814, 121.5200619 38.8855142))",,,,,,,,
way,277569433,"[2820704880, 2820704891, 2820704873, 2820704863, 2820704880]",yes,"POLYGON ((121.5230572 38.8859184, 121.5235363 38.8859805, 121.5235601 38.8858694, 121.523081 38.8858073, 121.5230572 38.8859184))",,,,,,,,
way,277569435,"[2820703677, 2820703684, 2820703673, 2820704717, 2820703677]",yes,"POLYGON ((121.5213628 38.8851504, 121.5217922 38.8852061, 121.5218137 38.8851057, 121.5213843 38.88505, 121.5213628 38.8851504))",,,,,,,,
way,277569525,"[2820704892, 2820704893, 2820704867, 2820704871, 2820704848, 2820704847, 2820704840, 2820704839, 2820704892]",yes,"POLYGON ((121.5240445 38.8859826, 121.5242416 38.8859874, 121.5242476 38.8858406, 121.5250042 38.8858592, 121.5250107 38.8857, 121.5242391 38.8856811, 121.524241 38.8856341, 121.5240588 38.8856297, 121.5240445 38.8859826))",,,,,,,,
way,277569550,"[2820704061, 2820704062, 2820704041, 2820704042, 2820704037, 2820704039, 2820704034, 2820704032, 2820704061]",yes,"POLYGON ((121.528746 38.8843467, 121.528927 38.8843489, 121.5289328 38.884049, 121.5290238 38.88405, 121.5290245 38.8840148, 121.5291962 38.8840169, 121.5291979 38.8839307, 121.5287542 38.8839255, 121.528746 38.8843467))",,,,,,,,
way,300178449,"[3042808437, 3042808438, 3042808439, 4723409942, 4723409943, 3042808442, 3042808443, 3042808444, 3042808445, 3042808446, 3042808447, 3042808448, 3042808437]",university,"POLYGON ((121.5233712 38.8797225, 121.5233765 38.879328, 121.5246118 38.8793381, 121.5246034 38.8799633, 121.5240727 38.879959, 121.5240748 38.8798081, 121.5243958 38.8798107, 121.5244006 38.8794462, 121.5243674 38.8794459, 121.5243662 38.8795335, 121.5235872 38.8795272, 121.523571 38.8797216, 121.5233712 38.8797225))",土木实验3、4号楼,6,,,,,,
way,300180511,"[3042847882, 3042847883, 3042847884, 3042847885, 3042847882]",yes,"POLYGON ((121.5242306 38.8790639, 121.5242387 38.8786968, 121.5246046 38.8787126, 121.5245883 38.8790766, 121.5242306 38.8790639))",网络信息中心,4,,,,,,
way,300180512,"[3042847886, 3042847887, 3042847888, 3042847889, 3042847890, 3042847891, 3042847892, 5291040272, 3042847893, 5291040287, 5291040286, 3042847894, 3042847896, 3042847897, 3042847886]",yes,"POLYGON ((121.5218915 38.8789318, 121.5218957 38.8787494, 121.5220987 38.8787522, 121.5221082 38.8783361, 121.5219248 38.8783335, 121.5219289 38.8781554, 121.5221964 38.8781591, 121.522196 38.8781759, 121.5222967 38.8781773, 121.5222858 38.8786521, 121.5222844 38.8787144, 121.5222802 38.8788988, 121.5221295 38.8788967, 121.5221286 38.8789351, 121.5218915 38.8789318))",主楼西侧楼,6,,,,,,
way,300180514,"[3042847903, 5291040288, 3042847913, 5291040273, 3042847914, 3042847915, 3042847916, 3042847917, 3042847918, 3042847919, 3042847920, 3042847921, 3042847922, 3042847923, 5291040289, 3042847903]",house,"POLYGON ((121.5235876 38.878703, 121.5235891 38.8786706, 121.5236102 38.8782257, 121.5237349 38.8782293, 121.5237361 38.8782039, 121.5239637 38.8782105, 121.5239566 38.8783597, 121.5237988 38.8783551, 121.523778 38.8787958, 121.5239442 38.8788005, 121.5239372 38.8789493, 121.5237145 38.8789429, 121.5237166 38.8788985, 121.5235785 38.8788946, 121.523586 38.8787366, 121.5235876 38.878703))",主楼东侧楼,5,,,,,,
way,300180515,"[3042847925, 3042847926, 3042847927, 3042847928, 3042847925]",yes,"POLYGON ((121.524492 38.8783655, 121.5244977 38.8778257, 121.5243005 38.8778244, 121.5242948 38.8783643, 121.524492 38.8783655))",管理与经济学部,5,,,,,,
way,300180517,"[3042850339, 3042850340, 3042850341, 3042850342, 3042850343, 3042850344, 3042850345, 3042850346, 3042850347, 3042850339]",yes,"POLYGON ((121.5224503 38.8773154, 121.5224503 38.8771694, 121.5226311 38.8771329, 121.5226378 38.8767419, 121.5233275 38.8767315, 121.5233074 38.877159, 121.5234815 38.8771642, 121.5234949 38.8773467, 121.5228521 38.8773571, 121.5224503 38.8773154))",伯川图书馆,5,,,,,,
way,300180522,"[4721610131, 3042850360, 4721610129, 4721610130, 4721610131]",yes,"POLYGON ((121.5236596 38.8824036, 121.5236687 38.8819541, 121.5239536 38.8819575, 121.5239446 38.882407, 121.5236596 38.8824036))",山上礼堂,2,,,,,,
way,300180523,"[3042850362, 3042850363, 3042850364, 3042850365, 3042850366, 3042850367, 3042850362]",commercial,"POLYGON ((121.5243334 38.880165, 121.5246424 38.880165, 121.5247156 38.8802441, 121.5247115 38.8803643, 121.5245408 38.8803675, 121.5243009 38.880358, 121.5243334 38.880165))",大工书店,,,,,,,
way,300184006,"[3042871257, 3042871258, 3042871259, 3042871260, 3042871257]",yes,"POLYGON ((121.5245256 38.8804308, 121.5245065 38.8807087, 121.5245748 38.8807115, 121.5245939 38.8804336, 121.5245256 38.8804308))",大工食府,,restaurant,,,,,
way,300184007,"[4712714506, 4712714509, 3042871262, 4712714507, 4712714506]",yes,"POLYGON ((121.5254403 38.8806808, 121.5253107 38.8806771, 121.5253173 38.8805362, 121.5254469 38.8805399, 121.5254403 38.8806808))",教工食堂,,restaurant,regional,cafeteria,,,
way,300184008,"[3042871265, 3042871266, 3042871267, 3042871268, 3042871265]",yes,"POLYGON ((121.5244634 38.8820806, 121.5247413 38.8820806, 121.5247753 38.8809242, 121.5245088 38.8811758, 121.5244634 38.8820806))",,,restaurant,,,,,
way,304475349,"[3090152729, 3090152730, 3090152731, 3090152732, 3090152733, 3090152734, 3090152735, 3090152736, 3090152729]",university,"POLYGON ((121.5217588 38.8794833, 121.5230467 38.8794905, 121.5230497 38.8796608, 121.5224767 38.8796632, 121.5224767 38.8797903, 121.5223257 38.8797903, 121.5223226 38.8796632, 121.5217557 38.8796608, 121.5217588 38.8794833))",大连理工大学第一教学馆,,,,,,,
way,477992099,"[4712714507, 3042871263, 4712714508, 4712714506, 4712714507]",yes,"POLYGON ((121.5254469 38.8805399, 121.5258458 38.8805512, 121.5258392 38.8806922, 121.5254403 38.8806808, 121.5254469 38.8805399))",教工食堂,,restaurant,regional,cafeteria,,,
way,479194974,"[4723409935, 4723409934, 4723409933, 3042808448, 4723409931, 4723409932, 4723409935]",yes,"POLYGON ((121.5233395 38.879882, 121.5238273 38.8798908, 121.5238322 38.8797263, 121.523571 38.8797216, 121.5235701 38.8797541, 121.5233434 38.87975, 121.5233395 38.879882))",,,,,,,,
way,479194975,"[4723409941, 4723409940, 4723409936, 4723409939, 4723409937, 4723409938, 4723409941]",yes,"POLYGON ((121.5238409 38.8799506, 121.5240456 38.879952, 121.5240468 38.8798502, 121.5239108 38.8798492, 121.5239115 38.8797917, 121.5238427 38.8797912, 121.5238409 38.8799506))",,,,,,,,
way,543818280,"[5257026738, 5257026739, 5257026740, 5257026741, 9013582713, 5257026743, 5257026738]",hospital,"POLYGON ((121.5199234 38.8792143, 121.5202519 38.8792285, 121.5202447 38.8793298, 121.5201697 38.8793266, 121.5201526 38.8795683, 121.519899 38.8795574, 121.5199234 38.8792143))",大连理工大学校医院,,,,,,,
way,543818281,"[5257026744, 5257026745, 5257026746, 5257026747, 5257026744]",university,"POLYGON ((121.5191454 38.8783489, 121.5193371 38.8783536, 121.5193069 38.8791072, 121.5191151 38.8791025, 121.5191454 38.8783489))",大工9舍,,,,,,,
way,543818282,"[5257026748, 5257026749, 5257026750, 5257026751, 5257026748]",university,"POLYGON ((121.5166002 38.8801717, 121.5167869 38.8801872, 121.516919 38.8792255, 121.5167323 38.8792099, 121.5166002 38.8801717))",大工4舍,,,,,,,
way,543818283,"[5257026752, 5257026753, 5257026754, 5257026755, 5257026752]",university,"POLYGON ((121.5172442 38.8802099, 121.5174559 38.8802268, 121.5175805 38.8792808, 121.5173688 38.8792639, 121.5172442 38.8802099))",大工5舍,,,,,,,
way,543818284,"[5257026756, 5257026757, 5257026758, 5257026759, 5257026756]",university,"POLYGON ((121.517844 38.8802503, 121.5180702 38.8802677, 121.518188 38.879341, 121.5179619 38.8793235, 121.517844 38.8802503))",大工6舍,,,,,,,
way,543818285,"[5257026760, 5257026761, 5257026762, 5257026763, 5257026760]",university,"POLYGON ((121.5185585 38.8793845, 121.5187758 38.8794017, 121.5186557 38.8803207, 121.5184384 38.8803035, 121.5185585 38.8793845))",大工7舍,,,,,,,
way,543818286,"[5257026764, 5257026765, 5257026766, 5257026767, 5257026768, 5257026769, 5257026770, 5257026771, 5257026772, 5257026773, 5257026764]",university,"POLYGON ((121.5191602 38.8794383, 121.5190707 38.8799491, 121.5190141 38.8799431, 121.5189525 38.8802946, 121.5191145 38.8803118, 121.5191354 38.8801925, 121.5191975 38.8801991, 121.5192369 38.8799742, 121.5191946 38.8799697, 121.5192854 38.8794516, 121.5191602 38.8794383))",大工8舍,,,,,,,
way,543818287,"[5257026774, 5257026775, 5257026776, 5257026777, 5257026774]",university,"POLYGON ((121.5166331 38.8803181, 121.5168262 38.8803354, 121.5166817 38.8813148, 121.5164886 38.8812975, 121.5166331 38.8803181))",大工1舍,,,,,,,
way,543818288,"[5257026778, 5257026779, 5257026780, 5257026781, 5257026778]",university,"POLYGON ((121.5172086 38.8803857, 121.5174159 38.880403, 121.5173141 38.8811451, 121.5171067 38.8811278, 121.5172086 38.8803857))",大工2舍,,,,,,,
way,543818289,"[5257026782, 5257026783, 5257026784, 5257026785, 5257026782]",university,"POLYGON ((121.5177609 38.8804263, 121.5179834 38.8804452, 121.5178456 38.8814306, 121.5176231 38.8814118, 121.5177609 38.8804263))",大工3舍,,,,,,,
way,543818290,"[5257026786, 5257026787, 5257026788, 5257026789, 5257026790, 5257026791, 5257026792, 5257026793, 5257026786]",university,"POLYGON ((121.5167088 38.881357, 121.5171223 38.881393, 121.5171064 38.8815036, 121.5169611 38.881491, 121.5169542 38.8815387, 121.5168467 38.8815294, 121.5168531 38.8814843, 121.5166925 38.8814703, 121.5167088 38.881357))",大工16舍,,,,,,,
way,543818292,"[5257026798, 5257026799, 5257026800, 5257026801, 5257026802, 5257026803, 5257026804, 5257026805, 5257026806, 5257026807, 5257026808, 5257026809, 5257026810, 5257026811, 5257026812, 5257026813, 5257026814, 5257026815, 5257026816, 5257026817, 5257026818, 5257026819, 5257026820, 5257026821, 5257026822, 5257026823, 5257026824, 5257026825, 5257026826, 5257026827, 5257026828, 5257026829, 5257026798]",university,"POLYGON ((121.5209682 38.8793835, 121.5211318 38.8793898, 121.5211908 38.8793585, 121.5212686 38.8793585, 121.521341 38.8794086, 121.5213947 38.8794086, 121.5213839 38.8795171, 121.5213303 38.8795109, 121.5212954 38.8795526, 121.5211828 38.8795526, 121.5211291 38.8795025, 121.5211238 38.8796821, 121.5211828 38.8797322, 121.5212176 38.8797322, 121.521215 38.8798429, 121.521172 38.8798408, 121.5211184 38.8799034, 121.5211157 38.8799347, 121.5209682 38.8799347, 121.5209682 38.8799076, 121.5208958 38.8798491, 121.5209038 38.8797447, 121.5209575 38.8796884, 121.5209682 38.8795109, 121.5209038 38.8795547, 121.5207938 38.8795547, 121.5207509 38.8795004, 121.5206919 38.8794963, 121.5207027 38.8793898, 121.520767 38.8793898, 121.5208046 38.8793522, 121.5209199 38.8793522, 121.5209682 38.8793835))",文科综合实验楼,,,,,,,
way,544330656,"[5261974917, 5261974918, 5261974919, 5261974920, 5261976521, 5261976522, 5261976523, 5261976524, 5261976525, 5261976526, 5261976527, 5261974917]",yes,"POLYGON ((121.5171486 38.8816861, 121.5174941 38.8817297, 121.5175268 38.8815698, 121.517723 38.8816025, 121.517709 38.8816897, 121.5175362 38.8819806, 121.5173867 38.8819733, 121.5173447 38.8823005, 121.5171579 38.8822787, 121.5171486 38.8823223, 121.5170645 38.8823259, 121.5171486 38.8816861))",五食堂,,,,,,,
way,544330659,"[5261976545, 5261976546, 5261976547, 5261976548, 5261976549, 5261976550, 5261976551, 5261976552, 5261976553, 5261976554, 5261976555, 5261976556, 5261976545]",yes,"POLYGON ((121.5128712 38.8818812, 121.5131176 38.8818388, 121.5131532 38.8819641, 121.5132447 38.8819483, 121.5132132 38.8818374, 121.5136707 38.8817587, 121.5137793 38.8821415, 121.5137069 38.8821539, 121.5137836 38.8824241, 121.5131409 38.8825347, 121.5130889 38.8823517, 121.5130088 38.8823655, 121.5128712 38.8818812))",西部综合楼,,,,,,,
way,544330660,"[5261976557, 5261976558, 5261976559, 5261976560, 5261976557]",yes,"POLYGON ((121.5140586 38.8832503, 121.5134224 38.8833691, 121.5135882 38.883907, 121.5142245 38.8837881, 121.5140586 38.8832503))",,,,,,,,
way,544330661,"[5261976561, 5261976562, 5261976563, 5261976564, 5261976565, 5261976566, 5261976567, 5261976568, 5261976569, 5261976570, 5261976571, 5261976572, 5961411545, 5261976573, 5261976574, 5261976575, 5261976576, 5261976577, 5261976578, 5261976561]",yes,"POLYGON ((121.5117025 38.8826435, 121.5121788 38.8825563, 121.5122316 38.8827313, 121.5121962 38.8827478, 121.5122185 38.8828236, 121.5122816 38.8828124, 121.5124723 38.8834634, 121.5124099 38.8834745, 121.5124368 38.8835666, 121.5124802 38.883559, 121.5125144 38.8836768, 121.5120741 38.8837542, 121.5120589 38.8837019, 121.5120342 38.8836166, 121.5117747 38.8836622, 121.511577 38.8829801, 121.511832 38.8829353, 121.5117954 38.8828125, 121.5117557 38.8828197, 121.5117025 38.8826435))",令希图书馆,,,,,,,
