u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge
374101292,374101230,0,33126282,,living_street,False,True,94.642,"LINESTRING (121.5248208 38.8792192, 121.5248114 38.8800703)",,
374101292,374101299,0,1108279698,,living_street,False,False,136.362,"LINESTRING (121.5248208 38.8792192, 121.5232458 38.8791951)",,
374101299,374101224,0,33126281,,living_street,False,True,91.834,"LINESTRING (121.5232458 38.8791951, 121.5232096 38.8800205)",,
374101299,374101267,0,1108279698,,living_street,False,False,150.544,"LINESTRING (121.5232458 38.8791951, 121.5215071 38.8791645)",,
374101299,374101292,0,1108279698,,living_street,False,True,136.362,"LINESTRING (121.5232458 38.8791951, 121.5248208 38.8792192)",,
374101318,374101161,0,33126282,,living_street,False,True,112.063,"LINESTRING (121.523579 38.884559, 121.5222864 38.8845017)",,
374101318,374101193,0,33174906,,living_street,False,True,114.967,"LINESTRING (121.523579 38.884559, 121.5235516 38.8855927)",,
374101318,374101345,0,33126282,,living_street,False,False,253.344,"LINESTRING (121.523579 38.884559, 121.5247316 38.8845592, 121.524778 38.8831785)",,
374101318,375732273,0,33174906,,living_street,False,False,195.675,"LINESTRING (121.523579 38.884559, 121.5236268 38.8840801, 121.5237542 38.8837182, 121.5238398 38.8828165)",,
374101345,374101356,0,33126282,,living_street,False,False,159.119,"LINESTRING (121.524778 38.8831785, 121.5248151 38.8817478)",,
374101345,374106612,0,33174905,,living_street,False,False,94.825,"LINESTRING (121.524778 38.8831785, 121.5258735 38.8831739)",,
374101345,374101318,0,33126282,,living_street,False,True,253.344,"LINESTRING (121.524778 38.8831785, 121.5247316 38.8845592, 121.523579 38.884559)",,
374101345,375732273,0,33174905,,living_street,False,True,93.80000000000001,"LINESTRING (121.524778 38.8831785, 121.524528 38.8831827, 121.5238398 38.8828165)",,
374101356,374101365,0,33126282,,living_street,False,False,112.351,"LINESTRING (121.5248151 38.8817478, 121.5248333 38.8807375)",,
374101356,374101345,0,33126282,,living_street,False,True,159.119,"LINESTRING (121.5248151 38.8817478, 121.524778 38.8831785)",,
374101356,374106588,0,33174904,,living_street,False,True,95.197,"LINESTRING (121.5248151 38.8817478, 121.5259146 38.8817676)",,
374101365,374101230,0,33126282,,living_street,False,False,74.214,"LINESTRING (121.5248333 38.8807375, 121.5248114 38.8800703)",,
374101365,374101356,0,33126282,,living_street,False,True,112.351,"LINESTRING (121.5248333 38.8807375, 121.5248151 38.8817478)",,
374101365,375732184,0,33174902,,living_street,False,False,256.858,"LINESTRING (121.5248333 38.8807375, 121.5240504 38.8816846, 121.5239981 38.881972, 121.5239981 38.8825055, 121.5235371 38.8825336)",,
374101365,374106541,0,33174902,,living_street,False,True,93.60999999999999,"LINESTRING (121.5248333 38.8807375, 121.5252955 38.8807424, 121.5258326 38.8807441, 121.5259146 38.8807411)",,
374101371,374101292,0,33126282,,living_street,False,True,44.375,"LINESTRING (121.5248717 38.8788221, 121.5248208 38.8792192)",,
374101371,374106461,0,33126630,,living_street,False,False,100.983,"LINESTRING (121.5248717 38.8788221, 121.5260102 38.8790202)",,
374101371,374106446,0,33126630,,living_street,False,True,155.202,"LINESTRING (121.5248717 38.8788221, 121.5245596 38.8785999, 121.5245798 38.8775335)",,
374106330,346738661,0,33126627,,living_street,False,True,173.557,"LINESTRING (121.5236639 38.8759657, 121.5236225 38.8775262)",,
374106330,374106354,0,33126627,,living_street,False,False,176.57299999999998,"LINESTRING (121.5236639 38.8759657, 121.524796 38.8753465, 121.5253993 38.8751456)",,
374106330,374106397,0,217122842,,living_street,False,True,70.25999999999999,"LINESTRING (121.5236639 38.8759657, 121.5233486 38.8762613, 121.5231893 38.8764457, 121.5231711 38.8764668)",,
374106354,374106368,0,33126627,,living_street,False,False,53.498,"LINESTRING (121.5253993 38.8751456, 121.5259763 38.8749733)",,
374106354,375732106,0,33174901,,living_street,False,True,61.563,"LINESTRING (121.5253993 38.8751456, 121.5261052 38.8752128)",,
374106354,374106330,0,33126627,,living_street,False,True,176.57299999999998,"LINESTRING (121.5253993 38.8751456, 121.524796 38.8753465, 121.5236639 38.8759657)",,
374106368,374106354,0,33126627,,living_street,False,True,53.498,"LINESTRING (121.5259763 38.8749733, 121.5253993 38.8751456)",,
374106368,375732106,0,33174900,,living_street,False,True,28.874,"LINESTRING (121.5259763 38.8749733, 121.5261052 38.8752128)",,
374106397,374106330,0,217122842,,living_street,False,False,70.25999999999999,"LINESTRING (121.5231711 38.8764668, 121.5231893 38.8764457, 121.5233486 38.8762613, 121.5236639 38.8759657)",,
374106446,346738678,0,31159412,书阳路,residential,False,False,277.029,"LINESTRING (121.5245798 38.8775335, 121.52778 38.87755)",,
374106446,346738661,0,31159412,书阳路,residential,False,True,82.872,"LINESTRING (121.5245798 38.8775335, 121.5236225 38.8775262)",,
374106446,374101371,0,33126630,,living_street,False,False,155.202,"LINESTRING (121.5245798 38.8775335, 121.5245596 38.8785999, 121.5248717 38.8788221)",,
374106461,374101371,0,33126630,,living_street,False,True,100.983,"LINESTRING (121.5260102 38.8790202, 121.5248717 38.8788221)",,
374106461,374101235,0,33126631,,residential,False,False,117.022,"LINESTRING (121.5260102 38.8790202, 121.5259643 38.880072)",,
374106461,8657970589,0,544369577,,living_street,False,True,240.87300000000002,"LINESTRING (121.5260102 38.8790202, 121.5262345 38.8791294, 121.5265195 38.879185, 121.5282695 38.8795919, 121.5284586 38.8796093, 121.5285381 38.8796176, 121.5286545 38.8796577)",,
374106541,8657970608,0,33126631,,residential,False,False,13.421,"LINESTRING (121.5259146 38.8807411, 121.5259146 38.8808618)",,
374106541,374101235,0,33126631,,residential,False,True,74.525,"LINESTRING (121.5259146 38.8807411, 121.5259643 38.880072)",,
374106541,374101365,0,33174902,,living_street,False,False,93.61,"LINESTRING (121.5259146 38.8807411, 121.5258326 38.8807441, 121.5252955 38.8807424, 121.5248333 38.8807375)",,
374106588,374106612,0,33126631,,residential,False,False,156.414,"LINESTRING (121.5259146 38.8817676, 121.5258735 38.8831739)",,
374106588,374101356,0,33174904,,living_street,False,False,95.197,"LINESTRING (121.5259146 38.8817676, 121.5248151 38.8817478)",,
374106588,8657970610,0,33126631,,residential,False,True,72.8,"LINESTRING (121.5259146 38.8817676, 121.5259146 38.8811722, 121.5259146 38.8811129)",,
374106612,374106635,0,33126631,,residential,False,False,195.172,"LINESTRING (121.5258735 38.8831739, 121.5258633 38.8849291)",,
374106612,374106588,0,33126631,,residential,False,True,156.414,"LINESTRING (121.5258735 38.8831739, 121.5259146 38.8817676)",,
374106612,375732216,0,33174905,,living_street,False,False,75.708,"LINESTRING (121.5258735 38.8831739, 121.5267479 38.8831906)",,
374106612,374101345,0,33174905,,living_street,False,True,94.825,"LINESTRING (121.5258735 38.8831739, 121.524778 38.8831785)",,
374106635,5262330243,0,33126631,,residential,False,False,17.037,"LINESTRING (121.5258633 38.8849291, 121.5258602 38.8850823)",,
374106635,374106612,0,33126631,,residential,False,True,195.172,"LINESTRING (121.5258633 38.8849291, 121.5258735 38.8831739)",,
374106635,375732307,0,33174908,,living_street,False,False,75.153,"LINESTRING (121.5258633 38.8849291, 121.5267315 38.8849377)",,
375732076,346738678,0,33174897,,living_street,False,False,256.234,"LINESTRING (121.5277581 38.8752457, 121.52778 38.87755)",,
375732076,375732106,0,33174900,,living_street,False,False,143.133,"LINESTRING (121.5277581 38.8752457, 121.5261052 38.8752128)",,
375732106,374106368,0,33174900,,living_street,False,False,28.874,"LINESTRING (121.5261052 38.8752128, 121.5259763 38.8749733)",,
375732106,375732076,0,33174900,,living_street,False,True,143.133,"LINESTRING (121.5261052 38.8752128, 121.5277581 38.8752457)",,
375732106,374106354,0,33174901,,living_street,False,False,61.563,"LINESTRING (121.5261052 38.8752128, 121.5253993 38.8751456)",,
375732184,375732208,0,33174902,,living_street,False,False,22.831,"LINESTRING (121.5235371 38.8825336, 121.5234632 38.8827307)",,
375732184,375732273,0,33174906,,living_street,False,True,40.94,"LINESTRING (121.5235371 38.8825336, 121.5238398 38.8828165)",,
375732184,374101365,0,33174902,,living_street,False,True,256.858,"LINESTRING (121.5235371 38.8825336, 121.5239981 38.8825055, 121.5239981 38.881972, 121.5240504 38.8816846, 121.5248333 38.8807375)",,
375732184,374101145,0,33174906,,living_street,False,False,117.906,"LINESTRING (121.5235371 38.8825336, 121.5232825 38.8823509, 121.5228816 38.8823018, 121.5222723 38.8822782)",,
375732208,375732184,0,33174902,,living_street,False,True,22.831,"LINESTRING (121.5234632 38.8827307, 121.5235371 38.8825336)",,
375732216,375732223,0,33174905,,living_street,False,False,78.193,"LINESTRING (121.5267479 38.8831906, 121.5276512 38.8831988)",,
375732216,374106612,0,33174905,,living_street,False,True,75.708,"LINESTRING (121.5267479 38.8831906, 121.5258735 38.8831739)",,
375732216,375732307,0,33174909,,living_street,False,True,194.274,"LINESTRING (121.5267479 38.8831906, 121.5267315 38.8849377)",,
375732216,375732391,0,33174909,,living_street,False,False,152.387,"LINESTRING (121.5267479 38.8831906, 121.5265502 38.8826311, 121.5265852 38.8818414)",,
375732223,375732216,0,33174905,,living_street,False,True,78.193,"LINESTRING (121.5276512 38.8831988, 121.5267479 38.8831906)",,
375732223,375732239,0,33174905,,living_street,False,False,220.791,"LINESTRING (121.5276512 38.8831988, 121.5286202 38.8832399, 121.5289218 38.8820323)",,
375732223,375732339,0,33174908,,living_street,False,False,80.892,"LINESTRING (121.5276512 38.8831988, 121.5277744 38.8826137, 121.5278123 38.8824824)",,
375732223,375732307,0,33174908,,living_street,False,True,258.86899999999997,"LINESTRING (121.5276512 38.8831988, 121.5274705 38.8849459, 121.5267315 38.8849377)",,
375732239,375732420,0,33174911,,living_street,False,False,38.857,"LINESTRING (121.5289218 38.8820323, 121.5293704 38.8820452)",,
375732239,375732223,0,33174905,,living_street,False,True,220.791,"LINESTRING (121.5289218 38.8820323, 121.5286202 38.8832399, 121.5276512 38.8831988)",,
375732239,375732350,0,33174911,,living_street,False,True,81.618,"LINESTRING (121.5289218 38.8820323, 121.528445 38.8820102, 121.5280228 38.881858)",,
375732273,375732184,0,33174906,,living_street,False,False,40.94,"LINESTRING (121.5238398 38.8828165, 121.5235371 38.8825336)",,
375732273,374101345,0,33174905,,living_street,False,False,93.80000000000001,"LINESTRING (121.5238398 38.8828165, 121.524528 38.8831827, 121.524778 38.8831785)",,
375732273,374101318,0,33174906,,living_street,False,True,195.675,"LINESTRING (121.5238398 38.8828165, 121.5237542 38.8837182, 121.5236268 38.8840801, 121.523579 38.884559)",,
375732307,374106635,0,33174908,,living_street,False,True,75.153,"LINESTRING (121.5267315 38.8849377, 121.5258633 38.8849291)",,
375732307,375732216,0,33174909,,living_street,False,False,194.274,"LINESTRING (121.5267315 38.8849377, 121.5267479 38.8831906)",,
375732307,375732223,0,33174908,,living_street,False,False,258.86899999999997,"LINESTRING (121.5267315 38.8849377, 121.5274705 38.8849459, 121.5276512 38.8831988)",,
375732339,375732350,0,33174908,,living_street,False,False,72.325,"LINESTRING (121.5278123 38.8824824, 121.5279661 38.8819244, 121.5280228 38.881858)",,
375732339,375732223,0,33174908,,living_street,False,True,80.892,"LINESTRING (121.5278123 38.8824824, 121.5277744 38.8826137, 121.5276512 38.8831988)",,
375732339,375732391,0,934162263,,living_street,False,True,130.872,"LINESTRING (121.5278123 38.8824824, 121.5268064 38.8820865, 121.5265852 38.8818414)",,
375732350,375732373,0,33174908,,living_street,False,False,138.243,"LINESTRING (121.5280228 38.881858, 121.5284355 38.8815023, 121.5291211 38.8809557)",,
375732350,375732339,0,33174908,,living_street,False,True,72.325,"LINESTRING (121.5280228 38.881858, 121.5279661 38.8819244, 121.5278123 38.8824824)",,
375732350,375732239,0,33174911,,living_street,False,False,81.618,"LINESTRING (121.5280228 38.881858, 121.528445 38.8820102, 121.5289218 38.8820323)",,
375732350,8657970608,0,33174911,,living_street,False,True,215.731,"LINESTRING (121.5280228 38.881858, 121.5265795 38.8813121, 121.5262157 38.8811203, 121.5259146 38.8808618)",,
375732373,375732420,0,33174911,,living_street,False,True,123.054,"LINESTRING (121.5291211 38.8809557, 121.5293704 38.8820452)",,
375732373,375732350,0,33174908,,living_street,False,True,138.243,"LINESTRING (121.5291211 38.8809557, 121.5284355 38.8815023, 121.5280228 38.881858)",,
375732373,8657970603,0,33174911,,living_street,False,False,110.89,"LINESTRING (121.5291211 38.8809557, 121.5291625 38.8804771, 121.5288799 38.8800086)",,
375732391,375732216,0,33174909,,living_street,False,True,152.387,"LINESTRING (121.5265852 38.8818414, 121.5265502 38.8826311, 121.5267479 38.8831906)",,
375732391,375732339,0,934162263,,living_street,False,False,130.872,"LINESTRING (121.5265852 38.8818414, 121.5268064 38.8820865, 121.5278123 38.8824824)",,
375732391,8657970610,0,934162263,,living_street,False,True,99.717,"LINESTRING (121.5265852 38.8818414, 121.5260748 38.8812646, 121.5259671 38.881162, 121.5259146 38.8811129)",,
375732420,375732373,0,33174911,,living_street,False,False,123.054,"LINESTRING (121.5293704 38.8820452, 121.5291211 38.8809557)",,
375732420,375732239,0,33174911,,living_street,False,True,38.857,"LINESTRING (121.5293704 38.8820452, 121.5289218 38.8820323)",,
375732420,5262330265,0,544369579,,living_street,False,True,211.93599999999998,"LINESTRING (121.5293704 38.8820452, 121.5292991 38.8825405, 121.5291514 38.8829619, 121.5290015 38.883165, 121.528821 38.8833286, 121.5286031 38.8838211)",,
375732465,346738678,0,31159412,书阳路,residential,False,True,12.321,"LINESTRING (121.5279217 38.8775604, 121.52778 38.87755)",,
375732465,8657970589,0,33174911,,living_street,False,True,244.91899999999998,"LINESTRING (121.5279217 38.8775604, 121.5279217 38.8779325, 121.527973 38.8783302, 121.5283707 38.8791642, 121.5286145 38.8795664, 121.5286545 38.8796577)",,
1866153752,1866154115,0,176050669,,living_street,False,True,47.043,"LINESTRING (121.5151511 38.8859177, 121.5151243 38.886114, 121.515135 38.8863395)",,
1866153752,1866154014,0,176050690,,living_street,False,False,28.155,"LINESTRING (121.5151511 38.8859177, 121.5150545 38.8858509, 121.5150706 38.8857924, 121.5151809 38.8857572)",,
1866153752,1866154014,1,176050690,,living_street,False,True,26.597,"LINESTRING (121.5151511 38.8859177, 121.5152584 38.8858718, 121.515253 38.8857966, 121.5151809 38.8857572)",,
1866153776,1866154065,0,176050693,,living_street,False,True,34.828,"LINESTRING (121.51438 38.8831405, 121.5144653 38.8828344)",,
1866153776,1866153947,0,176050693,,living_street,False,False,112.409,"LINESTRING (121.51438 38.8831405, 121.5143679 38.8831784, 121.5144108 38.8834248, 121.5144698 38.8836712, 121.5144215 38.8838466, 121.5143089 38.8840303, 121.5142552 38.8841096)",,
1866153776,1866153969,0,544330657,,footway,False,False,86.857,"LINESTRING (121.51438 38.8831405, 121.514711 38.8831045, 121.5148928 38.8830566, 121.5150376 38.8829918, 121.5152807 38.8828417)",,
1866153782,1866153888,0,176050684,,living_street,True,False,15.26,"LINESTRING (121.5157397 38.8825937, 121.5157317 38.8826621, 121.5157008 38.8827263)",,
1866153782,5262329598,0,176050692,,living_street,False,False,129.43,"LINESTRING (121.5157397 38.8825937, 121.5163473 38.8825103, 121.5170769 38.8825729, 121.5172177 38.8825975)",,
1866153786,1866154232,0,176050681,,living_street,True,False,35.019,"LINESTRING (121.5152113 38.8823987, 121.5150299 38.8821172)",,
1866153786,1866154198,0,176050684,,living_street,True,False,25.391999999999996,"LINESTRING (121.5152113 38.8823987, 121.5152973 38.8823625, 121.5153932 38.8823476, 121.5154905 38.8823552)",,
1866153827,1866154174,0,176050677,,living_street,True,False,86.188,"LINESTRING (121.5151492 38.881293, 121.5153981 38.8820435)",,
1866153827,1866154184,0,1138698263,,unclassified,False,False,33.764,"LINESTRING (121.5151492 38.881293, 121.514778 38.8813863)",,
1866153827,5262330232,0,1138698263,,unclassified,False,True,29.085,"LINESTRING (121.5151492 38.881293, 121.5154746 38.8812278)",,
1866153845,1866154033,0,176050689,,living_street,False,False,31.152,"LINESTRING (121.5157578 38.8830247, 121.5154007 38.8830596)",,
1866153845,10614371848,0,176050679,,living_street,True,False,262.644,"LINESTRING (121.5157578 38.8830247, 121.5161567 38.8844939, 121.5162225 38.8847857, 121.5162429 38.8851635, 121.516205 38.8853471)",,
1866153859,1866154090,0,176050672,,living_street,False,False,58.145,"LINESTRING (121.5150814 38.8825729, 121.51442 38.8826643)",,
1866153859,5261976534,0,176050684,,living_street,True,False,15.496,"LINESTRING (121.5150814 38.8825729, 121.5150903 38.8825375, 121.5151055 38.8825034, 121.5151495 38.8824456)",,
1866153888,1866153845,0,176050679,,living_street,True,False,33.736000000000004,"LINESTRING (121.5157008 38.8827263, 121.5157036 38.8828485, 121.5157578 38.8830247)",,
1866153888,1866153969,0,176050684,,living_street,True,False,42.154999999999994,"LINESTRING (121.5157008 38.8827263, 121.5156426 38.8827871, 121.5155642 38.8828321, 121.5154724 38.8828573, 121.5153751 38.8828606, 121.5152807 38.8828417)",,
1866153897,346739926,0,176050692,,living_street,False,False,7.382,"LINESTRING (121.519518 38.8830001, 121.5196025 38.8829911)",,
1866153897,5262329598,0,176050692,,living_street,False,True,207.082,"LINESTRING (121.519518 38.8830001, 121.5189251 38.883022, 121.5185039 38.8829425, 121.5180508 38.8827757, 121.517388 38.8826272, 121.5172177 38.8825975)",,
1866153897,5262329580,0,1102377757,红凌路,secondary,True,False,550.116,"LINESTRING (121.519518 38.8830001, 121.519277 38.8819348, 121.5192646 38.8812952, 121.5193846 38.8807163, 121.5195927 38.8802, 121.5201623 38.8795747, 121.5206241 38.8790785, 121.5209479 38.878405)",2,
1866153916,1866154065,0,176050693,,living_street,False,False,58.369,"LINESTRING (121.5151288 38.8827407, 121.5144653 38.8828344)",,
1866153916,1866153859,0,176050684,,living_street,True,False,19.384,"LINESTRING (121.5151288 38.8827407, 121.5150866 38.88266, 121.5150814 38.8825729)",,
1866153947,1866154014,0,176050675,,living_street,False,False,211.334,"LINESTRING (121.5142552 38.8841096, 121.5145878 38.8843477, 121.5148185 38.884569, 121.5150307 38.8848093, 121.5151457 38.8850283, 121.5152047 38.8852329, 121.5152155 38.885521, 121.5151809 38.8857572)",,
1866153947,1866154206,0,176050693,,living_street,False,False,251.98799999999997,"LINESTRING (121.5142552 38.8841096, 121.5140192 38.8840846, 121.5137563 38.8840721, 121.5134988 38.8840846, 121.5132413 38.884118, 121.5123348 38.8842474, 121.5121041 38.8842474, 121.5117286 38.8841639, 121.5114014 38.8840721)",,
1866153947,1866153776,0,176050693,,living_street,False,True,112.409,"LINESTRING (121.5142552 38.8841096, 121.5143089 38.8840303, 121.5144215 38.8838466, 121.5144698 38.8836712, 121.5144108 38.8834248, 121.5143679 38.8831784, 121.51438 38.8831405)",,
1866153954,2264303675,0,176050687,,living_street,False,True,104.713,"LINESTRING (121.5107818 38.8820833, 121.5095935 38.8822598)",,
1866153954,5961411544,0,217125480,,living_street,False,True,200.101,"LINESTRING (121.5107818 38.8820833, 121.5113301 38.8838315)",,
1866153954,1866154164,0,176050687,,living_street,False,False,295.84799999999996,"LINESTRING (121.5107818 38.8820833, 121.5117125 38.8819382, 121.5141298 38.8815481)",,
1866153969,1866153916,0,176050684,,living_street,True,False,17.496000000000002,"LINESTRING (121.5152807 38.8828417, 121.5151947 38.8828003, 121.5151288 38.8827407)",,
1866153969,1866153776,0,544330657,,footway,False,True,86.857,"LINESTRING (121.5152807 38.8828417, 121.5150376 38.8829918, 121.5148928 38.8830566, 121.514711 38.8831045, 121.51438 38.8831405)",,
1866154014,1866153947,0,176050675,,living_street,False,True,211.334,"LINESTRING (121.5151809 38.8857572, 121.5152155 38.885521, 121.5152047 38.8852329, 121.5151457 38.8850283, 121.5150307 38.8848093, 121.5148185 38.884569, 121.5145878 38.8843477, 121.5142552 38.8841096)",,
1866154014,1866153752,0,176050690,,living_street,False,False,26.597,"LINESTRING (121.5151809 38.8857572, 121.515253 38.8857966, 121.5152584 38.8858718, 121.5151511 38.8859177)",,
1866154014,1866153752,1,176050690,,living_street,False,True,28.155,"LINESTRING (121.5151809 38.8857572, 121.5150706 38.8857924, 121.5150545 38.8858509, 121.5151511 38.8859177)",,
1866154033,1866153845,0,176050689,,living_street,False,True,31.152,"LINESTRING (121.5154007 38.8830596, 121.5157578 38.8830247)",,
1866154033,1866153969,0,176050673,,living_street,True,False,26.698999999999998,"LINESTRING (121.5154007 38.8830596, 121.5153411 38.882906, 121.5152807 38.8828417)",,
1866154065,1866154090,0,176050687,,living_street,False,True,19.316,"LINESTRING (121.5144653 38.8828344, 121.51442 38.8826643)",,
