u,v,key,osmid,oneway,highway,reversed,length,name,geometry
2016793134,3686355824,0,333840995,False,residential,False,35.405,柳荫路,"LINESTRING (108.9090349 34.2482808, 108.9090349 34.2479624)"
2016793134,8984902121,0,970814760,False,service,False,93.533,,"LINESTRING (108.9090349 34.2482808, 108.9090492 34.2483284, 108.9090747 34.2484426, 108.90908 34.2489636, 108.9090934 34.2490091, 108.9091256 34.2490435, 108.9092034 34.2490501)"
2016793136,3686355805,0,191095200,False,residential,False,81.846,英才路,"LINESTRING (108.9135195 34.244058, 108.9126291 34.2440621)"
2016793136,2016793123,0,191095200,False,residential,True,83.582,英才路,"LINESTRING (108.9135195 34.244058, 108.9144288 34.2440563)"
2016793136,2016793115,0,191095194,False,residential,False,126.79100000000001,,"LINESTRING (108.9135195 34.244058, 108.9135034 34.2441347, 108.9134981 34.2451971)"
2689341046,3686355798,0,263308434,False,service,True,77.926,,"LINESTRING (108.9103636 34.2440628, 108.9103662 34.243362)"
2689341046,2016793104,0,362794779,False,service,False,65.926,教学南路,"LINESTRING (108.9103636 34.2440628, 108.9096464 34.2440662)"
2689341046,8984902023,0,362794779,False,service,True,33.027,教学南路,"LINESTRING (108.9103636 34.2440628, 108.9107229 34.2440631)"
3410665711,2016793118,0,191095193,False,residential,False,97.696,,"LINESTRING (108.9154675 34.245191, 108.9144047 34.2452)"
3410665711,3410665712,0,333988779,False,residential,False,122.732,,"LINESTRING (108.9154675 34.245191, 108.915399 34.2462933)"
3410665711,2016793123,0,"[191095200, 333988778]",False,residential,"[False, True]",223.223,英才路,"LINESTRING (108.9154675 34.245191, 108.9154673 34.2440421, 108.9144288 34.2440563)"
3410665712,3643535047,0,169172415,False,residential,False,41.42,,"LINESTRING (108.915399 34.2462933, 108.9149484 34.2462975)"
3410665712,3410665711,0,333988779,False,residential,True,122.732,,"LINESTRING (108.915399 34.2462933, 108.9154675 34.245191)"
3642584025,3670483436,0,359583114,False,service,False,31.435,,"LINESTRING (108.9076383 34.2479629, 108.9076382 34.2476802)"
3642584025,3686355824,0,364596130,False,service,False,128.368,,"LINESTRING (108.9076383 34.2479629, 108.9090349 34.2479624)"
3642584025,3686355836,0,364596135,False,service,False,39.681,,"LINESTRING (108.9076383 34.2479629, 108.9072066 34.2479661)"
3642584026,8984902044,0,169172415,False,residential,False,137.756,,"LINESTRING (108.9076377 34.2462629, 108.906139 34.2462652)"
3642584026,2016793114,0,169172415,False,residential,True,44.111,,"LINESTRING (108.9076377 34.2462629, 108.9081176 34.2462642)"
3642584026,8984902092,0,359583114,False,service,True,66.717,,"LINESTRING (108.9076377 34.2462629, 108.9076379 34.2468629)"
3643535044,3686355834,0,359677854,False,residential,False,192.571,,"LINESTRING (108.9148661 34.2487972, 108.9148531 34.2470654)"
3643535047,3653254411,0,169172415,False,residential,False,52.462,,"LINESTRING (108.9149484 34.2462975, 108.9143777 34.2462908)"
3643535047,3410665712,0,169172415,False,residential,True,41.42,,"LINESTRING (108.9149484 34.2462975, 108.915399 34.2462933)"
3643535047,3686355834,0,359677854,False,residential,True,91.387,,"LINESTRING (108.9149484 34.2462975, 108.9149437 34.2470404, 108.9148531 34.2470654)"
3643535064,2016793112,0,359677858,False,service,True,80.313,,"LINESTRING (108.9070256 34.2443276, 108.9069879 34.2450492)"
3643535064,3643535065,0,970814751,False,service,False,18.609,,"LINESTRING (108.9070256 34.2443276, 108.9068243 34.2443098)"
3643535064,3686355770,0,970814751,False,service,True,16.064,,"LINESTRING (108.9070256 34.2443276, 108.9071971 34.2442998)"
3643535065,3686355772,0,359677857,False,service,False,20.016,,"LINESTRING (108.9068243 34.2443098, 108.906839 34.2441302)"
3643535065,3643535064,0,970814751,False,service,True,18.609,,"LINESTRING (108.9068243 34.2443098, 108.9070256 34.2443276)"
3653244377,2016793119,0,362794779,False,service,False,33.927,教学南路,"LINESTRING (108.9086261 34.2440671, 108.908257 34.2440674)"
3653244377,3653244388,0,362794779,False,service,True,76.367,教学南路,"LINESTRING (108.9086261 34.2440671, 108.9094569 34.2440692)"
3653244377,3653244388,1,360776063,False,service,False,204.74500000000003,,"LINESTRING (108.9086261 34.2440671, 108.9086173 34.243516, 108.9086482 34.2434839, 108.908675 34.2434739, 108.909422 34.2434761, 108.9094609 34.2435071, 108.9094676 34.2435393, 108.9094569 34.2440692)"
3653244381,3686355821,0,169172415,False,residential,False,65.169,,"LINESTRING (108.9134685 34.2462881, 108.9127595 34.2462872)"
3653244381,3653254411,0,169172415,False,residential,True,83.571,,"LINESTRING (108.9134685 34.2462881, 108.9143777 34.2462908)"
