element_type,osmid,access,geometry,wheelchair,amenity,layer,nodes,building,building:levels,name,source,alt_name,name:en,leisure,sport,lit,fee,toilets:disposal,unisex,fast_food,operator,addr:city,addr:housenumber,addr:postcode,addr:street,emergency,height,opening_hours,shop,building:material,description,structure,historic,office,club,tourism,name_1,ways,type,internet_access
way,368597446,,"POLYGON ((106.4107401 29.8161592, 106.4111529 29.8160452, 106.4110934 29.815883, 106.411271 29.8158339, 106.4112286 29.8157183, 106.4106382 29.8158812, 106.4107401 29.8161592))",,,,"[3724496361, 3724496362, 7847003952, 3724496368, 3724496363, 3724496364, 3724496361]",university,2,实验室 蚕桑纺织与生物质科学学院,,,Research Building - Texture and Garment,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368597447,,"POLYGON ((106.4113198 29.8160117, 106.4117978 29.815903, 106.4117434 29.8157227, 106.411271 29.8158339, 106.4113198 29.8160117))",,,,"[3724496365, 3724496366, 3724496367, 3724496368, 3724496365]",university,2,西南大学农业机械实验室,,,Research Building - Agricultural machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368597448,,"POLYGON ((106.4127392 29.816904, 106.4126718 29.8167369, 106.4134192 29.8165362, 106.4134786 29.8166952, 106.4133593 29.8167328, 106.4134152 29.8169031, 106.4133366 29.8169238, 106.4132707 29.8167597, 106.4127392 29.816904))",,,,"[3724496369, 3724496370, 3724496371, 3724496372, 3724496373, 3724496374, 3724496375, 3724496376, 3724496369]",university,4,西南大学工程技术学院,,,College of Engineering and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368599420,,"POLYGON ((106.4128948 29.8175491, 106.4132069 29.8174746, 106.4131318 29.8172331, 106.4128217 29.8173041, 106.4128948 29.8175491))",,,,"[3724521728, 3724521729, 3724521730, 3724521731, 3724521728]",greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368605817,,"POLYGON ((106.4247122 29.8265364, 106.4250471 29.8267373, 106.4249476 29.8268622, 106.4248756 29.8268189, 106.4247185 29.827016, 106.4247871 29.8270572, 106.4246836 29.827187, 106.4243724 29.8270002, 106.4244707 29.8268769, 106.424583 29.8269443, 106.4247416 29.8267454, 106.424609 29.8266658, 106.4247122 29.8265364))",,,,"[3724580332, 3724580333, 7902513674, 7902513675, 7902513676, 7902513677, 3724580334, 3724580335, 7902513670, 7902513671, 7902513672, 7902513673, 3724580332]",university,,西南大学田家炳教育书院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368605820,,"POLYGON ((106.4244597 29.828182, 106.4246019 29.8281952, 106.4246061 29.8281606, 106.4247798 29.8281767, 106.424967 29.8281941, 106.4249609 29.8282432, 106.4250706 29.8282534, 106.4250555 29.8283756, 106.4249983 29.8283702, 106.4249814 29.8285061, 106.4248568 29.8284945, 106.4248744 29.8283532, 106.4246379 29.8283311, 106.4246208 29.8284696, 106.4244903 29.8284574, 106.4245077 29.8283167, 106.4244437 29.8283107, 106.4244597 29.828182))",,,,"[3724580356, 7902513680, 3724580364, 3724580355, 3724580362, 7902519289, 3724580357, 3724580358, 7902513681, 7902513682, 7902513683, 7902513684, 7902519285, 7902519286, 3724580359, 7902519288, 7902519287, 3724580356]",university,,西南大学文学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371876808,,"POLYGON ((106.4159454 29.8158466, 106.4162232 29.8157751, 106.4162599 29.8158825, 106.4163984 29.8158468, 106.4163743 29.8157763, 106.4166979 29.815693, 106.4168118 29.816057, 106.4167464 29.8160773, 106.4166647 29.8158253, 106.4164265 29.8158866, 106.4164212 29.8159285, 106.4164668 29.8159541, 106.4165016 29.815989, 106.4164768 29.8160461, 106.4164346 29.8160728, 106.4163943 29.8160798, 106.4163192 29.8160472, 106.416279 29.8160658, 106.4162161 29.8160792, 106.4162059 29.8160435, 106.4161556 29.8160542, 106.4161422 29.8160961, 106.41611 29.816124, 106.4160644 29.8161357, 106.4160188 29.816138, 106.4159625 29.8161194, 106.415933 29.8160868, 106.4159196 29.8160519, 106.4159518 29.8159774, 106.415987 29.8159683, 106.4159454 29.8158466))",,,,"[3754268131, 3754268132, 3754268133, 3754268134, 3754268135, 3754268136, 3754268137, 7862078418, 7862078417, 3754268138, 3754268139, 3754268140, 3754268141, 3754268142, 3754268143, 3754268144, 3754268145, 3754268146, 3754268147, 3754268148, 3754268149, 3754268150, 3754268151, 3754268152, 3754268153, 3754268154, 3754268155, 3754268156, 3754268157, 3754268158, 3754268131]",hotel,6,兰苑宾馆,,,Lan Garden Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,371876809,,"POLYGON ((106.4166759 29.8153453, 106.4171097 29.8152484, 106.4171456 29.815369, 106.4168261 29.8154405, 106.416857 29.8155445, 106.4167426 29.8155701, 106.4166759 29.8153453))",,,,"[3754268159, 3754268160, 3754268161, 3754268162, 3754268163, 3754268164, 3754268159]",hospital,,西南大学医院（二院）,,,,,,,,,,,西南大学,重庆市北碚区,2号,400715,天生路,no,,,,,,,,,,,,,,
way,371876810,,"POLYGON ((106.4132964 29.8177729, 106.4138142 29.8176297, 106.4137587 29.817466, 106.4136324 29.8174992, 106.4135684 29.8173404, 106.413491 29.8173608, 106.4135494 29.8175211, 106.4134372 29.8175506, 106.4134453 29.817589, 106.4132632 29.8176399, 106.4132964 29.8177729))",,,,"[3754268169, 3754268170, 3754268171, 7847151614, 7847151616, 7847151615, 7847151613, 3754268172, 3754268173, 3754268174, 3754268169]",university,5,西南大学档案馆,,,Archive of S.W.U,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,840830753,,"POLYGON ((106.4138293 29.8195051, 106.4137261 29.8195329, 106.4135182 29.8195856, 106.4135401 29.819653, 106.4135789 29.819644, 106.4136083 29.8197304, 106.413815 29.8196762, 106.413822 29.8196366, 106.4138289 29.8195716, 106.4138293 29.8195051))",,,,"[3724444644, 7845876721, 7845776495, 7845776496, 7845776497, 7845776498, 7845776499, 7845776494, 8744634566, 3724444644]",dormitory,6,竹园E栋,,,Baboo E,,,,,,,,,,,,,,20,,,,,,,,,,,,,
