element_type,osmid,building,designation,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,source,layer,leisure,sport,building:levels
way,107087237,yes,,,,,,"POLYGON ((116.3104453 39.9581379, 116.3104113 39.9580623, 116.3104033 39.9579813, 116.3104153 39.9579134, 116.3104403 39.9578544, 116.3104545 39.9578355, 116.3104875 39.9578015, 116.3105815 39.9578258, 116.3106629 39.9578493, 116.3106954 39.9578639, 116.3108362 39.9578994, 116.310894 39.9579127, 116.3109224 39.9579109, 116.3109169 39.9580765, 116.3107772 39.9580707, 116.3105782 39.9580926, 116.3104453 39.9581379))","[1231169357, 1231170595, 1231167776, 1231170093, 1231172180, 1231169523, 1231167867, 1231172033, 1231169261, 1231171673, 1231169901, 1231168556, 1231170218, 1231172264, 1231171451, 1231171168, 1231169357]","Bing, 2005-04",,,,
way,107087241,yes,,,,,,"POLYGON ((116.3113968 39.9594507, 116.311907 39.9594807, 116.3119182 39.959368, 116.3114081 39.959338, 116.3113968 39.9594507))","[1231169746, 1231170870, 1231171972, 1231168091, 1231169746]","Bing, 2005-04",,,,
way,107087242,yes,,,,,,"POLYGON ((116.3105496 39.9599206, 116.3107955 39.9599278, 116.3108002 39.9598341, 116.3105542 39.9598269, 116.3105496 39.9599206))","[1231170855, 1231169144, 1231168090, 1231171968, 1231170855]","Bing, 2005-04",,,,
way,107087243,yes,,车辆重点实验楼,车辆重点实验楼,车辆重点实验楼,車輛重點實驗樓,"POLYGON ((116.3149346 39.9565766, 116.314942 39.9564351, 116.315081 39.9564278, 116.315081 39.9564693, 116.3155249 39.9564888, 116.3155493 39.9561034, 116.3157372 39.9561083, 116.3157176 39.9566132, 116.3149346 39.9565766))","[1231171009, 1231172040, 1231169276, 1231170602, 1231167787, 1231170120, 1231172205, 1231169553, 1231171009]","Bing, 2005-04",,,,5
way,107087247,yes,,,,,,"POLYGON ((116.311887 39.9592462, 116.3119851 39.959252, 116.3120042 39.9590615, 116.3119061 39.9590557, 116.311887 39.9592462))","[1231168382, 1231171817, 1231170692, 1231169504, 1231168382]","Bing, 2005-04",,,,
way,107087249,yes,,新一号宿舍,新一号宿舍,新一号宿舍,新一號宿舍,"POLYGON ((116.3100422 39.9566917, 116.3100422 39.9565484, 116.3092768 39.9565301, 116.309103 39.9563868, 116.3091061 39.956149, 116.3089232 39.9561459, 116.3089232 39.9564539, 116.3091884 39.9566795, 116.3100422 39.9566917))","[1231168887, 1231170245, 1231172277, 1231169639, 1231168087, 1231170461, 1231172441, 1231169925, 1231168887]","Bing, 2005-04",,,,13
way,107087254,yes,,,,,,"POLYGON ((116.3088958 39.9594214, 116.3096817 39.9594409, 116.3096875 39.9593024, 116.3089017 39.9592829, 116.3088958 39.9594214))","[1231170818, 1231169083, 1231168037, 1231171918, 1231170818]","Bing, 2005-04",,,,
way,107087255,yes,,,,,,"POLYGON ((116.305432 39.9587338, 116.3064706 39.9587463, 116.306473 39.9586268, 116.3054344 39.9586143, 116.305432 39.9587338))","[1231172360, 1231170905, 1231169786, 1231168542, 1231172360]","Bing, 2005-04",,,,
way,107087259,yes,,中心教学楼,中心教学楼,中心教学楼,中心教學樓,"POLYGON ((116.3112035 39.9582452, 116.3110668 39.9581592, 116.3110902 39.9578923, 116.3112713 39.957822, 116.3112614 39.957791, 116.3112553 39.957772, 116.3112463 39.957744, 116.3112708 39.957744, 116.31129 39.9577352, 116.311294 39.9577136, 116.31129 39.9576944, 116.3112708 39.9576808, 116.3112508 39.95768, 116.3112356 39.9576872, 116.3112244 39.9577056, 116.3112212 39.9577176, 116.3112021 39.9576912, 116.311071 39.9577456, 116.3109966 39.9577712, 116.3109439 39.9577823, 116.3109087 39.9577823, 116.3108608 39.9577704, 116.3108176 39.9577512, 116.3107589 39.9577237, 116.3106403 39.9576463, 116.310619 39.957665, 116.3106197 39.9576471, 116.3106145 39.9576343, 116.3106018 39.9576254, 116.3105845 39.9576209, 116.3105615 39.9576215, 116.3105474 39.9576362, 116.3105449 39.9576528, 116.31055 39.9576644, 116.3105647 39.9576733, 116.3105755 39.9576784, 116.3105417 39.9577117, 116.3105634 39.9577238, 116.310541 39.95775, 116.3107124 39.9578479, 116.3107565 39.9578715, 116.3108173 39.9578882, 116.3108618 39.9578979, 116.3108905 39.9579027, 116.3109297 39.9579035, 116.3109225 39.9580937, 116.3108945 39.9580905, 116.3108658 39.9580839, 116.3108254 39.9580854, 116.3107717 39.9580905, 116.310714 39.958103, 116.3105916 39.958143, 116.3104767 39.9581829, 116.3104979 39.9582042, 116.3104729 39.9582229, 116.3104979 39.9582491, 116.3104746 39.9582539, 116.310465 39.9582603, 116.3104586 39.9582707, 116.310461 39.9582835, 116.310469 39.9582995, 116.3104818 39.9583067, 116.3104977 39.9583091, 116.3105169 39.9583035, 116.3105225 39.9582891, 116.3105241 39.9582739, 116.3105449 39.9583043, 116.310696 39.9582531, 116.3107583 39.9582299, 116.3107799 39.9582235, 116.3108167 39.958218, 116.310863 39.9582188, 116.310899 39.9582283, 116.3110021 39.9582835, 116.3111076 39.9583426, 116.3111284 39.9583251, 116.3111332 39.958341, 116.3111428 39.9583522, 116.3111564 39.9583602, 116.3111723 39.9583626, 116.3111907 39.9583578, 116.3112059 39.9583442, 116.3112075 39.9583323, 116.3112027 39.9583171, 116.3111867 39.9583091, 116.31117 39.9583067, 116.3112035 39.9582771, 116.3111827 39.9582643, 116.3112035 39.9582452))","[1231170776, 1231171887, 1231170277, 1231172315, 1231169983, 1231172085, 1231169700, 1231171929, 1231169117, 1231171532, 1231168620, 1231171007, 1231172088, 1231169364, 1231171746, 1231168805, 1231171225, 1231168421, 1231170719, 1231167940, 1231172391, 1231169840, 1231172010, 1231169188, 1231171608, 1231168693, 1231171103, 1231168309, 1231169482, 1231171801, 1231168905, 1231171333, 1231168477, 1231170792, 1231168033, 1231170468, 1231172454, 1231169958, 1231172066, 1231169326, 1231170630, 1231167824, 1231170165, 1231172231, 1231169592, 1231171866, 1231168969, 1231171417, 1231170507, 1231172518, 1231170017, 1231172105, 1231169387, 1231171759, 1231168815, 1231171250, 1231172268, 1231169625, 1231171899, 1231169023, 1231171459, 1231168564, 1231170941, 1231168146, 1231171556, 1231168629, 1231171016, 1231168188, 1231170566, 1231172577, 1231170059, 1231172156, 1231168444, 1231170737, 1231167960, 1231170310, 1231172337, 1231169744, 1231171954, 1231169140, 1231171840, 1231168935, 1231171369, 1231168508, 1231170839, 1231168071, 1231170435, 1231172420, 1231170776]","Bing, 2005-04",,,,
way,107087265,yes,,,,,,"POLYGON ((116.308127 39.9596868, 116.308187 39.959688, 116.3081894 39.9596146, 116.3081293 39.9596135, 116.308127 39.9596868))","[1231168871, 1231170210, 1231171300, 1231172262, 1231168871]","Bing, 2005-04",,,,
way,107087268,yes,,,,,,"POLYGON ((116.3065729 39.9597334, 116.3076623 39.9597425, 116.3076636 39.9596551, 116.3065741 39.9596459, 116.3065729 39.9597334))","[1231172043, 1231170562, 1231169287, 1231168183, 1231172043]","Bing, 2005-04",,,,
way,107087270,yes,,信息教学楼,信息教学楼,信息教学楼,信息教學樓,"POLYGON ((116.3106506 39.9566677, 116.3107091 39.9566677, 116.3107091 39.9566891, 116.3114623 39.9566989, 116.3114608 39.9566446, 116.3114842 39.9566446, 116.3114858 39.9565385, 116.3114655 39.9565385, 116.3114673 39.9564723, 116.3112375 39.9564698, 116.3112375 39.9565416, 116.3107146 39.956526, 116.3107146 39.9565557, 116.3106537 39.9565541, 116.3106506 39.9566677))","[1231169936, 1231171049, 1231170128, 1231172210, 1231169557, 1231171852, 1231168944, 1231171389, 1231168269, 1231169715, 1231170937, 1231168132, 1231170500, 1231172511, 1231169936]","Bing, 2005-04",,,,
way,107087271,yes,,,,,,"POLYGON ((116.3113921 39.9597193, 116.3117996 39.9597583, 116.3118328 39.9595547, 116.3114253 39.9595157, 116.3113921 39.9597193))","[1231171569, 1231172447, 1231168645, 1231170965, 1231171569]","Bing, 2005-04",,,,
way,107087272,yes,,,,,,"POLYGON ((116.3056676 39.9560682, 116.3058305 39.9560694, 116.3058334 39.9558282, 116.3056705 39.955827, 116.3056676 39.9560682))","[1231168882, 1231170233, 1231171324, 1231172271, 1231168882]","Bing, 2005-04",,,,
way,107087273,yes,,,,,,"POLYGON ((116.3049007 39.9558906, 116.3055641 39.9559004, 116.3055658 39.9558341, 116.3049023 39.9558243, 116.3049007 39.9558906))","[1231171096, 1231172118, 1231168284, 1231169399, 1231171096]","Bing, 2005-04",,,,
way,107087274,yes,,,,,,"POLYGON ((116.3089075 39.9599463, 116.3096543 39.9599437, 116.3096524 39.9597935, 116.3089134 39.9597941, 116.3089075 39.9599463))","[1231169802, 1231168129, 1231171987, 1231170916, 1231169802]","Bing, 2005-04",,,,
way,107087275,yes,,,,,,"POLYGON ((116.3066119 39.9591095, 116.3067719 39.9591118, 116.3067749 39.958991, 116.3066149 39.9589886, 116.3066119 39.9591095))","[1231172479, 1231171057, 1231169970, 1231168654, 1231172479]","Bing, 2005-04",,,,
way,107087277,yes,,,,,,"POLYGON ((116.3148322 39.9565644, 116.3149029 39.9565693, 116.3149189 39.9564335, 116.3148481 39.9564286, 116.3148322 39.9565644))","[1231170284, 1231171375, 1231168473, 1231169628, 1231170284]","Bing, 2005-04",,,,
way,107087278,yes,,,,,,"POLYGON ((116.3158567 39.9572986, 116.3159372 39.9573084, 116.3159512 39.9572406, 116.3158707 39.9572308, 116.3158567 39.9572986))","[1231169496, 1231172332, 1231168514, 1231169707, 1231169496]","Bing, 2005-04",,,,
way,107087280,yes,,,,,,"POLYGON ((116.314956 39.9567559, 116.3148004 39.9567345, 116.3147616 39.9570634, 116.3149171 39.9570695, 116.314956 39.9567559))","[1231168850, 1231170202, 1231171290, 1231172244, 1231168850]","Bing, 2005-04",,,,
way,107087281,yes,,4#教学楼,4#教学楼,4#教学楼,4#教學樓,"POLYGON ((116.3116787 39.9575591, 116.3117544 39.9570176, 116.3119617 39.9570322, 116.31193 39.9573762, 116.3131618 39.9574884, 116.3131984 39.9571444, 116.3133472 39.9571639, 116.3132984 39.9576933, 116.3131228 39.9576811, 116.3131228 39.9576372, 116.3118568 39.9575323, 116.3118568 39.9575811, 116.3116787 39.9575591))","[1231170318, 1231171393, 1231168522, 1231170873, 1231168093, 1231170466, 1231172450, 1231169933, 1231171098, 1231168291, 1231170624, 1231167819, 1231170318]","Bing, 2005-04",,,,
way,107087283,yes,,,,,,"POLYGON ((116.3054515 39.9577728, 116.3064808 39.9577728, 116.3064808 39.9576825, 116.3054515 39.9576825, 116.3054515 39.9577728))","[1231171162, 1231169445, 1231168353, 1231172129, 1231171162]","Bing, 2005-04",,,,
way,107087285,yes,,,,,,"POLYGON ((116.3076762 39.9591541, 116.3078226 39.9591547, 116.3078246 39.9588991, 116.3076781 39.9588984, 116.3076762 39.9591541))","[1231171215, 1231171395, 1231170321, 1231172176, 1231171215]","Bing, 2005-04",,,,
way,107087287,yes,,3#教学楼,3#教学楼,3#教学楼,3#教學樓,"POLYGON ((116.3131374 39.9589446, 116.3131733 39.9587496, 116.3130029 39.9587339, 116.3130006 39.9587899, 116.3117181 39.9586778, 116.3117181 39.9586375, 116.31155 39.9586218, 116.3114872 39.9591733, 116.3116957 39.9591935, 116.3117338 39.9588706, 116.3116935 39.9588684, 116.3116957 39.9588258, 116.3131374 39.9589446))","[1231170183, 1231171266, 1231168456, 1231170746, 1231167978, 1231170329, 1231172343, 1231169750, 1231168065, 1231170430, 1231172413, 1231169885, 1231170183]","Bing, 2005-04",,,,
way,107087288,yes,,16号学生公寓,16号学生公寓,16号学生公寓,16號學生公寓,"POLYGON ((116.3053168 39.957322, 116.3053241 39.9567853, 116.3054657 39.9567849, 116.3054587 39.9569248, 116.3055047 39.9569238, 116.3055027 39.9569797, 116.3055376 39.9569807, 116.3055346 39.9571096, 116.3054897 39.9571096, 116.3054897 39.9571696, 116.3054302 39.9571707, 116.3054282 39.9572295, 116.3054289 39.9573027, 116.3053168 39.957322))","[1231169067, 1231170396, 1231172394, 1231169848, 1231171029, 1231168217, 1231170568, 1231172583, 1231170080, 1231172160, 1231169500, 6978226760, 1231171814, 1231169067]","Bing, 2005-04",,,,
way,107087289,yes,,,,,,"POLYGON ((116.3142669 39.9565882, 116.3144498 39.9566003, 116.3144686 39.9564351, 116.3142856 39.9564229, 116.3142669 39.9565882))","[1231169335, 1231170585, 1231171717, 1231167742, 1231169335]","Bing, 2005-04",,,,
way,107087291,yes,,,,,,"POLYGON ((116.3067801 39.9591351, 116.3075984 39.9591456, 116.3076008 39.9590358, 116.3067825 39.9590253, 116.3067801 39.9591351))","[1231171367, 1231169677, 1231168497, 1231172312, 1231171367]","Bing, 2005-04",,,,
way,107087293,yes,,,,,,"POLYGON ((116.315267 39.9571004, 116.3154499 39.9571126, 116.3154893 39.9567656, 116.3153063 39.9567534, 116.315267 39.9571004))","[1231171498, 1231172415, 1231168594, 1231169889, 1231171498]","Bing, 2005-04",,,,
way,107087294,yes,,2号研究生公寓,2号研究生公寓,2号研究生公寓,2號研究生公寓,"POLYGON ((116.3035799 39.9565369, 116.3035799 39.9564023, 116.3036639 39.9564042, 116.3036621 39.95622, 116.3038682 39.9562176, 116.3038675 39.9562967, 116.3038308 39.9562959, 116.3038298 39.9564058, 116.3044255 39.9564158, 116.3044255 39.9565507, 116.3035799 39.9565369))","[1231170273, 1231171373, 1231168513, 1231170843, 1231168077, 1231170439, 1231172422, 1231169905, 1231171062, 1231168224, 1231170273]","Bing, 2005-04",,,,
way,107087295,yes,,,,,,"POLYGON ((116.3063169 39.9576813, 116.3064785 39.9576813, 116.3064785 39.9575167, 116.3063169 39.9575167, 116.3063169 39.9576813))","[1231168500, 1231171924, 1231170828, 1231169680, 1231168500]","Bing, 2005-04",,,,
way,107087297,yes,,,,,,"POLYGON ((116.3084685 39.9591697, 116.3086266 39.9591746, 116.3086402 39.958917, 116.3084821 39.9589121, 116.3084685 39.9591697))","[1231171570, 1231169956, 1231168647, 1231172453, 1231171570]","Bing, 2005-04",,,,
way,107087298,dormitory,,硕博小区3号楼,硕博小区3号楼,硕博小区3号楼,碩博小區3號樓,"POLYGON ((116.3034401 39.9574228, 116.3034425 39.9572984, 116.3034864 39.9572959, 116.3034864 39.9572593, 116.3035157 39.9572618, 116.3035206 39.9567886, 116.3036279 39.956791, 116.3036303 39.9568398, 116.303684 39.9568398, 116.303684 39.9572252, 116.3037157 39.9572325, 116.3037474 39.9572496, 116.3037523 39.9572984, 116.3041987 39.9573057, 116.3042011 39.9573398, 116.3042548 39.9573398, 116.3042523 39.9574179, 116.3034401 39.9574228))","[1231168786, 1231170115, 1231172188, 1231169544, 1231171844, 1231169320, 1231171705, 1231168776, 1231171204, 1231168392, 1231170709, 1231167910, 1231170262, 1231171397, 1231168535, 1231170881, 1231168099, 1231168786]","Bing, 2005-04",,,,15
way,107087299,yes,,,,,,"POLYGON ((116.3129431 39.9599772, 116.3131398 39.9599756, 116.3131389 39.9599102, 116.3129422 39.9599118, 116.3129431 39.9599772))","[1231169740, 1231170852, 1231171948, 1231168088, 1231169740]","Bing, 2005-04",,,,
way,107087300,yes,,,,,,"POLYGON ((116.311453 39.9599831, 116.3113656 39.9599784, 116.3113687 39.9597973, 116.3113984 39.9597989, 116.3113984 39.9598254, 116.3118308 39.9598551, 116.3118292 39.9599846, 116.3115951 39.9599846, 116.3115951 39.9599519, 116.3116466 39.9599519, 116.3116466 39.9599331, 116.3114468 39.9599316, 116.3114483 39.9598957, 116.311428 39.9598941, 116.3114265 39.9599487, 116.3114515 39.9599487, 116.311453 39.9599831))","[1231170526, 1231171631, 1231168706, 1231171132, 1231168318, 1231170650, 1231167842, 1231168916, 1231171335, 1231168486, 1231170814, 1231168035, 1231170398, 1231172397, 1231169850, 1231172266, 1231170526]","Bing, 2005-04",,,,
way,107087301,yes,,,,,,"POLYGON ((116.3134958 39.9559789, 116.3135007 39.9558642, 116.3135714 39.9558642, 116.3135714 39.9559081, 116.3136227 39.9559057, 116.3136202 39.9559757, 116.3134958 39.9559789))","[1231167875, 1231168878, 1231171320, 1231168719, 1231171140, 1231168335, 1231167875]","Bing, 2005-04",,,,
way,107087302,yes,,,,,,"POLYGON ((116.3145291 39.9564022, 116.3146754 39.9564052, 116.3146804 39.956265, 116.3145341 39.9562619, 116.3145291 39.9564022))","[1231172122, 1231168349, 1231169437, 1231170667, 1231172122]","Bing, 2005-04",,,,
way,107087303,university,,第七食堂,第七食堂,第七食堂,第七食堂,"POLYGON ((116.3068616 39.9560347, 116.307569 39.9560347, 116.307569 39.9558456, 116.3068616 39.9558456, 116.3068616 39.9560347))","[1231171721, 1231170086, 1231168784, 1231167770, 1231171721]","Bing, 2005-04",,,,
way,107087304,yes,,2号教职工公寓,2号教职工公寓,2号教职工公寓,2號教職工公寓,"POLYGON ((116.3037571 39.9560615, 116.3037607 39.9558344, 116.3039478 39.9558392, 116.3039485 39.9558208, 116.3042651 39.9558288, 116.3042659 39.9558608, 116.3043234 39.9558608, 116.3043234 39.9558328, 116.3045688 39.9558328, 116.3045695 39.9558494, 116.3048342 39.9558506, 116.304833 39.9560816, 116.3045907 39.9560791, 116.3045957 39.9559518, 116.3046382 39.9559518, 116.3046394 39.9559243, 116.3045832 39.955923, 116.3045835 39.9560091, 116.3040005 39.9560007, 116.3040021 39.9559167, 116.3039485 39.9559159, 116.3039493 39.9559351, 116.3039869 39.9559351, 116.3039861 39.9560686, 116.3037571 39.9560615))","[1231167863, 1231168857, 1231170206, 1231171298, 1231172250, 1231168469, 1231169617, 1231170784, 1231171892, 1231168011, 1231169009, 1231170359, 1231171434, 1231171504, 1231172417, 1231168599, 1231169891, 1231170978, 1231172031, 1231168178, 1231169243, 1231170537, 1231171653, 1231172550, 1231167863]","Bing, 2005-04",,,,
way,107087305,yes,,,,,,"POLYGON ((116.3098526 39.9562726, 116.3098526 39.9561598, 116.3097673 39.9561598, 116.3097664 39.9561313, 116.30946 39.9561352, 116.309462 39.9560376, 116.3092083 39.9560357, 116.3092103 39.9560103, 116.3091185 39.9560142, 116.3091185 39.9559244, 116.3100552 39.9559244, 116.3100513 39.9562776, 116.3098526 39.9562726))","[1231170564, 1231171684, 1231168753, 1231171501, 1231168597, 1231170975, 1231168176, 1231170533, 1231172546, 1231170045, 1231172125, 1231168412, 1231170564]","Bing, 2005-04",,,,
way,107087306,yes,,,,,,"POLYGON ((116.306513 39.9569205, 116.306515 39.9567934, 116.3054686 39.9567836, 116.3054665 39.9569107, 116.306513 39.9569205))","[1231172295, 1231170809, 1231169661, 1231168482, 1231172295]","Bing, 2005-04",,,,
way,107087307,yes,,,,,,"POLYGON ((116.3160292 39.956701, 116.316325 39.9567193, 116.3163763 39.9562322, 116.3160805 39.9562139, 116.3160292 39.956701))","[1231170041, 1231171159, 1231169575, 1231170739, 1231170041]","Bing, 2005-04",,,,
way,107087308,yes,,,,,,"POLYGON ((116.3112398 39.9591844, 116.3112507 39.9590798, 116.31094 39.9590533, 116.3109478 39.9589783, 116.3109354 39.9589793, 116.3109494 39.9588332, 116.3113235 39.9588574, 116.311335 39.9587076, 116.3109803 39.9586827, 116.3109738 39.9587248, 116.3109172 39.9587183, 116.310926 39.9586102, 116.3106091 39.9585818, 116.3105981 39.9587348, 116.3108495 39.9587535, 116.3108261 39.9589737, 116.3105638 39.9589549, 116.3105498 39.9591064, 116.310887 39.9591298, 116.3108838 39.9591641, 116.3112398 39.9591844))","[1231172132, 1231168361, 1231170678, 1231167871, 1231170227, 1231168441, 1231170736, 1231167957, 1231170305, 1231172334, 1231169742, 1231171952, 1231169135, 1231170504, 1231172515, 1231170012, 1231172100, 1231169381, 1231171756, 1231168814, 1231172132]","Bing, 2005-04",,,,
way,107087310,yes,,,,,,"POLYGON ((116.3122596 39.9560631, 116.3132607 39.9560358, 116.3132626 39.9560709, 116.3134831 39.9560651, 116.3134827 39.9558479, 116.3123753 39.9558772, 116.3123753 39.9558308, 116.3122411 39.9558308, 116.3122411 39.9558918, 116.3122573 39.9558924, 116.3122596 39.9560631))","[1231171740, 1231167779, 1231170111, 1231172185, 1231171843, 1231167986, 1231170352, 1231172361, 1231169790, 1231171984, 1231171740]","Bing, 2005-04",,,,
way,107087311,yes,,,,,,"POLYGON ((116.3117084 39.9562066, 116.3117108 39.9561215, 116.3115909 39.9561214, 116.3115897 39.955964, 116.3121367 39.9559591, 116.3121317 39.9561052, 116.3118008 39.9561127, 116.3117986 39.9562032, 116.3117084 39.9562066))","[1231171344, 1231172307, 1231169671, 1231170884, 1231168117, 1231170470, 1231172471, 1231169960, 1231171344]","Bing, 2005-04",,,,
way,107087312,yes,,,,,,"POLYGON ((116.3162213 39.9572742, 116.3164439 39.9572894, 116.3164603 39.9571488, 116.3162377 39.9571336, 116.3162213 39.9572742))","[1231171092, 1231172111, 1231168279, 1231169393, 1231171092]","Bing, 2005-04",,,,
way,107087313,yes,,七号教学楼,七号教学楼,七号教学楼,七號教學樓,"POLYGON ((116.3103051 39.9570434, 116.3103375 39.9570447, 116.3103375 39.9570572, 116.3103113 39.9570721, 116.3103076 39.9570959, 116.3103163 39.9571258, 116.3103425 39.9571433, 116.3103662 39.9571496, 116.3104162 39.9571508, 116.3104487 39.9571383, 116.3104599 39.9571183, 116.3104587 39.9570946, 116.3104437 39.9570771, 116.3104287 39.9570634, 116.3104299 39.9570484, 116.3105686 39.9570472, 116.3105873 39.9570621, 116.3105886 39.9570809, 116.3106398 39.9570834, 116.3106423 39.9570472, 116.310686 39.9570472, 116.3106772 39.9572745, 116.3106298 39.9572745, 116.310621 39.9572845, 116.3106231 39.9572932, 116.3106327 39.957298, 116.3106417 39.9572979, 116.310643 39.9573598, 116.3108162 39.9573768, 116.3108675 39.957411, 116.3109236 39.9574329, 116.3110016 39.95745, 116.311026 39.9574525, 116.3110309 39.9573183, 116.3109821 39.9573037, 116.310965 39.9572841, 116.3110065 39.9572427, 116.3110467 39.9572598, 116.3110732 39.9572535, 116.311106 39.9572363, 116.3111154 39.9571911, 116.3111279 39.9572285, 116.3111372 39.9572504, 116.3114151 39.9572582, 116.3114167 39.9571864, 116.3113995 39.9571505, 116.3113683 39.9570927, 116.3113152 39.9570396, 116.3112902 39.9570521, 116.3112059 39.9569709, 116.3110217 39.9571146, 116.3109999 39.9570974, 116.3109671 39.9570912, 116.3109343 39.9571036, 116.3109202 39.9571255, 116.3109187 39.9571474, 116.3109327 39.9571739, 116.3107891 39.9572801, 116.3108078 39.9569897, 116.3108391 39.9569912, 116.3108375 39.9570084, 116.3111154 39.9570131, 116.3111169 39.9569694, 116.3112076 39.9569674, 116.3112112 39.9568853, 116.3106532 39.956878, 116.3106532 39.9569248, 116.3106345 39.9568944, 116.3106079 39.9568709, 116.3105634 39.9568519, 116.3105378 39.956847, 116.3104794 39.956847, 116.3104459 39.9568622, 116.3104203 39.9568837, 116.3104011 39.9569037, 116.3103084 39.9569029, 116.3103051 39.9570434))","[1231171915, 1231168041, 1231170401, 1231172408, 1231169876, 1231172029, 1231169234, 1231171637, 1231172604, 1231170081, 1231172165, 1231169508, 1231171821, 1231168918, 1231171342, 1231168492, 1231171885, 1231168984, 1231171430, 1231168545, 1231170904, 1231168121, 1231170472, 1231172485, 1231168716, 1231171138, 1231168330, 1231170662, 1231167852, 1231170191, 1231172241, 1231169614, 1231170252, 1231172299, 1231169664, 1231171913, 1231169071, 1231171493, 1231168584, 1231170969, 1231172064, 1231169306, 1231171699, 1231168757, 1231171184, 1231168386, 1231170703, 1231167903, 1231170753, 1231167980, 1231170346, 1231172349, 1231169760, 1231171982, 1231168150, 1231170528, 1231172536, 1231170035, 1231172120, 1231169430, 1231171781, 1231168842, 1231168029, 1231170384, 1231172384, 1231169830, 1231172001, 1231171604, 1231168687, 1231170056, 1231172148, 1231169477, 1231171792, 1231168884, 1231171329, 1231168475, 1231171915]","Bing, 2005-04",,,,
way,107087315,yes,,,,,,"POLYGON ((116.3125591 39.9599428, 116.312634 39.959946, 116.3126387 39.9598797, 116.3125638 39.9598766, 116.3125591 39.9599428))","[1231172096, 1231168274, 1231169376, 1231170619, 1231172096]","Bing, 2005-04",,,,
way,107087316,yes,,,,,,"POLYGON ((116.3155762 39.9570888, 116.3158616 39.9570986, 116.3158654 39.9570324, 116.31558 39.9570226, 116.3155762 39.9570888))","[1231169063, 1231170394, 1231171477, 1231172393, 1231169063]","Bing, 2005-04",,,,
way,107087317,yes,,,,,,"POLYGON ((116.3054271 39.9591022, 116.306483 39.9591173, 116.3064854 39.9590173, 116.3054295 39.9590022, 116.3054271 39.9591022))","[1231170772, 1231168983, 1231167985, 1231171879, 1231170772]","Bing, 2005-04",,,,
way,107087318,yes,,,,,,"POLYGON ((116.3112922 39.9599753, 116.3109378 39.9599675, 116.3109503 39.9594226, 116.311261 39.9594289, 116.3112579 39.9595538, 116.3111002 39.9595538, 116.3110908 39.9598441, 116.3112922 39.9598473, 116.3112922 39.9599753))","[1231168017, 1231169020, 1231171455, 1231168560, 1231170940, 1231168145, 1231169270, 1231171676, 1231168017]","Bing, 2005-04",,,,
way,107087321,yes,,,,,,"POLYGON ((116.3122024 39.956692, 116.3122024 39.9564188, 116.3123024 39.9564236, 116.3123024 39.9563944, 116.3124366 39.9563992, 116.3124439 39.9566895, 116.3122024 39.956692))","[1231168840, 1231170169, 1231172232, 1231169595, 1231171868, 1231168975, 1231168840]","Bing, 2005-04",,,,
way,107087322,yes,,,,,,"POLYGON ((116.3120736 39.9599163, 116.3122406 39.9599225, 116.3122477 39.9598104, 116.3120807 39.9598042, 116.3120736 39.9599163))","[1231172362, 1231168546, 1231169792, 1231170908, 1231172362]","Bing, 2005-04",,,,
way,107087323,yes,,图书馆,图书馆,图书馆,圖書館,"POLYGON ((116.3134107 39.9576524, 116.3134381 39.9574756, 116.3137308 39.957506, 116.3137552 39.9573475, 116.3135052 39.9573292, 116.3135174 39.9572713, 116.3134838 39.9572713, 116.3134838 39.9572164, 116.3135296 39.9572194, 116.3135326 39.9571798, 116.3138772 39.9572103, 116.3138802 39.9571706, 116.3137705 39.9571645, 116.3137948 39.9569115, 116.3138274 39.9569139, 116.3138446 39.9567796, 116.3142255 39.9568109, 116.3142331 39.9567432, 116.3144739 39.9567462, 116.314477 39.9567767, 116.3145136 39.9567798, 116.3145105 39.956917, 116.3145319 39.9569597, 116.3145288 39.9569962, 116.3145044 39.9570511, 116.3144678 39.9570847, 116.3144221 39.9574475, 116.3144465 39.9574482, 116.3144377 39.9575896, 116.3138718 39.9575447, 116.3138503 39.9576833, 116.3134107 39.9576524))","[1231169795, 1231170912, 1231168126, 1231170498, 1231172507, 1231170003, 1231172091, 1231170545, 1231172571, 1231170052, 1231172136, 1231169470, 1231171790, 1231168876, 1231171306, 1231172329, 1231169705, 1231171938, 1231169125, 1231171535, 1231168623, 1231171008, 1231168180, 1231172175, 1231169520, 1231171835, 1231168920, 1231171363, 1231168494, 1231170825, 1231168068, 1231169795]","Bing, 2005-04",,,,
way,107087324,yes,,研究生教学楼,研究生教学楼,研究生教学楼,研究生教學樓,"POLYGON ((116.3124435 39.9563648, 116.3121289 39.9563672, 116.3121289 39.9563965, 116.3115175 39.9563943, 116.311519 39.9563721, 116.3113166 39.9563721, 116.311319 39.9562575, 116.3116776 39.9562575, 116.3116776 39.9562136, 116.3119801 39.9562063, 116.3119776 39.9562526, 116.312446 39.9562526, 116.3124435 39.9563648))","[1231168573, 1231169843, 1231172014, 1231169217, 1231171613, 1231168695, 1231171109, 1231168312, 1231170632, 1231168780, 1231171208, 1231168403, 1231168573]","Bing, 2005-04",,,,
