u,v,key,osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,service,access,bridge
566601407,9956308568,0,13340670,San Pasqual Street,residential,False,False,8.201,15 mph,"LINESTRING (-118.122186 34.1378183, -118.1220969 34.1378178)",,,,
566601407,566601396,0,13340670,San Pasqual Street,residential,False,True,18.576,15 mph,"LINESTRING (-118.122186 34.1378183, -118.1223878 34.1378213)",,,,
566601407,566601398,0,589385780,,footway,False,False,44.723,,"LINESTRING (-118.122186 34.1378183, -118.1221854 34.1376657, -118.1222913 34.1375846, -118.1222974 34.1374545)",,,,
566601414,566601401,0,44635174,Olive Walk,footway,False,False,30.514,,"LINESTRING (-118.1220679 34.1368535, -118.1223994 34.1368581)",,,,
566601414,5628158639,0,589385779,,footway,False,False,22.595,,"LINESTRING (-118.1220679 34.1368535, -118.1220677 34.1366503)",,,,
566601414,5628158633,0,589385786,,footway,False,True,46.973,,"LINESTRING (-118.1220679 34.1368535, -118.1220685 34.1370394, -118.1220738 34.1372759)",,,,
566601416,566601404,0,844085218,,footway,False,False,15.425,,"LINESTRING (-118.1220705 34.1364696, -118.1222381 34.136469)",,,,
566601416,5628158639,0,844085218,,footway,False,True,20.095,,"LINESTRING (-118.1220705 34.1364696, -118.1220677 34.1366503)",,,,
566601416,7867247155,0,"[843396169, 589385787]",,"['steps', 'footway']",False,False,10.206,,"LINESTRING (-118.1220705 34.1364696, -118.1220209 34.1364694, -118.1219937 34.1364705, -118.1219615 34.1364797)",,,,
566601421,566601665,0,44635132,San Pasqual Walk,cycleway,False,False,12.388,,"LINESTRING (-118.123672 34.1378743, -118.1235402 34.1378517)",,,,
566601421,566601426,0,"[44635104, 843856969]",,"['service', 'footway']",False,"[False, True]",62.447,5 mph,"LINESTRING (-118.123672 34.1378743, -118.1236594 34.138241, -118.1235853 34.1383378, -118.1235817 34.1384179)",,,,
566601421,566601655,0,44635132,San Pasqual Walk,cycleway,False,True,40.195,,"LINESTRING (-118.123672 34.1378743, -118.1237337 34.1378677, -118.1240492 34.1377607, -118.1240826 34.137758)",,,,
566601424,844352140,0,44635105,,cycleway,False,False,9.558,,"LINESTRING (-118.1245284 34.1383719, -118.1244247 34.1383765)",,,,
