element_type,osmid,amenity,geometry,operator,addr:postcode,building,name,website,access,parking,nodes,building:levels,building:material,official_name,source,source_ref,wikidata,building:levels:underground,roof:shape,created_by,fee,operator:type,ref,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,old_name,start,alt_name,old_name:-1960,old_name:1960-2017,wikipedia,opening_hours,addr:housename,ways,type
way,44635050,,"POLYGON ((-118.127082 34.136539, -118.1270622 34.1365409, -118.1269956 34.1365412, -118.1268978 34.1365412, -118.1268932 34.1361977, -118.1270876 34.136201, -118.127082 34.136539))",,,yes,Linde Laboratory for Global Environmental Science,,,,"[566600989, 566600997, 10769222490, 566600991, 566600993, 566600994, 566600989]",,,,,,Q62641303,,,,,,,,,,,,,,Robinson Laboratory of Astrophysics,1932,,,,,,,,
way,44635051,,"POLYGON ((-118.1276069 34.1367045, -118.1270597 34.1367055, -118.1270622 34.1365409, -118.127082 34.136539, -118.1274641 34.1365459, -118.1276006 34.1365443, -118.1276069 34.1367045))",,,yes,North Mudd,,,,"[566600995, 566600996, 566600997, 566600989, 571720492, 571720491, 566600995]",,,Seeley W. Mudd Laboratory of the Geological Sciences,,,Q62641306,,,,,,,,,,,,,,,,,,,,,,,
way,44635054,,"POLYGON ((-118.124044 34.1366001, -118.1237771 34.1366001, -118.1237731 34.1361072, -118.124044 34.1361028, -118.124044 34.136236, -118.124044 34.1366001))",,,yes,Synchrotron Building,,,,"[566601002, 566601003, 566601004, 571720331, 566601077, 566601002]",,,,,,Q62796132,,,,,,,,,,,,,,,,,,,,,,,
way,44635056,,"POLYGON ((-118.1240816 34.1366734, -118.1240816 34.1367133, -118.1236846 34.1367111, -118.1236819 34.1366001, -118.1237771 34.1366001, -118.124044 34.1366001, -118.1241955 34.1366034, -118.1241996 34.1366767, -118.1240816 34.1366734))",,,yes,Firestone Flight Sciences Laboratory,,,,"[571720326, 571720327, 566601011, 571720328, 566601003, 566601002, 571720329, 571720330, 571720326]",3,plaster,,,,Q62641323,,,,,,,,,,,,,,,,,,,,,,,
way,44635057,,"POLYGON ((-118.125487 34.1365513, -118.1253441 34.136549, -118.1252725 34.1365479, -118.1252698 34.1363992, -118.1252698 34.1361994, -118.1254934 34.1362021, -118.125487 34.1365513))",,,yes,Linde Hall of Mathematics and Physics,,,,"[566601016, 10769222478, 566601020, 571720325, 566601021, 566601022, 566601016]",3,,,,,Q62641297,,,,,,,,,,,,,,,1923,High Volts,High Voltage Research Laboratory,Sloan Laboratory for Mathematics and Physics,,,,,
way,44635058,,"POLYGON ((-118.1252725 34.1365479, -118.1250209 34.1365465, -118.1250225 34.1364028, -118.1252698 34.1363992, -118.1252725 34.1365479))",,,yes,Kellogg Radiation Laboratory,,,,"[566601020, 571720347, 566601025, 571720325, 566601020]",,,,,,Q62641301,,,,,,,,,,,,,,,,,,,,,,,
way,44635060,,"POLYGON ((-118.1254868 34.1375482, -118.125404 34.1375479, -118.125324 34.1375476, -118.1253238 34.1372839, -118.1251889 34.137284, -118.1250161 34.1372841, -118.1250181 34.1371912, -118.1254887 34.137193, -118.1254868 34.1375482))",,,yes,Dabney Hall,,,,"[566601034, 11072308596, 566601035, 566601036, 11068265089, 571718842, 571718845, 566601040, 566601034]",3,plaster,,,,Q62641298,,,,,,,,,,,,,,,,,,,,,,,
way,44635061,,"POLYGON ((-118.1248956 34.13671, -118.1241982 34.1367089, -118.1241996 34.1366767, -118.1241955 34.1366034, -118.1241969 34.136569, -118.1242318 34.1365712, -118.1242304 34.1364669, -118.124453 34.1364691, -118.124453 34.1364247, -118.1245174 34.1364269, -118.1245174 34.1365457, -118.1247146 34.136549, -118.1247159 34.1365724, -118.1247856 34.1365735, -118.1248956 34.1365724, -118.1248956 34.13671))",,,yes,Guggenheim Aeronautical Laboratory,,,,"[566601042, 566601043, 571720330, 571720329, 571720341, 571720342, 566601045, 566601046, 571720343, 571720344, 566601047, 571720345, 571720346, 571720338, 566601048, 566601042]",3,plaster,,,,Q31680,,,,,,,,,,,,,,,,,,,en:Guggenheim Aeronautical Laboratory,,,,
way,44635062,,"POLYGON ((-118.1248956 34.1365724, -118.1247856 34.1365735, -118.1247883 34.1364813, -118.1247682 34.1364813, -118.1247669 34.1364625, -118.1246086 34.1364636, -118.1246086 34.136377, -118.1248916 34.1363759, -118.1248956 34.1365724))",,,yes,Kármán Laboratory of Fluid Mechanics and Jet Propulsion,,,,"[566601048, 571720338, 566601053, 571720339, 571720340, 566601055, 566601056, 566601057, 566601048]",,,,,,Q62641321,,,,,,,,,,,,,,,,,,,,,,,
way,44635063,,"POLYGON ((-118.124842 34.1362382, -118.1247528 34.1362366, -118.1247508 34.1362738, -118.1245281 34.1362738, -118.1245194 34.1360989, -118.1245176 34.1360759, -118.1247581 34.1360767, -118.1247581 34.1360978, -118.1248373 34.1360967, -118.124842 34.1362382))",,,yes,Downs Laboratory of Physics,,,,"[566601059, 571720333, 571720334, 566601061, 571720335, 566601063, 571720336, 571720337, 566601066, 566601059]",,,,,,Q62641335,,,,,,,,,,,,,,,,,,,,,,,
