element_type,osmid,geometry,access,building,name,nodes,addr:city,addr:district,addr:province,addr:street,building:levels,layer,amenity,alt_name,leisure,lit,sport,office,tourism,man_made,tower:type,ways,height,type,internet_access,internet_access:fee,internet_access:ssid,operator,operator:type
way,924350933,"POLYGON ((120.1756355 35.9460778, 120.1755809 35.9459513, 120.1756726 35.945925, 120.1757214 35.9460487, 120.1756355 35.9460778))",,school,,"[8579026173, 8579026174, 8579026175, 8579026176, 8579026173]",,,,,,,,,,,,,,,,,,,,,,,
way,924350935,"POLYGON ((120.1736731 35.9457421, 120.1741403 35.9460096, 120.1741855 35.9460355, 120.1743214 35.9458613, 120.1738146 35.9455679, 120.1736731 35.9457421))",,school,换热站,"[8579026182, 8771922646, 8579026183, 8579026184, 8579026185, 8579026182]",,,,,,,,,,,,,,,,,,,,,,,
way,924350936,"POLYGON ((120.1741289 35.9456527, 120.1743922 35.9457856, 120.1745508 35.9456045, 120.1742988 35.9454624, 120.1741289 35.9456527))",,school,变电站,"[8579026186, 8579026187, 8579026188, 8579026189, 8579026186]",,,,,,,,,,,,,,,,,,,,,,,
way,926721529,"POLYGON ((120.1764609 35.948799, 120.1765199 35.9488077, 120.1765285 35.9487478, 120.1764716 35.9487417, 120.1764609 35.948799))",,yes,,"[8599197713, 8599197714, 8599197715, 8599197716, 8599197713]",,,,,,,,,,,,,,,,,,,,,,,
way,930076460,"POLYGON ((120.1650088 35.9428563, 120.1650936 35.94281, 120.1652759 35.9427716, 120.1653084 35.9427738, 120.1654636 35.9427845, 120.1656354 35.9428471, 120.1655808 35.9427423, 120.1655422 35.9426555, 120.1655272 35.9425773, 120.1655453 35.942466, 120.1654872 35.9425276, 120.1654095 35.9425693, 120.1653194 35.9425887, 120.1652263 35.9425836, 120.1651402 35.9425546, 120.1650702 35.9425047, 120.1650959 35.9425964, 120.1650851 35.9427024, 120.1650594 35.9427875, 120.1650088 35.9428563))",,school,,"[8624585895, 8579025279, 8579025278, 8629536084, 8579025277, 8579025270, 8624585896, 8624585897, 8624585898, 8579025284, 8579025283, 8579025301, 8579025300, 8579025299, 8579025298, 8579025297, 8624585899, 8624585900, 8624585901, 8624585895]",,,,,,-1,,,,,,,,,,,,,,,,,
way,930702711,"POLYGON ((120.1771924 35.9416751, 120.1772148 35.9416895, 120.1772334 35.941668, 120.1772109 35.9416511, 120.1771924 35.9416751))",,school,,"[8629536126, 8629536127, 8629536128, 8629536129, 8629536126]",,,,,,,,,,,,,,,,,,,,,,,
way,930702715,"POLYGON ((120.1704027 35.9405543, 120.1704531 35.9404954, 120.1705017 35.9405226, 120.1704494 35.9405801, 120.1704027 35.9405543))",,school,水源站,"[8629536140, 8629536141, 8629536142, 8629536143, 8629536140]",,,,,,,,,,,,,,,,,,,,,,,
way,930702736,"POLYGON ((120.165891 35.9443063, 120.1659639 35.9443445, 120.1660777 35.9442177, 120.1660111 35.9441743, 120.165891 35.9443063))",,yes,,"[8629536248, 8629536249, 8629536250, 8629536251, 8629536248]",,,,,,,,,,,,,,,,,,,,,,,
way,930702738,"POLYGON ((120.1694767 35.9433141, 120.16973 35.9434629, 120.1698227 35.9433645, 120.169906 35.9432762, 120.1696647 35.9431269, 120.1694767 35.9433141))",,school,行政中心,"[8579025255, 8629536259, 8629536261, 8629536260, 8579025253, 8579025255]",,,,,,,,,,,,,,,,,,,,,,,
way,930702758,"POLYGON ((120.1678808 35.9426503, 120.1682474 35.9428693, 120.168479 35.9426198, 120.1680993 35.9423988, 120.1679764 35.9425426, 120.1678808 35.9426503))",,school,,"[8579025230, 8629536348, 8629536349, 8629536350, 8579025234, 8579025230]",,,,,,,,,,,,,,,,,,,,,,,
way,932310170,"POLYGON ((120.1701431 35.9405294, 120.1692974 35.940042, 120.1694575 35.9398582, 120.1698145 35.9400731, 120.1702905 35.9403597, 120.1701431 35.9405294))",,apartments,18号学生公寓,"[8629536185, 7983889668, 7983889669, 8668650571, 7983889670, 8629536185]",,,,,,,,,,,,,,,,,,,,,,,
way,935425216,"POLYGON ((120.1718424 35.9396543, 120.1718169 35.9396417, 120.1717923 35.9396291, 120.1717631 35.9396669, 120.1718112 35.9396923, 120.1718424 35.9396543))",,yes,,"[8579025644, 8668650561, 8668650563, 8668650562, 8668650564, 8579025644]",,,,,,,,,,,,,,tower,钟塔,,,,,,,,
way,941786165,"POLYGON ((120.1671844 35.9430209, 120.167208 35.9430357, 120.1672305 35.9430114, 120.1672058 35.9429958, 120.1671844 35.9430209))",,school,,"[8721515813, 8721515814, 8721515815, 8721515816, 8721515813]",,,,,,,,,,,,,,,,,,,,,,,
way,1099621881,"POLYGON ((120.1781327 35.9477969, 120.1780966 35.9477808, 120.1781155 35.9477504, 120.1781522 35.9477655, 120.1781327 35.9477969))",,yes,,"[10066583871, 10066583872, 10066583873, 10066583874, 10066583871]",,,,,,,shelter,,,,,,,,,,,,,,,,
