osmid,y,x,highway,street_count,geometry
2240260166,42.0591906,-87.6755485,,4,POINT (-87.6755485 42.0591906)
2240260173,42.0592437,-87.6752893,,4,POINT (-87.6752893 42.0592437)
2240260191,42.0593857,-87.6747988,crossing,4,POINT (-87.6747988 42.0593857)
2240260192,42.0593859,-87.6750431,,5,POINT (-87.6750431 42.0593859)
2240260194,42.0594136,-87.6755612,,4,POINT (-87.6755612 42.0594136)
2240260195,42.0594125,-87.6755166,,3,POINT (-87.6755166 42.0594125)
2240260199,42.0594533,-87.6760895,,3,POINT (-87.6760895 42.0594533)
2240260204,42.0594537,-87.6759725,,4,POINT (-87.6759725 42.0594537)
2240260231,42.059768,-87.6759763,,3,POINT (-87.6759763 42.059768)
2240260232,42.0597733,-87.6765727,,3,POINT (-87.6765727 42.0597733)
2240260233,42.0597776,-87.6771069,,3,POINT (-87.6771069 42.0597776)
2240260242,42.0601363,-87.6747881,,3,POINT (-87.6747881 42.0601363)
2240260243,42.0601365,-87.674925,,3,POINT (-87.674925 42.0601365)
2240260244,42.0601444,-87.6751627,,3,POINT (-87.6751627 42.0601444)
2240260246,42.0601772,-87.6754426,,3,POINT (-87.6754426 42.0601772)
2240260250,42.0602631,-87.6755205,,3,POINT (-87.6755205 42.0602631)
2240260268,42.0606646,-87.67535,,4,POINT (-87.67535 42.0606646)
2240260270,42.0606924,-87.6742044,,3,POINT (-87.6742044 42.0606924)
2240260272,42.0607021,-87.6750681,,3,POINT (-87.6750681 42.0607021)
2240260277,42.0607842,-87.6752494,,4,POINT (-87.6752494 42.0607842)
2240260279,42.0607989,-87.6759654,,4,POINT (-87.6759654 42.0607989)
2240260281,42.0608701,-87.6754598,,4,POINT (-87.6754598 42.0608701)
2240260286,42.0608898,-87.6751515,,3,POINT (-87.6751515 42.0608898)
2240260308,42.0611625,-87.6747713,,1,POINT (-87.6747713 42.0611625)
2241226632,42.0548671,-87.675077,,1,POINT (-87.675077 42.0548671)
2241226650,42.0543963,-87.6766822,,1,POINT (-87.6766822 42.0543963)
2241226669,42.0553908,-87.674143,,3,POINT (-87.674143 42.0553908)
2241226731,42.0509656,-87.6765895,,3,POINT (-87.6765895 42.0509656)
2241226812,42.0545116,-87.6764136,,1,POINT (-87.6764136 42.0545116)
2241226841,42.0518451,-87.6756127,,3,POINT (-87.6756127 42.0518451)
2241226864,42.0538816,-87.674048,,3,POINT (-87.674048 42.0538816)
2241226883,42.054397,-87.676697,,3,POINT (-87.676697 42.054397)
2241226898,42.0550221,-87.6750899,,1,POINT (-87.6750899 42.0550221)
2241226920,42.054865,-87.6752372,,3,POINT (-87.6752372 42.054865)
2241226944,42.054121,-87.6754558,,3,POINT (-87.6754558 42.054121)
2241226973,42.0548086,-87.6764814,,1,POINT (-87.6764814 42.0548086)
2241227010,42.0510808,-87.6764948,,1,POINT (-87.6764948 42.0510808)
2241227052,42.0518871,-87.6758402,,1,POINT (-87.6758402 42.0518871)
2241227054,42.0517525,-87.6760041,,1,POINT (-87.6760041 42.0517525)
2241227109,42.0553908,-87.6744386,,1,POINT (-87.6744386 42.0553908)
2241289408,42.0525039,-87.6750385,,1,POINT (-87.6750385 42.0525039)
2241289434,42.0527021,-87.6754149,,5,POINT (-87.6754149 42.0527021)
2241289446,42.0519134,-87.6756014,,3,POINT (-87.6756014 42.0519134)
2241471944,42.060684,-87.6770913,,3,POINT (-87.6770913 42.060684)
2241503341,42.0550255,-87.6778876,,3,POINT (-87.6778876 42.0550255)
2241503369,42.0538561,-87.6785022,,3,POINT (-87.6785022 42.0538561)
2241503404,42.0530287,-87.6772283,,3,POINT (-87.6772283 42.0530287)
2241503416,42.053129,-87.6778381,,1,POINT (-87.6778381 42.053129)
2241503449,42.0538497,-87.6779442,,3,POINT (-87.6779442 42.0538497)
2241512490,42.0523915,-87.6785037,,3,POINT (-87.6785037 42.0523915)
2241512497,42.052087,-87.6785051,,3,POINT (-87.6785051 42.052087)
2538755246,42.0554464,-87.675542,,4,POINT (-87.675542 42.0554464)
2563191127,42.0562861,-87.6754358,,4,POINT (-87.6754358 42.0562861)
2648980402,42.057349,-87.6730672,crossing,4,POINT (-87.6730672 42.057349)
2648980404,42.059031,-87.6728612,crossing,4,POINT (-87.6728612 42.059031)
2805145931,42.0507586,-87.6734559,,1,POINT (-87.6734559 42.0507586)
2824726745,42.0561818,-87.673544,turning_circle,3,POINT (-87.673544 42.0561818)
2824726754,42.0555554,-87.6738876,,3,POINT (-87.6738876 42.0555554)
2824726760,42.0556244,-87.6740921,,3,POINT (-87.6740921 42.0556244)
3416729819,42.0597772,-87.6769674,crossing,4,POINT (-87.6769674 42.0597772)
3416729820,42.060683,-87.6769556,crossing,4,POINT (-87.6769556 42.060683)
3563876593,42.0608004,-87.6760504,,1,POINT (-87.6760504 42.0608004)
3563880093,42.0608988,-87.6751159,,1,POINT (-87.6751159 42.0608988)
3601154433,42.0508717,-87.6711574,,3,POINT (-87.6711574 42.0508717)
3673947021,42.0516822,-87.6719619,,3,POINT (-87.6719619 42.0516822)
3673954426,42.0508373,-87.6718955,,3,POINT (-87.6718955 42.0508373)
3673954428,42.0513132,-87.6734673,,3,POINT (-87.6734673 42.0513132)
3673954438,42.0517393,-87.671734,,3,POINT (-87.671734 42.0517393)
3673954441,42.0516732,-87.6720807,,4,POINT (-87.6720807 42.0516732)
3673954463,42.051656,-87.6722025,,4,POINT (-87.6722025 42.051656)
3673957073,42.0522343,-87.6723103,,3,POINT (-87.6723103 42.0522343)
3673957076,42.0523755,-87.6722421,,3,POINT (-87.6722421 42.0523755)
3775974464,42.0590377,-87.6745982,,3,POINT (-87.6745982 42.0590377)
3775974465,42.0590971,-87.6745982,crossing,4,POINT (-87.6745982 42.0590971)
3797194073,42.0513045,-87.6779472,,3,POINT (-87.6779472 42.0513045)
3797194074,42.0508096,-87.6784417,,4,POINT (-87.6784417 42.0508096)
3797194076,42.051552,-87.6799443,,5,POINT (-87.6799443 42.051552)
3797194077,42.0517505,-87.6796296,,3,POINT (-87.6796296 42.0517505)
3797194078,42.0521037,-87.6795975,crossing,4,POINT (-87.6795975 42.0521037)
3797194080,42.0515639,-87.6813758,,1,POINT (-87.6813758 42.0515639)
3797194081,42.0515563,-87.6809448,,3,POINT (-87.6809448 42.0515563)
3797194082,42.0517374,-87.6809444,,3,POINT (-87.6809444 42.0517374)
3797194084,42.0515552,-87.680261,,3,POINT (-87.680261 42.0515552)
3797194085,42.051731,-87.6806686,,3,POINT (-87.6806686 42.051731)
3797194088,42.05156,-87.6779476,,4,POINT (-87.6779476 42.05156)
3797194090,42.0508829,-87.6799836,,4,POINT (-87.6799836 42.0508829)
3797194092,42.0504056,-87.6803892,,3,POINT (-87.6803892 42.0504056)
3797194094,42.0507162,-87.6794888,,3,POINT (-87.6794888 42.0507162)
3797194096,42.055585,-87.6741407,crossing,4,POINT (-87.6741407 42.055585)
3797194099,42.0557936,-87.6747926,,3,POINT (-87.6747926 42.0557936)
3797194102,42.0569283,-87.6741492,,3,POINT (-87.6741492 42.0569283)
3797194103,42.0570653,-87.6743267,,3,POINT (-87.6743267 42.0570653)
3797194104,42.0573757,-87.6747189,,3,POINT (-87.6747189 42.0573757)
3797194105,42.0570651,-87.6741483,,3,POINT (-87.6741483 42.0570651)
3797194107,42.0575665,-87.6731546,,3,POINT (-87.6731546 42.0575665)
3797194110,42.0580487,-87.6731302,,3,POINT (-87.6731302 42.0580487)
3797194115,42.0560869,-87.6739813,,3,POINT (-87.6739813 42.0560869)
3797194116,42.0570631,-87.6739704,,3,POINT (-87.6739704 42.0570631)
3797201521,42.0553395,-87.6735576,,3,POINT (-87.6735576 42.0553395)
3797202588,42.0511874,-87.6719926,,1,POINT (-87.6719926 42.0511874)
3797202589,42.0513552,-87.6719816,,1,POINT (-87.6719816 42.0513552)
3797202591,42.0511021,-87.6732417,,3,POINT (-87.6732417 42.0511021)
3797202595,42.0510209,-87.6720132,,1,POINT (-87.6720132 42.0510209)
3940418100,42.051085,-87.6783534,,3,POINT (-87.6783534 42.051085)
4146460819,42.0525452,-87.6711306,,3,POINT (-87.6711306 42.0525452)
4569905565,42.0526482,-87.679604,,1,POINT (-87.679604 42.0526482)
4569905567,42.0532461,-87.6773941,,3,POINT (-87.6773941 42.0532461)
4569905568,42.0521337,-87.6774199,,3,POINT (-87.6774199 42.0521337)
4569905569,42.0521365,-87.677954,,3,POINT (-87.677954 42.0521365)
4583812697,42.0555763,-87.6754335,,3,POINT (-87.6754335 42.0555763)
4598556861,42.0500857,-87.677798,,3,POINT (-87.677798 42.0500857)
4598556864,42.0498717,-87.6769805,,3,POINT (-87.6769805 42.0498717)
4614107407,42.0610784,-87.6779938,,3,POINT (-87.6779938 42.0610784)
4614107408,42.0610784,-87.6787091,,3,POINT (-87.6787091 42.0610784)
4614607103,42.0578526,-87.6728933,,3,POINT (-87.6728933 42.0578526)
4701551512,42.0511039,-87.6782772,,3,POINT (-87.6782772 42.0511039)
4701551516,42.0509971,-87.6773494,crossing,4,POINT (-87.6773494 42.0509971)
4701551517,42.0507064,-87.6765824,crossing,4,POINT (-87.6765824 42.0507064)
4701556705,42.0510465,-87.6775054,,4,POINT (-87.6775054 42.0510465)
4701556707,42.0512696,-87.6777006,,3,POINT (-87.6777006 42.0512696)
