element_type,osmid,amenity,geometry,nodes,name,parking,building,access,fee,operator,operator:type,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,source,bldgdescl,building:levels,capacity,maxstay,supervised
way,453031396,parking,"POLYGON ((-87.6913858 42.0643792, -87.6913719 42.0649195, -87.6913376 42.0650339, -87.6912547 42.0652721, -87.6912396 42.0653552, -87.6912369 42.0655847, -87.6912747 42.0656692, -87.6912653 42.0659006, -87.69111 42.0659914, -87.6911043 42.0663402, -87.690486 42.0663352, -87.690493 42.0659462, -87.6905095 42.0653628, -87.6905139 42.0652724, -87.6905918 42.0652724, -87.690607 42.0647715, -87.6908505 42.0647729, -87.6908539 42.0643768, -87.6913858 42.0643792))","[4498380587, 8498322890, 4498381044, 4498381053, 8498322892, 4498381054, 8498322895, 8498322894, 8498322897, 4498381056, 4498381055, 8498322898, 8498322899, 8498322901, 8498322900, 8498322893, 4498381018, 4498380586, 4498380587]",Ryan Field East Parking,paved,,,,,,,,,,,,,,,,
way,475310537,parking,"POLYGON ((-87.6744766 42.0497816, -87.6745056 42.0497668, -87.6745164 42.0496278, -87.6745471 42.0492344, -87.6745255 42.0492162, -87.6744766 42.0497816))","[1935895575, 1842860627, 4837683789, 1842860600, 4690746704, 1935895575]",,,,,,,,,,,,,,,,,,
way,480321731,parking,"POLYGON ((-87.6734161 42.0561335, -87.6733448 42.0561327, -87.673348 42.055992, -87.6733661 42.0558979, -87.6734129 42.0557944, -87.6734747 42.0556972, -87.6735854 42.0555873, -87.6736386 42.0556197, -87.6735353 42.0557185, -87.6734736 42.0558118, -87.6734342 42.0559114, -87.6734172 42.0560015, -87.6734161 42.0561335))","[4733228924, 4837676164, 4837676163, 4837676162, 4837676161, 4837676160, 4837676159, 4837676158, 4733228932, 4733228933, 4733228934, 4733228935, 4733228924]",,,,,,,,,,,,,,,,,,
way,484583202,parking,"POLYGON ((-87.6739892 42.0517958, -87.6740043 42.0517452, -87.6736884 42.0517005, -87.6736769 42.0517511, -87.6739892 42.0517958))","[4773304619, 4773304620, 4773319821, 4773319822, 4773304619]",Handicapped Parking,,,,,,,,,,,,,,,,,
way,484583206,parking,"POLYGON ((-87.6738162 42.0507394, -87.6738532 42.0507499, -87.6739705 42.0507814, -87.674049 42.050803, -87.673982 42.0509431, -87.6739761 42.0509552, -87.6739716 42.0509644, -87.6739589 42.0509903, -87.6737649 42.0509382, -87.6737274 42.0509267, -87.6737497 42.0508796, -87.6737895 42.0507954, -87.6738162 42.0507394))","[2240103575, 388499340, 388499341, 4773319864, 4777170340, 8728783340, 4779388857, 4773319865, 388499352, 4773319866, 4773319878, 2240103602, 2240103575]",,,,,,,,,,,,,,,,,,
way,484715680,parking,"POLYGON ((-87.6740367 42.0512236, -87.6740406 42.0512154, -87.6740515 42.0511929, -87.6740609 42.0511733, -87.6738425 42.0511138, -87.6738182 42.0511662, -87.6740367 42.0512236))","[4774676897, 4775530022, 4775530023, 4774676898, 4774676899, 4774676900, 4774676897]",,,,customers,,,,,,,,,,,,,,
way,484792502,parking,"POLYGON ((-87.6735502 42.0515957, -87.6735327 42.0513662, -87.6735228 42.0513717, -87.6735026 42.0513741, -87.6734964 42.051382, -87.6735132 42.0515793, -87.6735153 42.051585, -87.6735456 42.0515937, -87.6735502 42.0515957))","[4775462784, 4775462785, 4775462791, 4775462790, 4775462786, 4775462787, 4775462788, 4775462789, 4775462784]",Loading Zone,surface,,,,,,,,,,,,,,,Loading and Unloading Only,no
way,484858593,parking,"POLYGON ((-87.6781989 42.052299, -87.6782014 42.0521446, -87.6779892 42.0521424, -87.6779911 42.0522985, -87.6780748 42.0522994, -87.6780895 42.0522749, -87.6781176 42.0522754, -87.6781408 42.052299, -87.6781989 42.052299))","[4776053485, 4776053486, 4776053487, 4776053488, 4776053489, 4776053490, 4776053491, 4776053492, 4776053485]",,surface,,private,,,,,,,,,,,,,,
way,486262829,parking,"POLYGON ((-87.6781697 42.0537604, -87.6781716 42.0532733, -87.6779381 42.0532691, -87.6779381 42.0535457, -87.6779992 42.0535471, -87.678001 42.0537576, -87.6781697 42.0537604))","[4789251846, 4789251847, 4789251848, 4789251849, 4789251850, 4789251851, 4789251846]",Foster-Walker Noth Lot,,,,,,,,,,,,,,,,,
way,491692486,parking,"POLYGON ((-87.6741213 42.0543636, -87.6740949 42.0543664, -87.6740959 42.054532, -87.6741215 42.0545442, -87.6741213 42.0543636))","[4837676502, 4837676503, 4837676504, 4837676505, 4837676502]",,,,,,,,,,,,,,,,,,
way,491692487,parking,"POLYGON ((-87.6740927 42.0553275, -87.6740773 42.0553133, -87.6740912 42.0547197, -87.6741062 42.0547204, -87.674114 42.0547138, -87.6741222 42.0547136, -87.6741046 42.055327, -87.6740927 42.0553275))","[4837676509, 4837676508, 4837676507, 4837676506, 4837676513, 4837676515, 4837676514, 4837676509]",,,,,,,,,,,,,,,,,,
way,1021162778,parking,"POLYGON ((-87.6709193 42.0593197, -87.6709298 42.0590475, -87.6702254 42.0590359, -87.6701888 42.0590582, -87.6701732 42.0590921, -87.6701056 42.0590892, -87.6701079 42.059304, -87.6701677 42.0593054, -87.6701777 42.0593182, -87.670178 42.0593538, -87.670875 42.0593652, -87.6708684 42.0593148, -87.6708932 42.0593051, -87.6709193 42.0593197))","[9418341312, 9418341313, 9418341314, 9418341315, 9418341316, 9418342017, 4837654564, 4837654581, 4837654561, 2240260188, 9418342018, 9418342019, 9418342020, 9418341312]",,,,,,Northwestern University,university,,,,,,,,,,,
way,1125449418,parking,"POLYGON ((-87.6937118 42.0663318, -87.6937223 42.0657269, -87.6935433 42.0657244, -87.6935375 42.0657484, -87.693494 42.0658457, -87.6934322 42.0659434, -87.6933595 42.0660246, -87.6933039 42.0660758, -87.6932512 42.0661173, -87.6933103 42.0661588, -87.6932612 42.0661967, -87.6934433 42.0663292, -87.6937118 42.0663318))","[10291773011, 10291773012, 10291773013, 417223803, 1978476687, 417223806, 1978476697, 417223810, 417223817, 417223819, 10291773014, 10291773015, 10291773011]",,,,,,,,,,,,,,,,,,
way,1200632574,parking,"POLYGON ((-87.6734572 42.0555706, -87.6734219 42.0555489, -87.6732021 42.0557165, -87.6733762 42.0557082, -87.6734891 42.055611, -87.6734572 42.0555706))","[11132397845, 11132397846, 11132397847, 11132397848, 11132397849, 11132397845]",,,,,,,,,,,,,,,,,,
