u,v,key,osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes
5257095459,5257095462,0,543826749,,service,False,False,24.67,,"LINESTRING (117.1648474 39.1019337, 117.1649359 39.1019337, 117.1649465 39.1018375, 117.1648792 39.1018156)",
5257095459,5257095462,1,543826750,,service,False,False,23.573999999999998,,"LINESTRING (117.1648474 39.1019337, 117.1647899 39.1019233, 117.1647908 39.1018266, 117.1648792 39.1018156)",
5257095462,5257095463,0,543826749,,service,False,False,12.362,,"LINESTRING (117.1648792 39.1018156, 117.1648844 39.1017045)",
5257095462,5257095459,0,543826749,,service,False,True,24.67,,"LINESTRING (117.1648792 39.1018156, 117.1649465 39.1018375, 117.1649359 39.1019337, 117.1648474 39.1019337)",
5257095462,5257095459,1,543826750,,service,False,True,23.573999999999998,,"LINESTRING (117.1648792 39.1018156, 117.1647908 39.1018266, 117.1647899 39.1019233, 117.1648474 39.1019337)",
5257095463,5257095457,0,543826748,,service,False,False,17.415,,"LINESTRING (117.1648844 39.1017045, 117.1650845 39.1017249)",
5257095463,5257095456,0,543826748,,service,False,True,17.703,,"LINESTRING (117.1648844 39.1017045, 117.164681 39.1016837)",
5257095463,5257095462,0,543826749,,service,False,True,12.362,,"LINESTRING (117.1648844 39.1017045, 117.1648792 39.1018156)",
5257095469,5257095505,0,86173995,,service,False,False,50.485,,"LINESTRING (117.1660601 39.1012399, 117.1666439 39.1012696)",
5257095469,1000224036,0,86173995,,service,False,True,125.079,,"LINESTRING (117.1660601 39.1012399, 117.1646137 39.1011664)",
5257095469,5257095457,0,543826751,,service,False,True,107.40299999999999,,"LINESTRING (117.1660601 39.1012399, 117.1659931 39.1013238, 117.1656881 39.1013142, 117.1654139 39.1014385, 117.1650845 39.1017249)",
5257095471,5257095472,0,543826753,,service,False,False,46.154,,"LINESTRING (117.1629973 39.1018985, 117.1631222 39.1014949)",
5257095471,5257095455,0,"[86202881, 543814766]",大中路,service,False,False,124.741,,"LINESTRING (117.1629973 39.1018985, 117.1637984 39.1019452, 117.1644398 39.1019706)",
5257095471,5257574303,0,543814766,,service,False,True,18.275000000000002,,"LINESTRING (117.1629973 39.1018985, 117.1628279 39.1018886, 117.1627879 39.1018789)",
5257095472,5257095471,0,543826753,,service,False,True,46.154,,"LINESTRING (117.1631222 39.1014949, 117.1629973 39.1018985)",
5257095472,1000224021,0,543826753,,service,False,False,55.0,,"LINESTRING (117.1631222 39.1014949, 117.1634441 39.1012618, 117.1634388 39.1011089)",
5257095472,5257095475,0,543826754,,service,False,False,47.114000000000004,,"LINESTRING (117.1631222 39.1014949, 117.1629989 39.1013118, 117.162967 39.1010961)",
5257095475,1000224021,0,86173995,,service,False,False,40.737,,"LINESTRING (117.162967 39.1010961, 117.1634388 39.1011089)",
5257095475,1000224025,0,86173995,,service,False,True,35.176,,"LINESTRING (117.162967 39.1010961, 117.1625596 39.1010851)",
5257095475,5257095472,0,543826754,,service,False,True,47.114000000000004,,"LINESTRING (117.162967 39.1010961, 117.1629989 39.1013118, 117.1631222 39.1014949)",
5257095478,5257159846,0,543826755,,service,False,False,24.167,,"LINESTRING (117.1566246 39.1026874, 117.1569045 39.1026799)",
5257095478,5256996626,0,543826755,,service,False,True,61.82,,"LINESTRING (117.1566246 39.1026874, 117.1559086 39.1027065)",
5257095478,5257095480,0,543826756,,service,False,False,78.87,,"LINESTRING (117.1566246 39.1026874, 117.1566509 39.1019784)",
5257095480,5257095478,0,543826756,,service,False,True,78.87,,"LINESTRING (117.1566509 39.1019784, 117.1566246 39.1026874)",
5257095480,8983233476,0,543826757,,service,False,False,69.532,,"LINESTRING (117.1566509 39.1019784, 117.1574566 39.1019686)",
5257095480,8983233451,0,970635748,,service,False,True,61.483,,"LINESTRING (117.1566509 39.1019784, 117.1559389 39.1019575)",
5257095480,5257437689,0,"[543866658, 543826756]",,service,False,False,111.856,,"LINESTRING (117.1566509 39.1019784, 117.1566847 39.101069, 117.1566547 39.1009757)",
5257095483,8983233468,0,543826759,,service,False,False,29.828,,"LINESTRING (117.1587722 39.102062, 117.1587657 39.1017938)",
5257095483,5257095484,0,768782450,,service,False,False,63.292,,"LINESTRING (117.1587722 39.102062, 117.158851 39.1026279)",
5257095483,8983233476,0,543826757,,service,False,True,119.83200000000001,,"LINESTRING (117.1587722 39.102062, 117.158534 39.1020692, 117.1584266 39.1019569, 117.1574566 39.1019686)",
5257095484,5257159846,0,543826755,,service,False,True,168.062,,"LINESTRING (117.158851 39.1026279, 117.1569045 39.1026799)",
5257095484,5257095483,0,768782450,,service,False,True,63.292,,"LINESTRING (117.158851 39.1026279, 117.1587722 39.102062)",
5257095484,5257095485,0,543826755,,service,False,False,88.893,,"LINESTRING (117.158851 39.1026279, 117.1598229 39.102602, 117.1598805 39.1025993)",
5257095485,5362790901,0,543826755,,service,False,False,128.214,,"LINESTRING (117.1598805 39.1025993, 117.1613637 39.1025304)",
5257095485,5257095484,0,543826755,,service,False,True,88.893,,"LINESTRING (117.1598805 39.1025993, 117.1598229 39.102602, 117.158851 39.1026279)",
5257095485,5257095487,0,543826758,,service,False,False,65.001,,"LINESTRING (117.1598805 39.1025993, 117.1598696 39.1021381, 117.1600284 39.1021345)",
5257095485,5257159842,0,543834387,,service,False,True,188.659,,"LINESTRING (117.1598805 39.1025993, 117.1598865 39.1033774, 117.1598978 39.1042959)",
5257095487,5362790902,0,543826758,,service,False,False,47.262,,"LINESTRING (117.1600284 39.1021345, 117.1599985 39.1017101)",
5257095487,5257095485,0,543826758,,service,False,True,65.001,,"LINESTRING (117.1600284 39.1021345, 117.1598696 39.1021381, 117.1598805 39.1025993)",
5257095487,5362790900,0,555894473,,service,False,False,122.517,,"LINESTRING (117.1600284 39.1021345, 117.1605742 39.1021388, 117.1612876 39.1021346, 117.161293 39.1022137, 117.1613515 39.1022128)",
5257095488,5362790902,0,543826758,,service,False,True,33.865,,"LINESTRING (117.1599771 39.101406, 117.1599985 39.1017101)",
5257095488,5257095492,0,543826760,,service,False,False,143.277,,"LINESTRING (117.1599771 39.101406, 117.1616344 39.1013273)",
5257095488,5257095489,0,543826760,,service,False,True,105.489,,"LINESTRING (117.1599771 39.101406, 117.1587555 39.10137)",
5257095489,1000165759,0,543826759,,service,False,False,168.512,,"LINESTRING (117.1587555 39.10137, 117.1587191 39.0998548)",
5257095489,8983233468,0,543826759,,service,False,True,47.133,,"LINESTRING (117.1587555 39.10137, 117.1587657 39.1017938)",
5257095489,5257095488,0,543826760,,service,False,False,105.489,,"LINESTRING (117.1587555 39.10137, 117.1599771 39.101406)",
5257095491,8983233457,0,970635752,,service,False,False,7.309,,"LINESTRING (117.1616162 39.1007609, 117.1615316 39.1007577)",
5257095491,5257095492,0,543826761,,service,False,False,63.006,,"LINESTRING (117.1616162 39.1007609, 117.1616149 39.1007982, 117.1616344 39.1013273)",
5257095491,1000224032,0,"[543826761, 86173996, 970635749]",,service,False,"[False, True]",81.994,yes,"LINESTRING (117.1616162 39.1007609, 117.161987 39.1007305, 117.1622868 39.1007079, 117.1625566 39.1006623)",
5257095492,5257095488,0,543826760,,service,False,True,143.277,,"LINESTRING (117.1616344 39.1013273, 117.1599771 39.101406)",
5257095492,5362790905,0,543826760,,service,False,False,67.371,,"LINESTRING (117.1616344 39.1013273, 117.1620365 39.1013082, 117.1620765 39.1015998)",
5257095492,5257095491,0,543826761,,service,False,True,63.006,,"LINESTRING (117.1616344 39.1013273, 117.1616149 39.1007982, 117.1616162 39.1007609)",
5257095493,1000203311,0,86169717,,service,False,True,12.971,,"LINESTRING (117.1649519 39.1000103, 117.164942 39.1001267)",
5257095493,5257095501,0,543826762,,service,False,False,118.465,,"LINESTRING (117.1649519 39.1000103, 117.1653802 39.1000905, 117.1655437 39.1003732, 117.1655069 39.1007858)",
5257095493,5257095500,0,543826762,,service,False,True,112.91,,"LINESTRING (117.1649519 39.1000103, 117.1645396 39.1000579, 117.1643855 39.1002028, 117.1643578 39.1007064)",
5257095500,1000224032,0,543826763,,service,False,False,155.506,,"LINESTRING (117.1643578 39.1007064, 117.1625566 39.1006623)",
5257095500,5257095493,0,543826762,,service,False,False,112.91,,"LINESTRING (117.1643578 39.1007064, 117.1643855 39.1002028, 117.1645396 39.1000579, 117.1649519 39.1000103)",
5257095500,5257095501,0,543826762,,service,False,True,115.90499999999999,,"LINESTRING (117.1643578 39.1007064, 117.1643528 39.1007972, 117.1655017 39.1008443, 117.1655069 39.1007858)",
5257095501,5257095500,0,543826762,,service,False,False,115.90499999999999,,"LINESTRING (117.1655069 39.1007858, 117.1655017 39.1008443, 117.1643528 39.1007972, 117.1643578 39.1007064)",
5257095501,5257095493,0,543826762,,service,False,True,118.465,,"LINESTRING (117.1655069 39.1007858, 117.1655437 39.1003732, 117.1653802 39.1000905, 117.1649519 39.1000103)",
5257095501,5257095505,0,543826764,,service,False,False,141.13500000000002,,"LINESTRING (117.1655069 39.1007858, 117.1664777 39.1008515, 117.1664777 39.1009023, 117.1666365 39.1009349, 117.1666439 39.1012696)",
5257095505,1000612664,0,86173995,,service,False,False,122.576,,"LINESTRING (117.1666439 39.1012696, 117.168062 39.1013336)",
5257095505,5257095469,0,86173995,,service,False,True,50.485,,"LINESTRING (117.1666439 39.1012696, 117.1660601 39.1012399)",
5257095505,5257095501,0,543826764,,service,False,True,141.135,,"LINESTRING (117.1666439 39.1012696, 117.1666365 39.1009349, 117.1664777 39.1009023, 117.1664777 39.1008515, 117.1655069 39.1007858)",
5257095506,5256992747,0,543826765,,service,False,True,62.97,,"LINESTRING (117.1688071 39.1033214, 117.1687011 39.1038817)",
5257095506,5257095510,0,543826765,,service,False,False,101.85000000000001,,"LINESTRING (117.1688071 39.1033214, 117.1688762 39.1033625, 117.1689541 39.103401, 117.1690385 39.1034197, 117.1691229 39.1034316, 117.1692034 39.1034358, 117.169282 39.1034318, 117.1693658 39.1034207, 117.169439 39.1034013, 117.1694932 39.1033828, 117.1695403 39.1033601, 117.1695906 39.103334, 117.1696374 39.1033064, 117.1697207 39.1032326, 117.1697826 39.1031307)",
5257095506,5257095519,0,"[837814794, 837814795, 543826766]",,service,False,False,139.216,yes,"LINESTRING (117.1688071 39.1033214, 117.1687257 39.1032478, 117.1686603 39.103166, 117.1686263 39.10306, 117.1686172 39.1029486, 117.1686709 39.1027772, 117.1687291 39.1026857, 117.1687721 39.1026453, 117.1688045 39.1025988, 117.1688204 39.1025562, 117.1688304 39.1025027, 117.1688424 39.1024233, 117.16884 39.1023348, 117.1688421 39.1022346, 117.1688445 39.1021475)",
5257095506,5257574609,0,543878018,,service,False,True,74.57,,"LINESTRING (117.1688071 39.1033214, 117.1685077 39.1032702, 117.167952 39.1032345)",
5257095510,5319968753,0,970635741,,service,False,False,118.411,,"LINESTRING (117.1697826 39.1031307, 117.1711541 39.1031663)",
5257095510,1000631251,0,543826765,,service,False,False,107.908,,"LINESTRING (117.1697826 39.1031307, 117.1698129 39.1030146, 117.1698147 39.1029539, 117.1698077 39.1028931, 117.1697707 39.1027968, 117.1697195 39.1027019, 117.1696899 39.1026367, 117.1696636 39.102532, 117.1696532 39.102407, 117.1696557 39.1023361, 117.1696674 39.1021815)",
5257095510,5257095506,0,543826765,,service,False,True,101.85,,"LINESTRING (117.1697826 39.1031307, 117.1697207 39.1032326, 117.1696374 39.1033064, 117.1695906 39.103334, 117.1695403 39.1033601, 117.1694932 39.1033828, 117.169439 39.1034013, 117.1693658 39.1034207, 117.169282 39.1034318, 117.1692034 39.1034358, 117.1691229 39.1034316, 117.1690385 39.1034197, 117.1689541 39.103401, 117.1688762 39.1033625, 117.1688071 39.1033214)",
5257095519,1000631248,0,86202881,大中路,service,False,True,70.836,,"LINESTRING (117.1688445 39.1021475, 117.1680246 39.102116)",
5257095519,5257095441,0,86202881,大中路,service,False,False,36.008,,"LINESTRING (117.1688445 39.1021475, 117.1691627 39.1021623, 117.1692611 39.102166)",
5257095519,5257095506,0,"[837814794, 837814795, 543826766]",,service,False,True,139.216,yes,"LINESTRING (117.1688445 39.1021475, 117.1688421 39.1022346, 117.16884 39.1023348, 117.1688424 39.1024233, 117.1688304 39.1025027, 117.1688204 39.1025562, 117.1688045 39.1025988, 117.1687721 39.1026453, 117.1687291 39.1026857, 117.1686709 39.1027772, 117.1686172 39.1029486, 117.1686263 39.10306, 117.1686603 39.103166, 117.1687257 39.1032478, 117.1688071 39.1033214)",
5257159777,1000631250,0,86203370,,service,False,False,17.904,,"LINESTRING (117.1680756 39.1010491, 117.1680833 39.1008882)",
5257159777,1000612664,0,86203370,,service,False,True,31.657,,"LINESTRING (117.1680756 39.1010491, 117.168062 39.1013336)",
5257159777,5257159779,0,543834378,,service,False,False,88.309,,"LINESTRING (117.1680756 39.1010491, 117.1673921 39.1010115, 117.1674029 39.1007492)",
5257159779,5257159780,0,543834378,,service,False,False,15.284,,"LINESTRING (117.1674029 39.1007492, 117.1672258 39.1007471)",
5257159779,5257159777,0,543834378,,service,False,True,88.309,,"LINESTRING (117.1674029 39.1007492, 117.1673921 39.1010115, 117.1680756 39.1010491)",
5257159779,5257159782,0,543834380,,service,False,False,61.927,,"LINESTRING (117.1674029 39.1007492, 117.1674431 39.1007055, 117.168091 39.1007265)",
5257159780,5257159779,0,543834378,,service,False,True,15.284,,"LINESTRING (117.1672258 39.1007471, 117.1674029 39.1007492)",
5257159782,1000613405,0,86203370,,service,False,False,20.352,,"LINESTRING (117.168091 39.1007265, 117.1680998 39.1005436)",
