element_type,osmid,nodes,building,name,geometry,building:levels,roof:levels,leisure,name:en,amenity,opening_hours,shop,addr:housenumber,ways,type
way,234852332,"[2429755880, 2429755884, 2429755883, 2429755868, 2429755880]",yes,,"POLYGON ((121.4281903 31.2028906, 121.4281881 31.2027985, 121.42862 31.2027985, 121.428618 31.2028889, 121.4281903 31.2028906))",,,,,,,,,,
way,234852333,"[2429755866, 2429755867, 2429755882, 2429755881, 2429755879, 2429755870, 2429755877, 2429755874, 2429755866]",yes,,"POLYGON ((121.4288883 31.2028869, 121.4288774 31.2028275, 121.4291107 31.202796, 121.4291315 31.2029086, 121.4290052 31.2029256, 121.429 31.2028974, 121.4289636 31.2029023, 121.428959 31.2028774, 121.4288883 31.2028869))",,,,,,,,,,
way,292250758,"[2958052212, 2958052213, 2958052214, 2958052215, 2958052216, 2958052217, 2958052218, 2958052219, 2958052212]",university,铁生馆,"POLYGON ((121.4308013 31.2026276, 121.4306258 31.202619, 121.4306281 31.2025839, 121.430458 31.2025756, 121.4304677 31.2024301, 121.4306414 31.2024386, 121.4306429 31.2024158, 121.4308148 31.2024242, 121.4308013 31.2026276))",,,,,,,,,,
way,292250759,"[2958052220, 2958052221, 2958052222, 2958052223, 2958052220]",university,铁木工厂,"POLYGON ((121.4297022 31.2021769, 121.4297035 31.2020544, 121.4304892 31.2020608, 121.4304878 31.2021833, 121.4297022 31.2021769))",,,,,,,,,,
way,419996643,"[4199822184, 4199822185, 4199822186, 4199822187, 4199822188, 4199823089, 4199823090, 4199823091, 4199823092, 4199822184]",apartments,南洋大楼,"POLYGON ((121.4247905 31.2010764, 121.4248388 31.2010558, 121.4248335 31.2008768, 121.4249059 31.2008149, 121.4248281 31.2006589, 121.4248442 31.2005786, 121.4247798 31.200574, 121.4247288 31.2004891, 121.4245089 31.200574, 121.4247905 31.2010764))",,,,,,,,,,
way,441429329,"[4391736202, 4391736203, 4391736204, 4391736205, 4391736206, 4391736207, 4391736202]",yes,研究生食堂,"POLYGON ((121.4256497 31.2015145, 121.4261539 31.201528, 121.4261466 31.2017276, 121.4260469 31.201725, 121.4260518 31.2015908, 121.4256473 31.20158, 121.4256497 31.2015145))",,,,,,,,,,
way,441429330,"[4391736208, 4391736209, 4391736210, 4391736211, 4391736208]",yes,教育超市,"POLYGON ((121.4295793 31.2017666, 121.4295803 31.2017211, 121.4293485 31.2017174, 121.4293475 31.2017629, 121.4295793 31.2017666))",,,,,,"Mo-Fr 07:30-17:30, Sa,Su 08:30-16:30",supermarket,,,
way,441429331,"[4391736213, 4391736214, 4391736215, 4391736216, 4391736213]",yes,,"POLYGON ((121.4299858 31.2026107, 121.4299878 31.2022959, 121.429726 31.2022946, 121.4297239 31.2026094, 121.4299858 31.2026107))",,,,,,,,,,
way,441429333,"[4391736222, 4391736223, 4391736224, 4391736225, 4391736222]",yes,,"POLYGON ((121.4288058 31.2013198, 121.4287445 31.2013191, 121.428749 31.201026, 121.4288103 31.2010267, 121.4288058 31.2013198))",,,,,,,,,,
way,488841336,"[4811278088, 4811278089, 4811278090, 4811278091, 4811278092, 4811278093, 4811278088]",yes,盛宅,"POLYGON ((121.4316234 31.2003186, 121.4317277 31.2003421, 121.431756 31.2002499, 121.4316989 31.200237, 121.4316916 31.2002607, 121.4316444 31.2002501, 121.4316234 31.2003186))",,,,,,,,,,
way,488841338,"[4811278094, 4811278095, 4811278096, 4811278097, 4811278098, 4811278099, 4811278100, 4811278101, 4811278102, 4811278094]",commercial,交大慧谷,"POLYGON ((121.4307411 31.1997024, 121.4307459 31.1995743, 121.4309057 31.1995233, 121.4315429 31.1999236, 121.4313925 31.2000988, 121.4310826 31.1999041, 121.4309769 31.199918, 121.4308387 31.1998311, 121.4308427 31.1997581, 121.4307411 31.1997024))",6,0,,,,,,45,,
relation,5291331,"[[[1843656621, 1843656646, 1843656597, 1843656602, 1843656621], [3599210532, 3599210527, 3599210526, 3599210530, 3599210531, 3599210528, 3599210529, 3599210533, 3599210532]]]",university,工程馆,"POLYGON ((121.4296477 31.2027121, 121.4296599 31.2020683, 121.4287804 31.202056, 121.4287682 31.2026998, 121.4296477 31.2027121), (121.4289431 31.2021724, 121.4291174 31.2021762, 121.4291516 31.202204, 121.4292753 31.202204, 121.4293144 31.2021804, 121.4294688 31.2021837, 121.429457 31.2025899, 121.4289312 31.2025787, 121.4289431 31.2021724))",3,0,,,,,,,"[173576603, 354135382]",multipolygon
