u,v,key,osmid,highway,oneway,reversed,length,access,geometry
1844357464,1844349338,0,173665638,service,False,False,4.331,,"LINESTRING (121.4287385 31.1994446, 121.4287362 31.1994835)"
1844357464,1844357485,0,"[173666409, 173666414]",service,False,False,222.822,,"LINESTRING (121.4287385 31.1994446, 121.4299399 31.1994737, 121.42995 31.2004495)"
1844357485,1844349471,0,173665617,service,False,False,66.545,,"LINESTRING (121.42995 31.2004495, 121.4306496 31.2004426)"
1844357485,1844349564,0,173665617,service,False,True,66.588,,"LINESTRING (121.42995 31.2004495, 121.4292499 31.2004478)"
1844357485,1844357464,0,"[173666409, 173666414]",service,False,True,222.822,,"LINESTRING (121.42995 31.2004495, 121.4299399 31.1994737, 121.4287385 31.1994446)"
1844357561,8982847028,0,173665635,service,False,False,33.473,private,"LINESTRING (121.4259955 31.1997858, 121.4261013 31.2000729)"
1844357561,1844357333,0,173666402,service,False,False,91.08099999999999,,"LINESTRING (121.4259955 31.1997858, 121.4254515 31.1999562, 121.4253334 31.2002636)"
1844357570,1844357453,0,173666416,service,False,False,25.784,,"LINESTRING (121.4250615 31.1999946, 121.4249348 31.1997896)"
1844357570,1844357356,0,173666416,service,False,True,28.592,,"LINESTRING (121.4250615 31.1999946, 121.4251921 31.2002262)"
1844357571,1844357358,0,173666395,service,False,True,77.992,,"LINESTRING (121.4296687 31.2020256, 121.4304887 31.2020302)"
1844357571,1844349603,0,"[173665627, 173665659]",service,False,False,53.496,,"LINESTRING (121.4296687 31.2020256, 121.4296692 31.2019864, 121.4291529 31.2019706)"
1844357571,1844357594,0,173665659,service,False,True,122.638,,"LINESTRING (121.4296687 31.2020256, 121.4296585 31.2027751, 121.4292454 31.2027712)"
1844357588,8339246250,0,173665665,service,False,False,109.664,private,"LINESTRING (121.4254034 31.2012598, 121.4265552 31.2013049)"
1844357588,1844357333,0,173666402,service,False,True,114.73700000000001,,"LINESTRING (121.4254034 31.2012598, 121.4254622 31.2009014, 121.4254032 31.2007776, 121.4254139 31.2005114, 121.4253334 31.2004151, 121.4253334 31.2002636)"
1844357589,1844349471,0,173665646,service,False,True,118.86,private,"LINESTRING (121.4306795 31.1993873, 121.4306292 31.1994492, 121.4306496 31.2004426)"
1844357589,1844357590,0,173666406,service,False,True,86.752,,"LINESTRING (121.4306795 31.1993873, 121.4305222 31.199303, 121.4297966 31.1992725)"
1844357590,1844357589,0,173666406,service,False,False,86.752,,"LINESTRING (121.4297966 31.1992725, 121.4305222 31.199303, 121.4306795 31.1993873)"
1844357594,1844349296,0,173665659,service,False,True,55.882,,"LINESTRING (121.4292454 31.2027712, 121.4286579 31.2027642)"
1844357594,1844357571,0,173665659,service,False,False,122.638,,"LINESTRING (121.4292454 31.2027712, 121.4296585 31.2027751, 121.4296687 31.2020256)"
1844422476,1844349439,0,173665618,service,False,False,53.067,,"LINESTRING (121.4292308 31.2009319, 121.4292068 31.2014087)"
1844422476,4391736200,0,173665618,service,False,True,40.097,,"LINESTRING (121.4292308 31.2009319, 121.429245 31.2005715)"
1844422476,1843656624,0,229320441,footway,False,True,85.367,,"LINESTRING (121.4292308 31.2009319, 121.4301282 31.200946)"
2379339322,1843656624,0,229320440,footway,False,False,49.749,,"LINESTRING (121.4301278 31.2004986, 121.4301282 31.200946)"
2379339335,1843656624,0,229320441,footway,False,False,78.775,,"LINESTRING (121.4309563 31.200959, 121.4301282 31.200946)"
4391736200,1844422476,0,173665618,service,False,False,40.097,,"LINESTRING (121.429245 31.2005715, 121.4292308 31.2009319)"
4391736200,1844349564,0,173665618,service,False,True,13.763,,"LINESTRING (121.429245 31.2005715, 121.4292499 31.2004478)"
4391736200,1844349412,0,441429327,service,False,True,47.878,,"LINESTRING (121.429245 31.2005715, 121.4287417 31.2005637)"
4391736201,1844349570,0,173665665,service,False,False,12.634,private,"LINESTRING (121.4273359 31.2013354, 121.4274686 31.2013406)"
4391736201,8339246250,0,173665665,service,False,True,74.331,private,"LINESTRING (121.4273359 31.2013354, 121.4265552 31.2013049)"
4391736201,1844349575,0,441429328,service,False,True,54.286,private,"LINESTRING (121.4273359 31.2013354, 121.4273053 31.2008479)"
4391736217,1844349364,0,173665665,service,False,False,98.562,private,"LINESTRING (121.4276619 31.2013482, 121.4286971 31.2013887)"
4391736217,1844349570,0,173665665,service,False,True,18.404,private,"LINESTRING (121.4276619 31.2013482, 121.4274686 31.2013406)"
4391736217,1844349608,0,"[173665664, 441429332]",service,False,"[False, True]",103.785,private,"LINESTRING (121.4276619 31.2013482, 121.4276436 31.20194, 121.4280425 31.2019505)"
8339246250,1844349582,0,173665635,service,False,True,78.789,private,"LINESTRING (121.4265552 31.2013049, 121.4263062 31.2006291)"
8339246250,4391736201,0,173665665,service,False,False,74.331,private,"LINESTRING (121.4265552 31.2013049, 121.4273359 31.2013354)"
8339246250,1844357588,0,173665665,service,False,True,109.664,private,"LINESTRING (121.4265552 31.2013049, 121.4254034 31.2012598)"
8339246250,1844349570,0,173665635,service,False,False,114.374,private,"LINESTRING (121.4265552 31.2013049, 121.4266585 31.2015851, 121.4274686 31.2013406)"
8982847027,1844349436,0,173665653,service,False,True,60.869,private,"LINESTRING (121.4272945 31.2001013, 121.4272915 31.2006487)"
8982847027,8982847028,0,970601511,service,False,True,113.532,,"LINESTRING (121.4272945 31.2001013, 121.4261013 31.2000729)"
8982847027,1844349338,0,173665653,service,False,False,212.20000000000002,private,"LINESTRING (121.4272945 31.2001013, 121.4272968 31.1996947, 121.4273934 31.1995111, 121.4275543 31.1993735, 121.4277528 31.1992725, 121.4280908 31.1992817, 121.4282678 31.1993781, 121.4284126 31.1994836, 121.4287362 31.1994835)"
8982847028,1844349582,0,173665635,service,False,False,64.845,private,"LINESTRING (121.4261013 31.2000729, 121.4263062 31.2006291)"
8982847028,1844357561,0,173665635,service,False,True,33.473,private,"LINESTRING (121.4261013 31.2000729, 121.4259955 31.1997858)"
8982847028,8982847027,0,970601511,service,False,False,113.532,,"LINESTRING (121.4261013 31.2000729, 121.4272945 31.2001013)"
