u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,tunnel,access,width,bridge,area
246167691,4323233225,0,754506141,2,,residential,40,False,False,8.928,"LINESTRING (103.6858361 1.347936, 103.6857575 1.3479525)",,,,,,,
246167691,8407388685,0,754816950,2,Student Walk,residential,40,False,True,11.139,"LINESTRING (103.6858361 1.347936, 103.6858301 1.347836)",,,,,,,
246167691,4287920502,0,"[646821252, 754817239]",2,Student Walk,residential,40,False,False,34.736,"LINESTRING (103.6858361 1.347936, 103.6858492 1.3481256, 103.6858521 1.3482479)",,,,,,,
246167715,5204511605,0,646694328,2,Nanyang Link,service,40,False,True,30.329,"LINESTRING (103.6791219 1.3413475, 103.6793946 1.341339)",,,,,,,
246167715,1301747322,0,647083881,2,Nanyang Drive,residential,40,False,False,23.52,"LINESTRING (103.6791219 1.3413475, 103.6791248 1.341559)",,,,,,,
246167715,4280536006,0,190535812,2,Nanyang Drive,residential,40,False,True,118.59100000000001,"LINESTRING (103.6791219 1.3413475, 103.6791176 1.3409919, 103.6791209 1.3408877, 103.6791475 1.3407891, 103.6792062 1.3406942, 103.6792751 1.3406161, 103.6794835 1.3404161)",,,,,,,
246167728,8410490669,0,537461379,2,,service,40,False,False,7.68,"LINESTRING (103.6809171 1.3421661, 103.6808636 1.3422098)",,,,,,,
246167728,8410435498,0,646694329,2,Nanyang Link,service,40,False,False,71.88,"LINESTRING (103.6809171 1.3421661, 103.6804622 1.3417067)",,,,,,,
246167728,6572436176,0,647084463,2,Nanyang Link,service,40,False,False,58.136,"LINESTRING (103.6809171 1.3421661, 103.6811242 1.3419636, 103.6812858 1.3417954)",,,,,,,
246167728,634829207,0,"[694269033, 22886844, 694272614]",2,Nanyang Link,service,,False,True,138.714,"LINESTRING (103.6809171 1.3421661, 103.6811455 1.3423959, 103.6813 1.3425509, 103.6813892 1.3426094, 103.6814672 1.342625, 103.6815217 1.3426137, 103.6815606 1.3426017, 103.6815935 1.3425802, 103.6816357 1.3425541, 103.6818696 1.3423166)",,,,,,,
246167788,10223327075,0,544832227,2,Nanyang Drive,residential,40,False,False,56.896,"LINESTRING (103.6790509 1.3430272, 103.6789905 1.3435353)",,,,,,,
246167788,1301747322,0,544832227,2,Nanyang Drive,residential,40,False,True,163.85500000000002,"LINESTRING (103.6790509 1.3430272, 103.6791469 1.342096, 103.6791248 1.341559)",,,,,,,
246167794,5177742215,0,428932874,2,,service,,False,False,62.507000000000005,"LINESTRING (103.678917 1.3439063, 103.6791361 1.3439881, 103.6794397 1.3441133)",,,,,,,
246167794,10223327075,0,544832227,2,Nanyang Drive,residential,40,False,True,42.129000000000005,"LINESTRING (103.678917 1.3439063, 103.6789739 1.3436751, 103.6789905 1.3435353)",,,,,,,
246167794,5680995720,0,"[544832226, 647083882, 716757010, 646876756]",2,Nanyang Drive,residential,40,False,False,127.563,"LINESTRING (103.678917 1.3439063, 103.67881 1.3441851, 103.6786097 1.344691, 103.6785077 1.3449369, 103.6784944 1.3449728)",,,,,,,
246167801,8418838540,0,190535816,2,Nanyang Drive,residential,40,False,False,44.199,"LINESTRING (103.6784456 1.3453552, 103.67848 1.3457512)",,,,,,,
246167801,8418839968,0,906629074,,,footway,,False,True,5.331,"LINESTRING (103.6784456 1.3453552, 103.6784935 1.3453529)",,,,,,,
246167801,5266262818,0,190535816,2,Nanyang Drive,residential,40,False,True,32.821,"LINESTRING (103.6784456 1.3453552, 103.678453 1.3451542, 103.678462 1.3450606)",,,,,,,
246167809,6572484799,0,646876755,2,Nanyang Drive,residential,40,False,True,4.708,"LINESTRING (103.6783832 1.3471155, 103.6783851 1.3470732)",,,,,,,
246167809,1305543703,0,"[699889832, 699889834, 190535815]",2,Nanyang Drive,residential,40,False,True,118.586,"LINESTRING (103.6783832 1.3471155, 103.6784619 1.3471321, 103.6785565 1.3471526, 103.6786792 1.3471612, 103.6787426 1.3471695, 103.6788252 1.3471802, 103.6789942 1.3472019, 103.6791317 1.3472477, 103.6792674 1.3473095, 103.6794057 1.3473792)",,,,,,,
246167867,4314501777,0,22886848,2,Nanyang Avenue,residential,40,False,True,38.298,"LINESTRING (103.6833773 1.3462098, 103.6835863 1.3464836)",,,,,,,
246167867,4280535660,0,326480146,2,Faculty Avenue,service,,False,True,5.004,"LINESTRING (103.6833773 1.3462098, 103.6833428 1.3462387)",,,,,,,
246167867,1303595739,0,647119390,2,Nanyang Avenue,residential,40,False,False,22.164,"LINESTRING (103.6833773 1.3462098, 103.683313 1.3460906, 103.6832745 1.3460396)",,,,,,,
246167899,8403603679,0,644265036,1,Nanyang Drive,residential,40,True,False,33.709999999999994,"LINESTRING (103.6823284 1.3490845, 103.6823076 1.3490469, 103.6822144 1.348997, 103.6820782 1.348924)",,,,,,,
246167899,5204561479,0,"[708424157, 708424159]",2,Nanyang Drive,residential,40,False,True,70.732,"LINESTRING (103.6823284 1.3490845, 103.682498 1.3491713, 103.6826415 1.3492544, 103.6828837 1.3493947)",,,,,,,
246167953,8414565104,0,423133178,2,,service,,False,False,6.851,"LINESTRING (103.6824523 1.3536637, 103.682489 1.3536142)",,,,,,,
246167953,4228239877,0,644036356,2,Nanyang Crescent,residential,40,False,True,41.86,"LINESTRING (103.6824523 1.3536637, 103.6821563 1.353431)",,,,,,,
246167953,4082953187,0,644716758,2,Nanyang Crescent,residential,40,False,False,78.163,"LINESTRING (103.6824523 1.3536637, 103.6830144 1.354086)",,,,,,,
246167966,246168055,0,644721649,2,Nanyang Walk,residential,40,False,False,88.997,"LINESTRING (103.6797603 1.351032, 103.6804248 1.3505856)",,,,,,,
246167966,5204545591,0,"[644715912, 699869394]",2,Nanyang Crescent,residential,40,False,False,103.334,"LINESTRING (103.6797603 1.351032, 103.6800948 1.351421, 103.6803752 1.3517288)",,,,,,,
246167966,5204538911,0,647081569,2,Nanyang Crescent,residential,40,False,True,39.701,"LINESTRING (103.6797603 1.351032, 103.6794936 1.3508787, 103.6794466 1.3508632)",,,,,,,
246167982,8414555462,0,115084466,,,service,,False,False,5.004,"LINESTRING (103.6788967 1.3507808, 103.6788971 1.3508258)",,driveway,,,,,
246167982,5204538911,0,646758408,2,Nanyang Crescent,residential,40,False,False,62.412,"LINESTRING (103.6788967 1.3507808, 103.6791035 1.3507759, 103.6793165 1.3508202, 103.6794466 1.3508632)",,,,,,,
246167982,4082955990,0,"[647107042, 699864163]",2,Nanyang Crescent,residential,40,False,True,69.154,"LINESTRING (103.6788967 1.3507808, 103.6784648 1.3508304, 103.6782784 1.3508492)",,,,,,,
246167992,5105923916,0,524732635,,,service,,False,False,6.179,"LINESTRING (103.676756 1.3502924, 103.6767776 1.3502412)",,,,,,,
246167992,5105923917,0,"[699864164, 647120742, 646650023]",2,Nanyang Crescent,residential,40,False,False,82.70800000000001,"LINESTRING (103.676756 1.3502924, 103.6767908 1.3503357, 103.6768358 1.3503861, 103.6769521 1.3504872, 103.6770563 1.3505605, 103.6772404 1.3506776, 103.6773487 1.3507319)",,,,,,,
246167992,8424086148,0,"[675595560, 699864165]",2,Nanyang Crescent,residential,40,False,False,139.064,"LINESTRING (103.676756 1.3502924, 103.6766173 1.3501084, 103.6765288 1.3499851, 103.6764161 1.349784, 103.6763678 1.3496124, 103.676341 1.3494716, 103.6763209 1.3493228, 103.6763374 1.3491574)",,,,,,,
246168055,5204545578,0,536531450,2,,service,40,False,False,6.87,"LINESTRING (103.6804248 1.3505856, 103.6804656 1.350632)",,,,,,,
246168055,246167966,0,644721649,2,Nanyang Walk,residential,40,False,True,88.997,"LINESTRING (103.6804248 1.3505856, 103.6797603 1.351032)",,,,,,,
246168055,4094610917,0,644721650,2,Nanyang Walk,residential,40,False,False,49.608,"LINESTRING (103.6804248 1.3505856, 103.6807429 1.3502727)",,,,,,,
309303756,309303757,0,172344433,2,Nanyang View,residential,40,False,True,92.296,"LINESTRING (103.68841 1.3524248, 103.6875932 1.3524247, 103.6875798 1.352426)",,,,,,,
309303756,8404889982,0,429667965,,,footway,,False,True,23.064,"LINESTRING (103.68841 1.3524248, 103.6883783 1.3524793, 103.6882339 1.3524771)",,,,,,,
309303756,8393428847,0,903730330,,,footway,,False,False,95.506,"LINESTRING (103.68841 1.3524248, 103.6883976 1.3524091, 103.6883855 1.3524011, 103.6875609 1.3524077)",,,,,,,
309303757,8393428847,0,115230505,1,Nanyang View,residential,40,True,False,2.925,"LINESTRING (103.6875798 1.352426, 103.6875609 1.3524077)",,,,,,,
309303757,4288309650,0,429667965,,,footway,,False,False,6.821,"LINESTRING (103.6875798 1.352426, 103.6876248 1.3524677)",,,,,,,
309303757,309303756,0,172344433,2,Nanyang View,residential,40,False,False,92.296,"LINESTRING (103.6875798 1.352426, 103.6875932 1.3524247, 103.68841 1.3524248)",,,,,,,
309303758,309303770,0,172344438,2,Nanyang View,residential,40,False,False,46.45,"LINESTRING (103.6873969 1.3526181, 103.6873918 1.3530358)",,,,,,,
309303758,309303757,0,651967129,1,Nanyang View,residential,40,True,False,29.49,"LINESTRING (103.6873969 1.3526181, 103.6875798 1.352426)",,,,,,,
309303758,8404910846,0,905039282,,,footway,,False,False,49.644,"LINESTRING (103.6873969 1.3526181, 103.6873569 1.3526558, 103.6873569 1.3530473)",,,,,,,
309303759,309303758,0,651967130,1,Nanyang View,residential,40,True,False,30.373,"LINESTRING (103.6871985 1.3524303, 103.6873969 1.3526181)",,,,,,,
309303759,4288309649,0,172344435,2,Nanyang View,residential,40,False,False,46.474000000000004,"LINESTRING (103.6871985 1.3524303, 103.6870721 1.3524311, 103.6870585 1.3524366, 103.68698 1.3525292, 103.6869756 1.3525295, 103.6869712 1.352528, 103.6868607 1.3524318)",,,,,,,
309303760,8392768070,0,651967131,1,Nanyang View,residential,40,True,False,3.734,"LINESTRING (103.6873883 1.3522402, 103.6873646 1.352264)",,,,,,,
309303760,246167386,0,"[701283120, 22886834]",2,Nanyang View,residential,40,False,True,151.61800000000002,"LINESTRING (103.6873883 1.3522402, 103.6873757 1.3515738, 103.6873676 1.3514617, 103.6873346 1.3513491, 103.6872857 1.3512518, 103.6871747 1.3510938, 103.6870784 1.3509594)",,,,,,,
309303760,4288309652,0,429667964,,,footway,,False,True,142.99900000000002,"LINESTRING (103.6873883 1.3522402, 103.6874107 1.3521996, 103.6874016 1.3515733, 103.6873962 1.3514493, 103.6873211 1.3512642, 103.6871524 1.351029)",,,,,,,
309303770,309303758,0,172344438,2,Nanyang View,residential,40,False,True,46.45,"LINESTRING (103.6873918 1.3530358, 103.6873969 1.3526181)",,,,,,,
567939437,3600177777,0,"[701288084, 544655702]","['1', '2']",Nanyang Crescent,residential,40,True,False,76.086,"LINESTRING (103.6896927 1.347715, 103.6897128 1.347615, 103.689728 1.3472795, 103.6897412 1.3471956, 103.6897768 1.3470961, 103.6898018 1.3470462)",,,,,,,
567939437,5179058010,0,"[646137953, 754803138]",2,Nanyang Crescent,residential,40,False,True,85.29599999999999,"LINESTRING (103.6896927 1.347715, 103.6897273 1.348289, 103.6897388 1.3484807)",,,,,,,
634828888,8407875540,0,482272683,2,,service,,False,False,5.15,"LINESTRING (103.6814271 1.3439564, 103.6813925 1.3439256)",,parking_aisle,,,,,
