element_type,osmid,geometry,amenity,addr:city,addr:postcode,addr:street,building,name,opening_hours,website,nodes,building:levels,layer,name:en,name:ms,addr:housenumber,internet_access,fixme:zh,name:zh,addr:country,addr:housename,description,name:zh-Hans,name:zh-Hant,operator,phone,source,tourism,healthcare,short_name,landuse,man_made,construction,parking,leisure,sport,wikidata,wikimedia_commons,wikipedia,fixme,access,bench,shelter_type,bin,ways,type,alt_name,start_date
way,115591686,"POLYGON ((103.680557 1.3468513, 103.6797333 1.346859, 103.6797363 1.3470388, 103.6797237 1.3470086, 103.6796788 1.3470273, 103.6797037 1.3470856, 103.6797022 1.3471735, 103.679703 1.3472173, 103.6796762 1.3472575, 103.6797002 1.3472756, 103.6797178 1.3472888, 103.6797446 1.3472531, 103.6797445 1.3473224, 103.6797445 1.3473613, 103.6797409 1.3474173, 103.6797508 1.3474577, 103.6797708 1.3474956, 103.6798149 1.3475347, 103.6798668 1.347567, 103.6799282 1.3475924, 103.6799859 1.3476015, 103.6800393 1.3476013, 103.68004 1.3475203, 103.6801129 1.3475206, 103.680113 1.3475829, 103.680444 1.3475825, 103.6804441 1.347563, 103.6804682 1.3475631, 103.680469 1.3474947, 103.6805157 1.3474952, 103.6805578 1.3474955, 103.680557 1.3468513))",,,,,university,,,,"[1305543705, 1305543697, 5177691576, 5177691572, 5177691573, 5177691574, 5177694892, 5177691575, 5177691571, 10143439136, 5177691570, 5177691589, 5177691585, 5177691586, 5177691587, 5177691588, 5177691590, 5177691591, 5177691592, 5177691593, 5177691594, 1305543704, 5177691595, 5177691596, 5177691597, 5177691598, 5177691599, 10143439133, 10143439134, 1305547050, 634841736, 1305543705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115591942,"POLYGON ((103.6788426 1.3467733, 103.6788435 1.3469121, 103.6789475 1.347075, 103.6789796 1.3471025, 103.6791875 1.3471441, 103.6792351 1.3471441, 103.6792915 1.3471226, 103.679329 1.3470737, 103.6793391 1.3470395, 103.6793464 1.3468283, 103.6793156 1.346776, 103.6791182 1.3467749, 103.6790501 1.3467745, 103.6788426 1.3467733))",parking,,,,yes,Car Park N2.1,,,"[1305546369, 1305546367, 5266358183, 5266358182, 5266358181, 5266358180, 5266358179, 1305546364, 5266358178, 1305546368, 5266358177, 1305546363, 5244298976, 1305546369]",,,,,,,,,,,,,,,,,,,,,,,multi-storey,,,,,,,,,,,,,,
way,143505433,"POLYGON ((103.6893331 1.3511035, 103.6893352 1.3510342, 103.689353 1.3510132, 103.6893194 1.3509834, 103.6892419 1.3509838, 103.6892405 1.3508911, 103.6893403 1.3508087, 103.6893393 1.3507413, 103.6894006 1.3507412, 103.6894588 1.3507962, 103.6894281 1.3508271, 103.6894638 1.350859, 103.6894959 1.3508313, 103.6895827 1.350858, 103.6895842 1.3509275, 103.6895613 1.3509479, 103.689577 1.3509722, 103.6896717 1.3509803, 103.6896718 1.3510575, 103.6895708 1.3511539, 103.6895718 1.3512134, 103.6894989 1.3512139, 103.6894991 1.3512026, 103.6894553 1.3511629, 103.6893907 1.3511031, 103.6893331 1.3511035))",,,,,yes,,,,"[1570279522, 5190755759, 5190755758, 5190755757, 5179060023, 1570279520, 5190755752, 5190755751, 5190755753, 5190755754, 5190755755, 5190755756, 5190755747, 5190755748, 1570279539, 5190755761, 5190755746, 5190755745, 1570279524, 1570279535, 5179060021, 5179060022, 5190755750, 5190755749, 5190755760, 1570279522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,255774307,"POLYGON ((103.6874184 1.3488438, 103.6876546 1.3496831, 103.6880016 1.3495855, 103.6877654 1.3487462, 103.6874184 1.3488438))",,Singapore,,,yes,Sport Hall,,,"[2614613125, 2614613114, 2614613105, 2614613110, 2614613125]",,,,,,,,,,,,,,,,,,,,,,,,sports_centre,basketball,,,,,,,,,,,,
way,295766738,"POLYGON ((103.6850051 1.3464832, 103.6854233 1.3466548, 103.685368 1.3467811, 103.6852603 1.3467409, 103.6852804 1.3466926, 103.6852356 1.3466757, 103.6852128 1.346724, 103.6851177 1.3466837, 103.6851372 1.3466382, 103.6850898 1.3466183, 103.6850676 1.3466663, 103.6849834 1.3466313, 103.6850018 1.3465893, 103.684962 1.346571, 103.6850051 1.3464832))",,,,,apartments,,,,"[2995281254, 2995281255, 2995281256, 4860904992, 4860904991, 4860904990, 4860904989, 4860904988, 4860904987, 4860904986, 4860904985, 4860904984, 2995281257, 2995281258, 2995281254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,322643975,"POLYGON ((103.6813858 1.3404391, 103.6821051 1.3405989, 103.6821731 1.3402933, 103.6814537 1.3401335, 103.6813858 1.3404391))",,Singapore,,Nanyang Drive,apartments,Maple Residences,,https://maplesg.com/,"[3294172405, 3294172406, 3294172407, 3294172408, 3294172405]",5,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368766322,"POLYGON ((103.685546 1.3516668, 103.6855969 1.3516692, 103.6856104 1.35116, 103.685513 1.3511582, 103.6855052 1.351599, 103.6853978 1.3516349, 103.6853771 1.3515722, 103.6854096 1.3515625, 103.6853942 1.3515246, 103.6853632 1.3515343, 103.6853566 1.3515138, 103.6852748 1.3515389, 103.6853147 1.3516536, 103.6852989 1.3516589, 103.6853223 1.3517288, 103.6853344 1.3517248, 103.6853868 1.3518823, 103.685466 1.3518595, 103.6854208 1.3517032, 103.685546 1.3516668))",,,,,yes,Block 44,,,"[3726090197, 3726090198, 3726090188, 3726090187, 3726090193, 3726090194, 3726090192, 3726090191, 7951463502, 7951463503, 3726090189, 3726090190, 3726090195, 3726090196, 3726090201, 3726090200, 3726090203, 3726090202, 3726090199, 3726090197]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368769216,"POLYGON ((103.6851887 1.3511137, 103.6852536 1.3510762, 103.685316 1.3510401, 103.6853694 1.3510091, 103.685152 1.3506337, 103.685002 1.3507205, 103.6849762 1.3506758, 103.6849051 1.3507169, 103.68506 1.3509844, 103.6851003 1.3509611, 103.6851438 1.3510381, 103.6851887 1.3511137))",,,639812,Nanyang Avenue,yes,Common block,,,"[3726123148, 3726123145, 3726123143, 3726123142, 3726123139, 7951463507, 7951463506, 3726123141, 7951463505, 7951463504, 4226152957, 3726123148]",,,,,26,,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368769217,"POLYGON ((103.6852373 1.3518952, 103.6851743 1.3518186, 103.6848348 1.3521093, 103.6847409 1.3520521, 103.6848025 1.351939, 103.6847319 1.3518974, 103.6845499 1.3522091, 103.6846212 1.352252, 103.6846979 1.3521238, 103.6848198 1.3521926, 103.684853 1.3522296, 103.6852373 1.3518952))",,,,,yes,Block 45,,,"[3726123165, 3726123164, 3726123166, 5055111282, 5055111278, 5055111279, 5055111280, 5055111281, 5055111277, 7951546639, 5055111283, 3726123165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368769218,"POLYGON ((103.6852845 1.3511296, 103.685347 1.3510935, 103.685316 1.3510401, 103.6852536 1.3510762, 103.6852845 1.3511296))",,,,,yes,,,,"[3726123149, 3726123146, 3726123143, 3726123145, 3726123149]",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,389084379,"POLYGON ((103.6805599 1.3463297, 103.680368 1.3463314, 103.6803621 1.3460014, 103.680554 1.3459998, 103.6805599 1.3463297))",,,,,university,LT19A,,,"[3922463603, 3922463604, 3922463605, 3922463606, 3922463603]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,389084380,"POLYGON ((103.682722 1.3434544, 103.6827019 1.3434504, 103.6826871 1.3434423, 103.6826757 1.3434303, 103.6826697 1.3434168, 103.6826684 1.3434008, 103.6826737 1.343382, 103.6826878 1.3433525, 103.6827106 1.343325, 103.6827096 1.3433203, 103.6827036 1.343319, 103.6826731 1.3433505, 103.6826583 1.3433572, 103.6826389 1.3433572, 103.6826228 1.3433518, 103.6826087 1.3433431, 103.6825966 1.3433263, 103.6825886 1.3433022, 103.6825892 1.3432814, 103.682602 1.3432379, 103.6825785 1.3432553, 103.6825597 1.343262, 103.6825436 1.343262, 103.6825242 1.3432546, 103.6825047 1.3432399, 103.6824987 1.3432231, 103.6825014 1.3432097, 103.6825114 1.343199, 103.6825282 1.3431916, 103.6825584 1.3431876, 103.6825664 1.3431836, 103.6825671 1.3431708, 103.6825617 1.3431634, 103.682553 1.3431634, 103.6825443 1.3431701, 103.6825228 1.3431775, 103.6824846 1.3431762, 103.6824685 1.3431678, 103.6824571 1.3431517, 103.6824548 1.3431353, 103.6824608 1.3431195, 103.6824712 1.3431085, 103.6824893 1.3431004, 103.6825071 1.3430994, 103.6825269 1.3431031, 103.6825564 1.3431212, 103.6825668 1.3431272, 103.6825735 1.3431242, 103.6825735 1.3431152, 103.6825678 1.3431065, 103.6825668 1.3430994, 103.6825718 1.343089, 103.6825791 1.3430844, 103.6825878 1.3430836, 103.6825966 1.3430867, 103.6825554 1.3430109, 103.6825527 1.3429972, 103.6825564 1.3429858, 103.6825678 1.3429791, 103.6825809 1.3429808, 103.6825969 1.3429912, 103.6825946 1.3429784, 103.6825956 1.3429647, 103.6826047 1.342954, 103.6826191 1.3429476, 103.6826365 1.3429486, 103.6826523 1.342955, 103.6826777 1.3429804, 103.6826858 1.3429992, 103.6826908 1.34303, 103.6826915 1.3430562, 103.6826942 1.3430659, 103.6827002 1.3430736, 103.6827113 1.3430756, 103.682723 1.3430723, 103.682727 1.3430636, 103.682724 1.3430538, 103.6827096 1.3430354, 103.6827066 1.343019, 103.6827116 1.3430042, 103.6827203 1.3429932, 103.6827314 1.3429888, 103.6827468 1.3429881, 103.6827606 1.3429965, 103.6827679 1.3430079, 103.6827699 1.343022, 103.6827689 1.3430354, 103.6827666 1.3430465, 103.6827699 1.3430575, 103.6827763 1.3430615, 103.6827834 1.3430595, 103.682787 1.3430535, 103.6827894 1.3430431, 103.6827948 1.343028, 103.6828062 1.3430146, 103.6828226 1.3430093, 103.68284 1.343014, 103.6828507 1.3430207, 103.6828551 1.3430314, 103.6828561 1.3430445, 103.6828474 1.3430609, 103.682832 1.3430786, 103.6828132 1.3430957, 103.6828072 1.3431024, 103.6828058 1.3431091, 103.6828082 1.3431152, 103.6828132 1.3431175, 103.6828182 1.3431162, 103.6828236 1.3431112, 103.6828273 1.3431031, 103.6828367 1.343081, 103.6828501 1.3430619, 103.6828621 1.3430518, 103.6828756 1.3430468, 103.6828893 1.3430478, 103.6828977 1.3430548, 103.6829007 1.3430686, 103.6828963 1.343087, 103.6828528 1.343148, 103.6828632 1.3431447, 103.6828709 1.3431427, 103.6828796 1.343143, 103.6828866 1.3431487, 103.6828903 1.3431588, 103.682887 1.3431681, 103.6828853 1.3431755, 103.6828909 1.3431786, 103.6829403 1.3431571, 103.6829668 1.34315, 103.6829906 1.3431474, 103.6830117 1.34315, 103.6830331 1.3431661, 103.6830432 1.3431909, 103.6830311 1.343211, 103.6829989 1.3432271, 103.6829594 1.3432251, 103.6828987 1.3432156, 103.6828917 1.3432171, 103.6828895 1.3432204, 103.682891 1.3432238, 103.6829024 1.3432305, 103.6829077 1.3432432, 103.6829071 1.3432519, 103.6828997 1.3432633, 103.6828876 1.3432707, 103.6829319 1.3432962, 103.6829507 1.3433103, 103.6829594 1.3433257, 103.682956 1.3433398, 103.682946 1.3433471, 103.6829305 1.3433491, 103.6829413 1.3433646, 103.6829399 1.343386, 103.6829332 1.3434048, 103.6829218 1.3434155, 103.6829098 1.3434222, 103.682891 1.3434202, 103.6828689 1.3434095, 103.6828427 1.3433766, 103.6828326 1.3433686, 103.6828233 1.3433706, 103.6828179 1.343382, 103.6828226 1.3433967, 103.6828434 1.3434101, 103.6828514 1.3434235, 103.6828534 1.343443, 103.6828427 1.3434665, 103.6828246 1.3434718, 103.6828105 1.3434725, 103.6827951 1.3434665, 103.6827803 1.3434484, 103.6827777 1.3434349, 103.6827756 1.3434075, 103.6827743 1.3433994, 103.6827701 1.3433967, 103.6827651 1.3434001, 103.6827641 1.3434085, 103.6827619 1.3434349, 103.6827549 1.343447, 103.6827391 1.3434544, 103.682722 1.3434544))",,,,,university,The Hive,,,"[3922463607, 5266206327, 5266206326, 5266206325, 5266206324, 5266206323, 5266206329, 5266206330, 5266206331, 5266205923, 5266206328, 5266205928, 5266205929, 5266205930, 5266205931, 5266205924, 5266205932, 5266205927, 5266205926, 5266205925, 5266206332, 5266206333, 5266206334, 5266206335, 5266206336, 5266206337, 5266206338, 5266206339, 5266206340, 5266206341, 5266206342, 5266206343, 5266206344, 5266206345, 5266206346, 5266206347, 5266206348, 5266206349, 3922463608, 5266205933, 5266205975, 5266205976, 5266205977, 5266205934, 5266205974, 5266205973, 5266205972, 5266205971, 5266205970, 5266205978, 5266205969, 5266205979, 5266205968, 5266205935, 5266205967, 5266205937, 5266205966, 5266205965, 5266205964, 5266205963, 5266205980, 5266205981, 5266205936, 5266205983, 3922463609, 5266205982, 5266206322, 5266206321, 5266205984, 5266206020, 5266205959, 5266206019, 5266205985, 5266206018, 5266205961, 5266206017, 5266205962, 5266205960, 5266205958, 5266205957, 5266205956, 5266206015, 5266205955, 5266206014, 5266206013, 5266205954, 5266206012, 5266206011, 5266206010, 5266206009, 5266206008, 5266205953, 5266206007, 5266206006, 5266206005, 5266206004, 5266206016, 5266206003, 5266206002, 5266206001, 5266205944, 5266206000, 5266205999, 5266205998, 5266205997, 5266205938, 5266205939, 5266205996, 5266205995, 5266205994, 5266205945, 5266205940, 5266205943, 5266205942, 5266205941, 5266205948, 5266205947, 5266205946, 5266205952, 5266205951, 5266205950, 5266205949, 5266205993, 5266205992, 5266205991, 5266205990, 3922463610, 5266205989, 5266206396, 5266205988, 5266206395, 5266206394, 5266206393, 5266206392, 5266206391, 5266206390, 5266205987, 5266206389, 5266205986, 5266206388, 5266206387, 5266206386, 5266206385, 5266206384, 5266206383, 5266206382, 5266206381, 5266206380, 5266206378, 5266206379, 3922463611, 5266206377, 5266206376, 5266206375, 5266206373, 5266206374, 5266206372, 5266206371, 5266206370, 5266206369, 5266206368, 5266206367, 5266206366, 5266206365, 5266206364, 5266206363, 5266206362, 5266206361, 5266206355, 5266206360, 5266206359, 5266206356, 5266206357, 5266206352, 5266205922, 5266206353, 5266206354, 5266206358, 5266206350, 5266206351, 3922463607]",,,,,,,,,,,,,,,,,,,,,,,,,,Q54321647,"Category:The Hive, Nanyang Technological University","en:The Hive, Singapore",,,,,,,,,
way,405664349,"POLYGON ((103.6782225 1.3448379, 103.6782685 1.344717, 103.6782522 1.3447108, 103.6783018 1.3445807, 103.6783512 1.3445995, 103.6783753 1.3445362, 103.678314 1.3445129, 103.6784149 1.3442477, 103.6784645 1.3442666, 103.6784754 1.344238, 103.6784006 1.3442095, 103.6784958 1.3439594, 103.6785772 1.3439904, 103.6786193 1.3438799, 103.6788195 1.3439561, 103.6785496 1.3446651, 103.6784508 1.3449247, 103.6783147 1.344873, 103.6782225 1.3448379))",,,,,university,Lee Kong Chian School of Medicine (Yunan Campus),,,"[4078239338, 5266262799, 5266262800, 5266262801, 5266262802, 5266262803, 5266262804, 5177742182, 5266262805, 5266262806, 5177742183, 5177742184, 4078239339, 4078239340, 4078239341, 5177742176, 4078239342, 5266262819, 4078239338]",,,,,,,,李光前医学院（云南校园）,,,,,,,,,,,,,,,,,,,,,chinese name,,,,,,,,
way,407413183,"POLYGON ((103.677446 1.348182, 103.6774225 1.3482645, 103.6774947 1.3482826, 103.6775156 1.3482004, 103.677446 1.348182))",,,,,yes,,,,"[3922463654, 3922463652, 4094603232, 4094603230, 3922463654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413184,"POLYGON ((103.6773972 1.349088, 103.6773978 1.3490314, 103.677378 1.3490347, 103.6773319 1.3490268, 103.6773303 1.3490884, 103.6773972 1.349088))",,,,,yes,,,,"[5232568389, 3922463656, 4911825219, 3922463958, 3922463655, 5232568389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413186,"POLYGON ((103.6805077 1.3494858, 103.6805067 1.3491954, 103.6805073 1.349121, 103.6805066 1.3489191, 103.6805063 1.3488514, 103.6805052 1.3486662, 103.6807044 1.3487463, 103.6807583 1.348768, 103.6807582 1.3488139, 103.6807576 1.3491551, 103.680757 1.3494867, 103.6805077 1.3494858))",,,,,yes,Building 1 (Administration),,,"[4094603271, 4094603269, 4094603266, 4094603255, 4094603251, 4094603245, 5232568368, 5232568367, 5232568365, 5232568357, 634982496, 4094603271]",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413187,"POLYGON ((103.680404 1.3491949, 103.6805067 1.3491954, 103.6805073 1.349121, 103.6804046 1.3491205, 103.680404 1.3491949))",,,,,yes,,,,"[4094603268, 4094603269, 4094603266, 4094603267, 4094603268]",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413188,"POLYGON ((103.6805066 1.3489191, 103.6803371 1.348877, 103.6803559 1.3488119, 103.6805063 1.3488514, 103.6805066 1.3489191))",,,,,yes,,,,"[4094603255, 4094603253, 4094603249, 4094603251, 4094603255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413203,"POLYGON ((103.6780663 1.3486934, 103.6781796 1.3486304, 103.6782781 1.348584, 103.6781883 1.3484104, 103.6780848 1.348464, 103.6779766 1.3485197, 103.6780663 1.3486934))",,,,,yes,Student Hub,,,"[4094596264, 5251345153, 4094596263, 4094596261, 5251345154, 4094596262, 4094596264]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,407413566,"POLYGON ((103.6789865 1.3499961, 103.6792956 1.3499997, 103.6793001 1.3496182, 103.678991 1.3496146, 103.6789865 1.3499961))",,,,,yes,Lab Block,,,"[4094608562, 4094608563, 4094608561, 4094608560, 4094608562]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416669700,"POLYGON ((103.6832385 1.3477517, 103.6832935 1.3477506, 103.6832927 1.3477125, 103.6834492 1.3477094, 103.6834502 1.3477614, 103.6834056 1.3477623, 103.6834065 1.3478055, 103.6833191 1.3478072, 103.6833197 1.3478376, 103.6832403 1.3478392, 103.6832385 1.3477517))",,,,,yes,,,,"[4174022600, 4174022599, 4174022598, 4174022597, 4174022601, 4174022602, 4174022603, 4174022604, 4174022606, 4174022607, 4174022600]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416669725,"POLYGON ((103.6834778 1.3479371, 103.683271 1.3479456, 103.6832749 1.3480399, 103.6834817 1.3480315, 103.6834778 1.3479371))",,,,,yes,,,,"[4174022609, 4174022610, 4174022612, 4174022611, 4174022609]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416673855,"POLYGON ((103.6839063 1.347812, 103.6838223 1.3478106, 103.6838122 1.3484157, 103.6838962 1.3484171, 103.6839063 1.347812))",,,,,yes,Blk 11,,,"[4174050906, 4174050905, 4174050914, 4174050915, 4174050906]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416673856,"POLYGON ((103.683956 1.3477937, 103.6840321 1.3477971, 103.6840571 1.3472292, 103.683981 1.3472259, 103.683956 1.3477937))",,,,,yes,Blk 6,,,"[4174050903, 4174050904, 4174050897, 4174050896, 4174050903]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416673857,"POLYGON ((103.6842148 1.3474221, 103.6842907 1.3474296, 103.6842372 1.3479685, 103.6841612 1.3479609, 103.6842148 1.3474221))",,,,,yes,Blk 5,,,"[4174050900, 4174050901, 4174050910, 4174050909, 4174050900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416675155,"POLYGON ((103.6840848 1.3479796, 103.6840008 1.3479782, 103.6839907 1.3485833, 103.6840747 1.3485847, 103.6840848 1.3479796))",,,,,yes,Blk 10,,,"[4174062907, 4174062906, 4174062910, 4174062911, 4174062907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,416675156,"POLYGON ((103.68428 1.3481117, 103.6841959 1.3481103, 103.6841858 1.3487154, 103.6842699 1.3487168, 103.68428 1.3481117))",,,,,yes,Blk 9,,,"[4174062909, 4174062908, 4174062912, 4174062913, 4174062909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,422889675,"POLYGON ((103.6854946 1.3527775, 103.6855767 1.3527089, 103.6856826 1.3528351, 103.6856006 1.3529037, 103.6854946 1.3527775))",,,,,yes,,,,"[4226154900, 4226154897, 4226154907, 4226154909, 4226154900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,428426534,"POLYGON ((103.6879694 1.349821, 103.6881705 1.3497647, 103.688133 1.3496226, 103.6879291 1.3496762, 103.6879694 1.349821))",,,,,yes,Swimming Pool Building,,,"[4275263721, 4275263722, 4275263723, 4275263724, 4275263721]",,,,,,,,,,,,,,,,,,,,,,,,sports_centre,swimming,,,,,permissive,,,,,,,
way,432723956,"POLYGON ((103.6870033 1.3494584, 103.6870913 1.349501, 103.6871305 1.34942, 103.6870425 1.3493774, 103.6870033 1.3494584))",,,,,yes,,,,"[4316705472, 4316705473, 4316705471, 4316705470, 4316705472]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,432725807,"POLYGON ((103.687181 1.3475033, 103.6872355 1.3475362, 103.6872912 1.3475055, 103.6872924 1.3474419, 103.6872379 1.347409, 103.6871823 1.3474397, 103.687181 1.3475033))",,,,,yes,,,,"[4316718014, 4316718017, 4316718015, 4316718013, 4316718011, 4316718012, 4316718014]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,432725808,"POLYGON ((103.6871394 1.3476938, 103.6871938 1.3477267, 103.6872495 1.347696, 103.6872508 1.3476324, 103.6871963 1.3475995, 103.6871406 1.3476303, 103.6871394 1.3476938))",,,,,yes,,,,"[4316718026, 4316718029, 4316718027, 4316718025, 4316718021, 4316718024, 4316718026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,432823866,"POLYGON ((103.6870446 1.3479823, 103.6871565 1.3479191, 103.6871578 1.3477906, 103.6870472 1.3477253, 103.686934 1.3479169, 103.6870446 1.3479823))",,,,,yes,,,,"[4317755574, 4317755573, 4317755571, 4317755569, 4317755572, 4317755574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433828842,"POLYGON ((103.6871834 1.3461573, 103.6872339 1.3461968, 103.6875657 1.3457734, 103.6875152 1.3457339, 103.6871834 1.3461573))",,,,,yes,Block 17,,,"[4323207751, 4323207753, 4323207739, 4323207737, 4323207751]",,,Block 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433828843,"POLYGON ((103.6872922 1.3455917, 103.6872264 1.3455485, 103.6869222 1.3460117, 103.686988 1.3460549, 103.6872922 1.3455917))",,,,,yes,Block 15,,,"[4323207731, 4323207730, 4323207744, 4323207746, 4323207731]",,,Block 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433829079,"POLYGON ((103.6865372 1.3465799, 103.6869942 1.3462385, 103.6869696 1.3462056, 103.6868973 1.3461088, 103.6868391 1.3461522, 103.6868885 1.3462184, 103.6868179 1.3462711, 103.6867706 1.3462078, 103.6867077 1.3462548, 103.6867586 1.3463229, 103.6866922 1.3463726, 103.6866405 1.3463035, 103.6865755 1.346352, 103.6866274 1.3464215, 103.6865622 1.3464702, 103.6865114 1.3464022, 103.6864427 1.3464535, 103.6865143 1.3465492, 103.6865372 1.3465799))",,,,,yes,Block 16,,,"[4323209879, 4323209868, 4323243176, 4323209864, 4323209865, 4323209867, 4323209870, 4323209866, 4323209869, 4323209872, 4323209874, 4323209871, 4323209873, 4323209876, 4323209878, 4323209875, 4323209877, 4323233197, 4323209879]",,,Block 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433831971,"POLYGON ((103.6862661 1.3466507, 103.6863687 1.3466861, 103.6864138 1.3465587, 103.686351 1.3464676, 103.6863218 1.3464844, 103.6862661 1.3466507))",,,,,yes,,,,"[4323233200, 4323233201, 4323233198, 4323233194, 4323233196, 4323233200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433832086,"POLYGON ((103.6855351 1.347126, 103.6856212 1.3471389, 103.6856649 1.3468482, 103.6855794 1.3468353, 103.685565 1.3469313, 103.6854824 1.3469189, 103.6854674 1.3470189, 103.6855493 1.3470312, 103.6855351 1.347126))",,,,,yes,Yunnan Corner,,,"[4323233285, 4323233286, 4323233280, 4323233279, 4323233282, 4323233281, 4323233283, 4323233284, 4323233285]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433833744,"POLYGON ((103.6858251 1.3467503, 103.6860389 1.3468067, 103.6860631 1.346715, 103.6860345 1.3467074, 103.6860381 1.3466939, 103.6860841 1.3465194, 103.6861778 1.3465441, 103.6862415 1.3463027, 103.6861639 1.3462822, 103.6861582 1.3463039, 103.6861486 1.3463014, 103.6859555 1.3462505, 103.6859252 1.3463653, 103.6859466 1.3463709, 103.6858727 1.346651, 103.6858693 1.3466639, 103.6858493 1.3466586, 103.6858251 1.3467503))",,,,,yes,,,,"[4323241168, 4323241169, 4323241167, 4323241166, 4323233202, 4323241162, 4323241163, 4323241158, 4323241156, 4323241159, 4323241157, 4323241155, 4323241160, 4323241161, 4323246155, 4323241165, 4323241164, 4323241168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,433835345,"POLYGON ((103.6866223 1.3444939, 103.6868675 1.3445989, 103.6869592 1.3446974, 103.6870246 1.3447676, 103.6870918 1.3450094, 103.6871005 1.3450071, 103.6871687 1.3449891, 103.687101 1.344732, 103.68692 1.3445242, 103.686655 1.3444122, 103.6866223 1.3444939))",,,,,yes,Block 13,,,"[4323257599, 4323257602, 4323257604, 4323257606, 4323257609, 4323207725, 4323257608, 4323257605, 4323257601, 4323257598, 4323257599]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,453765397,"POLYGON ((103.6858114 1.3452359, 103.6858557 1.3454076, 103.6859442 1.3453847, 103.6858999 1.3452131, 103.6858114 1.3452359))",,,,,yes,,,,"[4504546663, 4504546668, 4504546667, 4504546661, 4504546663]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,453765398,"POLYGON ((103.6861105 1.3454471, 103.686128 1.3455152, 103.6862466 1.3454847, 103.686229 1.3454166, 103.6861105 1.3454471))",,,,,yes,,,,"[4504546673, 4504546676, 4504546675, 4504546670, 4504546673]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,453765399,"POLYGON ((103.6864062 1.3452534, 103.6864542 1.3454398, 103.6865584 1.3454129, 103.6865277 1.3452937, 103.6865167 1.3452966, 103.6864994 1.3452294, 103.6864062 1.3452534))",,,,,yes,,,,"[4504546664, 4504546672, 4504546669, 4504546665, 4504546666, 4504546662, 4504546664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,453765400,"POLYGON ((103.6858677 1.3454585, 103.6859118 1.3456295, 103.6859824 1.3456114, 103.6859643 1.3455413, 103.685984 1.3455362, 103.685958 1.3454353, 103.6858677 1.3454585))",,,,,yes,,,,"[4504546674, 4504546680, 4504546679, 4504546678, 4504546677, 4504546671, 4504546674]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
