u,v,key,osmid,highway,oneway,reversed,length,name,access,geometry,width
4355306929,4355306930,0,437731460,service,False,True,7.33,,,"LINESTRING (116.3453852 39.9902868, 116.3453873 39.9902209)",
4355306930,4355306929,0,437731460,service,False,False,7.33,,,"LINESTRING (116.3453873 39.9902209, 116.3453852 39.9902868)",
4355306930,4355306928,0,437731460,service,False,True,41.005,,,"LINESTRING (116.3453873 39.9902209, 116.3453966 39.9898522)",
4355306930,4355306931,0,437731461,service,False,False,59.639,,,"LINESTRING (116.3453873 39.9902209, 116.3446878 39.9901997)",
4355306931,4355306934,0,437731461,service,False,False,107.658,,,"LINESTRING (116.3446878 39.9901997, 116.3446475 39.9911674)",
4355306931,4355306930,0,437731461,service,False,True,59.639,,,"LINESTRING (116.3446878 39.9901997, 116.3453873 39.9902209)",
4355306931,5920072702,0,627111140,service,False,False,50.54,,,"LINESTRING (116.3446878 39.9901997, 116.3440951 39.9901802)",
4355306933,6618948962,0,136728280,residential,False,False,4.784,,,"LINESTRING (116.3421289 39.9910757, 116.3421307 39.9910327)",
4355306933,6618948962,1,868296019,living_street,False,True,4.784,学15楼到综合楼路线1,,"LINESTRING (116.3421289 39.9910757, 116.3421307 39.9910327)",
4355306933,5920349972,0,868296018,residential,False,True,59.265,,,"LINESTRING (116.3421289 39.9910757, 116.3421166 39.9916086)",
4355306933,4355306935,0,437731462,residential,False,False,76.306,,,"LINESTRING (116.3421289 39.9910757, 116.3424661 39.9910888, 116.3430241 39.9910817)",
4355306934,4355306931,0,437731461,service,False,True,107.658,,,"LINESTRING (116.3446475 39.9911674, 116.3446878 39.9901997)",
4355306934,4355306939,0,437731462,residential,False,True,51.556,,,"LINESTRING (116.3446475 39.9911674, 116.3444747 39.991151, 116.3440469 39.9911105)",
4355306935,4355306939,0,437731462,residential,False,False,87.193,,,"LINESTRING (116.3430241 39.9910817, 116.3440469 39.9911105)",
4355306935,4355306937,0,437731463,service,False,False,44.833,,,"LINESTRING (116.3430241 39.9910817, 116.3430474 39.9906789)",
4355306935,4355306933,0,437731462,residential,False,True,76.306,,,"LINESTRING (116.3430241 39.9910817, 116.3424661 39.9910888, 116.3421289 39.9910757)",
4355306936,4355306940,0,244249229,residential,False,False,89.146,主马路,no,"LINESTRING (116.3430689 39.989774, 116.3441143 39.9898091)",
4355306936,328538095,0,244249229,residential,False,True,77.251,主马路,no,"LINESTRING (116.3430689 39.989774, 116.342163 39.9897435)",
4355306936,9070331845,0,437731463,service,False,True,78.917,,,"LINESTRING (116.3430689 39.989774, 116.343052 39.9904836)",
4355306937,9070331845,0,437731463,service,False,False,21.72,,,"LINESTRING (116.3430474 39.9906789, 116.343052 39.9904836)",
4355306937,4355306935,0,437731463,service,False,True,44.833,,,"LINESTRING (116.3430474 39.9906789, 116.3430241 39.9910817)",
4355306937,8857217465,0,437731464,service,False,False,87.004,,,"LINESTRING (116.3430474 39.9906789, 116.3440685 39.9906934)",
4355306938,8857217465,0,437731464,service,False,True,2.036,,,"LINESTRING (116.3440924 39.9906937, 116.3440685 39.9906934)",
4355306939,4355306935,0,437731462,residential,False,True,87.193,,,"LINESTRING (116.3440469 39.9911105, 116.3430241 39.9910817)",
4355306939,8857217465,0,437731465,service,False,False,46.416,,,"LINESTRING (116.3440469 39.9911105, 116.3440685 39.9906934)",
4355306939,4355306934,0,437731462,residential,False,False,51.556,,,"LINESTRING (116.3440469 39.9911105, 116.3444747 39.991151, 116.3446475 39.9911674)",
4355306940,4355306926,0,244249229,residential,False,False,96.554,主马路,no,"LINESTRING (116.3441143 39.9898091, 116.345247 39.9898386)",
4355306940,4355306936,0,244249229,residential,False,True,89.146,主马路,no,"LINESTRING (116.3441143 39.9898091, 116.3430689 39.989774)",
4355306940,5920072702,0,437731465,service,False,True,41.297,,,"LINESTRING (116.3441143 39.9898091, 116.344097 39.990143, 116.3440951 39.9901802)",
4357248087,4357250389,0,437945149,residential,False,False,94.467,,,"LINESTRING (116.3358694 39.9893004, 116.3359248 39.9884519)",
