element_type,osmid,geometry,nodes,building,leisure,name,source,addr:city,addr:district,addr:postcode,addr:province,addr:street,amenity,building:levels,name:en,fast_food,tourism,operator,layer,ways,type
way,680607558,"POLYGON ((112.939809 28.1795395, 112.9398099 28.1794142, 112.9400163 28.1794111, 112.9400145 28.1795411, 112.939809 28.1795395))","[6372936702, 6372936703, 6372936704, 6372936705, 6372936702]",dormitory,,,,,,,,,,,,,,,,,
way,680607559,"POLYGON ((112.9401666 28.1795199, 112.9401658 28.1794111, 112.9404528 28.1794095, 112.9404536 28.1795182, 112.9401666 28.1795199))","[6372936706, 6372936707, 6372936708, 6372936709, 6372936706]",dormitory,,,,,,,,,,,,,,,,,
way,680607560,"POLYGON ((112.9398092 28.1793016, 112.9398042 28.1792237, 112.9400151 28.1792119, 112.9400181 28.1792889, 112.9398092 28.1793016))","[6372936710, 6372936711, 6372936712, 6372936713, 6372936710]",dormitory,,,,,,,,,,,,,,,,,
way,680607561,"POLYGON ((112.9401582 28.1792968, 112.9401582 28.1792069, 112.9404425 28.1792069, 112.9404425 28.1792968, 112.9401582 28.1792968))","[6372936714, 6372936715, 6372936716, 6372936717, 6372936714]",dormitory,,,,,,,,,,,,,,,,,
way,680607562,"POLYGON ((112.9398346 28.1790677, 112.9398326 28.1789732, 112.9404576 28.1789631, 112.9404595 28.1790577, 112.9398346 28.1790677))","[6372936718, 6372936719, 6372936720, 6372936721, 6372936718]",dormitory,,,,,,,,,,,,,,,,,
way,680607563,"POLYGON ((112.9395194 28.1799961, 112.9395408 28.1799368, 112.9397032 28.179976, 112.9396897 28.1800346, 112.9395194 28.1799961))","[6372936722, 6372936723, 6372936724, 6372936725, 6372936722]",retail,,,,,,,,,,,,,,,,,
way,680607564,"POLYGON ((112.939553 28.179886, 112.9395689 28.1798352, 112.9397259 28.1798827, 112.939711 28.1799311, 112.939553 28.179886))","[6372936726, 6372936727, 6372936728, 6372936729, 6372936726]",retail,,,,,,,,,,,,,,,,,
way,680607565,"POLYGON ((112.9395839 28.1797925, 112.9395957 28.1797375, 112.9397487 28.179769, 112.9397334 28.1798247, 112.9395839 28.1797925))","[6372936730, 6372936731, 6372936732, 6372936733, 6372936730]",retail,,,,,,,,,,,,,,,,,
way,680607566,"POLYGON ((112.9396406 28.179688, 112.9396673 28.17961, 112.9397477 28.1796314, 112.939721 28.1797094, 112.9396406 28.179688))","[6372936734, 6372936735, 6372936736, 6372936737, 6372936734]",retail,,,,,,,,,,,,,,,,,
way,680607567,"POLYGON ((112.9396691 28.1795437, 112.9396912 28.1794831, 112.9397808 28.1795085, 112.9397587 28.1795691, 112.9396691 28.1795437))","[6372936738, 6372936739, 6372936740, 6372936741, 6372936738]",retail,,,,,,,,,,,,,,,,,
