u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,service
3442440888,2774498603,0,272516785,footway,False,False,87.046,,,,"LINESTRING (112.9398074 28.1818811, 112.939809 28.1817191, 112.939767 28.1817163, 112.9397876 28.1814924, 112.9399422 28.1811602)",
3442440888,3442442041,0,337142409,footway,False,False,70.969,,,,"LINESTRING (112.9398074 28.1818811, 112.9403404 28.1818734, 112.9405314 28.1818736)",
3442441950,2774498609,0,272516793,living_street,False,False,29.362,,,,"LINESTRING (112.938449 28.1833207, 112.9381497 28.1833093)",
3442441950,941382240,0,272516793,living_street,False,True,32.139,,,,"LINESTRING (112.938449 28.1833207, 112.9387766 28.1833332)",
3442441950,3442441951,0,337142423,footway,False,False,45.168,,,,"LINESTRING (112.938449 28.1833207, 112.9384344 28.1837267)",
3442441951,2774498621,0,272516789,footway,False,False,14.724,,,,"LINESTRING (112.9384344 28.1837267, 112.938584 28.1837388)",
3442441951,2774498619,0,272516789,footway,False,True,36.239,,,,"LINESTRING (112.9384344 28.1837267, 112.9380662 28.183697)",
3442441951,3442441952,0,337142423,footway,False,False,30.312,,,,"LINESTRING (112.9384344 28.1837267, 112.9383989 28.1839975)",
3442441951,3442441950,0,337142423,footway,False,True,45.168,,,,"LINESTRING (112.9384344 28.1837267, 112.938449 28.1833207)",
3442441952,3442441951,0,337142423,footway,False,True,30.312,,,,"LINESTRING (112.9383989 28.1839975, 112.9384344 28.1837267)",
3442442029,2774498637,0,337142445,living_street,False,True,91.41,,,,"LINESTRING (112.9364056 28.1834686, 112.9373131 28.183279)",
3442442029,3464569130,0,337142445,living_street,False,False,95.852,,,,"LINESTRING (112.9364056 28.1834686, 112.9364835 28.1839147, 112.9364197 28.1843215)",
3442442029,3442442040,0,337142449,footway,False,False,208.483,,,,"LINESTRING (112.9364056 28.1834686, 112.9363615 28.1833542, 112.9363546 28.1831584, 112.9364915 28.1830649, 112.9363413 28.1822393, 112.936733 28.1817865)",
3442442040,3444498150,0,310763586,residential,False,True,129.591,,登高路,,"LINESTRING (112.936733 28.1817865, 112.937636 28.1824079, 112.9377848 28.1824917)",
3442442040,3442442029,0,337142449,footway,False,True,208.483,,,,"LINESTRING (112.936733 28.1817865, 112.9363413 28.1822393, 112.9364915 28.1830649, 112.9363546 28.1831584, 112.9363615 28.1833542, 112.9364056 28.1834686)",
3442442040,3464569162,0,339271957,service,False,False,176.949,,,,"LINESTRING (112.936733 28.1817865, 112.9367751 28.181696, 112.9363345 28.1813294, 112.9361312 28.1813049, 112.9353363 28.1816444)",alley
3442442041,11397564484,0,1229018667,footway,False,False,26.804,,,,"LINESTRING (112.9405314 28.1818736, 112.940537 28.1816326)",
3442442041,3442440888,0,337142409,footway,False,True,70.969,,,,"LINESTRING (112.9405314 28.1818736, 112.9403404 28.1818734, 112.9398074 28.1818811)",
3442442041,11397564487,0,"[337142452, 1229018669]",footway,False,"[False, True]",111.059,,,,"LINESTRING (112.9405314 28.1818736, 112.9405245 28.1822309, 112.9412519 28.182249)",
3442629034,11397564467,0,337163823,living_street,False,False,20.258,,,,"LINESTRING (112.9411139 28.1788935, 112.9411472 28.1790733)",
3442629034,11397564472,0,337163823,living_street,False,True,57.222,,,,"LINESTRING (112.9411139 28.1788935, 112.9405301 28.1788952)",
3442629034,11397564443,0,1229018645,living_street,False,True,99.139,,,,"LINESTRING (112.9411139 28.1788935, 112.9411004 28.178002)",
3442629035,11397564467,0,337163823,living_street,False,True,5.858,,,,"LINESTRING (112.9411568 28.1791253, 112.9411472 28.1790733)",
3442629035,11397564476,0,1229018665,footway,False,False,74.578,,,,"LINESTRING (112.9411568 28.1791253, 112.941186 28.1797955)",
3442629035,11397564475,0,1040120908,service,False,True,129.125,,,,"LINESTRING (112.9411568 28.1791253, 112.9417056 28.1791209, 112.9417276 28.1797981)",
3442632918,11397564487,0,272516778,living_street,False,False,52.522,,教学1号,,"LINESTRING (112.9412891 28.1817778, 112.9412519 28.182249)",
3442632918,2774498582,0,272516778,living_street,False,True,70.242,,教学1号,,"LINESTRING (112.9412891 28.1817778, 112.9412916 28.1811461)",
3442632918,3464569136,0,337163084,living_street,False,False,79.029,,,,"LINESTRING (112.9412891 28.1817778, 112.9420954 28.1817818)",
3442632919,3464569136,0,337163084,living_street,False,True,128.003,,,,"LINESTRING (112.9434012 28.1818008, 112.9420954 28.1817818)",
3442632919,9502823543,0,337163086,living_street,False,False,98.209,,,,"LINESTRING (112.9434012 28.1818008, 112.9433793 28.1826838)",
3442632919,3626960628,0,"[337163085, 337163086]",living_street,False,True,177.19000000000003,,,,"LINESTRING (112.9434012 28.1818008, 112.943457 28.1811253, 112.9427629 28.1811303, 112.9424176 28.1811327)",
3444498150,3442442040,0,310763586,residential,False,False,129.591,,登高路,,"LINESTRING (112.9377848 28.1824917, 112.937636 28.1824079, 112.936733 28.1817865)",
3444498150,3287267942,0,310763586,residential,False,True,28.796,,登高路,,"LINESTRING (112.9377848 28.1824917, 112.9379519 28.1825859, 112.938039 28.1826203)",
3444498150,3626960633,0,"[337354540, 337354541]","['living_street', 'footway']",False,False,116.80000000000001,,,,"LINESTRING (112.9377848 28.1824917, 112.9377745 28.1819927, 112.937769 28.1814414)",
3444498153,9441043048,0,337354541,living_street,False,True,4.791,,,,"LINESTRING (112.9392399 28.1805916, 112.9391922 28.1805822)",
3444498153,2774498581,0,751872167,secondary,True,False,63.369,2,麓山南路,40,"LINESTRING (112.9392399 28.1805916, 112.9391811 28.1809025, 112.9391384 28.1811544)",
3464569130,2774498635,0,339271948,living_street,False,True,42.951,,,,"LINESTRING (112.9364197 28.1843215, 112.9368454 28.1842298)",
3464569130,3442442029,0,337142445,living_street,False,True,95.852,,,,"LINESTRING (112.9364197 28.1843215, 112.9364835 28.1839147, 112.9364056 28.1834686)",
3464569130,3464569134,0,339271948,living_street,False,False,89.446,,,,"LINESTRING (112.9364197 28.1843215, 112.9362069 28.1844747, 112.936165 28.184583, 112.9361901 28.1846884, 112.9362519 28.1847547, 112.9364467 28.1849423)",
3464569134,3464569130,0,339271948,living_street,False,True,89.446,,,,"LINESTRING (112.9364467 28.1849423, 112.9362519 28.1847547, 112.9361901 28.1846884, 112.936165 28.184583, 112.9362069 28.1844747, 112.9364197 28.1843215)",
3464569136,3442632919,0,337163084,living_street,False,False,128.003,,,,"LINESTRING (112.9420954 28.1817818, 112.9434012 28.1818008)",
3464569136,3442632918,0,337163084,living_street,False,True,79.029,,,,"LINESTRING (112.9420954 28.1817818, 112.9412891 28.1817778)",
3464569136,3464569137,0,339271949,living_street,False,False,71.923,,,,"LINESTRING (112.9420954 28.1817818, 112.9421005 28.181135)",
3464569137,3626960628,0,337163085,living_street,False,False,31.081,,,,"LINESTRING (112.9421005 28.181135, 112.9424176 28.1811327)",
3464569137,9577039160,0,337163085,living_street,False,True,34.897,,,,"LINESTRING (112.9421005 28.181135, 112.9417445 28.1811399)",
3464569137,3464569136,0,339271949,living_street,False,True,71.923,,,,"LINESTRING (112.9421005 28.181135, 112.9420954 28.1817818)",
3464569150,9441043056,0,339271953,footway,False,False,5.893,,,,"LINESTRING (112.9390933 28.1815337, 112.9390336 28.18154)",
3464569150,2774498567,0,751872167,secondary,True,False,39.081,2,麓山南路,40,"LINESTRING (112.9390933 28.1815337, 112.939067 28.1818844)",
3464569152,3464569156,0,339271953,footway,False,True,21.839,,,,"LINESTRING (112.9385811 28.1819658, 112.9387049 28.1818025)",
