element_type,osmid,amenity,parking,geometry,maxstay,maxheight,layer,name,access,golf_cart,motor_vehicle,surface,nodes,fee:conditional,note,ref,building,capacity,source,fee,parking:orientation,authentication:app,payment:cash,payment:credit_cards,addr:city,addr:housenumber,addr:state,addr:street,building:levels,loc_name,maxspeed,paloalto_ca:id,roof:levels,location,ways,type
way,31711610,parking,,"POLYGON ((-122.1634037 37.4249782, -122.1626569 37.4248214, -122.1626741 37.4247669, -122.1634208 37.4249237, -122.1634037 37.4249782))",,,,,private,,,,"[354788550, 354788551, 354788552, 354788553, 354788550]",,,,,,,,,,,,,,,,,,,,,,,
way,31711611,parking,lane,"POLYGON ((-122.1626053 37.4246436, -122.1626218 37.4245932, -122.1632193 37.4247164, -122.1632028 37.4247668, -122.1626053 37.4246436))",,,,,private,,,,"[354788666, 354788667, 354788668, 354788669, 354788666]",,,,,,,,,,,,,,,,,,,,,,,
way,31711629,parking,,"POLYGON ((-122.1632962 37.4238058, -122.1630737 37.4237569, -122.1631701 37.4234883, -122.1632834 37.4235146, -122.1633388 37.4235279, -122.1633338 37.4236952, -122.1632962 37.4238058))",,,,,,,,,"[354789123, 354789124, 354789125, 518824010, 354789126, 1787964582, 354789123]",,,,,,,,,,,,,,,,,,,,,,,
way,42053707,parking,,"POLYGON ((-122.1744551 37.4196487, -122.1743778 37.4196692, -122.1738628 37.4194987, -122.1737598 37.4194101, -122.1738543 37.4192806, -122.1739573 37.4192124, -122.1741547 37.4192397, -122.1741547 37.4193351, -122.1744637 37.4194442, -122.174498 37.4195465, -122.1744551 37.4196487))",,,,,,,,,"[522189949, 522189951, 522189954, 522189957, 522189959, 522189962, 522189964, 522189967, 522189970, 522189973, 522189949]",,,,,,,,,,,,,,,,,,,,,,,
way,42055986,parking,surface,"POLYGON ((-122.1727805 37.4356463, -122.1724232 37.4363498, -122.1723038 37.436347, -122.1722979 37.4364307, -122.1722338 37.4364288, -122.1722367 37.4363934, -122.1718675 37.4363862, -122.1718662 37.4363357, -122.1718024 37.4363334, -122.1717398 37.4363176, -122.1717553 37.4362921, -122.1717126 37.4362657, -122.1723696 37.4356087, -122.1723715 37.4355772, -122.1726607 37.4355839, -122.1726583 37.4356305, -122.1727045 37.4356313, -122.1727805 37.4356463))",,,,,,,,asphalt,"[522262608, 9490940683, 9490940684, 9490940685, 9490940686, 9490940687, 9490940688, 9490940691, 9490940692, 9490940693, 1433951047, 1433951046, 9490940690, 522262622, 1433951044, 1433951045, 9490940689, 522262608]",,,,,,,,,,,,,,,,,,,,,,,
way,79296821,parking,surface,"POLYGON ((-122.1709209 37.4235183, -122.1709693 37.422711, -122.1700929 37.422671, -122.170359 37.4234958, -122.1709209 37.4235183))",,,,,yes,,,,"[926083393, 926083394, 287468541, 287468542, 926083393]",,,,,,,yes,,yes,no,yes,,,,,,,,,,,,
way,82161953,parking,surface,"POLYGON ((-122.1687861 37.4402052, -122.1691822 37.4394901, -122.1692593 37.4395161, -122.1692799 37.4394756, -122.170352 37.4398611, -122.1703295 37.4399044, -122.1704215 37.4399343, -122.1700956 37.4406757, -122.1700291 37.4408151, -122.1698036 37.4407481, -122.169414 37.440431, -122.1694081 37.4403944, -122.1693836 37.4403759, -122.1693366 37.4403791, -122.1693183 37.4403966, -122.1687861 37.4402052))",,,,,,,,,"[956661148, 1433951074, 956661149, 1433951073, 1433951101, 956661151, 1433951104, 956661152, 1433951134, 1433951130, 1433951109, 1433951107, 1433951105, 1433951106, 1433951108, 956661148]",,,,,,,,,,,,,,,,,,,,,,,
way,82161987,parking,surface,"POLYGON ((-122.1681548 37.4410757, -122.1681032 37.4410342, -122.1677103 37.4407129, -122.1673789 37.4413271, -122.1678761 37.4417108, -122.1681194 37.4415138, -122.1678757 37.4413092, -122.1681094 37.441113, -122.1681548 37.4410757))",,,,,,,,,"[956661502, 8910432631, 956661503, 956661504, 956661505, 6814758769, 6814758768, 8910432635, 956661502]",,,,,,,,,,,,,,,,,,,,,,,
way,86355796,parking,surface,"POLYGON ((-122.177938 37.4303969, -122.177668 37.43033, -122.177451 37.430283, -122.177464 37.4302383, -122.1773855 37.4302216, -122.177422 37.4301161, -122.177993 37.4302335, -122.177938 37.4303969))",,,,,private,,,,"[1003203945, 2411555839, 2411555832, 1003203946, 7324140235, 7324140236, 1003203956, 1003203945]",,,,,,,,,,,,,,,,,,,,,,,
way,109150500,parking,surface,"POLYGON ((-122.1713145 37.438476, -122.1715897 37.4379293, -122.1715403 37.4379137, -122.1715664 37.4378618, -122.1714428 37.4378226, -122.171419 37.43787, -122.1712478 37.4378157, -122.1712719 37.4377679, -122.1708366 37.4376299, -122.1708143 37.4376741, -122.170749 37.4376534, -122.1705059 37.4381364, -122.1712254 37.4383647, -122.1711894 37.4384363, -122.1713145 37.438476))",,,,,,,,,"[1250337837, 1250337940, 9491006789, 9491006791, 9491006792, 9491006790, 1433951060, 7323872474, 1433951059, 1433951058, 1250337848, 1250337802, 1433951062, 1433951064, 1250337837]",,,,,,,,,,,,,,,,,,,,,,,
