u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,service,access,junction,width,tunnel,bridge
65464351,1120952401,0,"[82161904, 963300849]",False,,Salvatierra Walk,footway,,True,8.015,"LINESTRING (-122.1669993 37.4222626, -122.167017 37.422288, -122.1670394 37.4223272)",,,,,,
65473412,6239344442,0,396887095,False,2,Palm Drive,unclassified,,True,6.96,"LINESTRING (-122.1689362 37.4314606, -122.1689146 37.4315208)",,,,,,
65473412,340316006,0,539102013,False,,Roth Way,residential,,False,12.832,"LINESTRING (-122.1689362 37.4314606, -122.1687965 37.4314288)",,,,,,
65473412,354784526,0,684456925,False,2,Roth Way,residential,,False,12.73,"LINESTRING (-122.1689362 37.4314606, -122.1690754 37.4314904)",,,,,,
65473412,522172286,0,8949167,True,,Palm Drive,service,15 mph,False,52.730999999999995,"LINESTRING (-122.1689362 37.4314606, -122.1689823 37.4314011, -122.1690099 37.4313155, -122.1690461 37.4312511, -122.1691037 37.4311958, -122.1692583 37.4310729)",,,,,,
65473421,4742672888,0,25292832,False,,Memorial Way,service,,False,7.921,"LINESTRING (-122.16489 37.4294034, -122.1649767 37.4294217)",,,,,,
65473421,4742672887,0,609346211,False,2,Galvez Street,tertiary,25 mph,False,8.703,"LINESTRING (-122.16489 37.4294034, -122.1648645 37.429479)",,yes,,,,
65473421,4742672889,0,609346211,False,2,Galvez Street,tertiary,25 mph,True,9.462,"LINESTRING (-122.16489 37.4294034, -122.1649177 37.4293212)",,yes,,,,
65476295,6106941535,0,277133715,False,2,Palo Road,tertiary,25 mph,True,10.563,"LINESTRING (-122.1672328 37.4413656, -122.1671629 37.4412885)",,,,,,
65476295,689504503,0,"[518172626, 277133715]",False,"['3', '2']",Palo Road,tertiary,25 mph,False,138.08599999999998,"LINESTRING (-122.1672328 37.4413656, -122.167987 37.441952, -122.168221 37.4420896, -122.168283 37.4421234, -122.1684155 37.4421641)",,,,,,
65476295,3316594151,0,681477949,False,,,service,,False,14.658999999999999,"LINESTRING (-122.1672328 37.4413656, -122.1672899 37.441309, -122.1673429 37.4412672)",,,,,,
65476297,65562625,0,164126512,False,4,Palm Drive,secondary,25 mph,True,80.282,"LINESTRING (-122.1659495 37.4403755, -122.165718 37.4410737)",,,,,,
65476297,522258539,0,673427099,False,2,Palo Road,tertiary,25 mph,False,10.031,"LINESTRING (-122.1659495 37.4403755, -122.1660593 37.4403987)",,,,,,
