element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:state,addr:street,access,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,note,amenity,operator,wheelchair,layer,parking,website,addr:postcode,description,fixme,tourism,nodes,building:levels,name:etymology:wikidata,name:etymology:wikipedia,wikidata,old_name,alt_name,architect,contact:yelp,display,faces,height,man_made,opening_hours,start_date,support,tower:construction,tower:type,visibility,wikipedia,internet_access,addr:housename,disused:museum,disused:tourism,historic,occupant,comment,air_conditioning,phone,heritage,leisure,sport,is_in:state_code,toilets:wheelchair,healthcare,contact:facebook,contact:instagram,museum,wikimedia_commons,cooperative,heritage:operator,name_1,landuse,plant:output:electricity,plant:source,power,brand,brand:wikidata,cuisine,outdoor_seating,roof:levels,covered,historic:note,ref:nrhp,shop,official_name,operator:type,operator:wikidata,short_name,email,location,designation,survey:date,wheelchair:description,bridge,building:use,disused,min_height,smoking,drinking_water,bar,fax,internet_access:fee,payment:cash,payment:credit_cards,rooms,guest_house,reservation,telescope:type,alt_name_1,content,material,bicycle_parking,branch,cooling:method,memorial,ways,type,architect:wikidata,building:material,contact:foursquare,url,really_has_a_road_through_it
way,24024670,"POLYGON ((-122.256148 37.8710218, -122.2561344 37.8709454, -122.2561203 37.8708709, -122.2561043 37.8707859, -122.2567974 37.8707056, -122.2568353 37.8709093, -122.2567752 37.8709162, -122.2567812 37.8709484, -122.256148 37.8710218))",,,,CA,,,university,95,Alameda,1656741,57871b70-0100-4405-bb30-88b2e001a944,,Morrison Hall,USGS Geonames,,,,,,,,,,,,"[10067819541, 3182076383, 3182076386, 260544517, 260544518, 283261474, 260544519, 283261472, 10067819541]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024671,"POLYGON ((-122.2554712 37.8708872, -122.2554896 37.8709797, -122.2554788 37.8709806, -122.2555472 37.8713404, -122.2558956 37.8712967, -122.2558934 37.8712796, -122.2560541 37.8712599, -122.2560281 37.8711217, -122.2559532 37.8711304, -122.2559239 37.8709729, -122.2559099 37.8708973, -122.2559108 37.8708829, -122.2557979 37.8708949, -122.255786 37.8708486, -122.2554712 37.8708872))",,,,CA,,,university,99,Alameda,1656719,57871b70-0100-4405-bb30-88b2e001a944,,Hertz Hall,USGS Geonames,,,,,,,,,,,,"[260544521, 3207767255, 3207767256, 260544523, 3207767253, 3207767254, 260544524, 260544525, 260544529, 3182076384, 3182076385, 260544528, 260544526, 260544527, 260544521]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024672,"POLYGON ((-122.2546596 37.8717561, -122.2548656 37.8717494, -122.2548536 37.8716344, -122.2548283 37.8713908, -122.2548155 37.8712682, -122.2548131 37.8712452, -122.2548073 37.8711897, -122.2546029 37.8712003, -122.2546596 37.8717561))",,,,CA,,,yes,100,Alameda,1656738,,,Minor Hall,USGS Geonames,,,,,,,,,,,,"[260544531, 260544532, 3207756123, 9991868837, 9991868832, 3207756104, 260544535, 260544536, 260544531]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024679,"POLYGON ((-122.2635924 37.8717717, -122.2633548 37.8718252, -122.263207 37.8717628, -122.2630047 37.871218, -122.2629927 37.8711871, -122.2629404 37.8710457, -122.2631783 37.8709889, -122.2633268 37.8710532, -122.2635411 37.8716391, -122.2635924 37.8717717))",,,,,,,university,,,,,,Weill Hall,,,,,,,,,,,,,"[260544689, 260544690, 260557126, 1257550328, 1257550329, 260544691, 260544692, 260557127, 3207803493, 260544689]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024680,"POLYGON ((-122.2643741 37.8735946, -122.2640035 37.8736191, -122.2639876 37.8734688, -122.2641443 37.8734585, -122.2641181 37.8732113, -122.2640674 37.8732146, -122.2640469 37.8730213, -122.2642064 37.8730107, -122.2642113 37.8730575, -122.2643163 37.8730505, -122.2643741 37.8735946))",,,,CA,,,yes,76,Alameda,1656740,57871b70-0100-4405-bb30-88b2e001a944,,Morgan Hall,USGS Geonames,,,,,,,,,,,,"[260544693, 260544694, 260544695, 260544696, 10067176970, 10067176973, 260544697, 10067176972, 10067176971, 260544698, 260544693]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024682,"POLYGON ((-122.2647442 37.8741963, -122.2650922 37.8741667, -122.2650791 37.8740438, -122.2651834 37.8740373, -122.2651555 37.8737866, -122.2650546 37.8737929, -122.2650395 37.8736683, -122.2646972 37.873686, -122.2647062 37.8738023, -122.2645982 37.8738084, -122.2646232 37.8740747, -122.2647312 37.8740686, -122.2647442 37.8741963))",,,,CA,,,yes,75,Alameda,1656727,57871b70-0100-4405-bb30-88b2e001a944,,Koshland Hall,USGS Geonames,,,,,,,,,,,,"[260544717, 260544725, 260544718, 260544726, 260544728, 260544719, 260544727, 260544720, 260544721, 260908747, 260908748, 260544724, 260544717]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024683,"POLYGON ((-122.2652674 37.8741159, -122.265721 37.8740827, -122.2656936 37.8738113, -122.2652395 37.8738431, -122.2652674 37.8741159))",,,,CA,,,yes,73,Alameda,1656668,57871b70-0100-4405-bb30-88b2e001a944,no,Barker Hall,USGS Geonames,,,,,,,,,,,,"[260544730, 260544731, 260544732, 260544733, 260544730]",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024684,"POLYGON ((-122.2643143 37.8728365, -122.264131 37.8728482, -122.2641268 37.8728074, -122.2640921 37.8728096, -122.2640755 37.8726419, -122.2640702 37.8725941, -122.2641101 37.8725915, -122.264106 37.872551, -122.264887 37.8725014, -122.2649165 37.8727911, -122.2647195 37.8728036, -122.2647063 37.8726742, -122.2643004 37.8726999, -122.2643143 37.8728365))",,,,CA,,,university,72,Alameda,1656743,57871b70-0100-4405-bb30-88b2e001a944,no,Mulford Hall,USGS Geonames,,,,,,,,,,,,"[260544744, 260544745, 3196437431, 3196437432, 260556550, 3196437430, 260544746, 3196437429, 260544747, 260544748, 260544750, 260544751, 260544752, 260544744]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024685,"POLYGON ((-122.2644639 37.8733267, -122.2644739 37.8734475, -122.2645765 37.8734428, -122.2645873 37.8735767, -122.2647604 37.8735664, -122.2649436 37.8735556, -122.2649265 37.8734125, -122.2650339 37.8734073, -122.2650193 37.8732959, -122.2647322 37.8733117, -122.2644639 37.8733267))",,,,,,,yes,,,,,,Genetics and Plant Biology,,,,,,1,,,,,,,"[260544753, 260544754, 260544755, 260544756, 10863138169, 260544757, 260544758, 260544759, 260544760, 10863138170, 260544753]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025026,"POLYGON ((-122.2602101 37.8711224, -122.2602881 37.8713434, -122.2600603 37.8713935, -122.2599823 37.8711725, -122.2602101 37.8711224))",,,,CA,,,yes,82,Alameda,1656690,57871b70-0100-4405-bb30-88b2e001a944,no,Durant Hall,USGS Geonames,,,,,,,,,,,,"[260547344, 260547345, 260547346, 260547347, 260547344]",2,,,Q107294148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
