u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
260544556,282832036,0,319201337,footway,False,True,39.959,,"LINESTRING (-122.2596147 37.8728964, -122.260033 37.8730382)",,,,,,,,
260544556,234653487,0,224038025,footway,False,True,46.432,,"LINESTRING (-122.2596147 37.8728964, -122.2598545 37.8728744, -122.2600406 37.8728174, -122.2601186 37.8727853)",,,,,,,,
260544558,260544555,0,224038025,footway,False,False,13.913,,"LINESTRING (-122.2594088 37.8728607, -122.2592504 37.8728653)",,,,,,,,
260544558,260544556,0,224038025,footway,False,True,18.504,,"LINESTRING (-122.2594088 37.8728607, -122.2596147 37.8728964)",,,,,,,,
260544558,1419647402,0,"[6326283, 38897045]",footway,False,"[False, True]",30.162,,"LINESTRING (-122.2594088 37.8728607, -122.259469 37.8728002, -122.2595642 37.8727576, -122.2595826 37.8727575, -122.2596359 37.8727573, -122.2597006 37.872752)",,,,,,,,
260544559,8451378196,0,224038025,footway,False,False,2.849,,"LINESTRING (-122.2587979 37.8729552, -122.2587665 37.8729617)",,,,,,,,
260544559,8451378232,0,910274557,steps,False,False,7.547,,"LINESTRING (-122.2587979 37.8729552, -122.258774 37.87289)",,,,,,,,
260544559,260544555,0,224038025,footway,False,True,41.081,,"LINESTRING (-122.2587979 37.8729552, -122.2589695 37.8729354, -122.2592504 37.8728653)",,,,,,,,
260544567,8451378028,0,910274501,pedestrian,False,False,20.432,South Drive,"LINESTRING (-122.2585414 37.8709998, -122.2587583 37.8709331)",,,,,,,,
260544567,8451378205,0,910274502,pedestrian,False,False,7.298,South Drive,"LINESTRING (-122.2585414 37.8709998, -122.2584718 37.8710357)",,,,,,,,
260544567,282828716,0,760603472,footway,False,False,77.39099999999999,,"LINESTRING (-122.2585414 37.8709998, -122.258655 37.87129, -122.258717 37.871482, -122.258783 37.871669)",,,,,,,,
260544567,7105414933,0,"[760603472, 1034706075, 1034706076]","['steps', 'footway']",False,True,23.303000000000004,,"LINESTRING (-122.2585414 37.8709998, -122.2585138 37.8709677, -122.2584882 37.8709045, -122.2584638 37.8708461, -122.2584473 37.870849, -122.2584393 37.8708201)",,,,,,,,
260544568,3207730949,0,21768432,pedestrian,False,False,31.033,South Drive,"LINESTRING (-122.2590308 37.8708497, -122.2593734 37.8707808)",,,,,,,,
260544568,8451378028,0,"[21768432, 910274501]",pedestrian,False,True,25.654,South Drive,"LINESTRING (-122.2590308 37.8708497, -122.2587729 37.8709286, -122.2587583 37.8709331)",,,,,,,,
260544568,3207730945,0,1185427879,footway,False,True,47.867999999999995,,"LINESTRING (-122.2590308 37.8708497, -122.2590313 37.870783, -122.2590972 37.8706208, -122.2593395 37.8705919)",,,,,,,,
260547414,1419647337,0,128463528,footway,False,False,9.381,,"LINESTRING (-122.2551915 37.8728452, -122.2552944 37.8728224)",,,,,,,,
260551351,52991829,0,22016986,service,False,False,30.049,South Drive,"LINESTRING (-122.25765 37.8716008, -122.2574512 37.8718208)",,,,,,,,
260551351,52991832,0,22016986,service,False,True,52.643,South Drive,"LINESTRING (-122.25765 37.8716008, -122.2579465 37.8713204, -122.2580568 37.8712562)",,,,,,,,
260551351,8451378174,0,"[234529350, 910274566]",footway,False,False,6.659000000000001,,"LINESTRING (-122.25765 37.8716008, -122.2577127 37.8716145, -122.2577231 37.8716168)",,,,,,,,
260551351,8451378222,0,"[760603474, 910274566]",footway,False,True,4.046,,"LINESTRING (-122.25765 37.8716008, -122.257619 37.8715893, -122.2576083 37.8715853)",,,,,,,,
260551693,3177154981,0,659099706,residential,False,False,8.191,Prospect Street,"LINESTRING (-122.2502359 37.8694703, -122.2502029 37.8694014)",,,,,,,,
260551693,3177154975,0,435440768,residential,False,True,46.226,Prospect Street,"LINESTRING (-122.2502359 37.8694703, -122.2503879 37.8698048, -122.2504161 37.8698609)",,,,,,,,
260556487,237133406,0,22016926,footway,False,True,24.856,,"LINESTRING (-122.2609239 37.8721409, -122.2606479 37.8721909)",,,,,,,,
260556487,237133406,1,"[38939533, 24026038]",footway,False,"[False, True]",48.224,,"LINESTRING (-122.2609239 37.8721409, -122.2608971 37.8721817, -122.2607922 37.8722508, -122.2607754 37.8722958, -122.2607813 37.8723433, -122.2606479 37.8721909)",,,,,,,,
260556487,237133388,0,22016926,footway,False,False,25.991,,"LINESTRING (-122.2609239 37.8721409, -122.2611391 37.872115, -122.261213 37.8720943)",,,,,,,,
260556487,260556491,0,24026038,footway,False,False,31.155,,"LINESTRING (-122.2609239 37.8721409, -122.2609577 37.8720594, -122.2610149 37.871945, -122.2610489 37.8718788)",,,,,,,,
260556491,462764065,0,22016928,footway,False,False,5.974,Harmon Way,"LINESTRING (-122.2610489 37.8718788, -122.2610468 37.8718251)",,,,,,,,
260556491,237133388,0,22016928,footway,False,True,28.619,Harmon Way,"LINESTRING (-122.2610489 37.8718788, -122.2610788 37.8719567, -122.2611314 37.872034, -122.261213 37.8720943)",,,,,,,,
260556491,260556487,0,24026038,footway,False,True,31.155,,"LINESTRING (-122.2610489 37.8718788, -122.2610149 37.871945, -122.2609577 37.8720594, -122.2609239 37.8721409)",,,,,,,,
260556496,52996336,0,22016926,footway,False,True,11.739,,"LINESTRING (-122.2619943 37.8721704, -122.2618656 37.8721991)",,,,,,,,
