element_type,osmid,amenity,geometry,layer,name,parking,access,fee,tourism,operator,nodes,building,addr:city,addr:housenumber,addr:street,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,building:levels,covered,capacity:disabled,opening_hours,capacity,source,surface,wheelchair,wheelchair:description,sport,park_ride,alt_name,ways,type
way,431329072,parking,"POLYGON ((-122.2560688 37.86804, -122.2559 37.8680623, -122.2557661 37.867417, -122.2559356 37.8673968, -122.2560688 37.86804))",,,surface,,,,,"[4305368798, 4305368577, 4305368586, 4305368582, 4305368798]",,,,,,,,,,,,,,,,,,,,,,,
way,470796169,parking,"POLYGON ((-122.2523015 37.8758769, -122.2523854 37.875844, -122.2523846 37.8758944, -122.2523999 37.8759515, -122.2524272 37.87599, -122.2523691 37.8760439, -122.2522048 37.8759366, -122.2521737 37.8759431, -122.2521216 37.8757863, -122.2520898 37.8756903, -122.2521931 37.8756697, -122.2522074 37.875722, -122.2522874 37.8758536, -122.2523015 37.8758769))",,G3,surface,permit,,,,"[4649871038, 7781516068, 7781516069, 7781516070, 7781516071, 4649871561, 7781516073, 7781516074, 7781516072, 4649874006, 4649868895, 7796210030, 7796210032, 4649871038]",,,,,,,,,,,,,,,,,,,,,,,
way,545790157,parking,"POLYGON ((-122.2653945 37.8671055, -122.2652023 37.8671315, -122.2653488 37.8678074, -122.2655409 37.8677815, -122.2653945 37.8671055))",,,surface,,,,"University of California, Berkeley","[5274780173, 5274780174, 5274780194, 5274780192, 5274780173]",,,,,,,,,,,,,,,,paved,,,,,,,
way,617799108,parking,"POLYGON ((-122.2666697 37.8712838, -122.2668977 37.8712568, -122.2668447 37.8712087, -122.266988 37.8711941, -122.2669609 37.87092, -122.2666025 37.870965, -122.2666697 37.8712838))",,,surface,private,,,"University of California, Berkeley","[5839741657, 5839741656, 5839741654, 5839741653, 5839741648, 5839741649, 5839741657]",,,,,,,,,,,,,,,,,,,,,,,
way,657097883,parking,"POLYGON ((-122.2419937 37.8725758, -122.2417617 37.8726229, -122.2417214 37.8725213, -122.2416953 37.872291, -122.2417711 37.8722783, -122.2418569 37.8723741, -122.2419307 37.8724297, -122.2419903 37.872454, -122.2420017 37.8724763, -122.2419843 37.872516, -122.241995 37.8725535, -122.2419937 37.8725758))",,,surface,yes,no,,,"[6154580447, 6154580446, 6154580445, 6154580444, 6154580443, 6154580442, 6154580441, 6154580440, 6154580439, 6154580438, 6154580437, 6154580447]",,,,,,,,,,,,,,,,,,,,,,,
way,671192884,parking,"POLYGON ((-122.259247 37.8651358, -122.2592966 37.8653883, -122.2592423 37.8653968, -122.2592348 37.8654063, -122.2592369 37.8654177, -122.2591627 37.8654258, -122.2591041 37.8651529, -122.259247 37.8651358))",,,surface,private,,,,"[6285416476, 6285416475, 6285416474, 6285416473, 6285416472, 6285416471, 6285416470, 6285416476]",,,,,,,,,,,,,,,,,,,,,,,
way,746877144,parking,"POLYGON ((-122.2297253 37.8803697, -122.2298249 37.8803477, -122.2299538 37.8803442, -122.2301158 37.880387, -122.2301805 37.8803854, -122.2302947 37.8804639, -122.2302961 37.8805635, -122.2303235 37.8806674, -122.2303184 37.8806932, -122.2302623 37.8806503, -122.2300666 37.8805182, -122.2299251 37.8804368, -122.2298167 37.8803985, -122.2297253 37.8803697))",,,surface,no,,,,"[10559093571, 6989029780, 6989029781, 6989029782, 6989029778, 6989029783, 6989029784, 6989037585, 10559093569, 10559093572, 10559093573, 10559093570, 10559093574, 10559093571]",,,,,,,,,,,,,,,,,,,,,,,
way,761100316,parking,"POLYGON ((-122.2583295 37.8728039, -122.2583046 37.8727405, -122.2579175 37.8728287, -122.2579415 37.8728929, -122.2583295 37.8728039))",,,surface,permit,,,,"[7110916203, 7110916204, 7110916205, 7110916206, 7110916203]",,,,,,,,,,,,7,,7,,asphalt,,,,,,,
way,763457566,parking,"POLYGON ((-122.2535672 37.8759202, -122.2535158 37.8759075, -122.2535107 37.8759442, -122.2536404 37.876275, -122.2536246 37.8762805, -122.2537445 37.8764944, -122.2538412 37.8765164, -122.2539818 37.876477, -122.2539101 37.8762758, -122.2539086 37.8762552, -122.2539204 37.8762395, -122.253936 37.8762262, -122.2539745 37.8762141, -122.2539121 37.8760484, -122.2537596 37.8759972, -122.2536355 37.8759443, -122.2535672 37.8759202))",,E,,permit,,,,"[7133879554, 7782517782, 7782517781, 7782517779, 7782517778, 7133879560, 7782547599, 7782547600, 7782547602, 7782547604, 7782547603, 7782547601, 7133879557, 7133879558, 7782517783, 7782517780, 7133879554]",,,,,,,,,,,,,,,,,,,,,,,
way,763457592,parking,"POLYGON ((-122.2379576 37.8757288, -122.2379337 37.8757766, -122.2380246 37.8759606, -122.2380891 37.8759459, -122.2381673 37.8761595, -122.2382594 37.8761333, -122.2381819 37.8759533, -122.2379576 37.8757288))",,,,,,,,"[4976716533, 7133915690, 4676800891, 4676800938, 4676800811, 7133915691, 4976716532, 4976716533]",,,,,,,,,,,,,,,,,,,,,,,
way,833678270,parking,"POLYGON ((-122.2396246 37.8775114, -122.2396714 37.8774461, -122.2397118 37.8773558, -122.2392785 37.8772297, -122.2392688 37.8772487, -122.2392971 37.8773474, -122.2393344 37.8774204, -122.2396246 37.8775114))",,U4,,permit,,,,"[7134504361, 7780201511, 7782302877, 7782302878, 7782302879, 7780201514, 7134504362, 7134504361]",,,,,,,,,,,,,,,,,,,,,,,
way,834050576,parking,"POLYGON ((-122.2442533 37.8766164, -122.2441914 37.8765158, -122.244273 37.8765164, -122.2444216 37.8764951, -122.2446052 37.8764497, -122.2448158 37.8763744, -122.2450183 37.8762915, -122.2450963 37.8762553, -122.2451288 37.8763151, -122.2449571 37.8763733, -122.2442533 37.8766164))",,R,,permit,,,,"[7785876842, 7785876843, 7785876844, 7785876845, 7785876846, 7785876847, 7785876848, 7785876849, 7785876850, 1250695561, 7785876842]",,,,,,,,,,,,,,,,,,,,,,,
way,834280665,parking,"POLYGON ((-122.2418329 37.8750196, -122.2418167 37.874983, -122.2417742 37.8749325, -122.2417554 37.8749221, -122.241765 37.8749103, -122.2416126 37.8748561, -122.2414198 37.8750144, -122.2414391 37.8750373, -122.241535 37.8750041, -122.2416134 37.8749902, -122.2416945 37.8749888, -122.2417541 37.8749971, -122.2418329 37.8750196))",,S,,permit,,,,"[7787914868, 7787914869, 7787914870, 7787914871, 7787914872, 7787914873, 7787914874, 7787914875, 7787914876, 7787914877, 7787914878, 7787914879, 7787914868]",,,,,,,,,,,,,,,,,,,,,,,
way,874453127,parking,"POLYGON ((-122.2657225 37.8690256, -122.265967 37.8689882, -122.2660386 37.8688806, -122.266052 37.8687553, -122.2659938 37.8686177, -122.2658783 37.8684064, -122.2655999 37.8684343, -122.2657225 37.8690256))",,North Extension Lot,surface,,,,,"[8140315591, 8140315587, 8140315593, 8140315590, 8140315588, 8140315589, 8140315592, 8140315591]",,,,,,,,,,,no,,,,Bing,asphalt,,,,,,,
way,1000385781,parking,"POLYGON ((-122.2655396 37.8676378, -122.265448 37.8672069, -122.2655502 37.8671934, -122.2656578 37.8671791, -122.2657495 37.86761, -122.2656405 37.8676244, -122.2655396 37.8676378))",-1,,surface,,,,"University of California, Berkeley","[9234149425, 9234149426, 9234149431, 9234149428, 9234149427, 9234149432, 9234149425]",,,,,,,,,,,,,,,,paved,,,,,,,
way,1013176600,parking,"POLYGON ((-122.2530059 37.8728931, -122.2523812 37.8723169, -122.2522966 37.8722382, -122.2522284 37.872169, -122.2521982 37.8721732, -122.2521454 37.8720973, -122.2521534 37.8720919, -122.252648 37.8717608, -122.2528086 37.8719084, -122.253522 37.8725641, -122.2535295 37.8725705, -122.2530745 37.8728762, -122.2530388 37.8728848, -122.2530059 37.8728931))",,Stadium Parking Garage,,,,,,"[260551686, 9347384486, 260551687, 9347384490, 9347384489, 9347384491, 260551688, 260551691, 9347384605, 9509603331, 260551683, 260551685, 9553234186, 260551686]",parking,,,,,,,,,1,,,,,,,,,,,Maxwell Garage,,
way,1046354989,parking,"POLYGON ((-122.247195 37.8797538, -122.2470481 37.8796747, -122.2471683 37.8794112, -122.2470614 37.8791792, -122.2470514 37.8791081, -122.2471015 37.8790765, -122.2471917 37.8790923, -122.2473486 37.879427, -122.247195 37.8797538))",,,,permissive,,,,"[9622530199, 9622530200, 9622530201, 9622530202, 9622530203, 9622530204, 9622530205, 9622530206, 9622530199]",,,,,,,,,,,,,,,,,,,,,,,
way,1132411203,parking,"POLYGON ((-122.2450987 37.8827366, -122.245177 37.8826446, -122.2449757 37.8825379, -122.2448941 37.8826337, -122.2450987 37.8827366))",,,surface,,,viewpoint,,"[10559093883, 10559093882, 10559093881, 10559093880, 10559093883]",,,,,,,,,,,,,,,,,,,,,,,
way,1151395272,parking,"POLYGON ((-122.266768 37.8755877, -122.2667563 37.8754815, -122.2674099 37.8754365, -122.2674216 37.8755427, -122.266768 37.8755877))",,,surface,,,,,"[10711466918, 10711466917, 10711466916, 10711466915, 10711466918]",,,,,,,,,,,,,,,,,,,,,,,
way,1168068602,parking,"POLYGON ((-122.2647016 37.8727494, -122.2646956 37.8726832, -122.2643159 37.8727049, -122.264322 37.8727712, -122.2647016 37.8727494))",,,,,,,,"[10863138158, 10863138159, 10863138160, 10863138161, 10863138158]",,,,,,,,,,,,,,,,,,,,,,,
way,1247953919,parking,"POLYGON ((-122.266725 37.8681868, -122.2671996 37.8681249, -122.2671667 37.867968, -122.2666922 37.8680298, -122.266725 37.8681868))",,UCB Parking,,,,,,"[286633529, 11600711772, 11600711773, 11600711774, 286633529]",,,,,,,,,,,,,,,,,,,,,,,
relation,3285647,parking,"MULTIPOLYGON (((-122.252083 37.8764189, -122.2520916 37.8762495, -122.2520487 37.8761004, -122.2521396 37.8760744, -122.2521825 37.8762518, -122.2521883 37.8763934, -122.2521462 37.8764661, -122.252083 37.8764189)), ((-122.2519448 37.8763416, -122.2519199 37.8762088, -122.2518807 37.8760964, -122.2519403 37.8760848, -122.2519886 37.8761885, -122.2520152 37.8763408, -122.2519448 37.8763416)))",,H2,,permit,,,,"[[[462038343, 462038344, 462038345, 462038346, 462038347, 462038348, 462038343], [462038349, 462038350, 462038351, 462038352, 462038353, 7781516064, 462038354, 462038349]]]",,,,,,,,,,,,,,,,,,,,,,"[38896045, 38896046]",multipolygon
