u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge,name,access,junction,service,width,tunnel
2398019462,2400176702,0,488453361,False,unclassified,False,13.437,"LINESTRING (113.9323364 22.5376077, 113.9324395 22.5376821)",,深大东路,,,,,
2398019462,7221567936,0,"[231407864, 488453361]",False,unclassified,True,73.431,"LINESTRING (113.9323364 22.5376077, 113.9322275 22.5375117, 113.9321551 22.537482, 113.9320585 22.5374746, 113.9319271 22.5374919, 113.9317541 22.5375386, 113.9316814 22.5375568)",,"['深大西路', '深大东路']",,,,,
2398019468,2403068938,0,231407864,False,unclassified,False,24.057,"LINESTRING (113.9275398 22.5321171, 113.9275217 22.5323328)",,深大西路,,,,,
2398019468,2455136609,0,231436808,False,unclassified,False,10.979,"LINESTRING (113.9275398 22.5321171, 113.9276467 22.5321171)",,,,,,,
2398019468,2398019435,0,231407864,False,unclassified,True,59.806,"LINESTRING (113.9275398 22.5321171, 113.927531 22.5319202, 113.9274478 22.5315882)",,深大西路,,,,,
2398019471,2623164494,0,256680448,False,footway,True,87.97599999999998,"LINESTRING (113.9318742 22.5323503, 113.9317673 22.5324407, 113.9317136 22.5324853, 113.9315822 22.5325125, 113.931491 22.5325794, 113.9314454 22.5326859, 113.9314106 22.53279, 113.9313462 22.5329114)",,,,,,,
2398019471,2399009540,0,488453361,False,unclassified,False,137.296,"LINESTRING (113.9318742 22.5323503, 113.9318118 22.5322348, 113.9315543 22.5318806, 113.9314228 22.5317666, 113.9309619 22.5314814)",,深大东路,,,,,
2398019471,2398019506,0,488453361,False,unclassified,True,80.734,"LINESTRING (113.9318742 22.5323503, 113.931956 22.532463, 113.9321229 22.532661, 113.9323268 22.5329434)",,深大东路,,,,,
2398019478,2400176702,0,488453361,False,unclassified,True,16.649,"LINESTRING (113.9325628 22.5377793, 113.9324395 22.5376821)",,深大东路,,,,,
2398019478,2399009539,0,231530780,False,footway,True,70.59400000000001,"LINESTRING (113.9325628 22.5377793, 113.9327172 22.537576, 113.9327985 22.5374617, 113.9329621 22.5373304, 113.9329934 22.5372901)",,,,,,,
2398019478,2310684965,0,488453361,False,unclassified,False,224.76299999999998,"LINESTRING (113.9325628 22.5377793, 113.9325718 22.5377844, 113.9328337 22.5379329, 113.9330644 22.5380196, 113.9334303 22.5381184, 113.9335874 22.5381608, 113.9340836 22.5382425, 113.9344419 22.5382828, 113.9346535 22.5382889)",,深大东路,,,,,
2398019485,2399009548,0,231530781,False,service,False,100.046,"LINESTRING (113.9302762 22.5311459, 113.929437 22.5316027)",,,,,,,
2398019485,2399009531,0,488453361,False,unclassified,False,66.08099999999999,"LINESTRING (113.9302762 22.5311459, 113.9300308 22.5310878, 113.9296509 22.5310061)",,深大东路,,,,,
2398019485,2398019495,0,488453361,False,unclassified,True,35.299,"LINESTRING (113.9302762 22.5311459, 113.9304826 22.5312081, 113.9305967 22.5312587)",,深大东路,,,,,
2398019487,2476196072,0,239834474,False,service,False,71.92699999999999,"LINESTRING (113.9356473 22.5375637, 113.9357731 22.5376252, 113.9358643 22.5377193, 113.9360654 22.5380612)",,,,,,,
2398019487,4711255414,0,239872947,False,service,True,41.775,"LINESTRING (113.9356473 22.5375637, 113.9356901 22.5374135, 113.9357004 22.5373236, 113.9356772 22.5371954)",,,,,,,
2398019487,2476517746,0,488453361,False,unclassified,False,54.525,"LINESTRING (113.9356473 22.5375637, 113.9356017 22.5374424, 113.935388 22.537139)",,深大东路,,,,,
2398019487,8987400721,0,488453361,False,unclassified,True,87.589,"LINESTRING (113.9356473 22.5375637, 113.9356473 22.5376851, 113.9355883 22.5378115, 113.9354864 22.5379354, 113.9352879 22.538084, 113.9351565 22.5381477)",,深大东路,,,,,
2398019495,2399009562,0,488453361,False,unclassified,True,10.643,"LINESTRING (113.9305967 22.5312587, 113.9306832 22.5313114)",,深大东路,,,,,
2398019495,4726950346,0,246801732,False,service,False,26.689999999999998,"LINESTRING (113.9305967 22.5312587, 113.9305841 22.5311746, 113.9305679 22.5310202)",,,,,,,
2398019495,2398019485,0,488453361,False,unclassified,False,35.299,"LINESTRING (113.9305967 22.5312587, 113.9304826 22.5312081, 113.9302762 22.5311459)",,深大东路,,,,,
2398019496,2506785139,0,220071403,True,unclassified,False,7.673,"LINESTRING (113.9280717 22.5359341, 113.9281464 22.5359331)",,,,,,,
2398019496,2398019415,0,231407864,False,unclassified,False,10.909,"LINESTRING (113.9280717 22.5359341, 113.9281191 22.5360219)",,深大西路,,,,,
2398019496,2406688759,0,231407864,False,unclassified,True,95.191,"LINESTRING (113.9280717 22.5359341, 113.9279601 22.5357206, 113.9277503 22.535317, 113.9276876 22.5351558)",,深大西路,,,,,
2398019504,2406884077,0,232330679,False,service,True,23.168,"LINESTRING (113.927223 22.53392, 113.9269976 22.5339118)",,,,,,,
2398019504,2398019449,0,231407864,False,unclassified,False,91.077,"LINESTRING (113.927223 22.53392, 113.9272293 22.5340132, 113.927256 22.5341182, 113.9273041 22.5342465, 113.9275003 22.5346932)",,深大西路,,,,,
2398019504,2403068937,0,231407864,False,unclassified,True,76.221,"LINESTRING (113.927223 22.53392, 113.9272372 22.5338114, 113.9272663 22.533712, 113.9274277 22.533263)",,深大西路,,,,,
2398019506,2623164374,0,488453361,False,unclassified,True,30.915,"LINESTRING (113.9323268 22.5329434, 113.9324824 22.5331814)",,深大东路,,,,,
2398019506,2623164494,0,256680435,False,footway,True,115.441,"LINESTRING (113.9323268 22.5329434, 113.9322889 22.5329701, 113.932242 22.5330675, 113.9321535 22.5331022, 113.9320301 22.5330972, 113.9318424 22.5330452, 113.9317673 22.5330452, 113.9316761 22.5330675, 113.9315634 22.5330254, 113.9314401 22.5329362, 113.9313462 22.5329114)",,,,,,,
2398019506,2623164363,0,256680436,False,service,False,72.951,"LINESTRING (113.9323268 22.5329434, 113.9321026 22.5329486, 113.9318558 22.5327479, 113.9317887 22.5326166)",,,,,parking_aisle,,
2398019506,2398019471,0,488453361,False,unclassified,False,80.734,"LINESTRING (113.9323268 22.5329434, 113.9321229 22.532661, 113.931956 22.532463, 113.9318742 22.5323503)",,深大东路,,,,,
2398019511,2403068937,0,231407864,False,unclassified,False,30.729,"LINESTRING (113.9275219 22.5330007, 113.9274277 22.533263)",,深大西路,,,,,
2398019511,2409440243,0,231983445,False,footway,True,7.99,"LINESTRING (113.9275219 22.5330007, 113.9275891 22.5330369)",,,,,,,
