element_type,osmid,nodes,amenity,building,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,smoking,wheelchair,geometry,building:levels,note,leisure,operator,faculty,addr:city,addr:housenumber,addr:postcode,addr:street,ways,type
way,319266332,"[3256770578, 3256770579, 3256770580, 3256770581, 3256770582, 3256770583, 3256770584, 3256770585, 3256770586, 3256770587, 3256770588, 3256770589, 3256770578]",restaurant,yes,学子餐厅,Xuezi Dining Hall,学子餐厅,,,,,"POLYGON ((126.6252048 45.7426519, 126.6253964 45.7428137, 126.6260108 45.7424597, 126.6258314 45.7423082, 126.6257758 45.7423403, 126.6257282 45.7423, 126.6256971 45.7423179, 126.6255855 45.7422237, 126.6256679 45.7421762, 126.6255376 45.7420662, 126.6252144 45.7422526, 126.6254914 45.7424866, 126.6252048 45.7426519))",,,,,,,,,,,
way,319266333,"[3256770590, 3256770591, 3256770592, 3256770593, 3256770594, 3256770595, 3256770596, 3256770597, 3256770598, 3256770599, 3256770590]",,university,,,,,,,,"POLYGON ((126.6251651 45.7426282, 126.6254196 45.7424837, 126.6253401 45.7424155, 126.6251809 45.742506, 126.6251489 45.7424786, 126.6252059 45.7424462, 126.6250508 45.7423132, 126.6251487 45.7422577, 126.6250961 45.7422126, 126.6248461 45.7423546, 126.6251651 45.7426282))",,,,,,,,,,,
way,319267328,"[3256780570, 3256780571, 3256780572, 3256780573, 3256780574, 3256780575, 3256780576, 3256780577, 3256780578, 3256780579, 3256780580, 3256780581, 3256780582, 3256780583, 3256780570]",,yes,体育部,Gymnasium,体育部,,,,,"POLYGON ((126.6237175 45.7409412, 126.6237641 45.7409146, 126.6236796 45.7408427, 126.6242879 45.7404948, 126.6243215 45.7405234, 126.6244369 45.7404574, 126.6245034 45.7405141, 126.6245454 45.7404903, 126.6249109 45.7407943, 126.6247751 45.740872, 126.6248744 45.7409564, 126.6242396 45.7413199, 126.624157 45.7412497, 126.624111 45.7412761, 126.6237175 45.7409412))",,,sports_centre,,,,,,,,
way,319268785,"[3256788556, 3256788557, 3256788558, 3256788559, 3256788556]",library,yes,图书馆,Library,图书馆,,,,,"POLYGON ((126.6257014 45.743402, 126.6261451 45.743786, 126.6270705 45.7432651, 126.6266268 45.7428811, 126.6257014 45.743402))",,,,,,,,,,,
way,319269944,"[3256810223, 3256810224, 3256810225, 3256810226, 3256810227, 3256810228, 3256810229, 3256810230, 3256810231, 3256810232, 3256810233, 3256810234, 3256810223]",,university,致知楼,Zhizhi Building,致知楼,,,,,"POLYGON ((126.6271894 45.7426578, 126.6272859 45.7427375, 126.6274163 45.7426607, 126.6272159 45.7424951, 126.6273294 45.7424282, 126.6272319 45.7423477, 126.6269967 45.7424863, 126.626917 45.7424205, 126.626798 45.7424906, 126.6269699 45.7426327, 126.6268803 45.7426855, 126.6269894 45.7427756, 126.6271894 45.7426578))",,,,,,,,,,,
way,319269954,"[3256810253, 3256810254, 3256810255, 3256810256, 3256810257, 3256810258, 3256810259, 3256810260, 3256810253]",,university,,,,,,,,"POLYGON ((126.6280694 45.7419054, 126.6282362 45.7418092, 126.6283589 45.7419129, 126.6284252 45.7418747, 126.6288922 45.7422692, 126.6281175 45.742716, 126.6280198 45.7426334, 126.6285615 45.7423211, 126.6280694 45.7419054))",,,,,,,,,,,
way,319277009,"[3256881570, 3256881571, 3256881572, 3256881573, 3256881574, 3256881575, 3256881576, 3256881577, 3256881578, 3256881579, 3256881580, 3256881570]",,yes,游泳馆,Indoor Pool,游泳馆,,,,,"POLYGON ((126.6265325 45.7366415, 126.6271011 45.7363249, 126.6272845 45.7360529, 126.6270733 45.7358686, 126.6266523 45.7361035, 126.6266311 45.736085, 126.626361 45.7362358, 126.6263479 45.7362175, 126.6261932 45.7363036, 126.6262323 45.7363378, 126.6262036 45.7363538, 126.6265325 45.7366415))",,,swimming_pool,,,,,,,,
way,319277629,"[3256897760, 3256897761, 3256897762, 3256897763, 3256897764, 3256897765, 3256897766, 3256897767, 3256897768, 3256897769, 3256897770, 3256897771, 3256897772, 3256897773, 3256897774, 3256897775, 3256897776, 3256897777, 3256897778, 3256897779, 3256897780, 3256897781, 3256897782, 3256897783, 3256897784, 3256897785, 3256897786, 3256897787, 3256897788, 3256897789, 3256897790, 3256897791, 3256897792, 3256897793, 3256897794, 3256897795, 3256897796, 3256897797, 3256897798, 3256897799, 3256897800, 3256897801, 3256897802, 3256897803, 3256897804, 3256897805, 3256897806, 3256897807, 3256897808, 3256897809, 3256897810, 3256897811, 3256897812, 3256897813, 3256897760]",,dormitory,A15公寓,Dormitory A15,A15公寓,,,,,"POLYGON ((126.6253723 45.7372324, 126.6254597 45.7371808, 126.625476 45.7371944, 126.6255502 45.7371508, 126.6255978 45.7371902, 126.6255759 45.737203, 126.6256713 45.7372824, 126.6256855 45.7372742, 126.6258138 45.7373818, 126.6257963 45.7373919, 126.6259063 45.7374848, 126.6260211 45.7374186, 126.6260019 45.7374023, 126.6261678 45.7373072, 126.6261828 45.73732, 126.6262901 45.7372589, 126.6261931 45.737176, 126.6261789 45.7371841, 126.6260385 45.7370634, 126.6260548 45.7370541, 126.6259803 45.7369899, 126.6259619 45.7370003, 126.6258844 45.7369333, 126.6260615 45.7368334, 126.6261579 45.7369167, 126.6261351 45.7369295, 126.6262118 45.7369958, 126.6262391 45.7369804, 126.6263797 45.7371017, 126.6263567 45.7371147, 126.6264271 45.7371753, 126.6264521 45.7371612, 126.6265541 45.7372489, 126.626483 45.7372892, 126.6264998 45.7373037, 126.6263726 45.7373761, 126.6263875 45.7373888, 126.6262428 45.7374715, 126.6262277 45.7374588, 126.6261407 45.7375088, 126.6261544 45.7375204, 126.626011 45.7376033, 126.6260003 45.7375943, 126.6258825 45.737663, 126.625868 45.7376509, 126.6257879 45.7376979, 126.6257346 45.7376537, 126.6257541 45.7376422, 126.6257091 45.737605, 126.6257747 45.7375662, 126.625639 45.7374541, 126.6256159 45.7374677, 126.6254645 45.7373429, 126.6254888 45.7373286, 126.6253723 45.7372324))",,,,,,,,,,,
way,319278546,"[3256915976, 3256915977, 3256915978, 3256915979, 3256915980, 3256915981, 3256915982, 3256915983, 3256915984, 3256915985, 3256915986, 3256915987, 3256915988, 3256915989, 3256915990, 3256915991, 3256915992, 3256915993, 3256915994, 3256915995, 3256915996, 3256915997, 3256915998, 3256915999, 3256916000, 3256916001, 3256916002, 3256916003, 3256916004, 3256916005, 3256916006, 3256916007, 3256915976]",,dormitory,A16公寓,Dormitory A16,A16公寓,,,,,"POLYGON ((126.6249256 45.7380605, 126.6250406 45.73816, 126.6252328 45.73805, 126.625248 45.7380632, 126.6253892 45.7379834, 126.6253745 45.7379708, 126.6254795 45.7379117, 126.6254696 45.7379031, 126.6255425 45.7378621, 126.6254818 45.7378094, 126.6254582 45.7378226, 126.6254184 45.737788, 126.6253515 45.7378255, 126.6252449 45.737733, 126.6252671 45.7377205, 126.6251284 45.7376001, 126.6251064 45.7376124, 126.625025 45.7375417, 126.6250438 45.7375312, 126.6249897 45.7374843, 126.6249168 45.7375253, 126.6249065 45.7375164, 126.6248203 45.737565, 126.6249851 45.7377073, 126.6249988 45.7376996, 126.6250923 45.7377801, 126.6250733 45.7377908, 126.6252002 45.7379002, 126.6250936 45.7379605, 126.6250796 45.7379484, 126.6249338 45.7380309, 126.6249529 45.7380474, 126.6249256 45.7380605))",,,,,,,,,,,
way,319278547,"[3256915977, 3256915976, 3256916008, 3256916009, 8979112930, 3256916010, 3256916011, 3256916012, 3256916013, 3256916014, 3256916015, 3256916016, 3256916017, 3256915977]",,dormitory,园丁楼,Yuanding Residences,园丁楼,,,,,"POLYGON ((126.6250406 45.73816, 126.6249256 45.7380605, 126.624687 45.738195, 126.6239292 45.7375399, 126.6239671 45.7375185, 126.6240541 45.7374695, 126.6239311 45.7373632, 126.6236976 45.7374948, 126.6238071 45.7375894, 126.6237688 45.737611, 126.6245452 45.7382821, 126.6246003 45.738251, 126.6247103 45.7383461, 126.6250406 45.73816))",,,,,,,,,,,
