u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
3447796277,10011965361,0,337712900,,service,,False,True,36.604,"LINESTRING (126.6279944 45.7391632, 126.627628 45.7393705)",
3447796277,3447796279,0,337712900,,service,,False,False,12.079,"LINESTRING (126.6279944 45.7391632, 126.6280716 45.7391802, 126.6281407 45.7391604)",
3447796277,3447796283,0,337712900,,service,,False,True,14.081,"LINESTRING (126.6279944 45.7391632, 126.6279659 45.7390979, 126.6280066 45.7390469)",
3447796279,3447796280,0,337712900,,service,,False,False,5.523,"LINESTRING (126.6281407 45.7391604, 126.6281773 45.7391178)",
3447796279,3447796288,0,337712904,,service,,False,False,9.337,"LINESTRING (126.6281407 45.7391604, 126.6282556 45.7391853)",
3447796279,3447796277,0,337712900,,service,,False,True,12.079,"LINESTRING (126.6281407 45.7391604, 126.6280716 45.7391802, 126.6279944 45.7391632)",
3447796280,3447796279,0,337712900,,service,,False,True,5.523,"LINESTRING (126.6281773 45.7391178, 126.6281407 45.7391604)",
3447796280,3447796288,0,337712901,,service,,False,False,9.657,"LINESTRING (126.6281773 45.7391178, 126.6282556 45.7391853)",
3447796280,3447796282,0,337712900,,service,,False,False,12.154,"LINESTRING (126.6281773 45.7391178, 126.628157 45.7390696, 126.6280879 45.7390355)",
3447796282,3447796283,0,337712900,,service,,False,False,6.435,"LINESTRING (126.6280879 45.7390355, 126.6280066 45.7390469)",
3447796282,3447796287,0,337712902,,service,,False,False,9.551,"LINESTRING (126.6280879 45.7390355, 126.6280118 45.738968)",
3447796282,3447796280,0,337712900,,service,,False,True,12.154,"LINESTRING (126.6280879 45.7390355, 126.628157 45.7390696, 126.6281773 45.7391178)",
3447796283,3447796282,0,337712900,,service,,False,True,6.435,"LINESTRING (126.6280066 45.7390469, 126.6280879 45.7390355)",
3447796283,3447796287,0,337712903,,service,,False,False,8.783,"LINESTRING (126.6280066 45.7390469, 126.6280118 45.738968)",
3447796283,3447796277,0,337712900,,service,,False,False,14.081,"LINESTRING (126.6280066 45.7390469, 126.6279659 45.7390979, 126.6279944 45.7391632)",
3447796285,3447796288,0,337712901,,service,,False,True,15.918,"LINESTRING (126.6283846 45.7392966, 126.6282556 45.7391853)",
3447796286,3447796287,0,337712902,,service,,False,True,20.558,"LINESTRING (126.627848 45.7388227, 126.6280118 45.738968)",
3447796287,3447796286,0,337712902,,service,,False,False,20.558,"LINESTRING (126.6280118 45.738968, 126.627848 45.7388227)",
3447796287,3447796282,0,337712902,,service,,False,True,9.551,"LINESTRING (126.6280118 45.738968, 126.6280879 45.7390355)",
3447796287,3447796283,0,337712903,,service,,False,True,8.783,"LINESTRING (126.6280118 45.738968, 126.6280066 45.7390469)",
3447796288,3447796285,0,337712901,,service,,False,False,15.918,"LINESTRING (126.6282556 45.7391853, 126.6283846 45.7392966)",
3447796288,3447796280,0,337712901,,service,,False,True,9.657,"LINESTRING (126.6282556 45.7391853, 126.6281773 45.7391178)",
3447796288,3447796279,0,337712904,,service,,False,True,9.337,"LINESTRING (126.6282556 45.7391853, 126.6281407 45.7391604)",
3447927217,3256837495,0,300671368,护军街,tertiary,,True,False,96.558,"LINESTRING (126.6223987 45.7398136, 126.621442 45.7403688)",
6313177443,3257579077,0,674131964,,residential,,False,False,89.576,"LINESTRING (126.6290522 45.7371694, 126.6293276 45.7375581, 126.6293984 45.7376532, 126.6295732 45.7378882)",
