u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
5319968768,5319968762,0,550835729,service,False,True,215.115,"LINESTRING (117.1715498 39.1085516, 117.1713653 39.1085501, 117.1710325 39.1085644, 117.1707059 39.108574, 117.170293 39.1085788, 117.1697323 39.1085883, 117.169058 39.1086068)",,,
5319968770,9009743225,0,973474844,service,False,False,8.32,"LINESTRING (117.1715632 39.1080531, 117.1716596 39.1080513)",,,
5319968770,5319968772,0,550835729,service,False,False,54.991,"LINESTRING (117.1715632 39.1080531, 117.1715624 39.1078568, 117.1715558 39.1075586)",,,
5319968770,5319968768,0,550835729,service,False,True,55.447,"LINESTRING (117.1715632 39.1080531, 117.1715605 39.1083018, 117.1715498 39.1085516)",,,
5319968772,5091926578,0,528008813,tertiary,False,False,231.212,"LINESTRING (117.1715558 39.1075586, 117.168877 39.107612)",,3,
5319968772,8318182195,0,528008813,tertiary,False,True,97.91,"LINESTRING (117.1715558 39.1075586, 117.1720606 39.1075464, 117.172121 39.1075376, 117.1721678 39.1075238, 117.1722009 39.1075007, 117.1722207 39.1074754, 117.1722256 39.1074445, 117.1722077 39.107138)",,3,
5319968772,5319968770,0,550835729,service,False,True,54.991,"LINESTRING (117.1715558 39.1075586, 117.1715624 39.1078568, 117.1715632 39.1080531)",,,
5362791060,5091926557,0,528008811,tertiary,False,False,183.416,"LINESTRING (117.1709812 39.1067049, 117.1688555 39.1067123)",北洋道,,
5362791060,5362791062,0,528008811,tertiary,False,True,65.119,"LINESTRING (117.1709812 39.1067049, 117.1717359 39.1067074)",北洋道,,
5362791060,5362791064,0,555894487,service,False,False,38.096,"LINESTRING (117.1709812 39.1067049, 117.1709802 39.1063623)",,,
5362791061,5362791067,0,555894487,service,False,True,35.617,"LINESTRING (117.1709769 39.1054077, 117.1709734 39.105728)",,,
5362791062,5362791060,0,528008811,tertiary,False,False,65.119,"LINESTRING (117.1717359 39.1067074, 117.1709812 39.1067049)",北洋道,,
5362791062,5362791065,0,555894489,service,False,False,38.168,"LINESTRING (117.1717359 39.1067074, 117.1717492 39.1063643)",,,
5362791062,6794880248,0,528008811,tertiary,False,True,41.621,"LINESTRING (117.1717359 39.1067074, 117.1720784 39.1067046, 117.1721196 39.1067212, 117.1721497 39.1067464, 117.1721709 39.1067808)",北洋道,,
5362791063,10942462360,0,555894489,service,False,True,23.785,"LINESTRING (117.1717517 39.1053851, 117.1717509 39.105599)",,,
5362791064,6794923688,0,555894487,service,False,False,27.622,"LINESTRING (117.1709802 39.1063623, 117.1709775 39.1061139)",,,
5362791064,5362791060,0,555894487,service,False,True,38.096,"LINESTRING (117.1709802 39.1063623, 117.1709812 39.1067049)",,,
5362791064,5362791065,0,555894490,service,False,False,66.35300000000001,"LINESTRING (117.1709802 39.1063623, 117.1712225 39.1063629, 117.1714956 39.1063636, 117.1717492 39.1063643)",,,
5362791065,10942462363,0,555894489,service,False,False,38.318,"LINESTRING (117.1717492 39.1063643, 117.1717498 39.1060197)",,,
5362791065,5362791062,0,555894489,service,False,True,38.168,"LINESTRING (117.1717492 39.1063643, 117.1717359 39.1067074)",,,
5362791065,5362791066,0,555894490,service,False,False,70.273,"LINESTRING (117.1717492 39.1063643, 117.1720223 39.1063628, 117.1723149 39.1063612, 117.1725636 39.1063599)",,,
5362791065,5362791064,0,555894490,service,False,True,66.353,"LINESTRING (117.1717492 39.1063643, 117.1714956 39.1063636, 117.1712225 39.1063629, 117.1709802 39.1063623)",,,
5362791066,5362791065,0,555894490,service,False,True,70.273,"LINESTRING (117.1725636 39.1063599, 117.1723149 39.1063612, 117.1720223 39.1063628, 117.1717492 39.1063643)",,,
5362791066,6794880248,0,"[1177925906, 1177925907]",service,False,"[False, True]",78.556,"LINESTRING (117.1725636 39.1063599, 117.172549 39.1067727, 117.1721709 39.1067808)",,,
5362791066,10942462363,0,"[1177925912, 1177925905, 1177925910, 1177925911]",service,False,True,108.05600000000001,"LINESTRING (117.1725636 39.1063599, 117.172566 39.1061408, 117.1721905 39.1061408, 117.1721905 39.1060215, 117.1717498 39.1060197)",,,
5362791067,5362791061,0,555894487,service,False,False,35.617,"LINESTRING (117.1709734 39.105728, 117.1709769 39.1054077)",,,
5362791067,6794880203,0,555894487,service,False,True,9.352,"LINESTRING (117.1709734 39.105728, 117.1709743 39.1058121)",,,
5362791067,10942462374,0,555894492,service,False,False,33.065,"LINESTRING (117.1709734 39.105728, 117.1713566 39.1057261)",,,
5362791069,10942462360,0,555894489,service,False,False,14.1,"LINESTRING (117.1717504 39.1057258, 117.1717509 39.105599)",,,
5362791069,10942462363,0,555894489,service,False,True,32.68,"LINESTRING (117.1717504 39.1057258, 117.1717498 39.1060197)",,,
5362791069,10942462375,0,555894492,service,False,False,34.818,"LINESTRING (117.1717504 39.1057258, 117.1721539 39.1057288)",,,
5362791069,10942462374,0,555894492,service,False,True,33.979,"LINESTRING (117.1717504 39.1057258, 117.171426 39.1057258, 117.1713566 39.1057261)",,,
5362791070,10942462375,0,555894492,service,False,True,30.874,"LINESTRING (117.1725117 39.1057315, 117.1721539 39.1057288)",,,
5362791113,5362791114,0,555894501,service,False,False,74.926,"LINESTRING (117.1646839 39.1124008, 117.1655523 39.1123955)",,,
5362791113,10942430133,0,1177925901,service,False,True,52.162,"LINESTRING (117.1646839 39.1124008, 117.1646847 39.1119317)",,,
5362791113,9009743259,0,973474848,service,False,True,44.195,"LINESTRING (117.1646839 39.1124008, 117.1646726 39.1127618, 117.1646538 39.1127951)",,,
5362791114,10942430139,0,555894501,service,False,False,207.985,"LINESTRING (117.1655523 39.1123955, 117.1679627 39.112368)",,,
5362791114,5362791113,0,555894501,service,False,True,74.926,"LINESTRING (117.1655523 39.1123955, 117.1646839 39.1124008)",,,
5362791114,10942462345,0,1177921698,service,False,True,38.786,"LINESTRING (117.1655523 39.1123955, 117.1655558 39.1120467)",,,
5362791114,10942462350,0,1177921700,service,False,False,17.002,"LINESTRING (117.1655523 39.1123955, 117.1655537 39.1125484)",,,
5362791120,9009743306,0,528008813,tertiary,False,False,24.337,"LINESTRING (117.1691824 39.112362, 117.1691896 39.1125808)",,3,
5362791120,6794923691,0,528008813,tertiary,False,True,108.373,"LINESTRING (117.1691824 39.112362, 117.1691501 39.1113877)",,3,
5362791120,6794923697,0,555894501,service,False,True,93.917,"LINESTRING (117.1691824 39.112362, 117.1688354 39.112358, 117.1682453 39.1123663, 117.168094 39.1123672)",,,
5362791120,6794923806,0,724534653,service,False,True,80.809,"LINESTRING (117.1691824 39.112362, 117.1697624 39.112366, 117.1698428 39.1123909, 117.1698911 39.1124242, 117.1699179 39.1124617, 117.1699179 39.1125782)",,,
5362791221,5257095522,0,543826767,service,False,False,58.211,"LINESTRING (117.1644026 39.1099016, 117.1644043 39.1104251)",,,
5362791221,5771651777,0,543826767,service,False,True,70.478,"LINESTRING (117.1644026 39.1099016, 117.1643808 39.109268)",,,
5362791221,11050970802,0,555894503,service,False,False,276.81000000000006,"LINESTRING (117.1644026 39.1099016, 117.1646404 39.109898, 117.1649193 39.1099147, 117.165268 39.1099563, 117.1656543 39.1099355, 117.1661853 39.1099272, 117.1664428 39.1099189, 117.1667862 39.109923, 117.1670329 39.109948, 117.1672021 39.1100764, 117.1672793 39.1102648, 117.167322 39.1103156)",,,
5362791243,6794923691,0,528008813,tertiary,False,False,45.383,"LINESTRING (117.1691366 39.1109797, 117.1691501 39.1113877)",,3,
5362791243,9009743252,0,528008813,tertiary,False,True,130.23,"LINESTRING (117.1691366 39.1109797, 117.1690978 39.1098089)",,3,
5362791243,5362791252,0,555894503,service,False,True,93.903,"LINESTRING (117.1691366 39.1109797, 117.1681984 39.1109731, 117.1681219 39.1109595, 117.1680549 39.1109398)",,,
5362791244,5771651778,0,555894506,service,False,False,64.294,"LINESTRING (117.1679516 39.1086306, 117.1679796 39.1092084)",,,
5362791244,5319968762,0,550835728,service,False,False,95.503,"LINESTRING (117.1679516 39.1086306, 117.1680439 39.1086266, 117.1685307 39.108617, 117.169058 39.1086068)",,,
5362791244,5257095521,0,550835728,service,False,True,309.629,"LINESTRING (117.1679516 39.1086306, 117.167212 39.1086409, 117.1665095 39.1086648, 117.1654989 39.108684, 117.1643642 39.1086942)",,,
5362791252,10942462346,0,724534656,service,False,False,125.056,"LINESTRING (117.1680549 39.1109398, 117.1680857 39.1120642)",,,
5362791252,5362791243,0,555894503,service,False,False,93.903,"LINESTRING (117.1680549 39.1109398, 117.1681219 39.1109595, 117.1681984 39.1109731, 117.1691366 39.1109797)",,,
5362791252,11050970802,0,555894503,service,False,True,95.50899999999999,"LINESTRING (117.1680549 39.1109398, 117.1679743 39.1108959, 117.167784 39.1107368, 117.1676002 39.1106515, 117.167501 39.1105287, 117.167322 39.1103156)",,,
5362791252,11050970801,0,555894506,service,False,True,69.954,"LINESTRING (117.1680549 39.1109398, 117.168038 39.110414, 117.1680311 39.110311)",,,
5362791253,9009743252,0,528008813,tertiary,False,False,11.401,"LINESTRING (117.1690944 39.1097064, 117.1690978 39.1098089)",,3,
5362791253,5319968762,0,528008813,tertiary,False,True,122.31,"LINESTRING (117.1690944 39.1097064, 117.169058 39.1086068)",,3,
5362791253,5362791258,0,555894508,service,False,False,94.388,"LINESTRING (117.1690944 39.1097064, 117.1680007 39.109725)",,,
5362791258,5771651778,0,555894506,service,False,True,57.472,"LINESTRING (117.1680007 39.109725, 117.1679796 39.1092084)",,,
5362791258,5362791253,0,555894508,service,False,True,94.388,"LINESTRING (117.1680007 39.109725, 117.1690944 39.1097064)",,,
5362791258,11050970801,0,555894506,service,False,False,65.214,"LINESTRING (117.1680007 39.109725, 117.1680217 39.1101702, 117.1680311 39.110311)",,,
5362791265,10942430176,0,555894510,service,False,False,81.172,"LINESTRING (117.1620837 39.1088327, 117.1621832 39.1095586)",,,
5362791265,6794923803,0,724534646,service,False,False,48.409,"LINESTRING (117.1620837 39.1088327, 117.1615227 39.1088392)",,,
5362791265,5257095521,0,555894510,service,False,True,199.42700000000002,"LINESTRING (117.1620837 39.1088327, 117.1623072 39.1088666, 117.1626205 39.1088568, 117.1628594 39.1088158, 117.1632555 39.1087166, 117.1637517 39.108701, 117.1643642 39.1086942)",,,
5362791265,5771665468,0,609324537,service,False,False,169.268,"LINESTRING (117.1620837 39.1088327, 117.1619191 39.1078135, 117.1618107 39.1073256)",,,
5771651777,5362791221,0,543826767,service,False,False,70.478,"LINESTRING (117.1643808 39.109268, 117.1644026 39.1099016)",,,
5771651777,9009743285,0,543826767,service,False,True,27.572,"LINESTRING (117.1643808 39.109268, 117.1643736 39.1090201)",,,
5771651777,5771651778,0,609323373,service,False,False,310.58,"LINESTRING (117.1643808 39.109268, 117.1679796 39.1092084)",,,
5771651778,5362791258,0,555894506,service,False,False,57.472,"LINESTRING (117.1679796 39.1092084, 117.1680007 39.109725)",,,
5771651778,5362791244,0,555894506,service,False,True,64.294,"LINESTRING (117.1679796 39.1092084, 117.1679516 39.1086306)",,,
5771651778,5771651777,0,609323373,service,False,True,310.58,"LINESTRING (117.1679796 39.1092084, 117.1643808 39.109268)",,,
5771665468,6794923734,0,528008811,tertiary,False,False,137.791,"LINESTRING (117.1618107 39.1073256, 117.1602138 39.1073359)",北洋道,,
5771665468,5091926553,0,528008811,tertiary,False,True,85.10600000000001,"LINESTRING (117.1618107 39.1073256, 117.1626964 39.1073245, 117.1627969 39.1073202)",北洋道,,
5771665468,5771665470,0,609324537,service,False,False,251.445,"LINESTRING (117.1618107 39.1073256, 117.1616707 39.1055687, 117.1616547 39.1054949, 117.1616247 39.1054324, 117.1615855 39.1053655, 117.1612621 39.1052283)",,,
5771665468,5362791265,0,609324537,service,False,True,169.268,"LINESTRING (117.1618107 39.1073256, 117.1619191 39.1078135, 117.1620837 39.1088327)",,,
5771665470,5771665468,0,609324537,service,False,True,251.445,"LINESTRING (117.1612621 39.1052283, 117.1615855 39.1053655, 117.1616247 39.1054324, 117.1616547 39.1054949, 117.1616707 39.1055687, 117.1618107 39.1073256)",,,
5771665470,5771665470,0,724531483,living_street,False,False,41.845,"LINESTRING (117.1612621 39.1052283, 117.1613697 39.1052304, 117.16141 39.1052397, 117.1614542 39.1052522, 117.1614958 39.105271, 117.1612621 39.1052283)",,,
5771665470,5771665470,1,724531483,living_street,False,True,41.845,"LINESTRING (117.1612621 39.1052283, 117.1614958 39.105271, 117.1614542 39.1052522, 117.16141 39.1052397, 117.1613697 39.1052304, 117.1612621 39.1052283)",,,
5771665470,5771665470,2,724531492,pedestrian,False,False,223.14600000000002,"LINESTRING (117.1612621 39.1052283, 117.1612643 39.1052963, 117.1601418 39.1053175, 117.1601412 39.1051842, 117.16126 39.1051626, 117.1612621 39.1052283)",,,
5771665470,5771665470,3,724531492,pedestrian,False,True,223.146,"LINESTRING (117.1612621 39.1052283, 117.16126 39.1051626, 117.1601412 39.1051842, 117.1601418 39.1053175, 117.1612643 39.1052963, 117.1612621 39.1052283)",,,
5771665470,6794923734,0,"[724534650, 724531483]","['service', 'living_street']",False,True,324.495,"LINESTRING (117.1612621 39.1052283, 117.160183 39.1052556, 117.1602138 39.1073359)",,,
5771665471,9009897458,0,528008811,tertiary,False,False,29.303,"LINESTRING (117.1653289 39.1067338, 117.1649893 39.106736)",北洋道,,
5771665471,9009897466,0,528008811,tertiary,False,True,12.115,"LINESTRING (117.1653289 39.1067338, 117.1654693 39.1067331)",北洋道,,
5771665471,6794846379,0,609324539,tertiary,False,False,92.863,"LINESTRING (117.1653289 39.1067338, 117.16533 39.1060184, 117.1651757 39.1060189)",,,
5771665474,6794923765,0,609324539,tertiary,False,True,73.482,"LINESTRING (117.163999 39.1053145, 117.1643738 39.1059079)",,,
6794846379,6794923765,0,609324539,tertiary,False,False,76.269,"LINESTRING (117.1651757 39.1060189, 117.1644383 39.1060099, 117.1643738 39.1059079)",,,
6794846379,5771665471,0,609324539,tertiary,False,True,92.863,"LINESTRING (117.1651757 39.1060189, 117.16533 39.1060184, 117.1653289 39.1067338)",,,
6794846379,6794923741,0,724534645,pedestrian,False,True,118.74600000000001,"LINESTRING (117.1651757 39.1060189, 117.1651785 39.1058267, 117.166307 39.1058288)",,,
6794846380,6794923754,0,724534630,service,False,True,19.482,"LINESTRING (117.1645857 39.1065635, 117.1645777 39.1067386)",,,
6794846380,6794923765,0,724534630,service,False,False,93.04499999999999,"LINESTRING (117.1645857 39.1065635, 117.1643789 39.1065639, 117.1643521 39.106552, 117.164342 39.1065332, 117.1643363 39.1059682, 117.1643738 39.1059079)",,,
6794846380,9009897458,0,973493108,service,False,False,51.983000000000004,"LINESTRING (117.1645857 39.1065635, 117.1649623 39.1065681, 117.1649824 39.1065847, 117.1649918 39.1066076, 117.1649893 39.106736)",,,
6794873282,8318182195,0,528008813,tertiary,False,False,6.211,"LINESTRING (117.1722044 39.1070822, 117.1722077 39.107138)",,3,
6794873282,6794880248,0,528008811,tertiary,False,False,33.804,"LINESTRING (117.1722044 39.1070822, 117.1721967 39.1068588, 117.1721709 39.1067808)",北洋道,,
6794880128,6794880138,0,724531474,service,False,False,57.88,"LINESTRING (117.1681887 39.1057016, 117.1688595 39.1057018)",,,
6794880128,5257955121,0,"[543920154, 973474836]",service,False,False,38.379000000000005,"LINESTRING (117.1681887 39.1057016, 117.1681701 39.1057584, 117.1681388 39.1057995, 117.1680934 39.1058318, 117.168038 39.1058525, 117.1679772 39.1058598, 117.1679162 39.1058531, 117.1678604 39.105833)",,,
6794880128,5257955124,0,"[543920154, 973474836]",service,False,True,55.379,"LINESTRING (117.1681887 39.1057016, 117.1681805 39.1056613, 117.1681563 39.1056141, 117.1681146 39.105575, 117.1680594 39.1055477, 117.167996 39.105535, 117.1679306 39.1055381, 117.1678697 39.1055566, 117.1678191 39.1055889, 117.1677837 39.1056316, 117.1677671 39.1056808)",,,
6794880138,6794923685,0,522923441,tertiary,False,False,45.134,"LINESTRING (117.1688595 39.1057018, 117.1688578 39.1061077)",,,
6794880138,6794880214,0,522923441,tertiary,False,True,8.763,"LINESTRING (117.1688595 39.1057018, 117.1688607 39.105623)",,,
6794880138,6794880128,0,724531474,service,False,True,57.88,"LINESTRING (117.1688595 39.1057018, 117.1681887 39.1057016)",,,
6794880203,5362791067,0,555894487,service,False,False,9.352,"LINESTRING (117.1709743 39.1058121, 117.1709734 39.105728)",,,
6794880203,6794923688,0,555894487,service,False,True,33.56,"LINESTRING (117.1709743 39.1058121, 117.1709775 39.1061139)",,,
6794880203,6794880214,0,724531491,service,False,True,203.443,"LINESTRING (117.1709743 39.1058121, 117.1705456 39.1058142, 117.1705509 39.1056289, 117.1703605 39.1056282, 117.1688607 39.105623)",,,
6794880214,6794880138,0,522923441,tertiary,False,False,8.763,"LINESTRING (117.1688607 39.105623, 117.1688595 39.1057018)",,,
6794880214,6794880203,0,724531491,service,False,False,203.44299999999998,"LINESTRING (117.1688607 39.105623, 117.1703605 39.1056282, 117.1705509 39.1056289, 117.1705456 39.1058142, 117.1709743 39.1058121)",,,
6794880248,5362791062,0,528008811,tertiary,False,False,41.620999999999995,"LINESTRING (117.1721709 39.1067808, 117.1721497 39.1067464, 117.1721196 39.1067212, 117.1720784 39.1067046, 117.1717359 39.1067074)",北洋道,,
6794880248,6794873282,0,528008811,tertiary,False,True,33.804,"LINESTRING (117.1721709 39.1067808, 117.1721967 39.1068588, 117.1722044 39.1070822)",北洋道,,
6794880248,5362791066,0,"[1177925906, 1177925907]",service,False,"[False, True]",78.556,"LINESTRING (117.1721709 39.1067808, 117.172549 39.1067727, 117.1725636 39.1063599)",,,
6794923685,6794923727,0,522923441,tertiary,False,False,26.609,"LINESTRING (117.1688578 39.1061077, 117.1688569 39.106347)",,,
6794923685,6794880138,0,522923441,tertiary,False,True,45.134,"LINESTRING (117.1688578 39.1061077, 117.1688595 39.1057018)",,,
6794923685,6794923688,0,724534652,service,False,False,182.9,"LINESTRING (117.1688578 39.1061077, 117.1709775 39.1061139)",,,
6794923686,6794923704,0,724534633,service,False,True,41.365,"LINESTRING (117.1678149 39.106347, 117.1678124 39.106719)",,,
6794923686,5257955121,0,724534633,service,False,False,57.846000000000004,"LINESTRING (117.1678149 39.106347, 117.1678001 39.1060779, 117.1678095 39.1059749, 117.1678269 39.1059083, 117.1678604 39.105833)",,,
6794923686,6794923727,0,"[973474832, 973474833, 724534651]",service,False,False,89.91,"LINESTRING (117.1678149 39.106347, 117.1682517 39.1063495, 117.1683028 39.1063496, 117.1688569 39.106347)",,,
6794923688,6794880203,0,555894487,service,False,False,33.56,"LINESTRING (117.1709775 39.1061139, 117.1709743 39.1058121)",,,
6794923688,5362791064,0,555894487,service,False,True,27.622,"LINESTRING (117.1709775 39.1061139, 117.1709802 39.1063623)",,,
6794923688,6794923685,0,724534652,service,False,True,182.9,"LINESTRING (117.1709775 39.1061139, 117.1688578 39.1061077)",,,
6794923688,10942462363,0,"[1177925904, 1177925908, 1177925909]",service,False,True,77.376,"LINESTRING (117.1709775 39.1061139, 117.1713103 39.1061105, 117.1713103 39.106014, 117.1717498 39.1060197)",,,
6794923691,5362791120,0,528008813,tertiary,False,False,108.373,"LINESTRING (117.1691501 39.1113877, 117.1691824 39.112362)",,3,
6794923691,5362791243,0,528008813,tertiary,False,True,45.383,"LINESTRING (117.1691501 39.1113877, 117.1691366 39.1109797)",,3,
6794923691,9009743241,0,724534636,service,False,False,83.932,"LINESTRING (117.1691501 39.1113877, 117.1701229 39.1113866)",,,
6794923692,9009897466,0,528008811,tertiary,False,False,72.506,"LINESTRING (117.1663096 39.106729, 117.1654693 39.1067331)",北洋道,,
6794923692,5256998858,0,528008811,tertiary,False,True,3.253,"LINESTRING (117.1663096 39.106729, 117.1663473 39.1067285)",北洋道,,
6794923692,9009897462,0,724534635,service,False,True,23.451,"LINESTRING (117.1663096 39.106729, 117.1663099 39.1065181)",,,
6794923696,6794923763,0,528008811,tertiary,False,True,173.117,"LINESTRING (117.1568395 39.1073575, 117.1588458 39.1073447)",北洋道,,
6794923696,6794923751,0,724534640,service,False,False,39.273,"LINESTRING (117.1568395 39.1073575, 117.156818 39.1070047)",,,
