u,v,key,osmid,lanes,highway,service,oneway,reversed,length,geometry,name,maxspeed,junction,bridge,access,tunnel,width,est_width
496810113,11252774975,0,792090598,2,residential,,False,True,10.034,"LINESTRING (103.777251 1.2935056, 103.7771758 1.2935555)",Prince George's Park,40,,,,,,
496810113,7957586760,0,"[161886048, 640173902, 792090598, 669608623]",2,residential,,False,False,208.35600000000002,"LINESTRING (103.777251 1.2935056, 103.7778009 1.2931453, 103.7779025 1.2930928, 103.7780099 1.2930461, 103.7781336 1.2930087, 103.7782667 1.2929807, 103.778619 1.2929596, 103.7787232 1.2929387, 103.7788516 1.2929154, 103.778938 1.2928874, 103.7789736 1.2928702)",Prince George's Park,40,,,,,,
496810113,8172354088,0,878463628,,service,parking_aisle,False,True,11.738999999999999,"LINESTRING (103.777251 1.2935056, 103.7772399 1.293491, 103.7771869 1.2934217)",,,,,,,,
496810228,8002007139,0,858378067,,footway,,False,True,4.852,"LINESTRING (103.7821095 1.2914599, 103.7821267 1.2914198)",,,,,,,,
496810228,8001999087,0,858378249,,footway,,False,False,4.782,"LINESTRING (103.7821095 1.2914599, 103.7820932 1.2914997)",,,,,,,,
496810228,1832488253,0,438927634,2,residential,,False,True,79.97800000000001,"LINESTRING (103.7821095 1.2914599, 103.7817011 1.2912714, 103.7814477 1.2911793)",Prince George's Park,40,,,,,,
496810228,7907597109,0,"[671442362, 634317050]",2,residential,,False,False,127.00299999999999,"LINESTRING (103.7821095 1.2914599, 103.7825124 1.2916405, 103.7828726 1.2918079, 103.7831459 1.2919403)",Prince George's Park,40,,,,,,
496810228,10701201572,0,1150363313,,service,emergency_access,False,False,49.583,"LINESTRING (103.7821095 1.2914599, 103.7820009 1.2914768, 103.7817527 1.2914797, 103.7817272 1.2915638)",,,,,private,,,
595962253,4729622395,0,46648082,2,service,,False,False,14.9,"LINESTRING (103.7813302 1.2968502, 103.7813761 1.2969761)",,,,,,,,
595962253,6969479274,0,744666008,2,service,,False,True,7.808,"LINESTRING (103.7813302 1.2968502, 103.7812637 1.2968728)",,,,,,,,
