osmid,y,x,street_count,highway,ref,geometry
6104682127,1.3006302,103.7753843,3,,,POINT (103.7753843 1.3006302)
6217298196,1.2932976,103.7741369,1,turning_circle,,POINT (103.7741369 1.2932976)
6242060141,1.2988899,103.7754278,4,crossing,,POINT (103.7754278 1.2988899)
6242060142,1.2988932,103.7754056,4,crossing,,POINT (103.7754056 1.2988932)
6242060143,1.2988585,103.7754229,3,,,POINT (103.7754229 1.2988585)
6242060144,1.2989328,103.7754198,3,,,POINT (103.7754198 1.2989328)
6337288686,1.2919591,103.7763527,1,,,POINT (103.7763527 1.2919591)
6338274639,1.2964522,103.7709389,4,,,POINT (103.7709389 1.2964522)
6369783110,1.2942695,103.7848437,3,,,POINT (103.7848437 1.2942695)
6379026540,1.2963325,103.7802629,4,,,POINT (103.7802629 1.2963325)
6424744377,1.2979351,103.7701443,3,,,POINT (103.7701443 1.2979351)
6456247224,1.2952641,103.7841894,3,,,POINT (103.7841894 1.2952641)
6456247230,1.2952488,103.7838073,4,crossing,,POINT (103.7838073 1.2952488)
6456247232,1.2954216,103.7836843,3,crossing,,POINT (103.7836843 1.2954216)
6456247233,1.2953901,103.7833518,3,,,POINT (103.7833518 1.2953901)
6456247235,1.2954599,103.7830203,1,,,POINT (103.7830203 1.2954599)
6456247236,1.2953996,103.7836989,3,,,POINT (103.7836989 1.2953996)
6456247237,1.2953206,103.7836198,3,,,POINT (103.7836198 1.2953206)
6456247238,1.2953255,103.78397,3,,,POINT (103.78397 1.2953255)
6456247239,1.2953942,103.783621,3,,,POINT (103.783621 1.2953942)
6456247243,1.2953659,103.7840846,3,,,POINT (103.7840846 1.2953659)
6456247244,1.2954764,103.7840013,3,,,POINT (103.7840013 1.2954764)
6479978194,1.295227,103.7838102,3,,,POINT (103.7838102 1.295227)
6480045760,1.2953247,103.7833839,3,,,POINT (103.7833839 1.2953247)
6490329836,1.2915566,103.7745412,1,,,POINT (103.7745412 1.2915566)
6490329839,1.2917266,103.7737945,3,,,POINT (103.7737945 1.2917266)
6822613521,1.2921814,103.7762439,2,,,POINT (103.7762439 1.2921814)
6822693921,1.2945372,103.781603,3,,,POINT (103.781603 1.2945372)
6822693922,1.2945584,103.7814813,3,,,POINT (103.7814813 1.2945584)
6823063626,1.294747,103.7736475,3,,,POINT (103.7736475 1.294747)
6846157071,1.2981445,103.771603,1,,,POINT (103.771603 1.2981445)
6846157081,1.2979188,103.7712983,1,,,POINT (103.7712983 1.2979188)
6846159592,1.2992195,103.7752706,1,,,POINT (103.7752706 1.2992195)
6869627080,1.2974174,103.7807166,3,,,POINT (103.7807166 1.2974174)
6869688986,1.2994062,103.7705906,1,,,POINT (103.7705906 1.2994062)
6869688992,1.3007091,103.7719294,1,,,POINT (103.7719294 1.3007091)
6869688993,1.300752,103.7720337,3,,,POINT (103.7720337 1.300752)
6912796541,1.2968255,103.772429,3,,,POINT (103.772429 1.2968255)
6945175836,1.2949273,103.7730487,3,,,POINT (103.7730487 1.2949273)
6957763220,1.3005371,103.7747465,1,,,POINT (103.7747465 1.3005371)
6957980925,1.3007316,103.7755811,3,,,POINT (103.7755811 1.3007316)
6958050077,1.2989124,103.774856,4,,,POINT (103.774856 1.2989124)
6961463033,1.2921445,103.7737712,1,,,POINT (103.7737712 1.2921445)
6969206326,1.2957458,103.7802981,3,,,POINT (103.7802981 1.2957458)
6969206333,1.2957439,103.7803304,2,,,POINT (103.7803304 1.2957439)
6969479272,1.2966703,103.7818055,1,,,POINT (103.7818055 1.2966703)
6969479274,1.2968728,103.7812637,1,,,POINT (103.7812637 1.2968728)
6969479276,1.2974397,103.7815485,4,,,POINT (103.7815485 1.2974397)
6969479277,1.2973807,103.7815186,4,,,POINT (103.7815186 1.2973807)
6969681426,1.2984061,103.7802822,1,,,POINT (103.7802822 1.2984061)
6969818068,1.2970685,103.7829488,1,,,POINT (103.7829488 1.2970685)
6969818069,1.2971054,103.782645,1,,,POINT (103.782645 1.2971054)
6969818070,1.2970886,103.7827376,3,,,POINT (103.7827376 1.2970886)
6969818072,1.2969775,103.7827122,3,,,POINT (103.7827122 1.2969775)
6972459504,1.2970046,103.7824392,3,,,POINT (103.7824392 1.2970046)
7081432299,1.2965691,103.782478,1,,,POINT (103.782478 1.2965691)
7081432300,1.2969249,103.7825243,4,,,POINT (103.7825243 1.2969249)
7081432301,1.2969901,103.7825289,3,,,POINT (103.7825289 1.2969901)
