element_type,osmid,nodes,building,geometry,name,building:levels,amenity,healthcare,leisure,sport,building:use
way,863132645,"[8040762707, 8040762706, 8040762705, 8040762704, 8040762707]",yes,"POLYGON ((121.415593 31.1630004, 121.4159256 31.1630072, 121.4159296 31.1628666, 121.415597 31.1628598, 121.415593 31.1630004))",,,,,,,
way,863132646,"[8040762696, 8040762699, 8040762700, 8040762703, 8040762702, 8040762701, 8040762698, 8040762697, 8040762708, 8040762709, 8040762710, 8040762711, 8040762696]",yes,"POLYGON ((121.4163484 31.1626884, 121.4163508 31.1630193, 121.4160081 31.1630211, 121.4160088 31.1631151, 121.4164567 31.1631128, 121.416456 31.1630188, 121.4164191 31.163019, 121.4164168 31.1626873, 121.4167039 31.1626823, 121.4167008 31.1625482, 121.4162256 31.1625564, 121.4162287 31.1626905, 121.4163484 31.1626884))",,,,,,,
way,863132647,"[8040762715, 8040762714, 8040762713, 8040762712, 8040762715]",yes,"POLYGON ((121.4156815 31.1626951, 121.4160812 31.1626882, 121.4160782 31.1625599, 121.4156785 31.1625668, 121.4156815 31.1626951))",,,,,,,
way,863132648,"[8040762721, 8040762718, 8040762719, 8040762717, 8040762716, 8040762720, 8040762721]",yes,"POLYGON ((121.4176583 31.1616095, 121.4181775 31.1616047, 121.418176 31.1614855, 121.4178045 31.1614889, 121.4178043 31.1614677, 121.4176566 31.1614691, 121.4176583 31.1616095))",,,,,,,
way,863132649,"[8040762725, 8040762722, 8040762723, 8040762724, 8040762725]",yes,"POLYGON ((121.417661 31.1619193, 121.4181294 31.161915, 121.4181277 31.1617793, 121.4176593 31.1617836, 121.417661 31.1619193))",,,,,,,
way,863132650,"[8040762729, 8040762726, 8040762727, 8040762728, 8040762729]",yes,"POLYGON ((121.417661 31.16222, 121.4181321 31.1622157, 121.4181304 31.1620823, 121.4176593 31.1620866, 121.417661 31.16222))",,,,,,,
way,863132651,"[8040762733, 8040762730, 8040762731, 8040762732, 8040762733]",yes,"POLYGON ((121.4176717 31.162578, 121.4181722 31.1625735, 121.4181706 31.1624495, 121.4176702 31.1624541, 121.4176717 31.162578))",,,,,,,
way,863132652,"[8040762741, 8040762740, 8040762739, 8040762737, 8040762735, 8040762734, 8040762736, 8040762738, 8040762741]",yes,"POLYGON ((121.4170656 31.1620524, 121.4170694 31.1623636, 121.4174625 31.16236, 121.4174611 31.1622499, 121.4175306 31.1622493, 121.4175291 31.1621275, 121.4174596 31.1621281, 121.4174586 31.1620488, 121.4170656 31.1620524))",,,,,,,
way,863132653,"[8040762749, 8040762745, 8040762744, 8040762746, 8040762747, 8040762742, 8040762743, 8040762748, 8040762749]",yes,"POLYGON ((121.415762 31.1622544, 121.4161375 31.162251, 121.4161399 31.162446, 121.4167432 31.1624405, 121.4167376 31.1619975, 121.4164025 31.1620005, 121.4164032 31.1620555, 121.4157596 31.1620614, 121.415762 31.1622544))",,,,,,,
way,863132654,"[8040762753, 8040762750, 8040762751, 8040762752, 8040762753]",yes,"POLYGON ((121.4163011 31.1615613, 121.4166457 31.1615581, 121.4166445 31.161458, 121.4162999 31.1614611, 121.4163011 31.1615613))",,,,,,,
way,863132655,"[8040762759, 8040762758, 8040762755, 8040762754, 8040762757, 8040762756, 8040762759]",yes,"POLYGON ((121.4159873 31.1617885, 121.4164889 31.1617839, 121.4164884 31.1617449, 121.4166993 31.1617429, 121.4166979 31.1616351, 121.4159855 31.1616416, 121.4159873 31.1617885))",,,,,,,
way,863132656,"[8040762763, 8040762760, 8040762761, 8040762762, 8040762763]",yes,"POLYGON ((121.4167008 31.161015, 121.4167758 31.16084, 121.4165801 31.1607786, 121.4165051 31.1609536, 121.4167008 31.161015))",,,,,,,
way,863132657,"[8040762767, 8040762766, 8040762765, 8040762764, 8040762767]",yes,"POLYGON ((121.4168027 31.1609875, 121.4171246 31.1610885, 121.4171729 31.1609758, 121.416851 31.1608748, 121.4168027 31.1609875))",,,,,,,
way,863132658,"[8040762771, 8040762770, 8040762769, 8040762768, 8040762771]",yes,"POLYGON ((121.4172399 31.1613157, 121.4174825 31.1613242, 121.4174947 31.1610701, 121.4172521 31.1610615, 121.4172399 31.1613157))",,,,,,,
way,863132659,"[8040762775, 8040762774, 8040762773, 8040762772, 8040762775]",yes,"POLYGON ((121.4162126 31.1612836, 121.4171889 31.161318, 121.4171962 31.1611682, 121.4162198 31.1611338, 121.4162126 31.1612836))",,,,,,,
way,863132660,"[8040762782, 8040762780, 8040762779, 8040762776, 8040762778, 8040762777, 8040762781, 8040762783, 8040762782]",yes,"POLYGON ((121.4181411 31.1613019, 121.4182618 31.1613409, 121.4183138 31.1612232, 121.4177395 31.1610376, 121.4177262 31.1610333, 121.4176578 31.1610112, 121.4176558 31.1610407, 121.4176396 31.1612767, 121.4181411 31.1613019))",,,,,,,
way,863132661,"[8040762787, 8040762786, 8040762785, 8040762784, 8040762787]",yes,"POLYGON ((121.419332 31.1617128, 121.4196244 31.1618137, 121.419679 31.1616979, 121.4193867 31.1615969, 121.419332 31.1617128))",,,,,,,
way,863132666,"[8040762807, 8040762806, 8040762805, 8040762804, 8040762807]",yes,"POLYGON ((121.419275 31.1620943, 121.419522 31.1621074, 121.4195312 31.1619807, 121.4192842 31.1619677, 121.419275 31.1620943))",,,,,,,
way,863132667,"[8040762811, 8040762810, 8040762809, 8040762808, 8040762811]",yes,"POLYGON ((121.4192368 31.1623933, 121.4194838 31.1624063, 121.419493 31.1622797, 121.4192459 31.1622666, 121.4192368 31.1623933))",,,,,,,
way,863132668,"[8040762815, 8040762814, 8040762813, 8040762812, 8040762815]",yes,"POLYGON ((121.4191909 31.1625334, 121.4191823 31.1626524, 121.4194893 31.1626686, 121.4194979 31.1625496, 121.4191909 31.1625334))",,,,,,,
way,863132669,"[8040762819, 8040762818, 8040762817, 8040762816, 8040762819]",yes,"POLYGON ((121.4190942 31.1627995, 121.4190856 31.1629186, 121.4195201 31.1629415, 121.4195287 31.1628225, 121.4190942 31.1627995))",,,,,,,
way,863132672,"[8040762831, 8040762828, 8040762829, 8040762830, 8040762831]",yes,"POLYGON ((121.4190719 31.1630715, 121.4190633 31.1631905, 121.4194978 31.1632135, 121.4195064 31.1630945, 121.4190719 31.1630715))",,,,,,,
way,863132681,"[8040762867, 8040762866, 8040762865, 8040762864, 8040762867]",yes,"POLYGON ((121.4180647 31.1637073, 121.4180672 31.1638362, 121.4184965 31.16383, 121.418494 31.1637011, 121.4180647 31.1637073))",,,,,,,
way,863132692,"[8040762933, 8040762932, 8040762931, 8040762930, 8040762933]",yes,"POLYGON ((121.4172748 31.1640263, 121.4179167 31.1640709, 121.4179292 31.1639391, 121.4172873 31.1638944, 121.4172748 31.1640263))",,,,,,,
way,863132693,"[8040762942, 8040762941, 8040762939, 8040762938, 8040762934, 8040762935, 8040762937, 8040762936, 8040762940, 8040762943, 8040762946, 8040762945, 8040762944, 8040762942]",yes,"POLYGON ((121.4177128 31.1644214, 121.417724 31.1643028, 121.4179559 31.164319, 121.4179687 31.1641835, 121.4177865 31.1641709, 121.4177817 31.1642219, 121.4175777 31.1642078, 121.4175697 31.1642921, 121.4176251 31.164296, 121.4176138 31.1644145, 121.4176047 31.1645106, 121.4177645 31.1645217, 121.4177737 31.1644256, 121.4177128 31.1644214))",,,,,,,
way,863132696,"[8040762958, 8040762957, 8040762956, 8040762955, 8040762958]",yes,"POLYGON ((121.4169636 31.1646127, 121.4171286 31.1646161, 121.4171306 31.164544, 121.4169657 31.1645406, 121.4169636 31.1646127))",,,,,,,
way,863132697,"[8040762967, 8040762965, 8040762959, 8040762961, 8040762960, 8040762966, 8040762962, 8040762963, 8040762964, 8040762967]",yes,"POLYGON ((121.4175738 31.164475, 121.417582 31.164389, 121.4170349 31.1643509, 121.4170423 31.1642728, 121.4169457 31.1642661, 121.4169301 31.1644302, 121.4169278 31.1644545, 121.4170244 31.1644612, 121.4170267 31.1644369, 121.4175738 31.164475))",,,,,,,
way,863132698,"[8040762971, 8040762970, 8040762969, 8040762968, 8040762971]",yes,"POLYGON ((121.4167061 31.1644256, 121.4167061 31.1642328, 121.4162314 31.1642328, 121.4162314 31.1644256, 121.4167061 31.1644256))",,,,,,,
way,863132699,"[8040762975, 8040762972, 8040762973, 8040762974, 8040762975]",yes,"POLYGON ((121.4156949 31.1643522, 121.4161858 31.1643522, 121.4161858 31.1642466, 121.4156949 31.1642466, 121.4156949 31.1643522))",,,,,,,
way,863132700,"[8040762979, 8040762976, 8040762977, 8040762978, 8040762979]",yes,"POLYGON ((121.4158854 31.1645633, 121.4162126 31.1645633, 121.4162126 31.1644073, 121.4158854 31.1644073, 121.4158854 31.1645633))",,,,,,,
way,863132701,"[8040762983, 8040762982, 8040762981, 8040762980, 8040762983]",yes,"POLYGON ((121.4151424 31.1643453, 121.4155287 31.1643453, 121.4155287 31.1640883, 121.4151424 31.1640883, 121.4151424 31.1643453))",,,,,,,
way,863132706,"[8040763003, 8040763002, 8040763001, 8040763000, 8040763003]",yes,"POLYGON ((121.414834 31.1624449, 121.4149225 31.1618413, 121.4147766 31.1618256, 121.4145738 31.162417, 121.414834 31.1624449))",,,,,,,
way,863132711,"[8040763048, 8040763045, 8040763043, 8040763044, 8040763046, 8040763047, 8040763048]",yes,"POLYGON ((121.4141084 31.1619101, 121.4144742 31.1619867, 121.4144913 31.1619269, 121.4142488 31.1618762, 121.4142612 31.1618326, 121.4141379 31.1618069, 121.4141084 31.1619101))",,,,,,,
way,863132712,"[8040763052, 8040763051, 8040763050, 8040763049, 8040763052]",yes,"POLYGON ((121.41334 31.1618849, 121.413863 31.1619492, 121.4138885 31.1617972, 121.4133655 31.1617329, 121.41334 31.1618849))",,,,,,,
way,863132713,"[8040763064, 8040763060, 8040763063, 8040763056, 8040763055, 8040763054, 8040763053, 8040763066, 8040763067, 8040763057, 8040763065, 8040763058, 8040763062, 8040763061, 8040763059, 8040763064]",yes,"POLYGON ((121.4137084 31.162289, 121.4137163 31.1622496, 121.4137235 31.1622129, 121.4138619 31.1622331, 121.4138791 31.1621465, 121.4136884 31.1621187, 121.4136777 31.1621727, 121.4135552 31.1621549, 121.4135425 31.1622189, 121.4135983 31.162227, 121.4135894 31.1622716, 121.4136167 31.1622756, 121.4136015 31.162352, 121.4137991 31.1623808, 121.4138143 31.1623044, 121.4137084 31.162289))",,,,,,,
way,863132714,"[8040763071, 8040763070, 8040763069, 8040763068, 8040763071]",yes,"POLYGON ((121.4132139 31.1621706, 121.4134917 31.1622112, 121.4135103 31.1621179, 121.4132325 31.1620773, 121.4132139 31.1621706))",,,,,,,
way,863132715,"[8040763075, 8040763072, 8040763073, 8040763074, 8040763075]",yes,"POLYGON ((121.4143109 31.1627961, 121.4143612 31.1625437, 121.4139676 31.1624862, 121.4139173 31.1627386, 121.4143109 31.1627961))",,,,,,,
way,863132716,"[8040763079, 8040763076, 8040763077, 8040763078, 8040763079]",yes,"POLYGON ((121.4144853 31.1628764, 121.4145479 31.1625619, 121.4144853 31.1625528, 121.4144226 31.1628673, 121.4144853 31.1628764))",,,,,,,
way,863132717,"[8040763083, 8040763082, 8040763081, 8040763080, 8040763083]",yes,"POLYGON ((121.414665 31.1628948, 121.414724 31.1625987, 121.4146166 31.162583, 121.4145576 31.1628791, 121.414665 31.1628948))",,,,,,,
way,863132718,"[8040763087, 8040763086, 8040763085, 8040763084, 8040763087]",yes,"POLYGON ((121.4138657 31.1638312, 121.414188 31.1638745, 121.414209 31.16376, 121.4138867 31.1637167, 121.4138657 31.1638312))",,,,,,,
way,863132719,"[8040763088, 8040763095, 8040763094, 8040763093, 8040763089, 8040763091, 8040763090, 8040763092, 8040763088]",yes,"POLYGON ((121.4140749 31.1636704, 121.4140668 31.1637141, 121.4144663 31.1637679, 121.414496 31.1636063, 121.4141119 31.1635546, 121.4141205 31.1635076, 121.4139523 31.163485, 121.413922 31.1636499, 121.4140749 31.1636704))",上海师范大学第六教学楼,,,,,,
way,863132720,"[8040763099, 8040763098, 8040763097, 8040763096, 8040763099]",yes,"POLYGON ((121.4137718 31.1640814, 121.4144905 31.164178, 121.4145121 31.1640607, 121.4137934 31.163964, 121.4137718 31.1640814))",,,,,,,
way,863132721,"[8040763109, 8040763108, 8040763103, 8040763100, 8040763105, 8040763104, 8040763101, 8040763112, 8040763111, 8040763107, 8040763106, 8040763110, 8040763113, 8040763102, 8040763109]",yes,"POLYGON ((121.4119774 31.1634273, 121.4121283 31.1634476, 121.4121534 31.1633109, 121.412846 31.1634041, 121.4128207 31.1635414, 121.4129716 31.1635617, 121.4129969 31.1634244, 121.4130319 31.1634291, 121.4130583 31.163285, 121.412179 31.1631714, 121.4120281 31.1631511, 121.4120039 31.1631431, 121.4119774 31.1632872, 121.4120025 31.1632906, 121.4119774 31.1634273))",上海师范大学第一教学楼,4,,,,,
way,863132722,"[8040763117, 8040763116, 8040763115, 8040763114, 8040763117]",yes,"POLYGON ((121.413222 31.163324, 121.4134602 31.163356, 121.4134821 31.1632368, 121.4132439 31.1632047, 121.413222 31.163324))",,,,,,,
way,863132723,"[8040763121, 8040763120, 8040763119, 8040763118, 8040763121]",yes,"POLYGON ((121.4130664 31.163441, 121.4132544 31.1634663, 121.4132729 31.1633653, 121.4130849 31.16334, 121.4130664 31.163441))",,,,,,,
way,863132724,"[8040763125, 8040763124, 8040763123, 8040763122, 8040763125]",yes,"POLYGON ((121.4117682 31.163239, 121.4119508 31.1632636, 121.4119667 31.1631771, 121.4117841 31.1631525, 121.4117682 31.163239))",,,,,,,
way,863132725,"[8040763129, 8040763128, 8040763127, 8040763126, 8040763129]",yes,"POLYGON ((121.41161 31.1631037, 121.4118591 31.1631372, 121.4118809 31.1630187, 121.4116317 31.1629852, 121.41161 31.1631037))",,,,,,,
way,863132726,"[8040763133, 8040763132, 8040763131, 8040763130, 8040763133]",yes,"POLYGON ((121.4130422 31.1637279, 121.4134304 31.1637801, 121.4134499 31.163674, 121.4130617 31.1636218, 121.4130422 31.1637279))",,,,,,,
way,863132727,"[8040763141, 8040763138, 8040763134, 8040763137, 8040763136, 8040763135, 8040763139, 8040763140, 8040763141]",yes,"POLYGON ((121.4128062 31.1640676, 121.4127683 31.1642741, 121.4128789 31.164289, 121.4128869 31.1642454, 121.4134532 31.1643215, 121.4134448 31.1643675, 121.4135698 31.1643843, 121.4136082 31.1641755, 121.4128062 31.1640676))",,,,,,,
way,863132728,"[8040763145, 8040763144, 8040763143, 8040763142, 8040763145]",yes,"POLYGON ((121.4114597 31.1635053, 121.4118571 31.1635696, 121.4118835 31.1634502, 121.4114861 31.1633859, 121.4114597 31.1635053))",,,,,,,
way,863132732,"[8040763173, 8040763172, 8040763171, 8040763170, 8040763173]",yes,"POLYGON ((121.4138348 31.1659117, 121.4141741 31.1659562, 121.4141889 31.1658739, 121.4138496 31.1658294, 121.4138348 31.1659117))",,,,,,,
way,863132733,"[8040763177, 8040763174, 8040763175, 8040763176, 8040763177]",yes,"POLYGON ((121.4137946 31.1658314, 121.4138117 31.1657361, 121.4133591 31.1656767, 121.413342 31.165772, 121.4137946 31.1658314))",,,,,,,
way,863132734,"[8040763191, 8040763188, 8040763189, 8040763184, 8040763180, 8040763181, 8040763182, 8040763183, 8040763185, 8040763179, 8040763178, 8040763186, 8040763187, 8040763190, 8040763193, 8040763194, 8040763195, 8040763192, 8040763191]",yes,"POLYGON ((121.4126428 31.1654139, 121.4125989 31.1656284, 121.4127821 31.1656558, 121.4127789 31.1656712, 121.413062 31.1657136, 121.4130581 31.1657327, 121.4132008 31.1657541, 121.4131947 31.1657843, 121.4133024 31.1658004, 121.4133213 31.1657079, 121.4132992 31.1657046, 121.4133177 31.1656139, 121.4128063 31.1655373, 121.4128259 31.1654414, 121.4128786 31.1654493, 121.4129684 31.1650104, 121.4126345 31.1649604, 121.4125448 31.1653993, 121.4126428 31.1654139))",,,,,,,
way,863132735,"[8040763207, 8040763206, 8040763199, 8040763198, 8040763197, 8040763196, 8040763205, 8040763204, 8040763200, 8040763201, 8040763202, 8040763203, 8040763207]",yes,"POLYGON ((121.4118567 31.1646574, 121.4125934 31.1647578, 121.4125985 31.1647304, 121.4128613 31.1647662, 121.4128867 31.1646299, 121.4126238 31.1645941, 121.4126185 31.164623, 121.4118818 31.1645227, 121.4118868 31.1644955, 121.4116099 31.1644578, 121.4115849 31.1645922, 121.4118618 31.1646299, 121.4118567 31.1646574))",,,,,,,
way,863132736,"[8040763211, 8040763210, 8040763209, 8040763208, 8040763211]",yes,"POLYGON ((121.4111003 31.1642753, 121.4112462 31.1642952, 121.4112653 31.1641927, 121.4111194 31.1641728, 121.4111003 31.1642753))",,,,,,,
way,863132737,"[8040763215, 8040763214, 8040763213, 8040763212, 8040763215]",yes,"POLYGON ((121.41128 31.1643878, 121.4114708 31.1644137, 121.411504 31.1642351, 121.4113133 31.1642092, 121.41128 31.1643878))",,,,,,,
way,863132738,"[8040763216, 8040763222, 8040763223, 8040763221, 8040763217, 8040763220, 8040763219, 8040763218, 8040763216]",yes,"POLYGON ((121.4119171 31.1639611, 121.4119238 31.1639253, 121.4111486 31.1638197, 121.4111198 31.1639748, 121.4118103 31.1640688, 121.4117937 31.1641583, 121.4119359 31.1641776, 121.4119747 31.1639689, 121.4119171 31.1639611))",,,,,,,
way,863132739,"[8040763227, 8040763226, 8040763225, 8040763224, 8040763227]",yes,"POLYGON ((121.4118044 31.1649811, 121.4119171 31.1651222, 121.4120813 31.1650262, 121.4119687 31.1648851, 121.4118044 31.1649811))",,,,,,,
way,863132740,"[8040763235, 8040763234, 8040763233, 8040763232, 8040763230, 8040763229, 8040763228, 8040763231, 8040763235]",yes,"POLYGON ((121.4110842 31.1649271, 121.4113184 31.1649622, 121.4113457 31.1648284, 121.4111116 31.1647934, 121.4111074 31.164814, 121.4110536 31.1648059, 121.4110392 31.1648763, 121.411093 31.1648844, 121.4110842 31.1649271))",,,,,,,
way,863132741,"[8040763247, 8040763246, 8040763243, 8040763241, 8040763240, 8040763242, 8040763245, 8040763244, 8040763238, 8040763237, 8040763236, 8040763239, 8040763247]",yes,"POLYGON ((121.4113323 31.1650843, 121.4116245 31.1651281, 121.4116362 31.1650707, 121.4116948 31.1650795, 121.4117072 31.1650189, 121.4116486 31.1650101, 121.4116569 31.1649696, 121.4113648 31.1649258, 121.4113497 31.1649994, 121.4113157 31.1649943, 121.4113079 31.1650324, 121.4113419 31.1650375, 121.4113323 31.1650843))",,,,,,,
way,863132742,"[8040763253, 8040763252, 8040763251, 8040763249, 8040763248, 8040763250, 8040763253]",yes,"POLYGON ((121.4120029 31.1654263, 121.4125072 31.1655018, 121.4125353 31.1653643, 121.4121893 31.1653125, 121.412182 31.1653486, 121.4120236 31.1653249, 121.4120029 31.1654263))",环境与地理科学学院,6,,,,,
way,863132743,"[8040763261, 8040763260, 8040763257, 8040763255, 8040763254, 8040763256, 8040763259, 8040763258, 8040763261]",yes,"POLYGON ((121.4116086 31.1652679, 121.4119071 31.1653126, 121.411916 31.1652693, 121.4119642 31.1652766, 121.4119774 31.1652121, 121.4119292 31.1652048, 121.4119332 31.1651853, 121.4116346 31.1651406, 121.4116086 31.1652679))",,,,,,,
way,863132744,"[8040763265, 8040763264, 8040763263, 8040763262, 8040763265]",yes,"POLYGON ((121.4110802 31.165152, 121.4112994 31.1651849, 121.4113162 31.1651027, 121.411097 31.1650699, 121.4110802 31.165152))",,,,,,,
way,863132745,"[8040763269, 8040763268, 8040763267, 8040763266, 8040763269]",yes,"POLYGON ((121.4110547 31.1652519, 121.4112282 31.1652779, 121.4112438 31.1652014, 121.4110704 31.1651754, 121.4110547 31.1652519))",,,,,,,
way,863132746,"[8040763273, 8040763272, 8040763271, 8040763270, 8040763273]",yes,"POLYGON ((121.4110266 31.1653379, 121.4112409 31.16537, 121.4112559 31.1652966, 121.4110416 31.1652645, 121.4110266 31.1653379))",,,,,,,
way,863132747,"[8040763277, 8040763276, 8040763275, 8040763274, 8040763277]",yes,"POLYGON ((121.4103413 31.1651853, 121.4108876 31.1652671, 121.4109179 31.1651188, 121.4103716 31.165037, 121.4103413 31.1651853))",,,,,,,
way,863132748,"[8040763281, 8040763280, 8040763279, 8040763278, 8040763281]",yes,"POLYGON ((121.4104405 31.1649879, 121.4109278 31.1650609, 121.4109582 31.1649122, 121.4104709 31.1648392, 121.4104405 31.1649879))",,,,,,,
way,863132749,"[8040763285, 8040763284, 8040763283, 8040763282, 8040763285]",yes,"POLYGON ((121.4099684 31.164662, 121.41048 31.1647386, 121.4105022 31.1646299, 121.4099907 31.1645533, 121.4099684 31.164662))",,,,,,,
way,863132750,"[8040763289, 8040763288, 8040763287, 8040763286, 8040763289]",yes,"POLYGON ((121.4105102 31.1647355, 121.4106917 31.1647627, 121.4107221 31.1646138, 121.4105407 31.1645867, 121.4105102 31.1647355))",,,,,,,
way,863132751,"[8040763293, 8040763292, 8040763291, 8040763290, 8040763293]",yes,"POLYGON ((121.4107302 31.1647745, 121.4108947 31.1647991, 121.410926 31.164646, 121.4107615 31.1646213, 121.4107302 31.1647745))",,,,,,,
way,863132752,"[8040763297, 8040763301, 8040763300, 8040763296, 8040763295, 8040763309, 8040763308, 8040763310, 8040763294, 8040763307, 8040763302, 8040763298, 8040763306, 8040763299, 8040763305, 8040763304, 8040763303, 8040763297]",yes,"POLYGON ((121.4107424 31.1643529, 121.4107731 31.164203, 121.4104033 31.1641476, 121.4103882 31.1642214, 121.4102897 31.1642066, 121.4103064 31.164125, 121.4100603 31.1640881, 121.4100274 31.1642489, 121.4102014 31.164275, 121.4101884 31.1643384, 121.410359 31.164364, 121.4104763 31.1643815, 121.4104593 31.1644647, 121.4105912 31.1644844, 121.4105853 31.1645129, 121.4108547 31.1645532, 121.4108911 31.1643751, 121.4107424 31.1643529))",,,,,,,
way,863132753,"[8040763318, 8040763317, 8040763316, 8040763313, 8040763312, 8040763311, 8040763314, 8040763315, 8040763318]",yes,"POLYGON ((121.410415 31.1640607, 121.4106751 31.1640997, 121.4106953 31.164001, 121.4105962 31.1639862, 121.4106081 31.1639276, 121.4105444 31.163918, 121.4105324 31.1639766, 121.4104352 31.1639621, 121.410415 31.1640607))",,,,,,,
way,863132754,"[8040763322, 8040763321, 8040763320, 8040763319, 8040763322]",yes,"POLYGON ((121.4102608 31.163861, 121.4109045 31.1639574, 121.4109321 31.1638228, 121.4102883 31.1637264, 121.4102608 31.163861))",,,,,,,
way,863132755,"[8040763328, 8040763327, 8040763324, 8040763323, 8040763326, 8040763325, 8040763328]",yes,"POLYGON ((121.4117789 31.1615406, 121.4121718 31.1616005, 121.4121865 31.16153, 121.4121526 31.1615248, 121.4121662 31.1614597, 121.4118072 31.161405, 121.4117789 31.1615406))",美术学院设计楼,3,,,,,
way,863132756,"[8040763336, 8040763335, 8040763329, 8040763330, 8040763334, 8040763333, 8040763331, 8040763332, 8040763336]",yes,"POLYGON ((121.4112774 31.1611642, 121.4115748 31.1612095, 121.4116011 31.1610827, 121.4116779 31.1610944, 121.4117092 31.1609439, 121.4114523 31.1609047, 121.4114154 31.1610822, 121.4112981 31.1610643, 121.4112774 31.1611642))",上海师范大学校医院,,hospital,hospital,,,
way,863132757,"[8040763344, 8040763339, 8040763337, 8040763345, 8040763348, 8040763347, 8040763346, 8040763338, 8040763340, 8040763343, 8040763342, 8040763341, 8040763344]",yes,"POLYGON ((121.4108106 31.1627502, 121.4110177 31.1627837, 121.4109883 31.1629167, 121.4107852 31.1628838, 121.4107543 31.1630233, 121.411276 31.1631078, 121.4113069 31.1629682, 121.4111033 31.1629353, 121.4111327 31.1628023, 121.4113323 31.1628346, 121.4113632 31.1626951, 121.4108415 31.1626106, 121.4108106 31.1627502))",,,,,,,
