element_type,osmid,amenity,geometry,name,building,nodes,layer,operator,residential,healthcare,healthcare:speciality,operator:type,building:levels,tourism,brand,brand:en,brand:wikidata,brand:wikipedia,brand:zh,name:en,name:zh,operator:en,operator:wikidata,operator:wikipedia,operator:zh,shop,addr:housenumber,addr:place,height,leisure,level,sport,frequency,power,voltage,ways,type,highway
way,105249312,,"POLYGON ((114.4021474 30.5161083, 114.4026841 30.5160627, 114.4027049 30.5162459, 114.4026179 30.5162533, 114.4026113 30.5161952, 114.4022477 30.5162262, 114.4022543 30.5162842, 114.4021681 30.5162915, 114.4021474 30.5161083))",西十四舍,residential,"[1212913181, 1212913185, 1212913170, 9435865534, 9435865533, 9435865532, 9435865535, 1212913182, 1212913181]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249523,,"POLYGON ((114.4025135 30.5170175, 114.4027538 30.516995, 114.4027622 30.5170624, 114.4031755 30.5170236, 114.4031675 30.5169596, 114.4034053 30.5169373, 114.40342 30.5170548, 114.403243 30.5170714, 114.4032575 30.5171871, 114.4031332 30.5171987, 114.4031254 30.5171365, 114.4028286 30.5171643, 114.4028364 30.5172265, 114.4027317 30.5172364, 114.4027166 30.5171162, 114.402528 30.5171339, 114.4025135 30.5170175))",西八舍,residential,"[1212915214, 1212915257, 1212915207, 1212915256, 1212915243, 1212915245, 1212915203, 1212915216, 1212915270, 9435865564, 9435865563, 9435865562, 9435865565, 1212915271, 1212915237, 1212915222, 1212915214]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249524,,"POLYGON ((114.4018208 30.5175672, 114.4024847 30.517504, 114.4024995 30.517621, 114.4022926 30.5176407, 114.4022992 30.5176928, 114.4022203 30.5177003, 114.4022073 30.5175979, 114.4021115 30.517607, 114.4021245 30.5177094, 114.4020457 30.5177169, 114.402039 30.5176649, 114.4018356 30.5176842, 114.4018208 30.5175672))",西十一舍,residential,"[1212915273, 1212915233, 1212915253, 9435865544, 9435865539, 9435865538, 9435865542, 9435865543, 9435865541, 9435865540, 9435865545, 1212915264, 1212915273]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249526,,"POLYGON ((114.4018899 30.5173065, 114.4023907 30.517256, 114.4024151 30.5174378, 114.4019143 30.5174882, 114.4018899 30.5173065))",,yes,"[1212915220, 1212915227, 1212915279, 1212915281, 1212915220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249527,,"POLYGON ((114.4019103 30.5170678, 114.4024249 30.5170228, 114.402444 30.5171863, 114.4019293 30.5172313, 114.4019103 30.5170678))",西十舍,residential,"[1212915247, 1212915249, 1212915239, 1212915225, 1212915247]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249713,,"POLYGON ((114.4066014 30.5169646, 114.4069206 30.5169403, 114.4069263 30.5169969, 114.4071484 30.51698, 114.4071592 30.5170868, 114.4068706 30.5171087, 114.4068656 30.5170589, 114.4066129 30.5170781, 114.4066014 30.5169646))",留学生宿舍,yes,"[1212917267, 1212917275, 1212917274, 1212917276, 1212917277, 1212917270, 1212917268, 1212917272, 1212917267]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249928,,"POLYGON ((114.418627 30.517239, 114.4186168 30.5171595, 114.4187916 30.5171428, 114.4188018 30.5172223, 114.418627 30.517239))",中国电信营业厅,public,"[1212919491, 1212919494, 1212919499, 1212919504, 1212919491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105249930,,"POLYGON ((114.417475 30.517342, 114.4174648 30.5172586, 114.4176284 30.5172438, 114.4176386 30.5173271, 114.417475 30.517342))",中国联通营业厅,public,"[1212919500, 1212919493, 1212919501, 1212919490, 1212919500]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105250095,,"POLYGON ((114.4177062 30.5172304, 114.4179251 30.5172146, 114.4179337 30.5173033, 114.4177148 30.517319, 114.4177062 30.5172304))",虹景接待部,public,"[1212921606, 1212921605, 1212921607, 1212921608, 1212921606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105250669,,"POLYGON ((114.4030227 30.5186384, 114.4031519 30.518623, 114.4031628 30.5186915, 114.4030335 30.5187068, 114.4030227 30.5186384))",,yes,"[1212928249, 1212928252, 1212928251, 1212928250, 1212928249]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398516,,"POLYGON ((114.4279452 30.5173619, 114.4285469 30.5173046, 114.4285686 30.5174759, 114.427967 30.5175331, 114.4279452 30.5173619))",,residential,"[1260810236, 1260810285, 1260810308, 1260810320, 1260810236]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398517,,"POLYGON ((114.4281867 30.5169914, 114.4288174 30.5169309, 114.4288378 30.51709, 114.428207 30.5171505, 114.4281867 30.5169914))",韵苑二十栋,residential,"[1260810353, 1260810261, 1260810311, 1260810260, 1260810353]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398519,,"POLYGON ((114.4303682 30.5165143, 114.4309389 30.5164612, 114.4309589 30.5166226, 114.4303882 30.5166757, 114.4303682 30.5165143))",韵苑十八栋,yes,"[1260810322, 1260810276, 1260810234, 1260810235, 1260810322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398520,,"POLYGON ((114.4270608 30.5177997, 114.4275903 30.5177523, 114.4276106 30.5179221, 114.4270811 30.5179695, 114.4270608 30.5177997))",,residential,"[1260810232, 1260810314, 1260810228, 1260810227, 1260810232]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398521,public_building,"POLYGON ((114.4320693 30.5160526, 114.4320374 30.5157577, 114.4322125 30.5157437, 114.4322445 30.5160386, 114.4320693 30.5160526))",电工实训基地(新楼),yes,"[1260810293, 1260810288, 1260810240, 1260810238, 1260810293]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398522,,"POLYGON ((114.428967 30.5166395, 114.4298551 30.5165491, 114.4298765 30.516707, 114.4289884 30.5167974, 114.428967 30.5166395))",韵苑十七栋,residential,"[1260810280, 1260810250, 1260810273, 1260810282, 1260810280]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398524,,"POLYGON ((114.4310301 30.5164516, 114.4316087 30.5164041, 114.4316264 30.5165658, 114.4310478 30.5166132, 114.4310301 30.5164516))",韵苑十九栋,yes,"[1260810341, 1260810309, 1260810335, 1260810319, 1260810341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398525,,"POLYGON ((114.42892 30.5164088, 114.4288983 30.5162454, 114.4297789 30.5161577, 114.4298006 30.5163212, 114.42892 30.5164088))",韵苑十四栋,residential,"[9438953555, 9438953554, 1260810328, 1260810330, 9438953555]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398526,,"POLYGON ((114.4303158 30.5161299, 114.4311931 30.5160421, 114.4312141 30.5161993, 114.4303368 30.5162872, 114.4303158 30.5161299))",韵苑十五栋,yes,"[1260810265, 1260810324, 1260810336, 1260810343, 1260810265]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110398527,,"POLYGON ((114.4276907 30.5177414, 114.4281903 30.5176973, 114.4282102 30.5178657, 114.4277105 30.5179098, 114.4276907 30.5177414))",,residential,"[1260810312, 1260810286, 1260810323, 1260810337, 1260810312]",,华中科技大学,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
