osmid,y,x,street_count,highway,ref,geometry
1612652972,39.9477872,-75.1899744,3,,,POINT (-75.1899744 39.9477872)
1612652984,39.9497748,-75.1872236,3,,,POINT (-75.1872236 39.9497748)
1612653006,39.9497067,-75.1856624,3,,,POINT (-75.1856624 39.9497067)
1644860054,39.9477595,-75.1939026,3,,,POINT (-75.1939026 39.9477595)
1658147652,39.9535634,-75.2009812,3,,,POINT (-75.2009812 39.9535634)
1658147654,39.9534891,-75.2003563,3,,,POINT (-75.2003563 39.9534891)
1684000543,39.9523377,-75.194065,3,,,POINT (-75.194065 39.9523377)
1684000552,39.9524376,-75.1930133,4,,,POINT (-75.1930133 39.9524376)
1684000554,39.9519174,-75.1944013,6,,,POINT (-75.1944013 39.9519174)
1684000560,39.951572,-75.1944908,3,,,POINT (-75.1944908 39.951572)
1684000579,39.9516934,-75.1950065,3,,,POINT (-75.1950065 39.9516934)
1684000583,39.9517767,-75.1923052,4,crossing,,POINT (-75.1923052 39.9517767)
1684000615,39.9513386,-75.1945365,3,,,POINT (-75.1945365 39.9513386)
1684000636,39.9512255,-75.1952025,3,,,POINT (-75.1952025 39.9512255)
1684021442,39.952247,-75.1915493,3,,,POINT (-75.1915493 39.952247)
1684021445,39.9515645,-75.1916931,4,,,POINT (-75.1916931 39.9515645)
1684021492,39.9523889,-75.1981461,4,,,POINT (-75.1981461 39.9523889)
1684021508,39.9514723,-75.1909302,3,,,POINT (-75.1909302 39.9514723)
1684021518,39.951562,-75.1956678,3,,,POINT (-75.1956678 39.951562)
1684021551,39.9511533,-75.1969413,4,,,POINT (-75.1969413 39.9511533)
1684021557,39.9515933,-75.191926,3,,,POINT (-75.191926 39.9515933)
1684021559,39.9510189,-75.19147,3,,,POINT (-75.19147 39.9510189)
1684021562,39.9511063,-75.190783,3,,,POINT (-75.190783 39.9511063)
1684021602,39.9520552,-75.1935278,3,,,POINT (-75.1935278 39.9520552)
1684045365,39.9493008,-75.1883388,3,,,POINT (-75.1883388 39.9493008)
1684045399,39.9493413,-75.1866231,3,,,POINT (-75.1866231 39.9493413)
1688839888,39.9520411,-75.2022318,3,,,POINT (-75.2022318 39.9520411)
1688839941,39.9521068,-75.2014303,3,,,POINT (-75.2014303 39.9521068)
1688839952,39.9525568,-75.1926952,3,,,POINT (-75.1926952 39.9525568)
1688839978,39.9519848,-75.2018067,3,,,POINT (-75.2018067 39.9519848)
1688862326,39.9538034,-75.1874589,4,traffic_signals,,POINT (-75.1874589 39.9538034)
1688862359,39.9550838,-75.1916389,4,,,POINT (-75.1916389 39.9550838)
1688862388,39.9535328,-75.1852752,3,traffic_signals,,POINT (-75.1852752 39.9535328)
1688862421,39.9509333,-75.2008759,3,,,POINT (-75.2008759 39.9509333)
1688862452,39.9543428,-75.1917967,4,traffic_signals,,POINT (-75.1917967 39.9543428)
1688862493,39.9540834,-75.1897203,4,traffic_signals,,POINT (-75.1897203 39.9540834)
1688871955,39.9531402,-75.2041155,3,,,POINT (-75.2041155 39.9531402)
1746751024,39.9540473,-75.1958457,3,,,POINT (-75.1958457 39.9540473)
1762667064,39.9523713,-75.1940987,3,,,POINT (-75.1940987 39.9523713)
1762669005,39.9504857,-75.2016494,3,,,POINT (-75.2016494 39.9504857)
1762669008,39.9510158,-75.2015445,3,,,POINT (-75.2015445 39.9510158)
1762669304,39.949436,-75.1904349,3,,,POINT (-75.1904349 39.949436)
1762669306,39.9496896,-75.1907932,3,,,POINT (-75.1907932 39.9496896)
1769666654,39.9521225,-75.1960133,3,,,POINT (-75.1960133 39.9521225)
1769666657,39.9527492,-75.196282,1,,,POINT (-75.196282 39.9527492)
1772840976,39.9518865,-75.1936765,3,,,POINT (-75.1936765 39.9518865)
1772840978,39.9520647,-75.193603,4,,,POINT (-75.193603 39.9520647)
1772840980,39.9520726,-75.1936708,3,,,POINT (-75.1936708 39.9520726)
2009287511,39.9516642,-75.191672,3,,,POINT (-75.191672 39.9516642)
2009287519,39.9522028,-75.1912014,1,,,POINT (-75.1912014 39.9522028)
2009287529,39.9497173,-75.1916788,4,,,POINT (-75.1916788 39.9497173)
2009287548,39.9521629,-75.1937462,3,,,POINT (-75.1937462 39.9521629)
2009287552,39.9515877,-75.1918804,3,,,POINT (-75.1918804 39.9515877)
2009287562,39.9499048,-75.1914423,3,,,POINT (-75.1914423 39.9499048)
2009287564,39.9527279,-75.1926694,3,,,POINT (-75.1926694 39.9527279)
2009287595,39.9496129,-75.1915304,4,,,POINT (-75.1915304 39.9496129)
2009287626,39.9498079,-75.1913045,3,,,POINT (-75.1913045 39.9498079)
2009387465,39.9525288,-75.1973254,1,,,POINT (-75.1973254 39.9525288)
2009387998,39.9522919,-75.1973738,3,,,POINT (-75.1973738 39.9522919)
2009472896,39.9482726,-75.1985595,3,,,POINT (-75.1985595 39.9482726)
2009472903,39.9479594,-75.1983338,1,,,POINT (-75.1983338 39.9479594)
2011484559,39.9499821,-75.1913679,3,,,POINT (-75.1913679 39.9499821)
2011484560,39.9498624,-75.1913821,3,,,POINT (-75.1913821 39.9498624)
2011484562,39.9520758,-75.1956302,3,,,POINT (-75.1956302 39.9520758)
2011484566,39.95244,-75.1949421,3,,,POINT (-75.1949421 39.95244)
2011484572,39.9525192,-75.1955218,4,,,POINT (-75.1955218 39.9525192)
2011484573,39.9498942,-75.1913465,3,,,POINT (-75.1913465 39.9498942)
2011484575,39.9498823,-75.1912272,3,,,POINT (-75.1912272 39.9498823)
2022187405,39.9492218,-75.1901318,3,,,POINT (-75.1901318 39.9492218)
2022187407,39.949309,-75.192621,3,,,POINT (-75.192621 39.949309)
2022187413,39.9480453,-75.1906329,3,traffic_signals,,POINT (-75.1906329 39.9480453)
2022187414,39.9484001,-75.1911189,3,,,POINT (-75.1911189 39.9484001)
2088893604,39.9519204,-75.1862159,3,,,POINT (-75.1862159 39.9519204)
2129462714,39.9549546,-75.2030151,3,,,POINT (-75.2030151 39.9549546)
2129462730,39.9546664,-75.200722,3,,,POINT (-75.200722 39.9546664)
2129462810,39.9547249,-75.2011863,3,,,POINT (-75.2011863 39.9547249)
2463845960,39.9509118,-75.2001958,1,,,POINT (-75.2001958 39.9509118)
2463845963,39.950768,-75.2009095,3,turning_loop,,POINT (-75.2009095 39.950768)
2463846730,39.9500703,-75.2006511,4,,,POINT (-75.2006511 39.9500703)
2613559877,39.947584,-75.1880419,3,,,POINT (-75.1880419 39.947584)
2613559885,39.9481346,-75.187559,3,,,POINT (-75.187559 39.9481346)
2613559895,39.9477657,-75.1884904,1,,,POINT (-75.1884904 39.9477657)
2680429755,39.9487338,-75.1960677,4,crossing,,POINT (-75.1960677 39.9487338)
2680429756,39.9487813,-75.195967,4,crossing,,POINT (-75.195967 39.9487813)
2680429757,39.9487434,-75.1961637,4,crossing,,POINT (-75.1961637 39.9487434)
2700414147,39.9552046,-75.1957296,3,,,POINT (-75.1957296 39.9552046)
2700414154,39.9550293,-75.1956235,3,,,POINT (-75.1956235 39.9550293)
2700414155,39.9554791,-75.1957921,1,,,POINT (-75.1957921 39.9554791)
2700414157,39.9553556,-75.1956984,3,,,POINT (-75.1956984 39.9553556)
2700414174,39.9549676,-75.1951635,1,,,POINT (-75.1951635 39.9549676)
2700414175,39.9550856,-75.1953878,3,,,POINT (-75.1953878 39.9550856)
2700414176,39.9552976,-75.1953472,1,,,POINT (-75.1953472 39.9552976)
2874643421,39.9496046,-75.200282,3,,,POINT (-75.200282 39.9496046)
3021180074,39.950083,-75.1862016,5,,,POINT (-75.1862016 39.950083)
3021180075,39.9509507,-75.1853272,4,,,POINT (-75.1853272 39.9509507)
3021180077,39.9501796,-75.1858502,3,,,POINT (-75.1858502 39.9501796)
3021180079,39.951183,-75.1856142,4,,,POINT (-75.1856142 39.951183)
3021180083,39.9507829,-75.1842902,4,,,POINT (-75.1842902 39.9507829)
3021180085,39.950728,-75.1841295,3,,,POINT (-75.1841295 39.950728)
3021180086,39.9515558,-75.1858327,3,,,POINT (-75.1858327 39.9515558)
3021180106,39.9501611,-75.1867112,5,,,POINT (-75.1867112 39.9501611)
3021180107,39.9498695,-75.1869169,3,,,POINT (-75.1869169 39.9498695)
3155752379,39.9521885,-75.1936781,3,,,POINT (-75.1936781 39.9521885)
3157340991,39.9502811,-75.1919424,3,,,POINT (-75.1919424 39.9502811)
3157340995,39.9495723,-75.1925875,3,,,POINT (-75.1925875 39.9495723)
3157340998,39.9490377,-75.1928178,3,,,POINT (-75.1928178 39.9490377)
3218353573,39.9516481,-75.2015183,3,,,POINT (-75.2015183 39.9516481)
3218353578,39.9517456,-75.202988,4,crossing,,POINT (-75.202988 39.9517456)
3218353583,39.9515568,-75.2007608,4,crossing,,POINT (-75.2007608 39.9515568)
3218353623,39.9520738,-75.2029353,3,,,POINT (-75.2029353 39.9520738)
3218353625,39.9516888,-75.2018574,3,,,POINT (-75.2018574 39.9516888)
