u,v,key,osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref,service,tunnel,access
110191773,7002789214,0,12155139,Locust Walk,pedestrian,False,False,8.873,,,"LINESTRING (-75.202847 39.9529811, -75.202831 39.9529791, -75.2027443 39.9529681)",,,,,
110191777,1684021602,0,32119505,,footway,False,True,47.868,,,"LINESTRING (-75.193136 39.9517468, -75.1935278 39.9520552)",,,,,
110191777,360481589,0,156649536,,footway,False,False,28.383,,,"LINESTRING (-75.193136 39.9517468, -75.1930855 39.9519991)",,,,,
110191777,10960207837,0,156649536,,footway,False,True,9.445,,,"LINESTRING (-75.193136 39.9517468, -75.1931533 39.9516629)",,,,,
110214028,4696697698,0,12157151,Moravian Street,service,False,False,28.0,,,"LINESTRING (-75.1934769 39.9534694, -75.1934254 39.9537181)",,,,,
110214028,4696697682,0,12157151,Moravian Street,service,False,True,119.516,,,"LINESTRING (-75.1934769 39.9534694, -75.1923509 39.9533272, -75.1921341 39.9532999, -75.1920934 39.9532947)",,,,,
110214028,4696697692,0,330138975,,footway,False,False,45.632000000000005,,,"LINESTRING (-75.1934769 39.9534694, -75.1935928 39.9533891, -75.1936517 39.953102)",,,,,
110214032,4696697698,0,12157151,Moravian Street,service,False,True,4.811,,,"LINESTRING (-75.1934163 39.9537608, -75.1934254 39.9537181)",,,,,
110214032,4696697699,0,12166276,Sansom Street,residential,True,False,97.699,,,"LINESTRING (-75.1934163 39.9537608, -75.1945477 39.9539015)",,,,,
110317698,360501414,0,32119915,Sansom Street,residential,True,False,9.44,1,25 mph,"LINESTRING (-75.1956282 39.95402, -75.1957375 39.9540337)",,,,,
110317698,11108334655,0,162869887,,service,False,True,4.912,,,"LINESTRING (-75.1956282 39.95402, -75.1956366 39.9539763)",,,,,
110338978,7384846806,0,50033060,South 33rd Street,secondary,True,False,12.272,2,,"LINESTRING (-75.1917251 39.9503249, -75.1916247 39.950404)",,,,,
110338978,3564863918,0,30953025,South Street,secondary,False,True,9.705,,25 mph,"LINESTRING (-75.1917251 39.9503249, -75.191677 39.9503045, -75.1916265 39.9502813)",,,,,
110338978,3564863921,0,424799828,Spruce Street,secondary,False,False,10.392,3,25 mph,"LINESTRING (-75.1917251 39.9503249, -75.1917861 39.9503391, -75.1918425 39.95035)",,,,,
110338993,3218353578,0,284556051,Spruce Street,secondary,False,False,9.887,2,30 mph,"LINESTRING (-75.2031026 39.9517593, -75.202988 39.9517456)",,,,,
110338993,7874104961,0,1222839574,Spruce Street,secondary,False,False,8.187,,30 mph,"LINESTRING (-75.2031026 39.9517593, -75.2031974 39.9517711)",,,,,
110371709,8185907071,0,12187657,South 36th Street Walk,pedestrian,False,False,85.614,,,"LINESTRING (-75.1955342 39.9497236, -75.195367 39.9504828)",,,,,
110371709,110371718,0,844116553,Hamilton Walk,pedestrian,False,False,55.888,,,"LINESTRING (-75.1955342 39.9497236, -75.1948879 39.9496391)",,,,,
110371709,842936954,0,844116553,Hamilton Walk,pedestrian,False,True,257.925,,,"LINESTRING (-75.1955342 39.9497236, -75.1959517 39.9497767, -75.1985222 39.9500889)",,,,,
110371718,110371709,0,844116553,Hamilton Walk,pedestrian,False,True,55.888,,,"LINESTRING (-75.1948879 39.9496391, -75.1955342 39.9497236)",,,,,
110380367,5960299325,0,1082907463,,motorway_link,True,False,43.56700000000001,2,,"LINESTRING (-75.1958574 39.943683, -75.195892 39.9437037, -75.1959299 39.9437245, -75.1959583 39.9437381, -75.1960028 39.943755, -75.1960501 39.9437668, -75.1961038 39.9437757, -75.1961587 39.9437813, -75.1962013 39.943785, -75.1962378 39.9437908, -75.1962741 39.9437979, -75.1962984 39.9438032, -75.1963316 39.9438103)",,,,,
110432579,4696697724,0,32273765,,footway,False,True,6.071,,,"LINESTRING (-75.19047 39.951371, -75.1905289 39.9514017)",,,,,
110432579,3355718417,0,1031067191,South 33rd Street,secondary,True,False,9.786,2,,"LINESTRING (-75.19047 39.951371, -75.1903926 39.951436)",,,,,
110432579,4696697743,0,"[476000180, 32273765]",,footway,False,False,7.96,,,"LINESTRING (-75.19047 39.951371, -75.1904226 39.9513463, -75.1903973 39.9513266)",,,,,
110436069,4775923576,0,283621822,South University Avenue,primary,False,False,11.379,5,25 mph,"LINESTRING (-75.1995269 39.9492189, -75.1994579 39.9491313)",,,,,
110436069,4775923574,0,424801341,South University Avenue,primary,False,True,11.780000000000001,5,25 mph,"LINESTRING (-75.1995269 39.9492189, -75.1995627 39.9492643, -75.1995933 39.9493117)",,,,,
110546675,4477512934,0,1222833888,South 32nd Street,service,False,True,66.34,,,"LINESTRING (-75.1876295 39.9531375, -75.1875072 39.9537267)",,,,,
110546675,4477512480,0,"[1222833888, 12203397]",South 32nd Street,service,False,False,70.53,,,"LINESTRING (-75.1876295 39.9531375, -75.1876511 39.9530361, -75.1877713 39.9525126)",,,,,
110552309,7918772170,0,32119363,,footway,False,False,59.774,,,"LINESTRING (-75.1932193 39.9513155, -75.1925272 39.951229)",,,,,
110552309,10960184278,0,156649536,,footway,False,False,11.022,,,"LINESTRING (-75.1932193 39.9513155, -75.1932008 39.9514136)",,,,,
110552309,10751019968,0,156649536,,footway,False,True,6.302,,,"LINESTRING (-75.1932193 39.9513155, -75.1932455 39.9512625)",,,,,
360347097,6658064223,0,32119758,,footway,False,False,7.312,,,"LINESTRING (-75.1916266 39.9531635, -75.1917073 39.9531858)",,,,,
360347097,9044538587,0,330138974,,footway,False,False,11.596,,,"LINESTRING (-75.1916266 39.9531635, -75.1915018 39.953122)",,,,,
360347097,4696697686,0,"[243551203, 243551204]",Woodland Walk,pedestrian,False,False,41.852999999999994,,,"LINESTRING (-75.1916266 39.9531635, -75.1917494 39.9530807, -75.1918451 39.9530102, -75.191983 39.9529048)",,,,,
360347097,6658064222,0,243551204,Woodland Walk,pedestrian,False,True,26.308999999999997,,,"LINESTRING (-75.1916266 39.9531635, -75.1915121 39.9532419, -75.1914487 39.9532818, -75.1913904 39.9533156)",,,,,
360347522,1772840980,0,190322370,,footway,False,False,17.086,,,"LINESTRING (-75.1938616 39.9521197, -75.1936708 39.9520726)",,,,,
360347522,1684000554,0,335523313,Woodland Walk,pedestrian,False,False,51.209,,,"LINESTRING (-75.1938616 39.9521197, -75.1944013 39.9519174)",,,,,
360347522,2009287548,0,335523313,Woodland Walk,pedestrian,False,True,10.947,,,"LINESTRING (-75.1938616 39.9521197, -75.1937462 39.9521629)",,,,,
360347522,360481732,0,32119529,,footway,False,False,46.129000000000005,,,"LINESTRING (-75.1938616 39.9521197, -75.19389 39.95206, -75.1941797 39.9517878)",,,,,
360347524,110142290,0,32119328,South 36th Street,pedestrian,False,True,40.174,,,"LINESTRING (-75.1951137 39.9516485, -75.1950364 39.9520049)",,,,,
360347524,1684000579,0,335523313,Woodland Walk,pedestrian,False,True,10.413,,,"LINESTRING (-75.1951137 39.9516485, -75.1950065 39.9516934)",,,,,
360347524,1684000636,0,32119328,South 36th Street,pedestrian,False,False,47.641999999999996,,,"LINESTRING (-75.1951137 39.9516485, -75.1951754 39.9513641, -75.1952025 39.9512255)",,,,,
360347524,1684021518,0,335523315,Woodland Walk,footway,False,False,48.798,,,"LINESTRING (-75.1951137 39.9516485, -75.1954845 39.9515581, -75.1956678 39.951562)",,,,,
360347795,4682320385,0,12155139,Locust Walk,pedestrian,False,True,29.149,,,"LINESTRING (-75.1995646 39.9525659, -75.199902 39.9526086)",,,,,
360347795,1684021492,0,"[32108144, 32108143]",Locust Walk,pedestrian,False,False,122.503,,,"LINESTRING (-75.1995646 39.9525659, -75.1982694 39.9524044, -75.1981461 39.9523889)",yes,,,,
360347795,7002710171,0,477627569,,footway,False,False,16.730999999999998,,,"LINESTRING (-75.1995646 39.9525659, -75.1995504 39.9526162, -75.1995329 39.952638, -75.1994978 39.9526532, -75.1994495 39.9526582, -75.1994428 39.9526585)",,,,,
360347795,7918772178,0,"[477627570, 477627571, 748810603]",,"['path', 'steps', 'footway']",False,False,95.931,,,"LINESTRING (-75.1995646 39.9525659, -75.1995614 39.9525456, -75.1995417 39.9525304, -75.1995087 39.9525237, -75.1992696 39.9524985, -75.1992257 39.952485, -75.1992038 39.9524732, -75.1991914 39.9524513, -75.1991885 39.9524245, -75.199195 39.9523892, -75.1992565 39.9521033, -75.1992872 39.9519637, -75.199242 39.9519579)",,,,,
360348555,10960138798,0,844116553,Hamilton Walk,pedestrian,False,False,30.799,,,"LINESTRING (-75.1992796 39.9501874, -75.1989234 39.950141)",,,,,
360348555,635029649,0,844116553,Hamilton Walk,pedestrian,False,True,8.277,,,"LINESTRING (-75.1992796 39.9501874, -75.1993643 39.9502238)",,,,,
360348555,10960151060,0,1180057778,Ramp,footway,False,False,13.461,,,"LINESTRING (-75.1992796 39.9501874, -75.1993023 39.9500676)",,,,,
360364561,360494781,0,32120676,,footway,False,False,14.23,,,"LINESTRING (-75.1984284 39.9496165, -75.1983269 39.9495149)",,,,,
360364561,360494716,0,32120676,,footway,False,True,19.085,,,"LINESTRING (-75.1984284 39.9496165, -75.1986051 39.9497219)",,,,,
360364561,10960092216,0,1180054574,,footway,False,False,22.805,,,"LINESTRING (-75.1984284 39.9496165, -75.1986526 39.9495046)",,,,,
