u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,width,access,tunnel,bridge,maxspeed,service
2317863648,8668650543,0,222840522,residential,False,True,16.946,"LINESTRING (120.1673833 35.9418053, 120.1672823 35.9419339)",荟萃路,2,,,,,,
2317863648,8579025941,0,222840508,service,False,True,20.578,"LINESTRING (120.1673833 35.9418053, 120.1672772 35.9417303, 120.1672053 35.9416896)",,,,,,,,
2317863652,8579025957,0,222840512,residential,False,True,46.486,"LINESTRING (120.1652468 35.9416934, 120.165443 35.9413067)",黄河路,2,,,,,,
2317863652,8579025633,0,222840515,residential,False,True,94.389,"LINESTRING (120.1652468 35.9416934, 120.1660921 35.9421956)",北油路,2,,,,,,
2317863652,2317863594,0,222840524,residential,False,True,37.685,"LINESTRING (120.1652468 35.9416934, 120.1652575 35.9420322)",,,,,,,,
2317863652,8668650541,0,"[924350896, 222840515]","['residential', 'service']",False,"[False, True]",69.375,"LINESTRING (120.1652468 35.9416934, 120.1647226 35.9413653, 120.1647877 35.9412955)",北油路,2,,,,,,
2317863653,8579025619,0,222840510,residential,False,False,64.757,"LINESTRING (120.1649507 35.9426159, 120.1648928 35.9427184, 120.1646679 35.9429412, 120.1645811 35.943109)",,,,,,,,
2317863653,2317863594,0,"[222840524, 222840510]",residential,False,"[False, True]",82.434,"LINESTRING (120.1649507 35.9426159, 120.1649189 35.9424462, 120.1649271 35.9422494, 120.1649931 35.9421252, 120.1651213 35.9420559, 120.1652575 35.9420322)",,,,,,,,
2317863653,8579025636,0,924350811,steps,False,False,76.648,"LINESTRING (120.1649507 35.9426159, 120.165185 35.9426678, 120.1654652 35.9426587, 120.1657787 35.9425804)",,,,,,,,
2317863655,2317864096,0,222840504,residential,False,False,87.409,"LINESTRING (120.1692786 35.9378791, 120.1685154 35.9373932)",致远路,2,,,,,,
2317863655,9122015323,0,222840504,residential,False,True,80.833,"LINESTRING (120.1692786 35.9378791, 120.1699935 35.9383189)",致远路,2,,,,,,
2317863655,2317863612,0,222840602,residential,False,False,97.833,"LINESTRING (120.1692786 35.9378791, 120.1686902 35.9386188)",芳华路,2,,,,,,
2317863655,2317864109,0,222840602,residential,False,True,100.09700000000001,"LINESTRING (120.1692786 35.9378791, 120.16968 35.9375001, 120.1699814 35.937182)",芳华路,2,,,,,,
2317863657,8668650565,0,222840504,residential,False,True,19.174,"LINESTRING (120.17148 35.9395844, 120.1716536 35.9396843)",致远路,2,,,,,,
2317863657,7983909288,0,930702759,residential,False,False,66.839,"LINESTRING (120.17148 35.9395844, 120.1710318 35.9400636)",凤华路,,,,,,,
2317863657,9122015327,0,222840504,residential,False,False,91.654,"LINESTRING (120.17148 35.9395844, 120.1714343 35.9392383, 120.1709815 35.9389344)",致远路,2,,,,,,
2317864088,2317863600,0,222840516,residential,True,False,52.93,"LINESTRING (120.1684591 35.9430662, 120.168105 35.9434462)",凤华路,,,,,,,
2317864088,8579025954,0,222840603,service,False,False,20.407,"LINESTRING (120.1684591 35.9430662, 120.1682799 35.9429538)",,,,,,,,
2317864088,8579026117,0,222840603,service,False,True,124.151,"LINESTRING (120.1684591 35.9430662, 120.1695701 35.9437277)",,,,,,,,
